132117  , -79016.7    , array([ 55.361     ,  8.98407    ,  8.33041e-09,  1.21296e-31,  0.000453256])
132118  , -79016.7    , array([ 55.361     ,  8.98407    ,  8.33041e-09,  1.21296e-31,  0.000453256])
132119  , -79016.9    , array([ 56.361     ,  8.98407    ,  8.33041e-09,  1.21296e-31,  0.000453256])
132120  , -79016.5    , array([ 53.743     ,  8.98407    ,  8.33041e-09,  1.21296e-31,  0.000453256])
132121  , -79016.2    , array([ 51.125     ,  8.98407    ,  8.33041e-09,  1.21296e-31,  0.000453256])
132122  , -79015.6    , array([ 46.8889    ,  8.98407    ,  8.33041e-09,  1.21296e-31,  0.000453256])
132123  , -79014.2    , array([ 40.0348    ,  8.98407    ,  8.33041e-09,  1.21296e-31,  0.000453256])
132124  , -79010.8    , array([ 28.9446    ,  8.98407    ,  8.33041e-09,  1.21296e-31,  0.000453256])
132125  , -78990.4    , array([ 11.0004    ,  8.98407    ,  8.33041e-09,  1.21296e-31,  0.000453256])
132127  , -78990.4    , array([ 11.0004    ,  8.98407    ,  8.33041e-09,  1.21296e-31,  0.000453256])
132129  , -79003      , array([ 17.8545    ,  8.98407    ,  8.33041e-09,  1.21296e-31,  0.000453256])
132130  , -78998.2    , array([ 14.4274    ,  8.98407    ,  8.33041e-09,  1.21296e-31,  0.000453256])
132131  , -78969.8    , array([ 6.7643     ,  8.98407    ,  8.33041e-09,  1.21296e-31,  0.000453256])
132132  , -78936      , array([ 4.14626    ,  8.98407    ,  8.33041e-09,  1.21296e-31,  0.000453256])
132133  , -78880.3    , array([ 2.52823    ,  8.98407    ,  8.33041e-09,  1.21296e-31,  0.000453256])
132134  , -78787.1    , array([ 1.52823    ,  8.98407    ,  8.33041e-09,  1.21296e-31,  0.000453256])
132135  , -78628      , array([ 0.910194   ,  8.98407    ,  8.33041e-09,  1.21296e-31,  0.000453256])
132136  , -78628      , array([ 0.910194   ,  8.98407    ,  8.33041e-09,  1.21296e-31,  0.000453256])
132137  , -78633.9    , array([ 0.910194   ,  9.98407    ,  8.33041e-09,  1.21296e-31,  0.000453256])
132138  , -78615.1    , array([ 0.910194   ,  7.36604    ,  8.33041e-09,  1.21296e-31,  0.000453256])
132139  , -78575.6    , array([ 0.910194   ,  4.748      ,  8.33041e-09,  1.21296e-31,  0.000453256])
132140  , -77663.6    , array([ 0.910194   ,  0.511933   ,  8.33041e-09,  1.21296e-31,  0.000453256])
132142  , -77663.6    , array([ 0.910194   ,  0.511933   ,  8.33041e-09,  1.21296e-31,  0.000453256])
132144  , -78439.2    , array([ 0.910194   ,  2.12997    ,  8.33041e-09,  1.21296e-31,  0.000453256])
132145  , -78288.1    , array([ 0.910194   ,  1.32092    ,  8.33041e-09,  1.21296e-31,  0.000453256])
132147  , -74758.2    , array([ 0.910194   ,  0.129967   ,  8.33041e-09,  1.21296e-31,  0.000453256])
132149  , -76802.2    , array([ 0.910194   ,  0.275865   ,  8.33041e-09,  1.21296e-31,  0.000453256])
132150  , -66773.3    , array([ 0.910194   ,  0.0397971  ,  8.33041e-09,  1.21296e-31,  0.000453256])
132151  , -66773.3    , array([ 0.910194   ,  0.0397971  ,  8.33041e-09,  1.21296e-31,  0.000453256])
132152  , -66776.6    , array([ 0.910194   ,  0.0397971  ,  1          ,  1.21296e-31,  0.000453256])
132154  , -66773.3    , array([ 0.910194   ,  0.0397971  ,  8.33041e-09,  1.21296e-31,  0.000453256])
132156  , -66774.5    , array([ 0.910194   ,  0.0397971  ,  0.381966   ,  1.21296e-31,  0.000453256])
132157  , -66773.9    , array([ 0.910194   ,  0.0397971  ,  0.190983   ,  1.21296e-31,  0.000453256])
132160  , -66773.5    , array([ 0.910194   ,  0.0397971  ,  0.072949   ,  1.21296e-31,  0.000453256])
132162  , -66773.4    , array([ 0.910194   ,  0.0397971  ,  0.027864   ,  1.21296e-31,  0.000453256])
132164  , -66773.3    , array([ 0.910194   ,  0.0397971  ,  0.0106431  ,  1.21296e-31,  0.000453256])
