116859  , -34225.1    , array([ 0.757911   ,  1.97131    ,  5.56943e-47,  9.55793e-08,  0.0688029  ])
116860  , -34225.1    , array([ 0.757911   ,  1.97131    ,  5.56943e-47,  9.55793e-08,  0.0688029  ])
116861  , -39675.9    , array([ 1.75791    ,  1.97131    ,  5.56943e-47,  9.55793e-08,  0.0688029  ])
116863  , -34225.1    , array([ 0.757911   ,  1.97131    ,  5.56943e-47,  9.55793e-08,  0.0688029  ])
116864  , -64018.5    , array([ 0.139877   ,  1.97131    ,  5.56943e-47,  9.55793e-08,  0.0688029  ])
116865  , -36340      , array([ 1.13988    ,  1.97131    ,  5.56943e-47,  9.55793e-08,  0.0688029  ])
116866  , -34901.9    , array([ 0.897383   ,  1.97131    ,  5.56943e-47,  9.55793e-08,  0.0688029  ])
116867  , -34261.5    , array([ 0.521843   ,  1.97131    ,  5.56943e-47,  9.55793e-08,  0.0688029  ])
116868  , -33942.7    , array([ 0.645662   ,  1.97131    ,  5.56943e-47,  9.55793e-08,  0.0688029  ])
116869  , -33941.2    , array([ 0.643453   ,  1.97131    ,  5.56943e-47,  9.55793e-08,  0.0688029  ])
116870  , -33936.7    , array([ 0.622295   ,  1.97131    ,  5.56943e-47,  9.55793e-08,  0.0688029  ])
116871  , -33984.1    , array([ 0.583926   ,  1.97131    ,  5.56943e-47,  9.55793e-08,  0.0688029  ])
116872  , -33936      , array([ 0.627864   ,  1.97131    ,  5.56943e-47,  9.55793e-08,  0.0688029  ])
116873  , -33936      , array([ 0.629165   ,  1.97131    ,  5.56943e-47,  9.55793e-08,  0.0688029  ])
116874  , -33936      , array([ 0.626564   ,  1.97131    ,  5.56943e-47,  9.55793e-08,  0.0688029  ])
116875  , -33936      , array([ 0.627864   ,  1.97131    ,  5.56943e-47,  9.55793e-08,  0.0688029  ])
116876  , -37845.8    , array([ 0.627864   ,  2.97131    ,  5.56943e-47,  9.55793e-08,  0.0688029  ])
116877  , -9836.7     , array([ 0.627864   ,  0.353279   ,  5.56943e-47,  9.55793e-08,  0.0688029  ])
