119366  , -79089.4    , array([ 4.45861    ,  3.9385     ,  5.33315e-27,  5.10312e-07,  2.09327e-14])
119367  , -79089.4    , array([ 4.45861    ,  3.9385     ,  5.33315e-27,  5.10312e-07,  2.09327e-14])
119368  , -79089.4    , array([ 5.45861    ,  3.9385     ,  5.33315e-27,  5.10312e-07,  2.09327e-14])
119369  , -79089.4    , array([ 2.84057    ,  3.9385     ,  5.33315e-27,  5.10312e-07,  2.09327e-14])
119370  , -79089.4    , array([ 0.222537   ,  3.9385     ,  5.33315e-27,  5.10312e-07,  2.09327e-14])
119372  , -79089.4    , array([ 0.222537   ,  3.9385     ,  5.33315e-27,  5.10312e-07,  2.09327e-14])
119374  , -79089.4    , array([ 1.22254    ,  3.9385     ,  5.33315e-27,  5.10312e-07,  2.09327e-14])
119375  , -79089.4    , array([ 0.722537   ,  3.9385     ,  5.33315e-27,  5.10312e-07,  2.09327e-14])
119378  , -79089.4    , array([ 0.41352    ,  3.9385     ,  5.33315e-27,  5.10312e-07,  2.09327e-14])
119379  , -79089.4    , array([ 0.132367   ,  3.9385     ,  5.33315e-27,  5.10312e-07,  2.09327e-14])
119380  , -79089.4    , array([ 0.076639   ,  3.9385     ,  5.33315e-27,  5.10312e-07,  2.09327e-14])
119381  , -79089.4    , array([ 0.0328193  ,  3.9385     ,  5.33315e-27,  5.10312e-07,  2.09327e-14])
119382  , -79089.4    , array([ 0.0328193  ,  3.9385     ,  5.33315e-27,  5.10312e-07,  2.09327e-14])
119383  , -79089.4    , array([ 0.0328193  ,  4.9385     ,  5.33315e-27,  5.10312e-07,  2.09327e-14])
119384  , -79089.4    , array([ 0.0328193  ,  2.32047    ,  5.33315e-27,  5.10312e-07,  2.09327e-14])
119386  , -79089.4    , array([ 0.0328193  ,  2.32047    ,  5.33315e-27,  5.10312e-07,  2.09327e-14])
119387  , -79089.4    , array([ 0.0328193  ,  1.32047    ,  5.33315e-27,  5.10312e-07,  2.09327e-14])
119388  , -79089.4    , array([ 0.0328193  ,  0.702435   ,  5.33315e-27,  5.10312e-07,  2.09327e-14])
119389  , -79089.4    , array([ 0.0328193  ,  0.320469   ,  5.33315e-27,  5.10312e-07,  2.09327e-14])
119390  , -79089.4    , array([ 0.0328193  ,  0.0844011  ,  5.33315e-27,  5.10312e-07,  2.09327e-14])
119392  , -79089.4    , array([ 0.0328193  ,  0.174571   ,  5.33315e-27,  5.10312e-07,  2.09327e-14])
119393  , -79089.4    , array([ 0.0328193  ,  0.028673   ,  5.33315e-27,  5.10312e-07,  2.09327e-14])
