12360   , -79089.4    , array([ 5.91067    ,  0.0265228  ,  0.0107304  ,  6.30416e-15,  1.26861e-11])
12361   , -79089.4    , array([ 5.91659    ,  0.0265228  ,  0.0107304  ,  6.30416e-15,  1.26861e-11])
12362   , -79089.4    , array([ 5.91067    ,  0.0265493  ,  0.0107304  ,  6.30416e-15,  1.26861e-11])
12363   , -79089.4    , array([ 5.91067    ,  0.0265228  ,  0.0107412  ,  6.30416e-15,  1.26861e-11])
12364   , -79089.4    , array([ 5.91067    ,  0.0265228  ,  0.0107304  ,  6.31047e-15,  1.26861e-11])
12365   , -79089.4    , array([ 5.91067    ,  0.0265228  ,  0.0107304  ,  6.30416e-15,  1.26988e-11])
12366   , -79089.4    , array([ 5.91067    ,  0.0265228  ,  0.0107304  ,  6.30416e-15,  1.26861e-11])
12367   , -79089.4    , array([ 5.91066    ,  0.0265079  ,  0.0107304  ,  6.30416e-15,  1.26933e-11])
12368   , -79089.4    , array([ 5.91066    ,  0.0265079  ,  0.0107304  ,  6.30416e-15,  1.26933e-11])
12369   , -79089.4    , array([ 5.91658    ,  0.0265079  ,  0.0107304  ,  6.30416e-15,  1.26933e-11])
12370   , -79089.4    , array([ 5.91066    ,  0.0265344  ,  0.0107304  ,  6.30416e-15,  1.26933e-11])
12371   , -79089.4    , array([ 5.91066    ,  0.0265079  ,  0.0107412  ,  6.30416e-15,  1.26933e-11])
12372   , -79089.4    , array([ 5.91066    ,  0.0265079  ,  0.0107304  ,  6.31047e-15,  1.26933e-11])
12373   , -79089.4    , array([ 5.91066    ,  0.0265079  ,  0.0107304  ,  6.30416e-15,  1.2706e-11 ])
12374   , -79089.4    , array([ 5.91062    ,  0.0264484  ,  0.0107304  ,  6.30416e-15,  1.27219e-11])
12375   , -79089.4    , array([ 5.91062    ,  0.0264484  ,  0.0107304  ,  6.30416e-15,  1.27219e-11])
12376   , -79089.4    , array([ 5.91654    ,  0.0264484  ,  0.0107304  ,  6.30416e-15,  1.27219e-11])
12377   , -79089.4    , array([ 5.91062    ,  0.0264749  ,  0.0107304  ,  6.30416e-15,  1.27219e-11])
12378   , -79089.4    , array([ 5.91062    ,  0.0264484  ,  0.0107412  ,  6.30416e-15,  1.27219e-11])
12379   , -79089.4    , array([ 5.91062    ,  0.0264484  ,  0.0107304  ,  6.31047e-15,  1.27219e-11])
12380   , -79089.4    , array([ 5.91062    ,  0.0264484  ,  0.0107304  ,  6.30416e-15,  1.27347e-11])
12381   , -79089.4    , array([ 5.91045    ,  0.0262118  ,  0.0107304  ,  6.30416e-15,  1.28373e-11])
12382   , -79089.4    , array([ 5.91045    ,  0.0262118  ,  0.0107304  ,  6.30416e-15,  1.28373e-11])
12383   , -79089.4    , array([ 5.91637    ,  0.0262118  ,  0.0107304  ,  6.30416e-15,  1.28373e-11])
12384   , -79089.4    , array([ 5.91045    ,  0.026238   ,  0.0107304  ,  6.30416e-15,  1.28373e-11])
12385   , -79089.4    , array([ 5.91045    ,  0.0262118  ,  0.0107412  ,  6.30416e-15,  1.28373e-11])
12386   , -79089.4    , array([ 5.91045    ,  0.0262118  ,  0.0107304  ,  6.31047e-15,  1.28373e-11])
12387   , -79089.4    , array([ 5.91045    ,  0.0262118  ,  0.0107304  ,  6.30416e-15,  1.28502e-11])
12388   , -79089.4    , array([ 5.90978    ,  0.0252862  ,  0.0107304  ,  6.30416e-15,  1.33093e-11])
12389   , -79089.4    , array([ 5.90978    ,  0.0252862  ,  0.0107304  ,  6.30416e-15,  1.33093e-11])
12390   , -79089.4    , array([ 5.91569    ,  0.0252862  ,  0.0107304  ,  6.30416e-15,  1.33093e-11])
12391   , -79089.4    , array([ 5.90978    ,  0.0253115  ,  0.0107304  ,  6.30416e-15,  1.33093e-11])
12392   , -79089.4    , array([ 5.90978    ,  0.0252862  ,  0.0107411  ,  6.30416e-15,  1.33093e-11])
12393   , -79089.4    , array([ 5.90978    ,  0.0252862  ,  0.0107304  ,  6.31047e-15,  1.33093e-11])
12394   , -79089.4    , array([ 5.90978    ,  0.0252862  ,  0.0107304  ,  6.30416e-15,  1.33227e-11])
12395   , -79089.4    , array([ 5.9071     ,  0.0218993  ,  0.0107303  ,  6.30416e-15,  1.53775e-11])
12396   , -79089.4    , array([ 5.9071     ,  0.0218993  ,  0.0107303  ,  6.30416e-15,  1.53775e-11])
12397   , -79089.4    , array([ 5.91301    ,  0.0218993  ,  0.0107303  ,  6.30416e-15,  1.53775e-11])
12398   , -79089.4    , array([ 5.9071     ,  0.0219212  ,  0.0107303  ,  6.30416e-15,  1.53775e-11])
12399   , -79089.4    , array([ 5.9071     ,  0.0218993  ,  0.0107411  ,  6.30416e-15,  1.53775e-11])
12400   , -79089.4    , array([ 5.9071     ,  0.0218993  ,  0.0107303  ,  6.31047e-15,  1.53775e-11])
12401   , -79089.4    , array([ 5.9071     ,  0.0218993  ,  0.0107303  ,  6.30416e-15,  1.53929e-11])
12402   , -79089.4    , array([ 5.89637    ,  0.0123202  ,  0.01073    ,  6.30416e-15,  2.74035e-11])
12403   , -79089.4    , array([ 5.89637    ,  0.0123202  ,  0.01073    ,  6.30416e-15,  2.74035e-11])
12404   , -79089.4    , array([ 5.90227    ,  0.0123202  ,  0.01073    ,  6.30416e-15,  2.74035e-11])
12405   , -79089.4    , array([ 5.89637    ,  0.0123325  ,  0.01073    ,  6.30416e-15,  2.74035e-11])
12406   , -79089.4    , array([ 5.89637    ,  0.0123202  ,  0.0107407  ,  6.30416e-15,  2.74035e-11])
12407   , -79089.4    , array([ 5.89637    ,  0.0123202  ,  0.01073    ,  6.31047e-15,  2.74035e-11])
12408   , -79089.4    , array([ 5.89637    ,  0.0123202  ,  0.01073    ,  6.30416e-15,  2.74309e-11])
12409   , -79089.2    , array([ 5.85365    ,  0.00123415 ,  0.0107287  ,  6.30416e-15,  2.76365e-10])
12410   , -79089.2    , array([ 5.85365    ,  0.00123415 ,  0.0107287  ,  6.30416e-15,  2.76365e-10])
12411   , -79089.2    , array([ 5.8595     ,  0.00123415 ,  0.0107287  ,  6.30416e-15,  2.76365e-10])
12412   , -79089.2    , array([ 5.85365    ,  0.00123538 ,  0.0107287  ,  6.30416e-15,  2.76365e-10])
12413   , -79089.2    , array([ 5.85365    ,  0.00123415 ,  0.0107395  ,  6.30416e-15,  2.76365e-10])
12414   , -79089.2    , array([ 5.85365    ,  0.00123415 ,  0.0107287  ,  6.31047e-15,  2.76365e-10])
12415   , -79089.2    , array([ 5.85365    ,  0.00123415 ,  0.0107287  ,  6.30416e-15,  2.76641e-10])
12423   , -79089.2    , array([ 5.85365    ,  0.00123415 ,  0.0107287  ,  6.30416e-15,  2.76365e-10])
12424   , -79089.2    , array([ 5.85365    ,  0.00123415 ,  0.0107287  ,  6.30416e-15,  2.76365e-10])
12425   , -79089.2    , array([ 5.8595     ,  0.00123415 ,  0.0107287  ,  6.30416e-15,  2.76365e-10])
12426   , -79089.2    , array([ 5.85365    ,  0.00123538 ,  0.0107287  ,  6.30416e-15,  2.76365e-10])
12427   , -79089.2    , array([ 5.85365    ,  0.00123415 ,  0.0107395  ,  6.30416e-15,  2.76365e-10])
12428   , -79089.2    , array([ 5.85365    ,  0.00123415 ,  0.0107287  ,  6.31047e-15,  2.76365e-10])
12429   , -79089.2    , array([ 5.85365    ,  0.00123415 ,  0.0107287  ,  6.30416e-15,  2.76641e-10])
12430   , -79089.2    , array([ 5.85365    ,  0.00123415 ,  0.0107287  ,  6.30416e-15,  2.76365e-10])
12431   , -79089.2    , array([ 5.85365    ,  0.00123415 ,  0.0107287  ,  6.30416e-15,  2.76365e-10])
12432   , -79089.2    , array([ 5.8595     ,  0.00123415 ,  0.0107287  ,  6.30416e-15,  2.76365e-10])
12433   , -79089.2    , array([ 5.85365    ,  0.00123538 ,  0.0107287  ,  6.30416e-15,  2.76365e-10])
12434   , -79089.2    , array([ 5.85365    ,  0.00123415 ,  0.0107395  ,  6.30416e-15,  2.76365e-10])
12435   , -79089.2    , array([ 5.85365    ,  0.00123415 ,  0.0107287  ,  6.31047e-15,  2.76365e-10])
12436   , -79089.2    , array([ 5.85365    ,  0.00123415 ,  0.0107287  ,  6.30416e-15,  2.76641e-10])
12444   , -79089.2    , array([ 5.85365    ,  0.00123415 ,  0.0107287  ,  6.30416e-15,  2.76365e-10])
12445   , -79089.2    , array([ 5.85365    ,  0.00123415 ,  0.0107287  ,  6.30416e-15,  2.76365e-10])
12446   , -79089.2    , array([ 5.8595     ,  0.00123415 ,  0.0107287  ,  6.30416e-15,  2.76365e-10])
12447   , -79089.2    , array([ 5.85365    ,  0.00123538 ,  0.0107287  ,  6.30416e-15,  2.76365e-10])
12448   , -79089.2    , array([ 5.85365    ,  0.00123415 ,  0.0107395  ,  6.30416e-15,  2.76365e-10])
12449   , -79089.2    , array([ 5.85365    ,  0.00123415 ,  0.0107287  ,  6.31047e-15,  2.76365e-10])
12450   , -79089.2    , array([ 5.85365    ,  0.00123415 ,  0.0107287  ,  6.30416e-15,  2.76641e-10])
12451   , -79089.2    , array([ 5.85365    ,  0.00123415 ,  0.0107287  ,  6.30416e-15,  2.76365e-10])
12452   , -79089.2    , array([ 5.85365    ,  0.00123415 ,  0.0107287  ,  6.30416e-15,  2.76365e-10])
12453   , -79089.2    , array([ 5.8595     ,  0.00123415 ,  0.0107287  ,  6.30416e-15,  2.76365e-10])
12454   , -79089.2    , array([ 5.85365    ,  0.00123538 ,  0.0107287  ,  6.30416e-15,  2.76365e-10])
12455   , -79089.2    , array([ 5.85365    ,  0.00123415 ,  0.0107395  ,  6.30416e-15,  2.76365e-10])
12456   , -79089.2    , array([ 5.85365    ,  0.00123415 ,  0.0107287  ,  6.31047e-15,  2.76365e-10])
12457   , -79089.2    , array([ 5.85365    ,  0.00123415 ,  0.0107287  ,  6.30416e-15,  2.76641e-10])
12465   , -79089.2    , array([ 5.85365    ,  0.00123415 ,  0.0107287  ,  6.30416e-15,  2.76365e-10])
12466   , -79089.2    , array([ 5.85365    ,  0.00123415 ,  0.0107287  ,  6.30416e-15,  2.76365e-10])
12467   , -79089.2    , array([ 5.8595     ,  0.00123415 ,  0.0107287  ,  6.30416e-15,  2.76365e-10])
12468   , -79089.2    , array([ 5.85365    ,  0.00123538 ,  0.0107287  ,  6.30416e-15,  2.76365e-10])
12469   , -79089.2    , array([ 5.85365    ,  0.00123415 ,  0.0107395  ,  6.30416e-15,  2.76365e-10])
