25309   , -64452.5    , array([ 0.256857   ,  0.273932   ,  5.91201e-32,  0.0314765  ,  0.00233718 ])
25310   , -64457.2    , array([ 0.257114   ,  0.273932   ,  5.91201e-32,  0.0314765  ,  0.00233718 ])
25311   , -64460      , array([ 0.256857   ,  0.274206   ,  5.91201e-32,  0.0314765  ,  0.00233718 ])
25312   , -64452.5    , array([ 0.256857   ,  0.273932   ,  5.91792e-32,  0.0314765  ,  0.00233718 ])
25313   , -64452.5    , array([ 0.256857   ,  0.273932   ,  5.91201e-32,  0.031508   ,  0.00233718 ])
25314   , -64440.1    , array([ 0.256857   ,  0.273932   ,  5.91201e-32,  0.0314765  ,  0.00233952 ])
25315   , -64452.5    , array([ 0.256857   ,  0.273932   ,  5.91201e-32,  0.0314765  ,  0.00233718 ])
25316   , -42301.9    , array([ 0.187913   ,  0.165987   ,  5.91201e-32,  0.0314742  ,  0.00530349 ])
25317   , -42301.9    , array([ 0.187913   ,  0.165987   ,  5.91201e-32,  0.0314742  ,  0.00530349 ])
25318   , -42307.2    , array([ 0.188101   ,  0.165987   ,  5.91201e-32,  0.0314742  ,  0.00530349 ])
25319   , -42318.2    , array([ 0.187913   ,  0.166153   ,  5.91201e-32,  0.0314742  ,  0.00530349 ])
25320   , -42301.9    , array([ 0.187913   ,  0.165987   ,  5.91792e-32,  0.0314742  ,  0.00530349 ])
25321   , -42301.9    , array([ 0.187913   ,  0.165987   ,  5.91201e-32,  0.0315057  ,  0.00530349 ])
25322   , -42279.9    , array([ 0.187913   ,  0.165987   ,  5.91201e-32,  0.0314742  ,  0.0053088  ])
25323   , -281934     , array([ 0.05383    ,  0.0223767  ,  5.91201e-32,  0.0314649  ,  0.140617   ])
25324   , -281934     , array([ 0.05383    ,  0.0223767  ,  5.91201e-32,  0.0314649  ,  0.140617   ])
25325   , -281822     , array([ 0.0538838  ,  0.0223767  ,  5.91201e-32,  0.0314649  ,  0.140617   ])
25326   , -281826     , array([ 0.05383    ,  0.0223991  ,  5.91201e-32,  0.0314649  ,  0.140617   ])
25327   , -281934     , array([ 0.05383    ,  0.0223767  ,  5.91792e-32,  0.0314649  ,  0.140617   ])
25328   , -281913     , array([ 0.05383    ,  0.0223767  ,  5.91201e-32,  0.0314963  ,  0.140617   ])
25329   , -282111     , array([ 0.05383    ,  0.0223767  ,  5.91201e-32,  0.0314649  ,  0.140758   ])
25330   , -17539      , array([ 0.139041   ,  0.102421   ,  5.91201e-32,  0.0314719  ,  0.0116825  ])
25331   , -17539      , array([ 0.139041   ,  0.102421   ,  5.91201e-32,  0.0314719  ,  0.0116825  ])
25332   , -17533.6    , array([ 0.13918    ,  0.102421   ,  5.91201e-32,  0.0314719  ,  0.0116825  ])
25333   , -17556.2    , array([ 0.139041   ,  0.102523   ,  5.91201e-32,  0.0314719  ,  0.0116825  ])
25334   , -17539      , array([ 0.139041   ,  0.102421   ,  5.91792e-32,  0.0314719  ,  0.0116825  ])
25335   , -17539      , array([ 0.139041   ,  0.102421   ,  5.91201e-32,  0.0315034  ,  0.0116825  ])
25336   , -17526.1    , array([ 0.139041   ,  0.102421   ,  5.91201e-32,  0.0314719  ,  0.0116941  ])
25337   , -13181.5    , array([ 0.120499   ,  0.0814235  ,  5.91201e-32,  0.0314709  ,  0.0170024  ])
25338   , -13181.5    , array([ 0.120499   ,  0.0814235  ,  5.91201e-32,  0.0314709  ,  0.0170024  ])
25339   , -13167.5    , array([ 0.120619   ,  0.0814235  ,  5.91201e-32,  0.0314709  ,  0.0170024  ])
25340   , -13192.7    , array([ 0.120499   ,  0.0815049  ,  5.91201e-32,  0.0314709  ,  0.0170024  ])
25341   , -13181.5    , array([ 0.120499   ,  0.0814235  ,  5.91792e-32,  0.0314709  ,  0.0170024  ])
25342   , -13181.5    , array([ 0.120499   ,  0.0814235  ,  5.91201e-32,  0.0315024  ,  0.0170024  ])
25343   , -13182.5    , array([ 0.120499   ,  0.0814235  ,  5.91201e-32,  0.0314709  ,  0.0170194  ])
25351   , -13163.6    , array([ 0.120546   ,  0.0813276  ,  5.91201e-32,  0.0314709  ,  0.0170173  ])
25352   , -13163.6    , array([ 0.120546   ,  0.0813276  ,  5.91201e-32,  0.0314709  ,  0.0170173  ])
25353   , -13149.6    , array([ 0.120667   ,  0.0813276  ,  5.91201e-32,  0.0314709  ,  0.0170173  ])
25354   , -13174.8    , array([ 0.120546   ,  0.081409   ,  5.91201e-32,  0.0314709  ,  0.0170173  ])
25355   , -13163.6    , array([ 0.120546   ,  0.0813276  ,  5.91792e-32,  0.0314709  ,  0.0170173  ])
25356   , -13163.6    , array([ 0.120546   ,  0.0813276  ,  5.91201e-32,  0.0315023  ,  0.0170173  ])
25357   , -13164.7    , array([ 0.120546   ,  0.0813276  ,  5.91201e-32,  0.0314709  ,  0.0170343  ])
25358   , -12855.8    , array([ 0.121398   ,  0.0796388  ,  5.91201e-32,  0.0314706  ,  0.0172856  ])
