45839   , -68811      , array([ 0.0164837  ,  0.910218   ,  5.04965e-53,  3.14536e-20,  0.00025754 ])
45840   , -68818.8    , array([ 0.0165001  ,  0.910218   ,  5.04965e-53,  3.14536e-20,  0.00025754 ])
45841   , -68811.2    , array([ 0.0164837  ,  0.911129   ,  5.04965e-53,  3.14536e-20,  0.00025754 ])
45842   , -68811      , array([ 0.0164837  ,  0.910218   ,  5.0547e-53 ,  3.14536e-20,  0.00025754 ])
45843   , -68811      , array([ 0.0164837  ,  0.910218   ,  5.04965e-53,  3.14851e-20,  0.00025754 ])
45844   , -68802.8    , array([ 0.0164837  ,  0.910218   ,  5.04965e-53,  3.14536e-20,  0.000257798])
45845   , -68811      , array([ 0.0164837  ,  0.910218   ,  5.04965e-53,  3.14536e-20,  0.00025754 ])
45846   , -55734.4    , array([ 0.00817951 ,  0.888592   ,  5.04965e-53,  3.14536e-20,  0.000532801])
45847   , -55734.4    , array([ 0.00817951 ,  0.888592   ,  5.04965e-53,  3.14536e-20,  0.000532801])
45848   , -55740.5    , array([ 0.00818769 ,  0.888592   ,  5.04965e-53,  3.14536e-20,  0.000532801])
45849   , -55734.7    , array([ 0.00817951 ,  0.889481   ,  5.04965e-53,  3.14536e-20,  0.000532801])
45850   , -55734.4    , array([ 0.00817951 ,  0.888592   ,  5.0547e-53 ,  3.14536e-20,  0.000532801])
45851   , -55734.4    , array([ 0.00817951 ,  0.888592   ,  5.04965e-53,  3.14851e-20,  0.000532801])
45852   , -55727.7    , array([ 0.00817951 ,  0.888592   ,  5.04965e-53,  3.14536e-20,  0.000533334])
45860   , -55733.2    , array([ 0.00818284 ,  0.888057   ,  5.04965e-53,  3.14536e-20,  0.000533076])
45861   , -55733.2    , array([ 0.00818284 ,  0.888057   ,  5.04965e-53,  3.14536e-20,  0.000533076])
45862   , -55739.4    , array([ 0.00819103 ,  0.888057   ,  5.04965e-53,  3.14536e-20,  0.000533076])
45863   , -55733.6    , array([ 0.00818284 ,  0.888945   ,  5.04965e-53,  3.14536e-20,  0.000533076])
45864   , -55733.2    , array([ 0.00818284 ,  0.888057   ,  5.0547e-53 ,  3.14536e-20,  0.000533076])
45865   , -55733.2    , array([ 0.00818284 ,  0.888057   ,  5.04965e-53,  3.14851e-20,  0.000533076])
45866   , -55726.5    , array([ 0.00818284 ,  0.888057   ,  5.04965e-53,  3.14536e-20,  0.00053361 ])
45867   , -55732      , array([ 0.00818617 ,  0.887522   ,  5.04965e-53,  3.14536e-20,  0.000533352])
45868   , -55732      , array([ 0.00818617 ,  0.887522   ,  5.04965e-53,  3.14536e-20,  0.000533352])
45869   , -55738.2    , array([ 0.00819436 ,  0.887522   ,  5.04965e-53,  3.14536e-20,  0.000533352])
45870   , -55732.4    , array([ 0.00818617 ,  0.88841    ,  5.04965e-53,  3.14536e-20,  0.000533352])
45871   , -55732      , array([ 0.00818617 ,  0.887522   ,  5.0547e-53 ,  3.14536e-20,  0.000533352])
45872   , -55732      , array([ 0.00818617 ,  0.887522   ,  5.04965e-53,  3.14851e-20,  0.000533352])
45873   , -55725.3    , array([ 0.00818617 ,  0.887522   ,  5.04965e-53,  3.14536e-20,  0.000533885])
45881   , -55731.7    , array([ 0.008187   ,  0.887388   ,  5.04965e-53,  3.14536e-20,  0.000533421])
45882   , -55731.7    , array([ 0.008187   ,  0.887388   ,  5.04965e-53,  3.14536e-20,  0.000533421])
45883   , -55737.9    , array([ 0.0081952  ,  0.887388   ,  5.04965e-53,  3.14536e-20,  0.000533421])
45884   , -55732.1    , array([ 0.008187   ,  0.888276   ,  5.04965e-53,  3.14536e-20,  0.000533421])
45885   , -55731.7    , array([ 0.008187   ,  0.887388   ,  5.0547e-53 ,  3.14536e-20,  0.000533421])
45886   , -55731.7    , array([ 0.008187   ,  0.887388   ,  5.04965e-53,  3.14851e-20,  0.000533421])
45887   , -55725.1    , array([ 0.008187   ,  0.887388   ,  5.04965e-53,  3.14536e-20,  0.000533954])
45888   , -55731.4    , array([ 0.00818784 ,  0.887254   ,  5.04965e-53,  3.14536e-20,  0.000533489])
45889   , -55731.4    , array([ 0.00818784 ,  0.887254   ,  5.04965e-53,  3.14536e-20,  0.000533489])
45890   , -55737.6    , array([ 0.00819603 ,  0.887254   ,  5.04965e-53,  3.14536e-20,  0.000533489])
45891   , -55731.8    , array([ 0.00818784 ,  0.888142   ,  5.04965e-53,  3.14536e-20,  0.000533489])
45892   , -55731.4    , array([ 0.00818784 ,  0.887254   ,  5.0547e-53 ,  3.14536e-20,  0.000533489])
45893   , -55731.4    , array([ 0.00818784 ,  0.887254   ,  5.04965e-53,  3.14851e-20,  0.000533489])
45894   , -55724.8    , array([ 0.00818784 ,  0.887254   ,  5.04965e-53,  3.14536e-20,  0.000534023])
45895   , -8537.92    , array([ 0.0825384  ,  0.0290276  ,  5.04965e-53,  3.14536e-20,  0.0099876  ])
45896   , -8537.92    , array([ 0.0825384  ,  0.0290276  ,  5.04965e-53,  3.14536e-20,  0.0099876  ])
45897   , -8526.85    , array([ 0.082621   ,  0.0290276  ,  5.04965e-53,  3.14536e-20,  0.0099876  ])
45898   , -8539.32    , array([ 0.0825384  ,  0.0290567  ,  5.04965e-53,  3.14536e-20,  0.0099876  ])
45899   , -8537.92    , array([ 0.0825384  ,  0.0290276  ,  5.0547e-53 ,  3.14536e-20,  0.0099876  ])
45900   , -8537.92    , array([ 0.0825384  ,  0.0290276  ,  5.04965e-53,  3.14851e-20,  0.0099876  ])
45901   , -8546.54    , array([ 0.0825384  ,  0.0290276  ,  5.04965e-53,  3.14536e-20,  0.00999759 ])
45909   , -8525.67    , array([ 0.0830767  ,  0.0288036  ,  5.04965e-53,  3.14536e-20,  0.0100662  ])
45910   , -8525.67    , array([ 0.0830767  ,  0.0288036  ,  5.04965e-53,  3.14536e-20,  0.0100662  ])
45911   , -8514.63    , array([ 0.0831598  ,  0.0288036  ,  5.04965e-53,  3.14536e-20,  0.0100662  ])
45912   , -8526.68    , array([ 0.0830767  ,  0.0288324  ,  5.04965e-53,  3.14536e-20,  0.0100662  ])
45913   , -8525.67    , array([ 0.0830767  ,  0.0288036  ,  5.0547e-53 ,  3.14536e-20,  0.0100662  ])
45914   , -8525.67    , array([ 0.0830767  ,  0.0288036  ,  5.04965e-53,  3.14851e-20,  0.0100662  ])
45915   , -8534.65    , array([ 0.0830767  ,  0.0288036  ,  5.04965e-53,  3.14536e-20,  0.0100763  ])
45916   , -8498.04    , array([ 0.0873783  ,  0.030349   ,  5.04965e-53,  3.14536e-20,  0.0106185  ])
45917   , -8498.04    , array([ 0.0873783  ,  0.030349   ,  5.04965e-53,  3.14536e-20,  0.0106185  ])
45918   , -8487       , array([ 0.0874658  ,  0.030349   ,  5.04965e-53,  3.14536e-20,  0.0106185  ])
45919   , -8499.03    , array([ 0.0873783  ,  0.0303794  ,  5.04965e-53,  3.14536e-20,  0.0106185  ])
45920   , -8498.04    , array([ 0.0873783  ,  0.030349   ,  5.0547e-53 ,  3.14536e-20,  0.0106185  ])
45921   , -8498.04    , array([ 0.0873783  ,  0.030349   ,  5.04965e-53,  3.14851e-20,  0.0106185  ])
45922   , -8507.01    , array([ 0.0873783  ,  0.030349   ,  5.04965e-53,  3.14536e-20,  0.0106291  ])
45923   , -8368.01    , array([ 0.106931   ,  0.0374058  ,  5.04965e-53,  3.14536e-20,  0.0131476  ])
45924   , -8368.01    , array([ 0.106931   ,  0.0374058  ,  5.04965e-53,  3.14536e-20,  0.0131476  ])
45925   , -8356.96    , array([ 0.107038   ,  0.0374058  ,  5.04965e-53,  3.14536e-20,  0.0131476  ])
45926   , -8368.93    , array([ 0.106931   ,  0.0374432  ,  5.04965e-53,  3.14536e-20,  0.0131476  ])
45927   , -8368.01    , array([ 0.106931   ,  0.0374058  ,  5.0547e-53 ,  3.14536e-20,  0.0131476  ])
45928   , -8368.01    , array([ 0.106931   ,  0.0374058  ,  5.04965e-53,  3.14851e-20,  0.0131476  ])
45929   , -8376.9     , array([ 0.106931   ,  0.0374058  ,  5.04965e-53,  3.14536e-20,  0.0131607  ])
45930   , -7615.13    , array([ 0.239826   ,  0.0863208  ,  5.04965e-53,  3.14536e-20,  0.0309017  ])
45931   , -7615.13    , array([ 0.239826   ,  0.0863208  ,  5.04965e-53,  3.14536e-20,  0.0309017  ])
45932   , -7604.49    , array([ 0.240066   ,  0.0863208  ,  5.04965e-53,  3.14536e-20,  0.0309017  ])
45933   , -7615.79    , array([ 0.239826   ,  0.0864072  ,  5.04965e-53,  3.14536e-20,  0.0309017  ])
45934   , -7615.13    , array([ 0.239826   ,  0.0863208  ,  5.0547e-53 ,  3.14536e-20,  0.0309017  ])
45935   , -7615.13    , array([ 0.239826   ,  0.0863208  ,  5.04965e-53,  3.14851e-20,  0.0309017  ])
45936   , -7623.64    , array([ 0.239826   ,  0.0863208  ,  5.04965e-53,  3.14536e-20,  0.0309326  ])
45937   , -39439.4    , array([ 6.06837    ,  2.44805    ,  5.04965e-53,  3.14536e-20,  0.943037   ])
45938   , -39439.4    , array([ 6.06837    ,  2.44805    ,  5.04965e-53,  3.14536e-20,  0.943037   ])
45939   , -39438      , array([ 6.07444    ,  2.44805    ,  5.04965e-53,  3.14536e-20,  0.943037   ])
45940   , -39440.9    , array([ 6.06837    ,  2.4505     ,  5.04965e-53,  3.14536e-20,  0.943037   ])
45941   , -39439.4    , array([ 6.06837    ,  2.44805    ,  5.0547e-53 ,  3.14536e-20,  0.943037   ])
45942   , -39439.4    , array([ 6.06837    ,  2.44805    ,  5.04965e-53,  3.14851e-20,  0.943037   ])
45943   , -39466      , array([ 6.06837    ,  2.44805    ,  5.04965e-53,  3.14536e-20,  0.943981   ])
45944   , -7397.72    , array([ 0.306128   ,  0.111138   ,  5.04965e-53,  3.14536e-20,  0.0400071  ])
45945   , -7397.72    , array([ 0.306128   ,  0.111138   ,  5.04965e-53,  3.14536e-20,  0.0400071  ])
45946   , -7387.37    , array([ 0.306435   ,  0.111138   ,  5.04965e-53,  3.14536e-20,  0.0400071  ])
45947   , -7398.32    , array([ 0.306128   ,  0.11125    ,  5.04965e-53,  3.14536e-20,  0.0400071  ])
45948   , -7397.72    , array([ 0.306128   ,  0.111138   ,  5.0547e-53 ,  3.14536e-20,  0.0400071  ])
45949   , -7397.72    , array([ 0.306128   ,  0.111138   ,  5.04965e-53,  3.14851e-20,  0.0400071  ])
45950   , -7406.25    , array([ 0.306128   ,  0.111138   ,  5.04965e-53,  3.14536e-20,  0.0400471  ])
45951   , -7278.06    , array([ 0.376791   ,  0.137799   ,  5.04965e-53,  3.14536e-20,  0.0498385  ])
45952   , -7278.06    , array([ 0.376791   ,  0.137799   ,  5.04965e-53,  3.14536e-20,  0.0498385  ])
45953   , -7268.02    , array([ 0.377168   ,  0.137799   ,  5.04965e-53,  3.14536e-20,  0.0498385  ])
45954   , -7278.61    , array([ 0.376791   ,  0.137937   ,  5.04965e-53,  3.14536e-20,  0.0498385  ])
45955   , -7278.06    , array([ 0.376791   ,  0.137799   ,  5.0547e-53 ,  3.14536e-20,  0.0498385  ])
45956   , -7278.06    , array([ 0.376791   ,  0.137799   ,  5.04965e-53,  3.14851e-20,  0.0498385  ])
45957   , -7286.7     , array([ 0.376791   ,  0.137799   ,  5.04965e-53,  3.14536e-20,  0.0498884  ])
45958   , -36476.8    , array([ 5.69852    ,  2.26745    ,  5.04965e-53,  3.14536e-20,  0.841952   ])
45959   , -36476.8    , array([ 5.69852    ,  2.26745    ,  5.04965e-53,  3.14536e-20,  0.841952   ])
45960   , -36475.7    , array([ 5.70423    ,  2.26745    ,  5.04965e-53,  3.14536e-20,  0.841952   ])
45961   , -36479      , array([ 5.69852    ,  2.26972    ,  5.04965e-53,  3.14536e-20,  0.841952   ])
45962   , -36476.8    , array([ 5.69852    ,  2.26745    ,  5.0547e-53 ,  3.14536e-20,  0.841952   ])
45963   , -36476.8    , array([ 5.69852    ,  2.26745    ,  5.04965e-53,  3.14851e-20,  0.841952   ])
45964   , -36501.5    , array([ 5.69852    ,  2.26745    ,  5.04965e-53,  3.14536e-20,  0.842794   ])
45965   , -7246.82    , array([ 0.4068     ,  0.149128   ,  5.04965e-53,  3.14536e-20,  0.053976   ])
45966   , -7246.82    , array([ 0.4068     ,  0.149128   ,  5.04965e-53,  3.14536e-20,  0.053976   ])
45967   , -7236.93    , array([ 0.407207   ,  0.149128   ,  5.04965e-53,  3.14536e-20,  0.053976   ])
45968   , -7247.38    , array([ 0.4068     ,  0.149277   ,  5.04965e-53,  3.14536e-20,  0.053976   ])
45969   , -7246.82    , array([ 0.4068     ,  0.149128   ,  5.0547e-53 ,  3.14536e-20,  0.053976   ])
45970   , -7246.82    , array([ 0.4068     ,  0.149128   ,  5.04965e-53,  3.14851e-20,  0.053976   ])
45971   , -7255.52    , array([ 0.4068     ,  0.149128   ,  5.04965e-53,  3.14536e-20,  0.05403    ])
45972   , -7183.9     , array([ 0.410641   ,  0.149726   ,  5.04965e-53,  3.14536e-20,  0.0541477  ])
45973   , -7183.9     , array([ 0.410641   ,  0.149726   ,  5.04965e-53,  3.14536e-20,  0.0541477  ])
45974   , -7174.11    , array([ 0.411052   ,  0.149726   ,  5.04965e-53,  3.14536e-20,  0.0541477  ])
45975   , -7184.47    , array([ 0.410641   ,  0.149876   ,  5.04965e-53,  3.14536e-20,  0.0541477  ])
45976   , -7183.9     , array([ 0.410641   ,  0.149726   ,  5.0547e-53 ,  3.14536e-20,  0.0541477  ])
45977   , -7183.9     , array([ 0.410641   ,  0.149726   ,  5.04965e-53,  3.14851e-20,  0.0541477  ])
45978   , -7192.52    , array([ 0.410641   ,  0.149726   ,  5.04965e-53,  3.14536e-20,  0.0542019  ])
45979   , -6939.05    , array([ 0.42637    ,  0.152144   ,  5.04965e-53,  3.14536e-20,  0.0548399  ])
45980   , -6939.05    , array([ 0.42637    ,  0.152144   ,  5.04965e-53,  3.14536e-20,  0.0548399  ])
45981   , -6929.64    , array([ 0.426796   ,  0.152144   ,  5.04965e-53,  3.14536e-20,  0.0548399  ])
45982   , -6939.66    , array([ 0.42637    ,  0.152296   ,  5.04965e-53,  3.14536e-20,  0.0548399  ])
45983   , -6939.05    , array([ 0.42637    ,  0.152144   ,  5.0547e-53 ,  3.14536e-20,  0.0548399  ])
45984   , -6939.05    , array([ 0.42637    ,  0.152144   ,  5.04965e-53,  3.14851e-20,  0.0548399  ])
45985   , -6947.35    , array([ 0.42637    ,  0.152144   ,  5.04965e-53,  3.14536e-20,  0.0548948  ])
45986   , -6065.5     , array([ 0.495546   ,  0.162211   ,  5.04965e-53,  3.14536e-20,  0.0576984  ])
45987   , -6065.5     , array([ 0.495546   ,  0.162211   ,  5.04965e-53,  3.14536e-20,  0.0576984  ])
45988   , -6057.53    , array([ 0.496042   ,  0.162211   ,  5.04965e-53,  3.14536e-20,  0.0576984  ])
45989   , -6066.31    , array([ 0.495546   ,  0.162374   ,  5.04965e-53,  3.14536e-20,  0.0576984  ])
45990   , -6065.5     , array([ 0.495546   ,  0.162211   ,  5.0547e-53 ,  3.14536e-20,  0.0576984  ])
45991   , -6065.5     , array([ 0.495546   ,  0.162211   ,  5.04965e-53,  3.14851e-20,  0.0576984  ])
45992   , -6072.57    , array([ 0.495546   ,  0.162211   ,  5.04965e-53,  3.14536e-20,  0.0577561  ])
45993   , -4139.52    , array([ 0.549627   ,  0.134981   ,  5.04965e-53,  3.14536e-20,  0.0472489  ])
45994   , -4139.52    , array([ 0.549627   ,  0.134981   ,  5.04965e-53,  3.14536e-20,  0.0472489  ])
45995   , -4134.41    , array([ 0.550177   ,  0.134981   ,  5.04965e-53,  3.14536e-20,  0.0472489  ])
45996   , -4140.37    , array([ 0.549627   ,  0.135116   ,  5.04965e-53,  3.14536e-20,  0.0472489  ])
45997   , -4139.52    , array([ 0.549627   ,  0.134981   ,  5.0547e-53 ,  3.14536e-20,  0.0472489  ])
45998   , -4139.52    , array([ 0.549627   ,  0.134981   ,  5.04965e-53,  3.14851e-20,  0.0472489  ])
45999   , -4143.71    , array([ 0.549627   ,  0.134981   ,  5.04965e-53,  3.14536e-20,  0.0472961  ])
46000   , -2366.7     , array([ 0.671778   ,  0.0959674  ,  5.04965e-53,  3.14536e-20,  0.0338606  ])
46001   , -2366.7     , array([ 0.671778   ,  0.0959674  ,  5.04965e-53,  3.14536e-20,  0.0338606  ])
46002   , -2364.68    , array([ 0.67245    ,  0.0959674  ,  5.04965e-53,  3.14536e-20,  0.0338606  ])
