90751   , -4255.71    , array([ 0.806402   ,  0.0604518  ,  0.000129168,  1.31642e-46,  0.0318621  ])
90752   , -4254.59    , array([ 0.807209   ,  0.0604518  ,  0.000129168,  1.31642e-46,  0.0318621  ])
90753   , -4243.74    , array([ 0.806402   ,  0.0605123  ,  0.000129168,  1.31642e-46,  0.0318621  ])
90754   , -4255.71    , array([ 0.806402   ,  0.0604518  ,  0.000129298,  1.31642e-46,  0.0318621  ])
90755   , -4255.71    , array([ 0.806402   ,  0.0604518  ,  0.000129168,  1.31774e-46,  0.0318621  ])
90756   , -4268.4     , array([ 0.806402   ,  0.0604518  ,  0.000129168,  1.31642e-46,  0.0318939  ])
90757   , -4255.71    , array([ 0.806402   ,  0.0604518  ,  0.000129168,  1.31642e-46,  0.0318621  ])
90758   , -14505.4    , array([ 0.860467   ,  0.120712   ,  0.000129169,  1.31642e-46,  0.015305   ])
90759   , -14505.4    , array([ 0.860467   ,  0.120712   ,  0.000129169,  1.31642e-46,  0.015305   ])
90760   , -14506.5    , array([ 0.861327   ,  0.120712   ,  0.000129169,  1.31642e-46,  0.015305   ])
90761   , -14526.8    , array([ 0.860467   ,  0.120832   ,  0.000129169,  1.31642e-46,  0.015305   ])
90762   , -14505.4    , array([ 0.860467   ,  0.120712   ,  0.000129298,  1.31642e-46,  0.015305   ])
90763   , -14505.4    , array([ 0.860467   ,  0.120712   ,  0.000129169,  1.31774e-46,  0.015305   ])
90764   , -14483      , array([ 0.860467   ,  0.120712   ,  0.000129169,  1.31642e-46,  0.0153203  ])
90765   , -1807.16    , array([ 0.820989   ,  0.073178   ,  0.000129168,  1.31642e-46,  0.0260197  ])
90766   , -1807.16    , array([ 0.820989   ,  0.073178   ,  0.000129168,  1.31642e-46,  0.0260197  ])
90767   , -1806.42    , array([ 0.82181    ,  0.073178   ,  0.000129168,  1.31642e-46,  0.0260197  ])
90768   , -1807.21    , array([ 0.820989   ,  0.0732512  ,  0.000129168,  1.31642e-46,  0.0260197  ])
90769   , -1807.16    , array([ 0.820989   ,  0.073178   ,  0.000129298,  1.31642e-46,  0.0260197  ])
90770   , -1807.16    , array([ 0.820989   ,  0.073178   ,  0.000129168,  1.31774e-46,  0.0260197  ])
90771   , -1807.67    , array([ 0.820989   ,  0.073178   ,  0.000129168,  1.31642e-46,  0.0260457  ])
90779   , -1807.12    , array([ 0.821024   ,  0.0731767  ,  0.000129168,  1.31642e-46,  0.0260193  ])
90780   , -1807.12    , array([ 0.821024   ,  0.0731767  ,  0.000129168,  1.31642e-46,  0.0260193  ])
90781   , -1806.38    , array([ 0.821846   ,  0.0731767  ,  0.000129168,  1.31642e-46,  0.0260193  ])
90782   , -1807.17    , array([ 0.821024   ,  0.0732499  ,  0.000129168,  1.31642e-46,  0.0260193  ])
90783   , -1807.12    , array([ 0.821024   ,  0.0731767  ,  0.000129298,  1.31642e-46,  0.0260193  ])
90784   , -1807.12    , array([ 0.821024   ,  0.0731767  ,  0.000129168,  1.31774e-46,  0.0260193  ])
90785   , -1807.63    , array([ 0.821024   ,  0.0731767  ,  0.000129168,  1.31642e-46,  0.0260453  ])
