92495   , -79067.5    , array([ 1.15801    ,  0.688852   ,  5.75527e-13,  8.81014e-31,  9.1206e-06 ])
92496   , -79067.5    , array([ 1.15916    ,  0.688852   ,  5.75527e-13,  8.81014e-31,  9.1206e-06 ])
92497   , -79067.5    , array([ 1.15801    ,  0.689542   ,  5.75527e-13,  8.81014e-31,  9.1206e-06 ])
92498   , -79067.5    , array([ 1.15801    ,  0.688852   ,  5.76103e-13,  8.81014e-31,  9.1206e-06 ])
92499   , -79067.5    , array([ 1.15801    ,  0.688852   ,  5.75527e-13,  8.81896e-31,  9.1206e-06 ])
92500   , -79067.4    , array([ 1.15801    ,  0.688852   ,  5.75527e-13,  8.81014e-31,  9.12973e-06])
92501   , -79067.5    , array([ 1.15801    ,  0.688852   ,  5.75527e-13,  8.81014e-31,  9.1206e-06 ])
92502   , -79010.2    , array([ 0.920576   ,  0.390518   ,  5.75527e-13,  8.81014e-31,  2.03659e-05])
92503   , -79010.2    , array([ 0.920576   ,  0.390518   ,  5.75527e-13,  8.81014e-31,  2.03659e-05])
92504   , -79010.2    , array([ 0.921497   ,  0.390518   ,  5.75527e-13,  8.81014e-31,  2.03659e-05])
92505   , -79010.3    , array([ 0.920576   ,  0.390909   ,  5.75527e-13,  8.81014e-31,  2.03659e-05])
92506   , -79010.2    , array([ 0.920576   ,  0.390518   ,  5.76103e-13,  8.81014e-31,  2.03659e-05])
92507   , -79010.2    , array([ 0.920576   ,  0.390518   ,  5.75527e-13,  8.81896e-31,  2.03659e-05])
92508   , -79010.1    , array([ 0.920576   ,  0.390518   ,  5.75527e-13,  8.81014e-31,  2.03863e-05])
92509   , -65166.5    , array([ 0.367667   ,  0.0403366  ,  5.75527e-13,  8.81014e-31,  0.00050632 ])
92510   , -65166.5    , array([ 0.367667   ,  0.0403366  ,  5.75527e-13,  8.81014e-31,  0.00050632 ])
92511   , -65167.3    , array([ 0.368035   ,  0.0403366  ,  5.75527e-13,  8.81014e-31,  0.00050632 ])
92512   , -65177.9    , array([ 0.367667   ,  0.040377   ,  5.75527e-13,  8.81014e-31,  0.00050632 ])
92513   , -65166.5    , array([ 0.367667   ,  0.0403366  ,  5.76103e-13,  8.81014e-31,  0.00050632 ])
92514   , -65166.5    , array([ 0.367667   ,  0.0403366  ,  5.75527e-13,  8.81896e-31,  0.00050632 ])
92515   , -65154.2    , array([ 0.367667   ,  0.0403366  ,  5.75527e-13,  8.81014e-31,  0.000506826])
92523   , -65050.3    , array([ 0.367075   ,  0.0401762  ,  5.75527e-13,  8.81014e-31,  0.000509185])
92524   , -65050.3    , array([ 0.367075   ,  0.0401762  ,  5.75527e-13,  8.81014e-31,  0.000509185])
92525   , -65051.2    , array([ 0.367443   ,  0.0401762  ,  5.75527e-13,  8.81014e-31,  0.000509185])
92526   , -65061.8    , array([ 0.367075   ,  0.0402164  ,  5.75527e-13,  8.81014e-31,  0.000509185])
92527   , -65050.3    , array([ 0.367075   ,  0.0401762  ,  5.76103e-13,  8.81014e-31,  0.000509185])
92528   , -65050.3    , array([ 0.367075   ,  0.0401762  ,  5.75527e-13,  8.81896e-31,  0.000509185])
92529   , -65038      , array([ 0.367075   ,  0.0401762  ,  5.75527e-13,  8.81014e-31,  0.000509694])
92530   , -64932.6    , array([ 0.36648    ,  0.0400153  ,  5.75527e-13,  8.81014e-31,  0.000512085])
92531   , -64932.6    , array([ 0.36648    ,  0.0400153  ,  5.75527e-13,  8.81014e-31,  0.000512085])
92532   , -64933.5    , array([ 0.366847   ,  0.0400153  ,  5.75527e-13,  8.81014e-31,  0.000512085])
92533   , -64944.2    , array([ 0.36648    ,  0.0400553  ,  5.75527e-13,  8.81014e-31,  0.000512085])
92534   , -64932.6    , array([ 0.36648    ,  0.0400153  ,  5.76103e-13,  8.81014e-31,  0.000512085])
92535   , -64932.6    , array([ 0.36648    ,  0.0400153  ,  5.75527e-13,  8.81896e-31,  0.000512085])
92536   , -64920.2    , array([ 0.36648    ,  0.0400153  ,  5.75527e-13,  8.81014e-31,  0.000512597])
92544   , -64902.9    , array([ 0.366331   ,  0.0399749  ,  5.75527e-13,  8.81014e-31,  0.000512817])
92545   , -64902.9    , array([ 0.366331   ,  0.0399749  ,  5.75527e-13,  8.81014e-31,  0.000512817])
92546   , -64903.7    , array([ 0.366697   ,  0.0399749  ,  5.75527e-13,  8.81014e-31,  0.000512817])
92547   , -64914.5    , array([ 0.366331   ,  0.0400149  ,  5.75527e-13,  8.81014e-31,  0.000512817])
92548   , -64902.9    , array([ 0.366331   ,  0.0399749  ,  5.76103e-13,  8.81014e-31,  0.000512817])
92549   , -64902.9    , array([ 0.366331   ,  0.0399749  ,  5.75527e-13,  8.81896e-31,  0.000512817])
92550   , -64890.5    , array([ 0.366331   ,  0.0399749  ,  5.75527e-13,  8.81014e-31,  0.00051333 ])
92551   , -64873      , array([ 0.366181   ,  0.0399345  ,  5.75527e-13,  8.81014e-31,  0.000513552])
92552   , -64873      , array([ 0.366181   ,  0.0399345  ,  5.75527e-13,  8.81014e-31,  0.000513552])
92553   , -64873.8    , array([ 0.366547   ,  0.0399345  ,  5.75527e-13,  8.81014e-31,  0.000513552])
92554   , -64884.6    , array([ 0.366181   ,  0.0399745  ,  5.75527e-13,  8.81014e-31,  0.000513552])
92555   , -64873      , array([ 0.366181   ,  0.0399345  ,  5.76103e-13,  8.81014e-31,  0.000513552])
92556   , -64873      , array([ 0.366181   ,  0.0399345  ,  5.75527e-13,  8.81896e-31,  0.000513552])
92557   , -64860.6    , array([ 0.366181   ,  0.0399345  ,  5.75527e-13,  8.81014e-31,  0.000514066])
92558   , -99366.7    , array([ 0.146427   ,  0.00413728 ,  5.75527e-13,  8.81014e-31,  0.0127132  ])
92559   , -99366.7    , array([ 0.146427   ,  0.00413728 ,  5.75527e-13,  8.81014e-31,  0.0127132  ])
92560   , -99363.8    , array([ 0.146573   ,  0.00413728 ,  5.75527e-13,  8.81014e-31,  0.0127132  ])
92561   , -99252.3    , array([ 0.146427   ,  0.00414142 ,  5.75527e-13,  8.81014e-31,  0.0127132  ])
92562   , -99366.7    , array([ 0.146427   ,  0.00413728 ,  5.76103e-13,  8.81014e-31,  0.0127132  ])
92563   , -99366.7    , array([ 0.146427   ,  0.00413728 ,  5.75527e-13,  8.81896e-31,  0.0127132  ])
92564   , -99480.5    , array([ 0.146427   ,  0.00413728 ,  5.75527e-13,  8.81014e-31,  0.0127259  ])
92565   , -9682.79    , array([ 0.238642   ,  0.0138487  ,  5.75527e-13,  8.81014e-31,  0.00229928 ])
92566   , -9682.79    , array([ 0.238642   ,  0.0138487  ,  5.75527e-13,  8.81014e-31,  0.00229928 ])
92567   , -9683.17    , array([ 0.238881   ,  0.0138487  ,  5.75527e-13,  8.81014e-31,  0.00229928 ])
92568   , -9701.12    , array([ 0.238642   ,  0.0138626  ,  5.75527e-13,  8.81014e-31,  0.00229928 ])
92569   , -9682.79    , array([ 0.238642   ,  0.0138487  ,  5.76103e-13,  8.81014e-31,  0.00229928 ])
92570   , -9682.79    , array([ 0.238642   ,  0.0138487  ,  5.75527e-13,  8.81896e-31,  0.00229928 ])
92571   , -9664       , array([ 0.238642   ,  0.0138487  ,  5.75527e-13,  8.81014e-31,  0.00230158 ])
92572   , -2737.11    , array([ 0.205712   ,  0.00959176 ,  5.75527e-13,  8.81014e-31,  0.00386693 ])
92573   , -2737.11    , array([ 0.205712   ,  0.00959176 ,  5.75527e-13,  8.81014e-31,  0.00386693 ])
92574   , -2736.77    , array([ 0.205918   ,  0.00959176 ,  5.75527e-13,  8.81014e-31,  0.00386693 ])
92575   , -2732.18    , array([ 0.205712   ,  0.00960136 ,  5.75527e-13,  8.81014e-31,  0.00386693 ])
92576   , -2737.11    , array([ 0.205712   ,  0.00959176 ,  5.76103e-13,  8.81014e-31,  0.00386693 ])
92577   , -2737.11    , array([ 0.205712   ,  0.00959176 ,  5.75527e-13,  8.81896e-31,  0.00386693 ])
92578   , -2742.05    , array([ 0.205712   ,  0.00959176 ,  5.75527e-13,  8.81014e-31,  0.0038708  ])
92579   , -2359.59    , array([ 0.212262   ,  0.010365   ,  5.75527e-13,  8.81014e-31,  0.00346502 ])
92580   , -2359.59    , array([ 0.212262   ,  0.010365   ,  5.75527e-13,  8.81014e-31,  0.00346502 ])
92581   , -2359.37    , array([ 0.212475   ,  0.010365   ,  5.75527e-13,  8.81014e-31,  0.00346502 ])
92582   , -2360.5     , array([ 0.212262   ,  0.0103754  ,  5.75527e-13,  8.81014e-31,  0.00346502 ])
92583   , -2359.59    , array([ 0.212262   ,  0.010365   ,  5.76103e-13,  8.81014e-31,  0.00346502 ])
92584   , -2359.59    , array([ 0.212262   ,  0.010365   ,  5.75527e-13,  8.81896e-31,  0.00346502 ])
92585   , -2358.64    , array([ 0.212262   ,  0.010365   ,  5.75527e-13,  8.81014e-31,  0.00346849 ])
92586   , -2346.28    , array([ 0.211221   ,  0.0102397  ,  5.75527e-13,  8.81014e-31,  0.00352521 ])
92587   , -2346.28    , array([ 0.211221   ,  0.0102397  ,  5.75527e-13,  8.81014e-31,  0.00352521 ])
92588   , -2346.04    , array([ 0.211432   ,  0.0102397  ,  5.75527e-13,  8.81014e-31,  0.00352521 ])
92589   , -2346.3     , array([ 0.211221   ,  0.0102499  ,  5.75527e-13,  8.81014e-31,  0.00352521 ])
92590   , -2346.28    , array([ 0.211221   ,  0.0102397  ,  5.76103e-13,  8.81014e-31,  0.00352521 ])
92591   , -2346.28    , array([ 0.211221   ,  0.0102397  ,  5.75527e-13,  8.81896e-31,  0.00352521 ])
92592   , -2346.23    , array([ 0.211221   ,  0.0102397  ,  5.75527e-13,  8.81014e-31,  0.00352873 ])
92600   , -3044.12    , array([ 0.207827   ,  0.0093843  ,  5.75527e-13,  8.81014e-31,  0.00399154 ])
92601   , -3044.12    , array([ 0.207827   ,  0.0093843  ,  5.75527e-13,  8.81014e-31,  0.00399154 ])
92602   , -3043.76    , array([ 0.208035   ,  0.0093843  ,  5.75527e-13,  8.81014e-31,  0.00399154 ])
92603   , -3037.45    , array([ 0.207827   ,  0.00939369 ,  5.75527e-13,  8.81014e-31,  0.00399154 ])
92604   , -3044.12    , array([ 0.207827   ,  0.0093843  ,  5.76103e-13,  8.81014e-31,  0.00399154 ])
92605   , -3044.12    , array([ 0.207827   ,  0.0093843  ,  5.75527e-13,  8.81896e-31,  0.00399154 ])
92606   , -3050.78    , array([ 0.207827   ,  0.0093843  ,  5.75527e-13,  8.81014e-31,  0.00399553 ])
92607   , -2346.27    , array([ 0.21121    ,  0.010237   ,  5.75527e-13,  8.81014e-31,  0.00352653 ])
92608   , -2346.27    , array([ 0.21121    ,  0.010237   ,  5.75527e-13,  8.81014e-31,  0.00352653 ])
92609   , -2346.03    , array([ 0.211422   ,  0.010237   ,  5.75527e-13,  8.81014e-31,  0.00352653 ])
92610   , -2346.27    , array([ 0.21121    ,  0.0102472  ,  5.75527e-13,  8.81014e-31,  0.00352653 ])
92611   , -2346.27    , array([ 0.21121    ,  0.010237   ,  5.76103e-13,  8.81014e-31,  0.00352653 ])
92612   , -2346.27    , array([ 0.21121    ,  0.010237   ,  5.75527e-13,  8.81896e-31,  0.00352653 ])
92613   , -2346.24    , array([ 0.21121    ,  0.010237   ,  5.75527e-13,  8.81014e-31,  0.00353006 ])
92614   , -2346.24    , array([ 0.211221   ,  0.0102395  ,  5.75527e-13,  8.81014e-31,  0.00352738 ])
92615   , -2346.24    , array([ 0.211221   ,  0.0102395  ,  5.75527e-13,  8.81014e-31,  0.00352738 ])
92616   , -2346.01    , array([ 0.211432   ,  0.0102395  ,  5.75527e-13,  8.81014e-31,  0.00352738 ])
92617   , -2346.25    , array([ 0.211221   ,  0.0102497  ,  5.75527e-13,  8.81014e-31,  0.00352738 ])
92618   , -2346.24    , array([ 0.211221   ,  0.0102395  ,  5.76103e-13,  8.81014e-31,  0.00352738 ])
92619   , -2346.24    , array([ 0.211221   ,  0.0102395  ,  5.75527e-13,  8.81896e-31,  0.00352738 ])
92620   , -2346.22    , array([ 0.211221   ,  0.0102395  ,  5.75527e-13,  8.81014e-31,  0.00353091 ])
92621   , -2346.15    , array([ 0.211262   ,  0.0102494  ,  5.75527e-13,  8.81014e-31,  0.00353078 ])
92622   , -2346.15    , array([ 0.211262   ,  0.0102494  ,  5.75527e-13,  8.81014e-31,  0.00353078 ])
92623   , -2345.91    , array([ 0.211474   ,  0.0102494  ,  5.75527e-13,  8.81014e-31,  0.00353078 ])
92624   , -2346.16    , array([ 0.211262   ,  0.0102596  ,  5.75527e-13,  8.81014e-31,  0.00353078 ])
92625   , -2346.15    , array([ 0.211262   ,  0.0102494  ,  5.76103e-13,  8.81014e-31,  0.00353078 ])
92626   , -2346.15    , array([ 0.211262   ,  0.0102494  ,  5.75527e-13,  8.81896e-31,  0.00353078 ])
92627   , -2346.12    , array([ 0.211262   ,  0.0102494  ,  5.75527e-13,  8.81014e-31,  0.00353431 ])
92628   , -2345.77    , array([ 0.211429   ,  0.0102891  ,  5.75527e-13,  8.81014e-31,  0.00354442 ])
92629   , -2345.77    , array([ 0.211429   ,  0.0102891  ,  5.75527e-13,  8.81014e-31,  0.00354442 ])
92630   , -2345.53    , array([ 0.21164    ,  0.0102891  ,  5.75527e-13,  8.81014e-31,  0.00354442 ])
92631   , -2345.78    , array([ 0.211429   ,  0.0102994  ,  5.75527e-13,  8.81014e-31,  0.00354442 ])
92632   , -2345.77    , array([ 0.211429   ,  0.0102891  ,  5.76103e-13,  8.81014e-31,  0.00354442 ])
92633   , -2345.77    , array([ 0.211429   ,  0.0102891  ,  5.75527e-13,  8.81896e-31,  0.00354442 ])
92634   , -2345.74    , array([ 0.211429   ,  0.0102891  ,  5.75527e-13,  8.81014e-31,  0.00354797 ])
92635   , -2344.29    , array([ 0.212095   ,  0.0104495  ,  5.75527e-13,  8.81014e-31,  0.00359951 ])
92636   , -2344.29    , array([ 0.212095   ,  0.0104495  ,  5.75527e-13,  8.81014e-31,  0.00359951 ])
92637   , -2344.04    , array([ 0.212308   ,  0.0104495  ,  5.75527e-13,  8.81014e-31,  0.00359951 ])
92638   , -2344.3     , array([ 0.212095   ,  0.0104599  ,  5.75527e-13,  8.81014e-31,  0.00359951 ])
92639   , -2344.29    , array([ 0.212095   ,  0.0104495  ,  5.76103e-13,  8.81014e-31,  0.00359951 ])
92640   , -2344.29    , array([ 0.212095   ,  0.0104495  ,  5.75527e-13,  8.81896e-31,  0.00359951 ])
92641   , -2344.26    , array([ 0.212095   ,  0.0104495  ,  5.75527e-13,  8.81014e-31,  0.00360311 ])
92642   , -2338.96    , array([ 0.214783   ,  0.0111165  ,  5.75527e-13,  8.81014e-31,  0.00382856 ])
92643   , -2338.96    , array([ 0.214783   ,  0.0111165  ,  5.75527e-13,  8.81014e-31,  0.00382856 ])
92644   , -2338.67    , array([ 0.214998   ,  0.0111165  ,  5.75527e-13,  8.81014e-31,  0.00382856 ])
92645   , -2338.98    , array([ 0.214783   ,  0.0111276  ,  5.75527e-13,  8.81014e-31,  0.00382856 ])
92646   , -2338.96    , array([ 0.214783   ,  0.0111165  ,  5.76103e-13,  8.81014e-31,  0.00382856 ])
92647   , -2338.96    , array([ 0.214783   ,  0.0111165  ,  5.75527e-13,  8.81896e-31,  0.00382856 ])
