126820  , -79088.9    , array([ 0.0647522  ,  0.00846459 ,  1.93882e-77,  3.96303e-52,  3.46244e-09])
126821  , -79088.9    , array([ 0.0648169  ,  0.00846459 ,  1.93882e-77,  3.96303e-52,  3.46244e-09])
126822  , -79088.9    , array([ 0.0647522  ,  0.00847306 ,  1.93882e-77,  3.96303e-52,  3.46244e-09])
126823  , -79088.9    , array([ 0.0647522  ,  0.00846459 ,  1.94076e-77,  3.96303e-52,  3.46244e-09])
126824  , -79088.9    , array([ 0.0647522  ,  0.00846459 ,  1.93882e-77,  3.967e-52  ,  3.46244e-09])
126825  , -79088.9    , array([ 0.0647522  ,  0.00846459 ,  1.93882e-77,  3.96303e-52,  3.4659e-09 ])
126826  , -79088.9    , array([ 0.0647522  ,  0.00846459 ,  1.93882e-77,  3.96303e-52,  3.46244e-09])
126827  , -79088.1    , array([ 0.0620465  ,  0.00523579 ,  1.93882e-77,  3.96303e-52,  5.84514e-09])
126828  , -79088.1    , array([ 0.0620465  ,  0.00523579 ,  1.93882e-77,  3.96303e-52,  5.84514e-09])
126829  , -79088.1    , array([ 0.0621086  ,  0.00523579 ,  1.93882e-77,  3.96303e-52,  5.84514e-09])
126830  , -79088.1    , array([ 0.0620465  ,  0.00524102 ,  1.93882e-77,  3.96303e-52,  5.84514e-09])
126831  , -79088.1    , array([ 0.0620465  ,  0.00523579 ,  1.94076e-77,  3.96303e-52,  5.84514e-09])
126832  , -79088.1    , array([ 0.0620465  ,  0.00523579 ,  1.93882e-77,  3.967e-52  ,  5.84514e-09])
126833  , -79088.1    , array([ 0.0620465  ,  0.00523579 ,  1.93882e-77,  3.96303e-52,  5.85099e-09])
126841  , -79088.1    , array([ 0.0620465  ,  0.00523579 ,  1.93882e-77,  3.96303e-52,  5.84514e-09])
126842  , -79088.1    , array([ 0.0620465  ,  0.00523579 ,  1.93882e-77,  3.96303e-52,  5.84514e-09])
126843  , -79088.1    , array([ 0.0621086  ,  0.00523579 ,  1.93882e-77,  3.96303e-52,  5.84514e-09])
126844  , -79088.1    , array([ 0.0620465  ,  0.00524102 ,  1.93882e-77,  3.96303e-52,  5.84514e-09])
126845  , -79088.1    , array([ 0.0620465  ,  0.00523579 ,  1.94076e-77,  3.96303e-52,  5.84514e-09])
126846  , -79088.1    , array([ 0.0620465  ,  0.00523579 ,  1.93882e-77,  3.967e-52  ,  5.84514e-09])
126847  , -79088.1    , array([ 0.0620465  ,  0.00523579 ,  1.93882e-77,  3.96303e-52,  5.85099e-09])
126848  , -79088.1    , array([ 0.0620465  ,  0.00523579 ,  1.93882e-77,  3.96303e-52,  5.84514e-09])
126849  , -79088.1    , array([ 0.0620465  ,  0.00523579 ,  1.93882e-77,  3.96303e-52,  5.84514e-09])
126850  , -79088.1    , array([ 0.0621086  ,  0.00523579 ,  1.93882e-77,  3.96303e-52,  5.84514e-09])
126851  , -79088.1    , array([ 0.0620465  ,  0.00524102 ,  1.93882e-77,  3.96303e-52,  5.84514e-09])
