165697  , -79089.3    , array([ 0.0150916  ,  0.0283513  ,  2.25156e-05,  2.81118e-16,  1.2111e-09 ])
165698  , -79089.3    , array([ 0.0151067  ,  0.0283513  ,  2.25156e-05,  2.81118e-16,  1.2111e-09 ])
165699  , -79089.3    , array([ 0.0150916  ,  0.0283796  ,  2.25156e-05,  2.81118e-16,  1.2111e-09 ])
165700  , -79089.3    , array([ 0.0150916  ,  0.0283513  ,  2.25381e-05,  2.81118e-16,  1.2111e-09 ])
165701  , -79089.3    , array([ 0.0150916  ,  0.0283513  ,  2.25156e-05,  2.814e-16  ,  1.2111e-09 ])
165702  , -79089.3    , array([ 0.0150916  ,  0.0283513  ,  2.25156e-05,  2.81118e-16,  1.21231e-09])
165703  , -79089.3    , array([ 0.0150916  ,  0.0283513  ,  2.25156e-05,  2.81118e-16,  1.2111e-09 ])
165704  , -79089.3    , array([ 0.0141551  ,  0.0269641  ,  2.25156e-05,  2.81118e-16,  1.35783e-09])
165705  , -79089.3    , array([ 0.0141551  ,  0.0269641  ,  2.25156e-05,  2.81118e-16,  1.35783e-09])
165706  , -79089.3    , array([ 0.0141693  ,  0.0269641  ,  2.25156e-05,  2.81118e-16,  1.35783e-09])
165707  , -79089.3    , array([ 0.0141551  ,  0.026991   ,  2.25156e-05,  2.81118e-16,  1.35783e-09])
165708  , -79089.3    , array([ 0.0141551  ,  0.0269641  ,  2.25381e-05,  2.81118e-16,  1.35783e-09])
165709  , -79089.3    , array([ 0.0141551  ,  0.0269641  ,  2.25156e-05,  2.814e-16  ,  1.35783e-09])
165710  , -79089.3    , array([ 0.0141551  ,  0.0269641  ,  2.25156e-05,  2.81118e-16,  1.35919e-09])
165711  , -79089.2    , array([ 0.0109556  ,  0.0220616  ,  2.25156e-05,  2.81118e-16,  2.14539e-09])
165712  , -79089.2    , array([ 0.0109556  ,  0.0220616  ,  2.25156e-05,  2.81118e-16,  2.14539e-09])
165713  , -79089.2    , array([ 0.0109665  ,  0.0220616  ,  2.25156e-05,  2.81118e-16,  2.14539e-09])
165714  , -79089.2    , array([ 0.0109556  ,  0.0220837  ,  2.25156e-05,  2.81118e-16,  2.14539e-09])
165715  , -79089.2    , array([ 0.0109556  ,  0.0220616  ,  2.25381e-05,  2.81118e-16,  2.14539e-09])
165716  , -79089.2    , array([ 0.0109556  ,  0.0220616  ,  2.25156e-05,  2.814e-16  ,  2.14539e-09])
165717  , -79089.2    , array([ 0.0109556  ,  0.0220616  ,  2.25156e-05,  2.81118e-16,  2.14753e-09])
165718  , -79085.1    , array([ 0.00393115 ,  0.0098865  ,  2.25156e-05,  2.81118e-16,  1.33705e-08])
165719  , -79085.1    , array([ 0.00393115 ,  0.0098865  ,  2.25156e-05,  2.81118e-16,  1.33705e-08])
165720  , -79085.1    , array([ 0.00393509 ,  0.0098865  ,  2.25156e-05,  2.81118e-16,  1.33705e-08])
165721  , -79085.1    , array([ 0.00393115 ,  0.00989639 ,  2.25156e-05,  2.81118e-16,  1.33705e-08])
165722  , -79085.1    , array([ 0.00393115 ,  0.0098865  ,  2.25381e-05,  2.81118e-16,  1.33705e-08])
165723  , -79085.1    , array([ 0.00393115 ,  0.0098865  ,  2.25156e-05,  2.814e-16  ,  1.33705e-08])
165724  , -79085.1    , array([ 0.00393115 ,  0.0098865  ,  2.25156e-05,  2.81118e-16,  1.33839e-08])
165732  , -79085.1    , array([ 0.00393115 ,  0.0098865  ,  2.25156e-05,  2.81118e-16,  1.33705e-08])
165733  , -79085.1    , array([ 0.00393115 ,  0.0098865  ,  2.25156e-05,  2.81118e-16,  1.33705e-08])
165734  , -79085.1    , array([ 0.00393509 ,  0.0098865  ,  2.25156e-05,  2.81118e-16,  1.33705e-08])
165735  , -79085.1    , array([ 0.00393115 ,  0.00989639 ,  2.25156e-05,  2.81118e-16,  1.33705e-08])
165736  , -79085.1    , array([ 0.00393115 ,  0.0098865  ,  2.25381e-05,  2.81118e-16,  1.33705e-08])
165737  , -79085.1    , array([ 0.00393115 ,  0.0098865  ,  2.25156e-05,  2.814e-16  ,  1.33705e-08])
165738  , -79085.1    , array([ 0.00393115 ,  0.0098865  ,  2.25156e-05,  2.81118e-16,  1.33839e-08])
165739  , -79085.1    , array([ 0.00393115 ,  0.0098865  ,  2.25156e-05,  2.81118e-16,  1.33705e-08])
165740  , -79085.1    , array([ 0.00393115 ,  0.0098865  ,  2.25156e-05,  2.81118e-16,  1.33705e-08])
165741  , -79085.1    , array([ 0.00393508 ,  0.0098865  ,  2.25156e-05,  2.81118e-16,  1.33705e-08])
165742  , -79085.1    , array([ 0.00393115 ,  0.00989639 ,  2.25156e-05,  2.81118e-16,  1.33705e-08])
165743  , -79085.1    , array([ 0.00393115 ,  0.0098865  ,  2.25381e-05,  2.81118e-16,  1.33705e-08])
165744  , -79085.1    , array([ 0.00393115 ,  0.0098865  ,  2.25156e-05,  2.814e-16  ,  1.33705e-08])
165745  , -79085.1    , array([ 0.00393115 ,  0.0098865  ,  2.25156e-05,  2.81118e-16,  1.33839e-08])
165753  , -79085.1    , array([ 0.00393115 ,  0.00988649 ,  2.25156e-05,  2.81118e-16,  1.33705e-08])
165754  , -79085.1    , array([ 0.00393115 ,  0.00988649 ,  2.25156e-05,  2.81118e-16,  1.33705e-08])
165755  , -79085.1    , array([ 0.00393508 ,  0.00988649 ,  2.25156e-05,  2.81118e-16,  1.33705e-08])
165756  , -79085.1    , array([ 0.00393115 ,  0.00989639 ,  2.25156e-05,  2.81118e-16,  1.33705e-08])
165757  , -79085.1    , array([ 0.00393115 ,  0.00988649 ,  2.25381e-05,  2.81118e-16,  1.33705e-08])
165758  , -79085.1    , array([ 0.00393115 ,  0.00988649 ,  2.25156e-05,  2.814e-16  ,  1.33705e-08])
