180936  , -79089.4    , array([ 0.0079301  ,  0.0424699  ,  3.0382e-57 ,  2.21959e-49,  1.92472e-11])
180937  , -79089.4    , array([ 0.00793804 ,  0.0424699  ,  3.0382e-57 ,  2.21959e-49,  1.92472e-11])
180938  , -79089.4    , array([ 0.0079301  ,  0.0425124  ,  3.0382e-57 ,  2.21959e-49,  1.92472e-11])
180939  , -79089.4    , array([ 0.0079301  ,  0.0424699  ,  3.04124e-57,  2.21959e-49,  1.92472e-11])
180940  , -79089.4    , array([ 0.0079301  ,  0.0424699  ,  3.0382e-57 ,  2.22181e-49,  1.92472e-11])
180941  , -79089.4    , array([ 0.0079301  ,  0.0424699  ,  3.0382e-57 ,  2.21959e-49,  1.92664e-11])
180942  , -79089.4    , array([ 0.0079301  ,  0.0424699  ,  3.0382e-57 ,  2.21959e-49,  1.92472e-11])
180943  , -79089.4    , array([ 0.00791475 ,  0.0424473  ,  3.0382e-57 ,  2.21959e-49,  1.92948e-11])
180944  , -79089.4    , array([ 0.00791475 ,  0.0424473  ,  3.0382e-57 ,  2.21959e-49,  1.92948e-11])
180945  , -79089.4    , array([ 0.00792267 ,  0.0424473  ,  3.0382e-57 ,  2.21959e-49,  1.92948e-11])
180946  , -79089.4    , array([ 0.00791475 ,  0.0424897  ,  3.0382e-57 ,  2.21959e-49,  1.92948e-11])
180947  , -79089.4    , array([ 0.00791475 ,  0.0424473  ,  3.04124e-57,  2.21959e-49,  1.92948e-11])
180948  , -79089.4    , array([ 0.00791475 ,  0.0424473  ,  3.0382e-57 ,  2.22181e-49,  1.92948e-11])
180949  , -79089.4    , array([ 0.00791475 ,  0.0424473  ,  3.0382e-57 ,  2.21959e-49,  1.93141e-11])
180950  , -79089.4    , array([ 0.00785366 ,  0.042357   ,  3.0382e-57 ,  2.21959e-49,  1.94866e-11])
180951  , -79089.4    , array([ 0.00785366 ,  0.042357   ,  3.0382e-57 ,  2.21959e-49,  1.94866e-11])
180952  , -79089.4    , array([ 0.00786151 ,  0.042357   ,  3.0382e-57 ,  2.21959e-49,  1.94866e-11])
180953  , -79089.4    , array([ 0.00785366 ,  0.0423994  ,  3.0382e-57 ,  2.21959e-49,  1.94866e-11])
180954  , -79089.4    , array([ 0.00785366 ,  0.042357   ,  3.04124e-57,  2.21959e-49,  1.94866e-11])
180955  , -79089.4    , array([ 0.00785366 ,  0.042357   ,  3.0382e-57 ,  2.22181e-49,  1.94866e-11])
180956  , -79089.4    , array([ 0.00785366 ,  0.042357   ,  3.0382e-57 ,  2.21959e-49,  1.95061e-11])
180957  , -79089.4    , array([ 0.00761395 ,  0.0419979  ,  3.0382e-57 ,  2.21959e-49,  2.0273e-11 ])
180958  , -79089.4    , array([ 0.00761395 ,  0.0419979  ,  3.0382e-57 ,  2.21959e-49,  2.0273e-11 ])
180959  , -79089.4    , array([ 0.00762157 ,  0.0419979  ,  3.0382e-57 ,  2.21959e-49,  2.0273e-11 ])
180960  , -79089.4    , array([ 0.00761395 ,  0.0420399  ,  3.0382e-57 ,  2.21959e-49,  2.0273e-11 ])
180961  , -79089.4    , array([ 0.00761395 ,  0.0419979  ,  3.04124e-57,  2.21959e-49,  2.0273e-11 ])
180962  , -79089.4    , array([ 0.00761395 ,  0.0419979  ,  3.0382e-57 ,  2.22181e-49,  2.0273e-11 ])
180963  , -79089.4    , array([ 0.00761395 ,  0.0419979  ,  3.0382e-57 ,  2.21959e-49,  2.02933e-11])
180964  , -79089.4    , array([ 0.0067261  ,  0.0405916  ,  3.0382e-57 ,  2.21959e-49,  2.37489e-11])
180965  , -79089.4    , array([ 0.0067261  ,  0.0405916  ,  3.0382e-57 ,  2.21959e-49,  2.37489e-11])
180966  , -79089.4    , array([ 0.00673283 ,  0.0405916  ,  3.0382e-57 ,  2.21959e-49,  2.37489e-11])
180967  , -79089.4    , array([ 0.0067261  ,  0.0406322  ,  3.0382e-57 ,  2.21959e-49,  2.37489e-11])
180968  , -79089.4    , array([ 0.0067261  ,  0.0405916  ,  3.04124e-57,  2.21959e-49,  2.37489e-11])
180969  , -79089.4    , array([ 0.0067261  ,  0.0405916  ,  3.0382e-57 ,  2.22181e-49,  2.37489e-11])
180970  , -79089.4    , array([ 0.0067261  ,  0.0405916  ,  3.0382e-57 ,  2.21959e-49,  2.37727e-11])
180971  , -79089.4    , array([ 0.00409615 ,  0.0354218  ,  3.0382e-57 ,  2.21959e-49,  4.4725e-11 ])
180972  , -79089.4    , array([ 0.00409615 ,  0.0354218  ,  3.0382e-57 ,  2.21959e-49,  4.4725e-11 ])
180973  , -79089.4    , array([ 0.00410025 ,  0.0354218  ,  3.0382e-57 ,  2.21959e-49,  4.4725e-11 ])
180974  , -79089.4    , array([ 0.00409615 ,  0.0354572  ,  3.0382e-57 ,  2.21959e-49,  4.4725e-11 ])
180975  , -79089.4    , array([ 0.00409615 ,  0.0354218  ,  3.04124e-57,  2.21959e-49,  4.4725e-11 ])
180976  , -79089.4    , array([ 0.00409615 ,  0.0354218  ,  3.0382e-57 ,  2.22181e-49,  4.4725e-11 ])
180977  , -79089.4    , array([ 0.00409615 ,  0.0354218  ,  3.0382e-57 ,  2.21959e-49,  4.47697e-11])
180985  , -79089.4    , array([ 0.00409615 ,  0.0354218  ,  3.0382e-57 ,  2.21959e-49,  4.4725e-11 ])
180986  , -79089.4    , array([ 0.00409615 ,  0.0354218  ,  3.0382e-57 ,  2.21959e-49,  4.4725e-11 ])
180987  , -79089.4    , array([ 0.00410025 ,  0.0354218  ,  3.0382e-57 ,  2.21959e-49,  4.4725e-11 ])
180988  , -79089.4    , array([ 0.00409615 ,  0.0354572  ,  3.0382e-57 ,  2.21959e-49,  4.4725e-11 ])
180989  , -79089.4    , array([ 0.00409615 ,  0.0354218  ,  3.04124e-57,  2.21959e-49,  4.4725e-11 ])
180990  , -79089.4    , array([ 0.00409615 ,  0.0354218  ,  3.0382e-57 ,  2.22181e-49,  4.4725e-11 ])
180991  , -79089.4    , array([ 0.00409615 ,  0.0354218  ,  3.0382e-57 ,  2.21959e-49,  4.47697e-11])
180992  , -79089.4    , array([ 0.00409615 ,  0.0354218  ,  3.0382e-57 ,  2.21959e-49,  4.4725e-11 ])
180993  , -79089.4    , array([ 0.00409615 ,  0.0354218  ,  3.0382e-57 ,  2.21959e-49,  4.4725e-11 ])
180994  , -79089.4    , array([ 0.00410025 ,  0.0354218  ,  3.0382e-57 ,  2.21959e-49,  4.4725e-11 ])
180995  , -79089.4    , array([ 0.00409615 ,  0.0354572  ,  3.0382e-57 ,  2.21959e-49,  4.4725e-11 ])
180996  , -79089.4    , array([ 0.00409615 ,  0.0354218  ,  3.04124e-57,  2.21959e-49,  4.4725e-11 ])
180997  , -79089.4    , array([ 0.00409615 ,  0.0354218  ,  3.0382e-57 ,  2.22181e-49,  4.4725e-11 ])
180998  , -79089.4    , array([ 0.00409615 ,  0.0354218  ,  3.0382e-57 ,  2.21959e-49,  4.47697e-11])
180999  , -79089.4    , array([ 0.00151915 ,  0.0269736  ,  3.0382e-57 ,  2.21959e-49,  1.58621e-10])
181000  , -79089.4    , array([ 0.00151915 ,  0.0269736  ,  3.0382e-57 ,  2.21959e-49,  1.58621e-10])
181001  , -79089.4    , array([ 0.00152067 ,  0.0269736  ,  3.0382e-57 ,  2.21959e-49,  1.58621e-10])
181002  , -79089.4    , array([ 0.00151915 ,  0.0270006  ,  3.0382e-57 ,  2.21959e-49,  1.58621e-10])
181003  , -79089.4    , array([ 0.00151915 ,  0.0269736  ,  3.04124e-57,  2.21959e-49,  1.58621e-10])
181004  , -79089.4    , array([ 0.00151915 ,  0.0269736  ,  3.0382e-57 ,  2.22181e-49,  1.58621e-10])
181005  , -79089.4    , array([ 0.00151915 ,  0.0269736  ,  3.0382e-57 ,  2.21959e-49,  1.5878e-10 ])
181006  , -79089.4    , array([ 0.00151915 ,  0.0269736  ,  3.0382e-57 ,  2.21959e-49,  1.58621e-10])
181007  , -79089.4    , array([ 0.00151915 ,  0.0269736  ,  3.0382e-57 ,  2.21959e-49,  1.58621e-10])
181008  , -79089.4    , array([ 0.00152067 ,  0.0269736  ,  3.0382e-57 ,  2.21959e-49,  1.58621e-10])
181009  , -79089.4    , array([ 0.00151915 ,  0.0270006  ,  3.0382e-57 ,  2.21959e-49,  1.58621e-10])
181010  , -79089.4    , array([ 0.00151915 ,  0.0269736  ,  3.04124e-57,  2.21959e-49,  1.58621e-10])
181011  , -79089.4    , array([ 0.00151915 ,  0.0269736  ,  3.0382e-57 ,  2.22181e-49,  1.58621e-10])
