206733  , -79087.9    , array([ 1.25301    ,  0.00160086 ,  3.27382e-21,  1.84271e-19,  2.04066e-09])
206734  , -79087.9    , array([ 1.25426    ,  0.00160086 ,  3.27382e-21,  1.84271e-19,  2.04066e-09])
206735  , -79087.9    , array([ 1.25301    ,  0.00160246 ,  3.27382e-21,  1.84271e-19,  2.04066e-09])
206736  , -79087.9    , array([ 1.25301    ,  0.00160086 ,  3.27709e-21,  1.84271e-19,  2.04066e-09])
206737  , -79087.9    , array([ 1.25301    ,  0.00160086 ,  3.27382e-21,  1.84455e-19,  2.04066e-09])
206738  , -79087.9    , array([ 1.25301    ,  0.00160086 ,  3.27382e-21,  1.84271e-19,  2.0427e-09 ])
206739  , -79087.9    , array([ 1.25301    ,  0.00160086 ,  3.27382e-21,  1.84271e-19,  2.04066e-09])
206747  , -79087.9    , array([ 1.25301    ,  0.00160086 ,  3.27382e-21,  1.84271e-19,  2.04066e-09])
206748  , -79087.9    , array([ 1.25301    ,  0.00160086 ,  3.27382e-21,  1.84271e-19,  2.04066e-09])
206749  , -79087.9    , array([ 1.25426    ,  0.00160086 ,  3.27382e-21,  1.84271e-19,  2.04066e-09])
206750  , -79087.9    , array([ 1.25301    ,  0.00160246 ,  3.27382e-21,  1.84271e-19,  2.04066e-09])
206751  , -79087.9    , array([ 1.25301    ,  0.00160086 ,  3.27709e-21,  1.84271e-19,  2.04066e-09])
206752  , -79087.9    , array([ 1.25301    ,  0.00160086 ,  3.27382e-21,  1.84455e-19,  2.04066e-09])
206753  , -79087.9    , array([ 1.25301    ,  0.00160086 ,  3.27382e-21,  1.84271e-19,  2.0427e-09 ])
206754  , -79087.9    , array([ 1.25301    ,  0.00160086 ,  3.27382e-21,  1.84271e-19,  2.04066e-09])
206755  , -79087.9    , array([ 1.25301    ,  0.00160086 ,  3.27382e-21,  1.84271e-19,  2.04066e-09])
206756  , -79087.9    , array([ 1.25426    ,  0.00160086 ,  3.27382e-21,  1.84271e-19,  2.04066e-09])
206757  , -79087.9    , array([ 1.25301    ,  0.00160246 ,  3.27382e-21,  1.84271e-19,  2.04066e-09])
206758  , -79087.9    , array([ 1.25301    ,  0.00160086 ,  3.27709e-21,  1.84271e-19,  2.04066e-09])
206759  , -79087.9    , array([ 1.25301    ,  0.00160086 ,  3.27382e-21,  1.84455e-19,  2.04066e-09])
206760  , -79087.9    , array([ 1.25301    ,  0.00160086 ,  3.27382e-21,  1.84271e-19,  2.0427e-09 ])
206761  , -79086.4    , array([ 1.25262    ,  0.00112052 ,  3.27382e-21,  1.84271e-19,  2.91742e-09])
206762  , -79086.4    , array([ 1.25262    ,  0.00112052 ,  3.27382e-21,  1.84271e-19,  2.91742e-09])
206763  , -79086.4    , array([ 1.25387    ,  0.00112052 ,  3.27382e-21,  1.84271e-19,  2.91742e-09])
206764  , -79086.4    , array([ 1.25262    ,  0.00112164 ,  3.27382e-21,  1.84271e-19,  2.91742e-09])
206765  , -79086.4    , array([ 1.25262    ,  0.00112052 ,  3.27709e-21,  1.84271e-19,  2.91742e-09])
206766  , -79086.4    , array([ 1.25262    ,  0.00112052 ,  3.27382e-21,  1.84455e-19,  2.91742e-09])
206767  , -79086.4    , array([ 1.25262    ,  0.00112052 ,  3.27382e-21,  1.84271e-19,  2.92034e-09])
206768  , -79086.4    , array([ 1.25262    ,  0.00112052 ,  3.27382e-21,  1.84271e-19,  2.91742e-09])
206769  , -79086.4    , array([ 1.25262    ,  0.00112052 ,  3.27382e-21,  1.84271e-19,  2.91742e-09])
206770  , -79086.4    , array([ 1.25387    ,  0.00112052 ,  3.27382e-21,  1.84271e-19,  2.91742e-09])
206771  , -79086.4    , array([ 1.25262    ,  0.00112164 ,  3.27382e-21,  1.84271e-19,  2.91742e-09])
206772  , -79086.4    , array([ 1.25262    ,  0.00112052 ,  3.27709e-21,  1.84271e-19,  2.91742e-09])
206773  , -79086.4    , array([ 1.25262    ,  0.00112052 ,  3.27382e-21,  1.84455e-19,  2.91742e-09])
206774  , -79086.4    , array([ 1.25262    ,  0.00112052 ,  3.27382e-21,  1.84271e-19,  2.92034e-09])
206775  , -79086.4    , array([ 1.25262    ,  0.00112052 ,  3.27382e-21,  1.84271e-19,  2.91742e-09])
206776  , -79086.4    , array([ 1.25262    ,  0.00112052 ,  3.27382e-21,  1.84271e-19,  2.91742e-09])
206777  , -79086.4    , array([ 1.25387    ,  0.00112052 ,  3.27382e-21,  1.84271e-19,  2.91742e-09])
206778  , -79086.4    , array([ 1.25262    ,  0.00112164 ,  3.27382e-21,  1.84271e-19,  2.91742e-09])
206779  , -79086.4    , array([ 1.25262    ,  0.00112052 ,  3.27709e-21,  1.84271e-19,  2.91742e-09])
206780  , -79086.4    , array([ 1.25262    ,  0.00112052 ,  3.27382e-21,  1.84455e-19,  2.91742e-09])
206781  , -79086.4    , array([ 1.25262    ,  0.00112052 ,  3.27382e-21,  1.84271e-19,  2.92034e-09])
206789  , -79086.4    , array([ 1.25262    ,  0.00112052 ,  3.27382e-21,  1.84271e-19,  2.91742e-09])
206790  , -79086.4    , array([ 1.25262    ,  0.00112052 ,  3.27382e-21,  1.84271e-19,  2.91742e-09])
