237655  , -42788.2    , array([ 1.09808    ,  5.49399    ,  6.3583e-22 ,  4.59032e-10,  0.0864815  ])
237656  , -42796.6    , array([ 1.09918    ,  5.49399    ,  6.3583e-22 ,  4.59032e-10,  0.0864815  ])
237657  , -42795.1    , array([ 1.09808    ,  5.49948    ,  6.3583e-22 ,  4.59032e-10,  0.0864815  ])
237658  , -42788.2    , array([ 1.09808    ,  5.49399    ,  6.36467e-22,  4.59032e-10,  0.0864815  ])
237659  , -42788.2    , array([ 1.09808    ,  5.49399    ,  6.3583e-22 ,  4.59491e-10,  0.0864815  ])
237660  , -42775.6    , array([ 1.09808    ,  5.49399    ,  6.3583e-22 ,  4.59032e-10,  0.086568   ])
237661  , -42788.2    , array([ 1.09808    ,  5.49399    ,  6.3583e-22 ,  4.59032e-10,  0.0864815  ])
237662  , -40340.6    , array([ 0.657495   ,  3.60797    ,  6.3583e-22 ,  4.59032e-10,  0.18524    ])
237663  , -40340.6    , array([ 0.657495   ,  3.60797    ,  6.3583e-22 ,  4.59032e-10,  0.18524    ])
237664  , -40320.5    , array([ 0.658152   ,  3.60797    ,  6.3583e-22 ,  4.59032e-10,  0.18524    ])
237665  , -40350.6    , array([ 0.657495   ,  3.61158    ,  6.3583e-22 ,  4.59032e-10,  0.18524    ])
237666  , -40340.6    , array([ 0.657495   ,  3.60797    ,  6.36467e-22,  4.59032e-10,  0.18524    ])
237667  , -40340.6    , array([ 0.657495   ,  3.60797    ,  6.3583e-22 ,  4.59491e-10,  0.18524    ])
237668  , -40355.1    , array([ 0.657495   ,  3.60797    ,  6.3583e-22 ,  4.59032e-10,  0.185425   ])
237669  , -37231.4    , array([ 0.851517   ,  4.46002    ,  6.3583e-22 ,  4.59032e-10,  0.126168   ])
237670  , -37231.4    , array([ 0.851517   ,  4.46002    ,  6.3583e-22 ,  4.59032e-10,  0.126168   ])
237671  , -37228.8    , array([ 0.852368   ,  4.46002    ,  6.3583e-22 ,  4.59032e-10,  0.126168   ])
237672  , -37239.7    , array([ 0.851517   ,  4.46448    ,  6.3583e-22 ,  4.59032e-10,  0.126168   ])
237673  , -37231.4    , array([ 0.851517   ,  4.46002    ,  6.36467e-22,  4.59032e-10,  0.126168   ])
237674  , -37231.4    , array([ 0.851517   ,  4.46002    ,  6.3583e-22 ,  4.59491e-10,  0.126168   ])
237675  , -37229.1    , array([ 0.851517   ,  4.46002    ,  6.3583e-22 ,  4.59032e-10,  0.126294   ])
237676  , -21879.6    , array([ 1.09667    ,  1.41345    ,  6.3583e-22 ,  4.59032e-10,  0.193398   ])
237677  , -21879.6    , array([ 1.09667    ,  1.41345    ,  6.3583e-22 ,  4.59032e-10,  0.193398   ])
237678  , -21870.1    , array([ 1.09776    ,  1.41345    ,  6.3583e-22 ,  4.59032e-10,  0.193398   ])
237679  , -21892.9    , array([ 1.09667    ,  1.41486    ,  6.3583e-22 ,  4.59032e-10,  0.193398   ])
237680  , -21879.6    , array([ 1.09667    ,  1.41345    ,  6.36467e-22,  4.59032e-10,  0.193398   ])
237681  , -21879.6    , array([ 1.09667    ,  1.41345    ,  6.3583e-22 ,  4.59491e-10,  0.193398   ])
237682  , -21883.4    , array([ 1.09667    ,  1.41345    ,  6.3583e-22 ,  4.59032e-10,  0.193591   ])
237683  , -860159     , array([ 3.01716    ,  0.0142579  ,  6.3583e-22 ,  4.59032e-10,  1.06773    ])
237684  , -860159     , array([ 3.01716    ,  0.0142579  ,  6.3583e-22 ,  4.59032e-10,  1.06773    ])
237685  , -860165     , array([ 3.02018    ,  0.0142579  ,  6.3583e-22 ,  4.59032e-10,  1.06773    ])
237686  , -860119     , array([ 3.01716    ,  0.0142721  ,  6.3583e-22 ,  4.59032e-10,  1.06773    ])
237687  , -860159     , array([ 3.01716    ,  0.0142579  ,  6.36467e-22,  4.59032e-10,  1.06773    ])
237688  , -860124     , array([ 3.01716    ,  0.0142579  ,  6.3583e-22 ,  4.59491e-10,  1.06773    ])
237689  , -860166     , array([ 3.01716    ,  0.0142579  ,  6.3583e-22 ,  4.59032e-10,  1.0688     ])
237690  , -21041.3    , array([ 1.11155    ,  1.32951    ,  6.3583e-22 ,  4.59032e-10,  0.197849   ])
237691  , -21041.3    , array([ 1.11155    ,  1.32951    ,  6.3583e-22 ,  4.59032e-10,  0.197849   ])
237692  , -21031.5    , array([ 1.11266    ,  1.32951    ,  6.3583e-22 ,  4.59032e-10,  0.197849   ])
237693  , -21054.2    , array([ 1.11155    ,  1.33084    ,  6.3583e-22 ,  4.59032e-10,  0.197849   ])
237694  , -21041.3    , array([ 1.11155    ,  1.32951    ,  6.36467e-22,  4.59032e-10,  0.197849   ])
237695  , -21041.3    , array([ 1.11155    ,  1.32951    ,  6.3583e-22 ,  4.59491e-10,  0.197849   ])
237696  , -21045.9    , array([ 1.11155    ,  1.32951    ,  6.3583e-22 ,  4.59032e-10,  0.198047   ])
237697  , -16495.2    , array([ 1.24543    ,  0.793185   ,  6.3583e-22 ,  4.59032e-10,  0.239726   ])
237698  , -16495.2    , array([ 1.24543    ,  0.793185   ,  6.3583e-22 ,  4.59032e-10,  0.239726   ])
237699  , -16484.3    , array([ 1.24667    ,  0.793185   ,  6.3583e-22 ,  4.59032e-10,  0.239726   ])
237700  , -16500.6    , array([ 1.24543    ,  0.793979   ,  6.3583e-22 ,  4.59032e-10,  0.239726   ])
237701  , -16495.2    , array([ 1.24543    ,  0.793185   ,  6.36467e-22,  4.59032e-10,  0.239726   ])
237702  , -16495.2    , array([ 1.24543    ,  0.793185   ,  6.3583e-22 ,  4.59491e-10,  0.239726   ])
237703  , -16510.1    , array([ 1.24543    ,  0.793185   ,  6.3583e-22 ,  4.59032e-10,  0.239966   ])
237711  , -16492.3    , array([ 1.24512    ,  0.792802   ,  6.3583e-22 ,  4.59032e-10,  0.239678   ])
237712  , -16492.3    , array([ 1.24512    ,  0.792802   ,  6.3583e-22 ,  4.59032e-10,  0.239678   ])
237713  , -16481.4    , array([ 1.24637    ,  0.792802   ,  6.3583e-22 ,  4.59032e-10,  0.239678   ])
237714  , -16497.7    , array([ 1.24512    ,  0.793595   ,  6.3583e-22 ,  4.59032e-10,  0.239678   ])
237715  , -16492.3    , array([ 1.24512    ,  0.792802   ,  6.36467e-22,  4.59032e-10,  0.239678   ])
237716  , -16492.3    , array([ 1.24512    ,  0.792802   ,  6.3583e-22 ,  4.59491e-10,  0.239678   ])
237717  , -16507.2    , array([ 1.24512    ,  0.792802   ,  6.3583e-22 ,  4.59032e-10,  0.239918   ])
237718  , -14596.5    , array([ 0.87597    ,  0.396183   ,  6.3583e-22 ,  4.59032e-10,  0.179932   ])
237719  , -14596.5    , array([ 0.87597    ,  0.396183   ,  6.3583e-22 ,  4.59032e-10,  0.179932   ])
237720  , -14584.1    , array([ 0.876847   ,  0.396183   ,  6.3583e-22 ,  4.59032e-10,  0.179932   ])
237721  , -14593.2    , array([ 0.87597    ,  0.396579   ,  6.3583e-22 ,  4.59032e-10,  0.179932   ])
237722  , -14596.5    , array([ 0.87597    ,  0.396183   ,  6.36467e-22,  4.59032e-10,  0.179932   ])
237723  , -14596.5    , array([ 0.87597    ,  0.396183   ,  6.3583e-22 ,  4.59491e-10,  0.179932   ])
237724  , -14617.9    , array([ 0.87597    ,  0.396183   ,  6.3583e-22 ,  4.59032e-10,  0.180112   ])
237725  , -11901      , array([ 0.613812   ,  0.314134   ,  6.3583e-22 ,  4.59032e-10,  0.117965   ])
237726  , -11901      , array([ 0.613812   ,  0.314134   ,  6.3583e-22 ,  4.59032e-10,  0.117965   ])
237727  , -11887.5    , array([ 0.614426   ,  0.314134   ,  6.3583e-22 ,  4.59032e-10,  0.117965   ])
237728  , -11901.8    , array([ 0.613812   ,  0.314449   ,  6.3583e-22 ,  4.59032e-10,  0.117965   ])
237729  , -11901      , array([ 0.613812   ,  0.314134   ,  6.36467e-22,  4.59032e-10,  0.117965   ])
237730  , -11901      , array([ 0.613812   ,  0.314134   ,  6.3583e-22 ,  4.59491e-10,  0.117965   ])
237731  , -11915.9    , array([ 0.613812   ,  0.314134   ,  6.3583e-22 ,  4.59032e-10,  0.118083   ])
237732  , -7496.67    , array([ 0.714986   ,  0.262251   ,  6.3583e-22 ,  4.59032e-10,  0.0948001  ])
237733  , -7496.67    , array([ 0.714986   ,  0.262251   ,  6.3583e-22 ,  4.59032e-10,  0.0948001  ])
237734  , -7488.39    , array([ 0.715701   ,  0.262251   ,  6.3583e-22 ,  4.59032e-10,  0.0948001  ])
237735  , -7497.48    , array([ 0.714986   ,  0.262513   ,  6.3583e-22 ,  4.59032e-10,  0.0948001  ])
237736  , -7496.67    , array([ 0.714986   ,  0.262251   ,  6.36467e-22,  4.59032e-10,  0.0948001  ])
237737  , -7496.67    , array([ 0.714986   ,  0.262251   ,  6.3583e-22 ,  4.59491e-10,  0.0948001  ])
237738  , -7506.1     , array([ 0.714986   ,  0.262251   ,  6.3583e-22 ,  4.59032e-10,  0.094895   ])
237739  , -3302.09    , array([ 0.7788     ,  0.15455    ,  6.3583e-22 ,  4.59032e-10,  0.0540795  ])
237740  , -3302.09    , array([ 0.7788     ,  0.15455    ,  6.3583e-22 ,  4.59032e-10,  0.0540795  ])
237741  , -3298.92    , array([ 0.779579   ,  0.15455    ,  6.3583e-22 ,  4.59032e-10,  0.0540795  ])
237742  , -3303       , array([ 0.7788     ,  0.154705   ,  6.3583e-22 ,  4.59032e-10,  0.0540795  ])
237743  , -3302.09    , array([ 0.7788     ,  0.15455    ,  6.36467e-22,  4.59032e-10,  0.0540795  ])
237744  , -3302.09    , array([ 0.7788     ,  0.15455    ,  6.3583e-22 ,  4.59491e-10,  0.0540795  ])
237745  , -3305.1     , array([ 0.7788     ,  0.15455    ,  6.3583e-22 ,  4.59032e-10,  0.0541336  ])
237746  , -2230.56    , array([ 0.823125   ,  0.107679   ,  6.3583e-22 ,  4.59032e-10,  0.0384634  ])
237747  , -2230.56    , array([ 0.823125   ,  0.107679   ,  6.3583e-22 ,  4.59032e-10,  0.0384634  ])
237748  , -2228.99    , array([ 0.823948   ,  0.107679   ,  6.3583e-22 ,  4.59032e-10,  0.0384634  ])
237749  , -2230.7     , array([ 0.823125   ,  0.107787   ,  6.3583e-22 ,  4.59032e-10,  0.0384634  ])
237750  , -2230.56    , array([ 0.823125   ,  0.107679   ,  6.36467e-22,  4.59032e-10,  0.0384634  ])
