272049  , -79089.4    , array([ 0.964053   ,  0.0277613  ,  2.4641e-08 ,  1.01758e-29,  1.32459e-11])
272050  , -79089.4    , array([ 0.965018   ,  0.0277613  ,  2.4641e-08 ,  1.01758e-29,  1.32459e-11])
272051  , -79089.4    , array([ 0.964053   ,  0.0277891  ,  2.4641e-08 ,  1.01758e-29,  1.32459e-11])
272052  , -79089.4    , array([ 0.964053   ,  0.0277613  ,  2.46656e-08,  1.01758e-29,  1.32459e-11])
272053  , -79089.4    , array([ 0.964053   ,  0.0277613  ,  2.4641e-08 ,  1.0186e-29 ,  1.32459e-11])
272054  , -79089.4    , array([ 0.964053   ,  0.0277613  ,  2.4641e-08 ,  1.01758e-29,  1.32592e-11])
272055  , -79089.4    , array([ 0.964053   ,  0.0277613  ,  2.4641e-08 ,  1.01758e-29,  1.32459e-11])
272056  , -79089.4    , array([ 0.964043   ,  0.0277458  ,  2.4641e-08 ,  1.01758e-29,  1.32535e-11])
272057  , -79089.4    , array([ 0.964043   ,  0.0277458  ,  2.4641e-08 ,  1.01758e-29,  1.32535e-11])
272058  , -79089.4    , array([ 0.965007   ,  0.0277458  ,  2.4641e-08 ,  1.01758e-29,  1.32535e-11])
272059  , -79089.4    , array([ 0.964043   ,  0.0277736  ,  2.4641e-08 ,  1.01758e-29,  1.32535e-11])
272060  , -79089.4    , array([ 0.964043   ,  0.0277458  ,  2.46656e-08,  1.01758e-29,  1.32535e-11])
272061  , -79089.4    , array([ 0.964043   ,  0.0277458  ,  2.4641e-08 ,  1.0186e-29 ,  1.32535e-11])
272062  , -79089.4    , array([ 0.964043   ,  0.0277458  ,  2.4641e-08 ,  1.01758e-29,  1.32668e-11])
272063  , -79089.4    , array([ 0.964001   ,  0.0276837  ,  2.4641e-08 ,  1.01758e-29,  1.32839e-11])
272064  , -79089.4    , array([ 0.964001   ,  0.0276837  ,  2.4641e-08 ,  1.01758e-29,  1.32839e-11])
272065  , -79089.4    , array([ 0.964965   ,  0.0276837  ,  2.4641e-08 ,  1.01758e-29,  1.32839e-11])
272066  , -79089.4    , array([ 0.964001   ,  0.0277114  ,  2.4641e-08 ,  1.01758e-29,  1.32839e-11])
272067  , -79089.4    , array([ 0.964001   ,  0.0276837  ,  2.46656e-08,  1.01758e-29,  1.32839e-11])
272068  , -79089.4    , array([ 0.964001   ,  0.0276837  ,  2.4641e-08 ,  1.0186e-29 ,  1.32839e-11])
272069  , -79089.4    , array([ 0.964001   ,  0.0276837  ,  2.4641e-08 ,  1.01758e-29,  1.32972e-11])
272070  , -79089.4    , array([ 0.963833   ,  0.0274367  ,  2.4641e-08 ,  1.01758e-29,  1.34061e-11])
272071  , -79089.4    , array([ 0.963833   ,  0.0274367  ,  2.4641e-08 ,  1.01758e-29,  1.34061e-11])
272072  , -79089.4    , array([ 0.964797   ,  0.0274367  ,  2.4641e-08 ,  1.01758e-29,  1.34061e-11])
272073  , -79089.4    , array([ 0.963833   ,  0.0274641  ,  2.4641e-08 ,  1.01758e-29,  1.34061e-11])
272074  , -79089.4    , array([ 0.963833   ,  0.0274367  ,  2.46656e-08,  1.01758e-29,  1.34061e-11])
272075  , -79089.4    , array([ 0.963833   ,  0.0274367  ,  2.4641e-08 ,  1.0186e-29 ,  1.34061e-11])
272076  , -79089.4    , array([ 0.963833   ,  0.0274367  ,  2.4641e-08 ,  1.01758e-29,  1.34195e-11])
272077  , -79089.4    , array([ 0.963161   ,  0.0264705  ,  2.4641e-08 ,  1.01758e-29,  1.39062e-11])
272078  , -79089.4    , array([ 0.963161   ,  0.0264705  ,  2.4641e-08 ,  1.01758e-29,  1.39062e-11])
272079  , -79089.4    , array([ 0.964125   ,  0.0264705  ,  2.4641e-08 ,  1.01758e-29,  1.39062e-11])
272080  , -79089.4    , array([ 0.963161   ,  0.026497   ,  2.4641e-08 ,  1.01758e-29,  1.39062e-11])
272081  , -79089.4    , array([ 0.963161   ,  0.0264705  ,  2.46656e-08,  1.01758e-29,  1.39062e-11])
272082  , -79089.4    , array([ 0.963161   ,  0.0264705  ,  2.4641e-08 ,  1.0186e-29 ,  1.39062e-11])
272083  , -79089.4    , array([ 0.963161   ,  0.0264705  ,  2.4641e-08 ,  1.01758e-29,  1.39202e-11])
272084  , -79089.4    , array([ 0.960481   ,  0.0229342  ,  2.4641e-08 ,  1.01758e-29,  1.61005e-11])
272085  , -79089.4    , array([ 0.960481   ,  0.0229342  ,  2.4641e-08 ,  1.01758e-29,  1.61005e-11])
272086  , -79089.4    , array([ 0.961442   ,  0.0229342  ,  2.4641e-08 ,  1.01758e-29,  1.61005e-11])
272087  , -79089.4    , array([ 0.960481   ,  0.0229572  ,  2.4641e-08 ,  1.01758e-29,  1.61005e-11])
272088  , -79089.4    , array([ 0.960481   ,  0.0229342  ,  2.46656e-08,  1.01758e-29,  1.61005e-11])
272089  , -79089.4    , array([ 0.960481   ,  0.0229342  ,  2.4641e-08 ,  1.0186e-29 ,  1.61005e-11])
272090  , -79089.4    , array([ 0.960481   ,  0.0229342  ,  2.4641e-08 ,  1.01758e-29,  1.61167e-11])
272091  , -79089.4    , array([ 0.949835   ,  0.0129232  ,  2.4641e-08 ,  1.01758e-29,  2.89311e-11])
272092  , -79089.4    , array([ 0.949835   ,  0.0129232  ,  2.4641e-08 ,  1.01758e-29,  2.89311e-11])
272093  , -79089.4    , array([ 0.950785   ,  0.0129232  ,  2.4641e-08 ,  1.01758e-29,  2.89311e-11])
272094  , -79089.4    , array([ 0.949835   ,  0.0129361  ,  2.4641e-08 ,  1.01758e-29,  2.89311e-11])
272095  , -79089.4    , array([ 0.949835   ,  0.0129232  ,  2.46656e-08,  1.01758e-29,  2.89311e-11])
272096  , -79089.4    , array([ 0.949835   ,  0.0129232  ,  2.4641e-08 ,  1.0186e-29 ,  2.89311e-11])
272097  , -79089.4    , array([ 0.949835   ,  0.0129232  ,  2.4641e-08 ,  1.01758e-29,  2.896e-11  ])
272098  , -79089.2    , array([ 0.908418   ,  0.00130291 ,  2.4641e-08 ,  1.01758e-29,  3.0162e-10 ])
272099  , -79089.2    , array([ 0.908418   ,  0.00130291 ,  2.4641e-08 ,  1.01758e-29,  3.0162e-10 ])
272100  , -79089.2    , array([ 0.909326   ,  0.00130291 ,  2.4641e-08 ,  1.01758e-29,  3.0162e-10 ])
272101  , -79089.2    , array([ 0.908418   ,  0.00130422 ,  2.4641e-08 ,  1.01758e-29,  3.0162e-10 ])
272102  , -79089.2    , array([ 0.908418   ,  0.00130291 ,  2.46656e-08,  1.01758e-29,  3.0162e-10 ])
272103  , -79089.2    , array([ 0.908418   ,  0.00130291 ,  2.4641e-08 ,  1.0186e-29 ,  3.0162e-10 ])
272104  , -79089.2    , array([ 0.908418   ,  0.00130291 ,  2.4641e-08 ,  1.01758e-29,  3.01921e-10])
272112  , -79089.2    , array([ 0.908418   ,  0.00130291 ,  2.4641e-08 ,  1.01758e-29,  3.0162e-10 ])
272113  , -79089.2    , array([ 0.908418   ,  0.00130291 ,  2.4641e-08 ,  1.01758e-29,  3.0162e-10 ])
272114  , -79089.2    , array([ 0.909326   ,  0.00130291 ,  2.4641e-08 ,  1.01758e-29,  3.0162e-10 ])
272115  , -79089.2    , array([ 0.908418   ,  0.00130422 ,  2.4641e-08 ,  1.01758e-29,  3.0162e-10 ])
272116  , -79089.2    , array([ 0.908418   ,  0.00130291 ,  2.46656e-08,  1.01758e-29,  3.0162e-10 ])
272117  , -79089.2    , array([ 0.908418   ,  0.00130291 ,  2.4641e-08 ,  1.0186e-29 ,  3.0162e-10 ])
272118  , -79089.2    , array([ 0.908418   ,  0.00130291 ,  2.4641e-08 ,  1.01758e-29,  3.01921e-10])
272119  , -79089.2    , array([ 0.908418   ,  0.00130291 ,  2.4641e-08 ,  1.01758e-29,  3.0162e-10 ])
272120  , -79089.2    , array([ 0.908418   ,  0.00130291 ,  2.4641e-08 ,  1.01758e-29,  3.0162e-10 ])
272121  , -79089.2    , array([ 0.909326   ,  0.00130291 ,  2.4641e-08 ,  1.01758e-29,  3.0162e-10 ])
272122  , -79089.2    , array([ 0.908418   ,  0.00130422 ,  2.4641e-08 ,  1.01758e-29,  3.0162e-10 ])
272123  , -79089.2    , array([ 0.908418   ,  0.00130291 ,  2.46656e-08,  1.01758e-29,  3.0162e-10 ])
272124  , -79089.2    , array([ 0.908418   ,  0.00130291 ,  2.4641e-08 ,  1.0186e-29 ,  3.0162e-10 ])
272125  , -79089.2    , array([ 0.908418   ,  0.00130291 ,  2.4641e-08 ,  1.01758e-29,  3.01921e-10])
