279240  , -54663.9    , array([ 0.0116048  ,  10.6696    ,  2.58773e-49,  0.0877484  ,  0.00118102 ])
279241  , -54662.2    , array([ 0.0116164  ,  10.6696    ,  2.58773e-49,  0.0877484  ,  0.00118102 ])
279242  , -54664      , array([ 0.0116048  ,  10.6803    ,  2.58773e-49,  0.0877484  ,  0.00118102 ])
279243  , -54663.9    , array([ 0.0116048  ,  10.6696    ,  2.59032e-49,  0.0877484  ,  0.00118102 ])
279244  , -54663.9    , array([ 0.0116048  ,  10.6696    ,  2.58773e-49,  0.0878362  ,  0.00118102 ])
279245  , -54665.2    , array([ 0.0116048  ,  10.6696    ,  2.58773e-49,  0.0877484  ,  0.0011822  ])
279246  , -54663.9    , array([ 0.0116048  ,  10.6696    ,  2.58773e-49,  0.0877484  ,  0.00118102 ])
279247  , -64928.9    , array([ 0.0260271  ,  10.3521    ,  2.58773e-49,  0.0876062  ,  0.000644523])
279248  , -64928.9    , array([ 0.0260271  ,  10.3521    ,  2.58773e-49,  0.0876062  ,  0.000644523])
279249  , -64938.5    , array([ 0.0260531  ,  10.3521    ,  2.58773e-49,  0.0876062  ,  0.000644523])
279250  , -64928.9    , array([ 0.0260271  ,  10.3625    ,  2.58773e-49,  0.0876062  ,  0.000644523])
279251  , -64928.9    , array([ 0.0260271  ,  10.3521    ,  2.59032e-49,  0.0876062  ,  0.000644523])
279252  , -64928.9    , array([ 0.0260271  ,  10.3521    ,  2.58773e-49,  0.0876939  ,  0.000644523])
279253  , -64919.1    , array([ 0.0260271  ,  10.3521    ,  2.58773e-49,  0.0876062  ,  0.000645168])
279254  , -54616      , array([ 0.0120928  ,  10.6532    ,  2.58773e-49,  0.0877412  ,  0.0011451  ])
279255  , -54616      , array([ 0.0120928  ,  10.6532    ,  2.58773e-49,  0.0877412  ,  0.0011451  ])
279256  , -54616      , array([ 0.0121049  ,  10.6532    ,  2.58773e-49,  0.0877412  ,  0.0011451  ])
279257  , -54616.1    , array([ 0.0120928  ,  10.6638    ,  2.58773e-49,  0.0877412  ,  0.0011451  ])
279258  , -54616      , array([ 0.0120928  ,  10.6532    ,  2.59032e-49,  0.0877412  ,  0.0011451  ])
279259  , -54616      , array([ 0.0120928  ,  10.6532    ,  2.58773e-49,  0.0878289  ,  0.0011451  ])
279260  , -54615.7    , array([ 0.0120928  ,  10.6532    ,  2.58773e-49,  0.0877412  ,  0.00114625 ])
279261  , -54500.8    , array([ 0.0152775  ,  9.88348    ,  2.58773e-49,  0.0874018  ,  0.00145314 ])
279262  , -54500.8    , array([ 0.0152775  ,  9.88348    ,  2.58773e-49,  0.0874018  ,  0.00145314 ])
279263  , -54500.7    , array([ 0.0152928  ,  9.88348    ,  2.58773e-49,  0.0874018  ,  0.00145314 ])
279264  , -54500.8    , array([ 0.0152775  ,  9.89336    ,  2.58773e-49,  0.0874018  ,  0.00145314 ])
279265  , -54500.8    , array([ 0.0152775  ,  9.88348    ,  2.59032e-49,  0.0874018  ,  0.00145314 ])
279266  , -54500.8    , array([ 0.0152775  ,  9.88348    ,  2.58773e-49,  0.0874893  ,  0.00145314 ])
279267  , -54500.3    , array([ 0.0152775  ,  9.88348    ,  2.58773e-49,  0.0874018  ,  0.0014546  ])
279268  , -53631.2    , array([ 0.0389188  ,  7.32208    ,  2.58773e-49,  0.0860576  ,  0.00376847 ])
279269  , -53631.2    , array([ 0.0389188  ,  7.32208    ,  2.58773e-49,  0.0860576  ,  0.00376847 ])
279270  , -53631.2    , array([ 0.0389577  ,  7.32208    ,  2.58773e-49,  0.0860576  ,  0.00376847 ])
279271  , -53631.5    , array([ 0.0389188  ,  7.32941    ,  2.58773e-49,  0.0860576  ,  0.00376847 ])
279272  , -53631.2    , array([ 0.0389188  ,  7.32208    ,  2.59032e-49,  0.0860576  ,  0.00376847 ])
279273  , -53631.2    , array([ 0.0389188  ,  7.32208    ,  2.58773e-49,  0.0861437  ,  0.00376847 ])
279274  , -53629.8    , array([ 0.0389188  ,  7.32208    ,  2.58773e-49,  0.0860576  ,  0.00377225 ])
279275  , -27330.1    , array([ 1.63902    ,  2.20563    ,  2.58773e-49,  0.0808843  ,  0.170449   ])
279276  , -27330.1    , array([ 1.63902    ,  2.20563    ,  2.58773e-49,  0.0808843  ,  0.170449   ])
279277  , -27331.4    , array([ 1.64066    ,  2.20563    ,  2.58773e-49,  0.0808843  ,  0.170449   ])
279278  , -27345.4    , array([ 1.63902    ,  2.20784    ,  2.58773e-49,  0.0808843  ,  0.170449   ])
279279  , -27330.1    , array([ 1.63902    ,  2.20563    ,  2.59032e-49,  0.0808843  ,  0.170449   ])
279280  , -27330.4    , array([ 1.63902    ,  2.20563    ,  2.58773e-49,  0.0809652  ,  0.170449   ])
279281  , -27322.2    , array([ 1.63902    ,  2.20563    ,  2.58773e-49,  0.0808843  ,  0.170619   ])
279289  , -27280.3    , array([ 1.64609    ,  2.20259    ,  2.58773e-49,  0.0808785  ,  0.171199   ])
279290  , -27280.3    , array([ 1.64609    ,  2.20259    ,  2.58773e-49,  0.0808785  ,  0.171199   ])
279291  , -27281.6    , array([ 1.64774    ,  2.20259    ,  2.58773e-49,  0.0808785  ,  0.171199   ])
279292  , -27295.6    , array([ 1.64609    ,  2.20479    ,  2.58773e-49,  0.0808785  ,  0.171199   ])
279293  , -27280.3    , array([ 1.64609    ,  2.20259    ,  2.59032e-49,  0.0808785  ,  0.171199   ])
279294  , -27280.6    , array([ 1.64609    ,  2.20259    ,  2.58773e-49,  0.0809594  ,  0.171199   ])
279295  , -27272.5    , array([ 1.64609    ,  2.20259    ,  2.58773e-49,  0.0808785  ,  0.17137    ])
279296  , -26805.9    , array([ 1.71592    ,  2.17343    ,  2.58773e-49,  0.0808229  ,  0.178602   ])
279297  , -26805.9    , array([ 1.71592    ,  2.17343    ,  2.58773e-49,  0.0808229  ,  0.178602   ])
279298  , -26807.2    , array([ 1.71764    ,  2.17343    ,  2.58773e-49,  0.0808229  ,  0.178602   ])
279299  , -26821.4    , array([ 1.71592    ,  2.1756     ,  2.58773e-49,  0.0808229  ,  0.178602   ])
279300  , -26805.9    , array([ 1.71592    ,  2.17343    ,  2.59032e-49,  0.0808229  ,  0.178602   ])
279301  , -26806.3    , array([ 1.71592    ,  2.17343    ,  2.58773e-49,  0.0809037  ,  0.178602   ])
279302  , -26798.5    , array([ 1.71592    ,  2.17343    ,  2.58773e-49,  0.0808229  ,  0.178781   ])
279310  , -26794.2    , array([ 1.71771    ,  2.1727     ,  2.58773e-49,  0.0808215  ,  0.178792   ])
279311  , -26794.2    , array([ 1.71771    ,  2.1727     ,  2.58773e-49,  0.0808215  ,  0.178792   ])
279312  , -26795.4    , array([ 1.71943    ,  2.1727     ,  2.58773e-49,  0.0808215  ,  0.178792   ])
279313  , -26809.6    , array([ 1.71771    ,  2.17487    ,  2.58773e-49,  0.0808215  ,  0.178792   ])
279314  , -26794.2    , array([ 1.71771    ,  2.1727     ,  2.59032e-49,  0.0808215  ,  0.178792   ])
279315  , -26794.5    , array([ 1.71771    ,  2.1727     ,  2.58773e-49,  0.0809023  ,  0.178792   ])
279316  , -26786.8    , array([ 1.71771    ,  2.1727     ,  2.58773e-49,  0.0808215  ,  0.178971   ])
279317  , -26681.5    , array([ 1.73501    ,  2.16573    ,  2.58773e-49,  0.080808   ,  0.180628   ])
279318  , -26681.5    , array([ 1.73501    ,  2.16573    ,  2.58773e-49,  0.080808   ,  0.180628   ])
279319  , -26682.8    , array([ 1.73675    ,  2.16573    ,  2.58773e-49,  0.080808   ,  0.180628   ])
279320  , -26697      , array([ 1.73501    ,  2.16789    ,  2.58773e-49,  0.080808   ,  0.180628   ])
279321  , -26681.5    , array([ 1.73501    ,  2.16573    ,  2.59032e-49,  0.080808   ,  0.180628   ])
279322  , -26681.8    , array([ 1.73501    ,  2.16573    ,  2.58773e-49,  0.0808889  ,  0.180628   ])
279323  , -26674.2    , array([ 1.73501    ,  2.16573    ,  2.58773e-49,  0.080808   ,  0.180809   ])
279331  , -26678.6    , array([ 1.73546    ,  2.16555    ,  2.58773e-49,  0.0808077  ,  0.180675   ])
279332  , -26678.6    , array([ 1.73546    ,  2.16555    ,  2.58773e-49,  0.0808077  ,  0.180675   ])
279333  , -26679.9    , array([ 1.7372     ,  2.16555    ,  2.58773e-49,  0.0808077  ,  0.180675   ])
279334  , -26694.1    , array([ 1.73546    ,  2.16771    ,  2.58773e-49,  0.0808077  ,  0.180675   ])
279335  , -26678.6    , array([ 1.73546    ,  2.16555    ,  2.59032e-49,  0.0808077  ,  0.180675   ])
279336  , -26678.9    , array([ 1.73546    ,  2.16555    ,  2.58773e-49,  0.0808885  ,  0.180675   ])
279337  , -26671.3    , array([ 1.73546    ,  2.16555    ,  2.58773e-49,  0.0808077  ,  0.180856   ])
279338  , -26650.9    , array([ 1.73977    ,  2.16383    ,  2.58773e-49,  0.0808044  ,  0.181132   ])
279339  , -26650.9    , array([ 1.73977    ,  2.16383    ,  2.58773e-49,  0.0808044  ,  0.181132   ])
279340  , -26652.1    , array([ 1.74151    ,  2.16383    ,  2.58773e-49,  0.0808044  ,  0.181132   ])
279341  , -26666.4    , array([ 1.73977    ,  2.16599    ,  2.58773e-49,  0.0808044  ,  0.181132   ])
279342  , -26650.9    , array([ 1.73977    ,  2.16383    ,  2.59032e-49,  0.0808044  ,  0.181132   ])
279343  , -26651.2    , array([ 1.73977    ,  2.16383    ,  2.58773e-49,  0.0808852  ,  0.181132   ])
279344  , -26643.6    , array([ 1.73977    ,  2.16383    ,  2.58773e-49,  0.0808044  ,  0.181314   ])
279345  , -49252.4    , array([ 11.1794    ,  1.19137    ,  2.58773e-49,  0.0783508  ,  1.20599    ])
