285141  , -66382.9    , array([ 0.0255682  ,  2.2237     ,  7.96629e-32,  1.17461e-56,  0.000533369])
285142  , -66391.9    , array([ 0.0255938  ,  2.2237     ,  7.96629e-32,  1.17461e-56,  0.000533369])
285143  , -66383.1    , array([ 0.0255682  ,  2.22592    ,  7.96629e-32,  1.17461e-56,  0.000533369])
285144  , -66382.9    , array([ 0.0255682  ,  2.2237     ,  7.97426e-32,  1.17461e-56,  0.000533369])
285145  , -66382.9    , array([ 0.0255682  ,  2.2237     ,  7.96629e-32,  1.17579e-56,  0.000533369])
285146  , -66373.6    , array([ 0.0255682  ,  2.2237     ,  7.96629e-32,  1.17461e-56,  0.000533903])
285147  , -66382.9    , array([ 0.0255682  ,  2.2237     ,  7.96629e-32,  1.17461e-56,  0.000533369])
285148  , -54465.8    , array([ 0.0126525  ,  2.18663    ,  7.96629e-32,  1.17461e-56,  0.00110073 ])
285149  , -54465.8    , array([ 0.0126525  ,  2.18663    ,  7.96629e-32,  1.17461e-56,  0.00110073 ])
285150  , -54467.4    , array([ 0.0126652  ,  2.18663    ,  7.96629e-32,  1.17461e-56,  0.00110073 ])
285151  , -54466.1    , array([ 0.0126525  ,  2.18882    ,  7.96629e-32,  1.17461e-56,  0.00110073 ])
285152  , -54465.8    , array([ 0.0126525  ,  2.18663    ,  7.97426e-32,  1.17461e-56,  0.00110073 ])
285153  , -54465.8    , array([ 0.0126525  ,  2.18663    ,  7.96629e-32,  1.17579e-56,  0.00110073 ])
285154  , -54463.5    , array([ 0.0126525  ,  2.18663    ,  7.96629e-32,  1.17461e-56,  0.00110183 ])
285162  , -54464.8    , array([ 0.0126647  ,  2.1846     ,  7.96629e-32,  1.17461e-56,  0.00110184 ])
285163  , -54464.8    , array([ 0.0126647  ,  2.1846     ,  7.96629e-32,  1.17461e-56,  0.00110184 ])
285164  , -54466.4    , array([ 0.0126774  ,  2.1846     ,  7.96629e-32,  1.17461e-56,  0.00110184 ])
285165  , -54465.1    , array([ 0.0126647  ,  2.18679    ,  7.96629e-32,  1.17461e-56,  0.00110184 ])
285166  , -54464.8    , array([ 0.0126647  ,  2.1846     ,  7.97426e-32,  1.17461e-56,  0.00110184 ])
285167  , -54464.8    , array([ 0.0126647  ,  2.1846     ,  7.96629e-32,  1.17579e-56,  0.00110184 ])
285168  , -54462.5    , array([ 0.0126647  ,  2.1846     ,  7.96629e-32,  1.17461e-56,  0.00110295 ])
285169  , -54463.8    , array([ 0.0126769  ,  2.18257    ,  7.96629e-32,  1.17461e-56,  0.00110297 ])
285170  , -54463.8    , array([ 0.0126769  ,  2.18257    ,  7.96629e-32,  1.17461e-56,  0.00110297 ])
285171  , -54465.5    , array([ 0.0126896  ,  2.18257    ,  7.96629e-32,  1.17461e-56,  0.00110297 ])
285172  , -54464.1    , array([ 0.0126769  ,  2.18476    ,  7.96629e-32,  1.17461e-56,  0.00110297 ])
285173  , -54463.8    , array([ 0.0126769  ,  2.18257    ,  7.97426e-32,  1.17461e-56,  0.00110297 ])
285174  , -54463.8    , array([ 0.0126769  ,  2.18257    ,  7.96629e-32,  1.17579e-56,  0.00110297 ])
285175  , -54461.5    , array([ 0.0126769  ,  2.18257    ,  7.96629e-32,  1.17461e-56,  0.00110407 ])
285183  , -54463.5    , array([ 0.0126799  ,  2.18207    ,  7.96629e-32,  1.17461e-56,  0.00110325 ])
285184  , -54463.5    , array([ 0.0126799  ,  2.18207    ,  7.96629e-32,  1.17461e-56,  0.00110325 ])
285185  , -54465.2    , array([ 0.0126926  ,  2.18207    ,  7.96629e-32,  1.17461e-56,  0.00110325 ])
285186  , -54463.8    , array([ 0.0126799  ,  2.18425    ,  7.96629e-32,  1.17461e-56,  0.00110325 ])
