320868  , -79089.3    , array([ 1.0254     ,  0.102549   ,  9.77575e-22,  1.75323e-22,  1.29279e-08])
320869  , -79089.3    , array([ 1.02642    ,  0.102549   ,  9.77575e-22,  1.75323e-22,  1.29279e-08])
320870  , -79089.3    , array([ 1.0254     ,  0.102652   ,  9.77575e-22,  1.75323e-22,  1.29279e-08])
320871  , -79089.3    , array([ 1.0254     ,  0.102549   ,  9.78553e-22,  1.75323e-22,  1.29279e-08])
320872  , -79089.3    , array([ 1.0254     ,  0.102549   ,  9.77575e-22,  1.75499e-22,  1.29279e-08])
320873  , -79089.3    , array([ 1.0254     ,  0.102549   ,  9.77575e-22,  1.75323e-22,  1.29408e-08])
320874  , -79089.3    , array([ 1.0254     ,  0.102549   ,  9.77575e-22,  1.75323e-22,  1.29279e-08])
320875  , -79089.2    , array([ 1.01513    ,  0.0884376  ,  9.77575e-22,  1.75323e-22,  1.5148e-08 ])
320876  , -79089.2    , array([ 1.01513    ,  0.0884376  ,  9.77575e-22,  1.75323e-22,  1.5148e-08 ])
320877  , -79089.2    , array([ 1.01615    ,  0.0884376  ,  9.77575e-22,  1.75323e-22,  1.5148e-08 ])
320878  , -79089.2    , array([ 1.01513    ,  0.0885261  ,  9.77575e-22,  1.75323e-22,  1.5148e-08 ])
320879  , -79089.2    , array([ 1.01513    ,  0.0884376  ,  9.78553e-22,  1.75323e-22,  1.5148e-08 ])
320880  , -79089.2    , array([ 1.01513    ,  0.0884376  ,  9.77575e-22,  1.75499e-22,  1.5148e-08 ])
320881  , -79089.2    , array([ 1.01513    ,  0.0884376  ,  9.77575e-22,  1.75323e-22,  1.51632e-08])
320882  , -79088.7    , array([ 0.975078   ,  0.0489161  ,  9.77575e-22,  1.75323e-22,  2.85542e-08])
320883  , -79088.7    , array([ 0.975078   ,  0.0489161  ,  9.77575e-22,  1.75323e-22,  2.85542e-08])
320884  , -79088.7    , array([ 0.976054   ,  0.0489161  ,  9.77575e-22,  1.75323e-22,  2.85542e-08])
320885  , -79088.7    , array([ 0.975078   ,  0.0489651  ,  9.77575e-22,  1.75323e-22,  2.85542e-08])
320886  , -79088.7    , array([ 0.975078   ,  0.0489161  ,  9.78553e-22,  1.75323e-22,  2.85542e-08])
