5020    , -79089.4    , array([ 21.8429    ,  0.00165554 ,  4.63078e-36,  5.73032e-32,  4.4189e-11 ])
5021    , -79089.4    , array([ 21.8648    ,  0.00165554 ,  4.63078e-36,  5.73032e-32,  4.4189e-11 ])
5022    , -79089.4    , array([ 21.8429    ,  0.00165719 ,  4.63078e-36,  5.73032e-32,  4.4189e-11 ])
5023    , -79089.4    , array([ 21.8429    ,  0.00165554 ,  4.63541e-36,  5.73032e-32,  4.4189e-11 ])
5024    , -79089.4    , array([ 21.8429    ,  0.00165554 ,  4.63078e-36,  5.73606e-32,  4.4189e-11 ])
5025    , -79089.4    , array([ 21.8429    ,  0.00165554 ,  4.63078e-36,  5.73032e-32,  4.42332e-11])
5026    , -79089.4    , array([ 21.8429    ,  0.00165554 ,  4.63078e-36,  5.73032e-32,  4.4189e-11 ])
5027    , -79089.4    , array([ 21.8429    ,  0.00160445 ,  4.63078e-36,  5.73032e-32,  4.55976e-11])
5028    , -79089.4    , array([ 21.8429    ,  0.00160445 ,  4.63078e-36,  5.73032e-32,  4.55976e-11])
5029    , -79089.4    , array([ 21.8648    ,  0.00160445 ,  4.63078e-36,  5.73032e-32,  4.55976e-11])
5030    , -79089.4    , array([ 21.8429    ,  0.00160605 ,  4.63078e-36,  5.73032e-32,  4.55976e-11])
5031    , -79089.4    , array([ 21.8429    ,  0.00160445 ,  4.63541e-36,  5.73032e-32,  4.55976e-11])
5032    , -79089.4    , array([ 21.8429    ,  0.00160445 ,  4.63078e-36,  5.73606e-32,  4.55976e-11])
5033    , -79089.4    , array([ 21.8429    ,  0.00160445 ,  4.63078e-36,  5.73032e-32,  4.56432e-11])
5034    , -79089.4    , array([ 21.8428    ,  0.00141538 ,  4.63078e-36,  5.73032e-32,  5.16957e-11])
5035    , -79089.4    , array([ 21.8428    ,  0.00141538 ,  4.63078e-36,  5.73032e-32,  5.16957e-11])
5036    , -79089.4    , array([ 21.8646    ,  0.00141538 ,  4.63078e-36,  5.73032e-32,  5.16957e-11])
5037    , -79089.4    , array([ 21.8428    ,  0.00141679 ,  4.63078e-36,  5.73032e-32,  5.16957e-11])
5038    , -79089.4    , array([ 21.8428    ,  0.00141538 ,  4.63541e-36,  5.73032e-32,  5.16957e-11])
5039    , -79089.4    , array([ 21.8428    ,  0.00141538 ,  4.63078e-36,  5.73606e-32,  5.16957e-11])
5040    , -79089.4    , array([ 21.8428    ,  0.00141538 ,  4.63078e-36,  5.73032e-32,  5.17474e-11])
5048    , -79089.4    , array([ 21.8428    ,  0.00141538 ,  4.63078e-36,  5.73032e-32,  5.16957e-11])
5049    , -79089.4    , array([ 21.8428    ,  0.00141538 ,  4.63078e-36,  5.73032e-32,  5.16957e-11])
5050    , -79089.4    , array([ 21.8646    ,  0.00141538 ,  4.63078e-36,  5.73032e-32,  5.16957e-11])
5051    , -79089.4    , array([ 21.8428    ,  0.00141679 ,  4.63078e-36,  5.73032e-32,  5.16957e-11])
5052    , -79089.4    , array([ 21.8428    ,  0.00141538 ,  4.63541e-36,  5.73032e-32,  5.16957e-11])
5053    , -79089.4    , array([ 21.8428    ,  0.00141538 ,  4.63078e-36,  5.73606e-32,  5.16957e-11])
5054    , -79089.4    , array([ 21.8428    ,  0.00141538 ,  4.63078e-36,  5.73032e-32,  5.17474e-11])
5055    , -79089.4    , array([ 21.8423    ,  0.00101652 ,  4.63078e-36,  5.73032e-32,  7.20057e-11])
5056    , -79089.4    , array([ 21.8423    ,  0.00101652 ,  4.63078e-36,  5.73032e-32,  7.20057e-11])
5057    , -79089.4    , array([ 21.8642    ,  0.00101652 ,  4.63078e-36,  5.73032e-32,  7.20057e-11])
5058    , -79089.4    , array([ 21.8423    ,  0.00101753 ,  4.63078e-36,  5.73032e-32,  7.20057e-11])
5059    , -79089.4    , array([ 21.8423    ,  0.00101652 ,  4.63541e-36,  5.73032e-32,  7.20057e-11])
5060    , -79089.4    , array([ 21.8423    ,  0.00101652 ,  4.63078e-36,  5.73606e-32,  7.20057e-11])
5061    , -79089.4    , array([ 21.8423    ,  0.00101652 ,  4.63078e-36,  5.73032e-32,  7.20778e-11])
5062    , -79089.4    , array([ 21.8423    ,  0.00101652 ,  4.63078e-36,  5.73032e-32,  7.20057e-11])
5063    , -79089.4    , array([ 21.8423    ,  0.00101652 ,  4.63078e-36,  5.73032e-32,  7.20057e-11])
5064    , -79089.4    , array([ 21.8642    ,  0.00101652 ,  4.63078e-36,  5.73032e-32,  7.20057e-11])
5065    , -79089.4    , array([ 21.8423    ,  0.00101753 ,  4.63078e-36,  5.73032e-32,  7.20057e-11])
5066    , -79089.4    , array([ 21.8423    ,  0.00101652 ,  4.63541e-36,  5.73032e-32,  7.20057e-11])
5067    , -79089.4    , array([ 21.8423    ,  0.00101652 ,  4.63078e-36,  5.73606e-32,  7.20057e-11])
5068    , -79089.4    , array([ 21.8423    ,  0.00101652 ,  4.63078e-36,  5.73032e-32,  7.20778e-11])
5069    , -79089.4    , array([ 21.8423    ,  0.00101652 ,  4.63078e-36,  5.73032e-32,  7.20057e-11])
5070    , -79089.4    , array([ 21.8423    ,  0.00101652 ,  4.63078e-36,  5.73032e-32,  7.20057e-11])
5071    , -79089.4    , array([ 21.8642    ,  0.00101652 ,  4.63078e-36,  5.73032e-32,  7.20057e-11])
5072    , -79089.4    , array([ 21.8423    ,  0.00101753 ,  4.63078e-36,  5.73032e-32,  7.20057e-11])
5073    , -79089.4    , array([ 21.8423    ,  0.00101652 ,  4.63541e-36,  5.73032e-32,  7.20057e-11])
5074    , -79089.4    , array([ 21.8423    ,  0.00101652 ,  4.63078e-36,  5.73606e-32,  7.20057e-11])
5075    , -79089.4    , array([ 21.8423    ,  0.00101652 ,  4.63078e-36,  5.73032e-32,  7.20778e-11])
5083    , -79089.4    , array([ 21.8423    ,  0.00101652 ,  4.63078e-36,  5.73032e-32,  7.20057e-11])
5084    , -79089.4    , array([ 21.8423    ,  0.00101652 ,  4.63078e-36,  5.73032e-32,  7.20057e-11])
5085    , -79089.4    , array([ 21.8642    ,  0.00101652 ,  4.63078e-36,  5.73032e-32,  7.20057e-11])
5086    , -79089.4    , array([ 21.8423    ,  0.00101753 ,  4.63078e-36,  5.73032e-32,  7.20057e-11])
5087    , -79089.4    , array([ 21.8423    ,  0.00101652 ,  4.63541e-36,  5.73032e-32,  7.20057e-11])
5088    , -79089.4    , array([ 21.8423    ,  0.00101652 ,  4.63078e-36,  5.73606e-32,  7.20057e-11])
5089    , -79089.4    , array([ 21.8423    ,  0.00101652 ,  4.63078e-36,  5.73032e-32,  7.20778e-11])
5090    , -79089.4    , array([ 21.8423    ,  0.00101652 ,  4.63078e-36,  5.73032e-32,  7.20057e-11])
5091    , -79089.4    , array([ 21.8423    ,  0.00101652 ,  4.63078e-36,  5.73032e-32,  7.20057e-11])
5092    , -79089.4    , array([ 21.8642    ,  0.00101652 ,  4.63078e-36,  5.73032e-32,  7.20057e-11])
5093    , -79089.4    , array([ 21.8423    ,  0.00101753 ,  4.63078e-36,  5.73032e-32,  7.20057e-11])
5094    , -79089.4    , array([ 21.8423    ,  0.00101652 ,  4.63541e-36,  5.73032e-32,  7.20057e-11])
5095    , -79089.4    , array([ 21.8423    ,  0.00101652 ,  4.63078e-36,  5.73606e-32,  7.20057e-11])
5096    , -79089.4    , array([ 21.8423    ,  0.00101652 ,  4.63078e-36,  5.73032e-32,  7.20778e-11])
5104    , -79089.4    , array([ 21.8423    ,  0.00101652 ,  4.63078e-36,  5.73032e-32,  7.20057e-11])
5105    , -79089.4    , array([ 21.8423    ,  0.00101652 ,  4.63078e-36,  5.73032e-32,  7.20057e-11])
