23575   , -79089.4    , array([ 0.0958659  ,  0.0562688  ,  8.60653e-78,  3.26487e-90,  1.51417e-09])
23576   , -79089.4    , array([ 0.0959619  ,  0.0562688  ,  8.60653e-78,  3.26487e-90,  1.51417e-09])
23577   , -79089.4    , array([ 0.0958659  ,  0.0563251  ,  8.60653e-78,  3.26487e-90,  1.51417e-09])
23578   , -79089.4    , array([ 0.0958659  ,  0.0562688  ,  8.61514e-78,  3.26487e-90,  1.51417e-09])
23579   , -79089.4    , array([ 0.0958659  ,  0.0562688  ,  8.60653e-78,  3.26813e-90,  1.51417e-09])
23580   , -79089.4    , array([ 0.0958659  ,  0.0562688  ,  8.60653e-78,  3.26487e-90,  1.51568e-09])
23581   , -79089.4    , array([ 0.0958659  ,  0.0562688  ,  8.60653e-78,  3.26487e-90,  1.51417e-09])
23582   , -79089.4    , array([ 0.0946649  ,  0.0545184  ,  8.60653e-78,  3.26487e-90,  1.58272e-09])
23583   , -79089.4    , array([ 0.0946649  ,  0.0545184  ,  8.60653e-78,  3.26487e-90,  1.58272e-09])
23584   , -79089.4    , array([ 0.0947596  ,  0.0545184  ,  8.60653e-78,  3.26487e-90,  1.58272e-09])
23585   , -79089.4    , array([ 0.0946649  ,  0.054573   ,  8.60653e-78,  3.26487e-90,  1.58272e-09])
23586   , -79089.4    , array([ 0.0946649  ,  0.0545184  ,  8.61514e-78,  3.26487e-90,  1.58272e-09])
23587   , -79089.4    , array([ 0.0946649  ,  0.0545184  ,  8.60653e-78,  3.26813e-90,  1.58272e-09])
23588   , -79089.4    , array([ 0.0946649  ,  0.0545184  ,  8.60653e-78,  3.26487e-90,  1.5843e-09 ])
23589   , -79089.4    , array([ 0.0900093  ,  0.0480446  ,  8.60653e-78,  3.26487e-90,  1.8894e-09 ])
23590   , -79089.4    , array([ 0.0900093  ,  0.0480446  ,  8.60653e-78,  3.26487e-90,  1.8894e-09 ])
23591   , -79089.4    , array([ 0.0900993  ,  0.0480446  ,  8.60653e-78,  3.26487e-90,  1.8894e-09 ])
23592   , -79089.4    , array([ 0.0900093  ,  0.0480927  ,  8.60653e-78,  3.26487e-90,  1.8894e-09 ])
23593   , -79089.4    , array([ 0.0900093  ,  0.0480446  ,  8.61514e-78,  3.26487e-90,  1.8894e-09 ])
23594   , -79089.4    , array([ 0.0900093  ,  0.0480446  ,  8.60653e-78,  3.26813e-90,  1.8894e-09 ])
23595   , -79089.4    , array([ 0.0900093  ,  0.0480446  ,  8.60653e-78,  3.26487e-90,  1.89129e-09])
23596   , -79089.2    , array([ 0.0735666  ,  0.0289769  ,  8.60653e-78,  3.26487e-90,  3.83712e-09])
23597   , -79089.2    , array([ 0.0735666  ,  0.0289769  ,  8.60653e-78,  3.26487e-90,  3.83712e-09])
23598   , -79089.2    , array([ 0.0736402  ,  0.0289769  ,  8.60653e-78,  3.26487e-90,  3.83712e-09])
23599   , -79089.2    , array([ 0.0735666  ,  0.0290059  ,  8.60653e-78,  3.26487e-90,  3.83712e-09])
23600   , -79089.2    , array([ 0.0735666  ,  0.0289769  ,  8.61514e-78,  3.26487e-90,  3.83712e-09])
23601   , -79089.2    , array([ 0.0735666  ,  0.0289769  ,  8.60653e-78,  3.26813e-90,  3.83712e-09])
23602   , -79089.2    , array([ 0.0735666  ,  0.0289769  ,  8.60653e-78,  3.26487e-90,  3.84096e-09])
23603   , -79067.9    , array([ 0.0328287  ,  0.00383422 ,  8.60653e-78,  3.26487e-90,  6.52724e-08])
23604   , -79067.9    , array([ 0.0328287  ,  0.00383422 ,  8.60653e-78,  3.26487e-90,  6.52724e-08])
23605   , -79067.9    , array([ 0.0328615  ,  0.00383422 ,  8.60653e-78,  3.26487e-90,  6.52724e-08])
23606   , -79067.9    , array([ 0.0328287  ,  0.00383806 ,  8.60653e-78,  3.26487e-90,  6.52724e-08])
23607   , -79067.9    , array([ 0.0328287  ,  0.00383422 ,  8.61514e-78,  3.26487e-90,  6.52724e-08])
23608   , -79067.9    , array([ 0.0328287  ,  0.00383422 ,  8.60653e-78,  3.26813e-90,  6.52724e-08])
23609   , -79067.8    , array([ 0.0328287  ,  0.00383422 ,  8.60653e-78,  3.26487e-90,  6.53377e-08])
23617   , -79067.9    , array([ 0.0328286  ,  0.0038342  ,  8.60653e-78,  3.26487e-90,  6.52729e-08])
23618   , -79067.9    , array([ 0.0328286  ,  0.0038342  ,  8.60653e-78,  3.26487e-90,  6.52729e-08])
23619   , -79067.9    , array([ 0.0328615  ,  0.0038342  ,  8.60653e-78,  3.26487e-90,  6.52729e-08])
23620   , -79067.9    , array([ 0.0328286  ,  0.00383804 ,  8.60653e-78,  3.26487e-90,  6.52729e-08])
23621   , -79067.9    , array([ 0.0328286  ,  0.0038342  ,  8.61514e-78,  3.26487e-90,  6.52729e-08])
23622   , -79067.9    , array([ 0.0328286  ,  0.0038342  ,  8.60653e-78,  3.26813e-90,  6.52729e-08])
23623   , -79067.8    , array([ 0.0328286  ,  0.0038342  ,  8.60653e-78,  3.26487e-90,  6.53382e-08])
23624   , -79067.9    , array([ 0.0328286  ,  0.00383418 ,  8.60653e-78,  3.26487e-90,  6.52734e-08])
23625   , -79067.9    , array([ 0.0328286  ,  0.00383418 ,  8.60653e-78,  3.26487e-90,  6.52734e-08])
23626   , -79067.9    , array([ 0.0328614  ,  0.00383418 ,  8.60653e-78,  3.26487e-90,  6.52734e-08])
23627   , -79067.9    , array([ 0.0328286  ,  0.00383802 ,  8.60653e-78,  3.26487e-90,  6.52734e-08])
23628   , -79067.9    , array([ 0.0328286  ,  0.00383418 ,  8.61514e-78,  3.26487e-90,  6.52734e-08])
23629   , -79067.9    , array([ 0.0328286  ,  0.00383418 ,  8.60653e-78,  3.26813e-90,  6.52734e-08])
23630   , -79067.8    , array([ 0.0328286  ,  0.00383418 ,  8.60653e-78,  3.26487e-90,  6.53387e-08])
23638   , -79067.9    , array([ 0.0328285  ,  0.00383418 ,  8.60653e-78,  3.26487e-90,  6.52735e-08])
23639   , -79067.9    , array([ 0.0328285  ,  0.00383418 ,  8.60653e-78,  3.26487e-90,  6.52735e-08])
23640   , -79067.9    , array([ 0.0328614  ,  0.00383418 ,  8.60653e-78,  3.26487e-90,  6.52735e-08])
23641   , -79067.9    , array([ 0.0328285  ,  0.00383801 ,  8.60653e-78,  3.26487e-90,  6.52735e-08])
23642   , -79067.9    , array([ 0.0328285  ,  0.00383418 ,  8.61514e-78,  3.26487e-90,  6.52735e-08])
23643   , -79067.9    , array([ 0.0328285  ,  0.00383418 ,  8.60653e-78,  3.26813e-90,  6.52735e-08])
23644   , -79067.8    , array([ 0.0328285  ,  0.00383418 ,  8.60653e-78,  3.26487e-90,  6.53388e-08])
23645   , -79067.9    , array([ 0.0328285  ,  0.00383417 ,  8.60653e-78,  3.26487e-90,  6.52737e-08])
23646   , -79067.9    , array([ 0.0328285  ,  0.00383417 ,  8.60653e-78,  3.26487e-90,  6.52737e-08])
23647   , -79067.9    , array([ 0.0328614  ,  0.00383417 ,  8.60653e-78,  3.26487e-90,  6.52737e-08])
23648   , -79067.9    , array([ 0.0328285  ,  0.00383801 ,  8.60653e-78,  3.26487e-90,  6.52737e-08])
23649   , -79067.9    , array([ 0.0328285  ,  0.00383417 ,  8.61514e-78,  3.26487e-90,  6.52737e-08])
23650   , -79067.9    , array([ 0.0328285  ,  0.00383417 ,  8.60653e-78,  3.26813e-90,  6.52737e-08])
23651   , -79067.8    , array([ 0.0328285  ,  0.00383417 ,  8.60653e-78,  3.26487e-90,  6.5339e-08 ])
23659   , -79067.9    , array([ 0.0328285  ,  0.00383417 ,  8.60653e-78,  3.26487e-90,  6.52737e-08])
23660   , -79067.9    , array([ 0.0328285  ,  0.00383417 ,  8.60653e-78,  3.26487e-90,  6.52737e-08])
23661   , -79067.9    , array([ 0.0328614  ,  0.00383417 ,  8.60653e-78,  3.26487e-90,  6.52737e-08])
23662   , -79067.9    , array([ 0.0328285  ,  0.00383801 ,  8.60653e-78,  3.26487e-90,  6.52737e-08])
23663   , -79067.9    , array([ 0.0328285  ,  0.00383417 ,  8.61514e-78,  3.26487e-90,  6.52737e-08])
23664   , -79067.9    , array([ 0.0328285  ,  0.00383417 ,  8.60653e-78,  3.26813e-90,  6.52737e-08])
23665   , -79067.8    , array([ 0.0328285  ,  0.00383417 ,  8.60653e-78,  3.26487e-90,  6.5339e-08 ])
23666   , -79067.9    , array([ 0.0328285  ,  0.00383417 ,  8.60653e-78,  3.26487e-90,  6.52737e-08])
23667   , -79067.9    , array([ 0.0328285  ,  0.00383417 ,  8.60653e-78,  3.26487e-90,  6.52737e-08])
23668   , -79067.9    , array([ 0.0328614  ,  0.00383417 ,  8.60653e-78,  3.26487e-90,  6.52737e-08])
23669   , -79067.9    , array([ 0.0328285  ,  0.003838   ,  8.60653e-78,  3.26487e-90,  6.52737e-08])
23670   , -79067.9    , array([ 0.0328285  ,  0.00383417 ,  8.61514e-78,  3.26487e-90,  6.52737e-08])
23671   , -79067.9    , array([ 0.0328285  ,  0.00383417 ,  8.60653e-78,  3.26813e-90,  6.52737e-08])
23672   , -79067.8    , array([ 0.0328285  ,  0.00383417 ,  8.60653e-78,  3.26487e-90,  6.5339e-08 ])
23673   , -78853.3    , array([ 0.02193    ,  0.00139471 ,  8.60653e-78,  3.26487e-90,  2.69215e-07])
23674   , -78853.3    , array([ 0.02193    ,  0.00139471 ,  8.60653e-78,  3.26487e-90,  2.69215e-07])
23675   , -78853.3    , array([ 0.0219519  ,  0.00139471 ,  8.60653e-78,  3.26487e-90,  2.69215e-07])
23676   , -78853.5    , array([ 0.02193    ,  0.00139611 ,  8.60653e-78,  3.26487e-90,  2.69215e-07])
23677   , -78853.3    , array([ 0.02193    ,  0.00139471 ,  8.61514e-78,  3.26487e-90,  2.69215e-07])
