55929   , -79089.4    , array([ 17.5976    ,  3.98052    ,  0.0207647  ,  8.28682e-32,  9.08117e-11])
55930   , -79089.4    , array([ 17.6152    ,  3.98052    ,  0.0207647  ,  8.28682e-32,  9.08117e-11])
55931   , -79089.4    , array([ 17.5976    ,  3.9845     ,  0.0207647  ,  8.28682e-32,  9.08117e-11])
55932   , -79089.4    , array([ 17.5976    ,  3.98052    ,  0.0207855  ,  8.28682e-32,  9.08117e-11])
55933   , -79089.4    , array([ 17.5976    ,  3.98052    ,  0.0207647  ,  8.29511e-32,  9.08117e-11])
55934   , -79089.4    , array([ 17.5976    ,  3.98052    ,  0.0207647  ,  8.28682e-32,  9.09026e-11])
55935   , -79089.4    , array([ 17.5976    ,  3.98052    ,  0.0207647  ,  8.28682e-32,  9.08117e-11])
55936   , -79089.4    , array([ 17.5975    ,  3.98041    ,  0.0207647  ,  8.28682e-32,  9.08147e-11])
55937   , -79089.4    , array([ 17.5975    ,  3.98041    ,  0.0207647  ,  8.28682e-32,  9.08147e-11])
55938   , -79089.4    , array([ 17.6151    ,  3.98041    ,  0.0207647  ,  8.28682e-32,  9.08147e-11])
55939   , -79089.4    , array([ 17.5975    ,  3.9844     ,  0.0207647  ,  8.28682e-32,  9.08147e-11])
55940   , -79089.4    , array([ 17.5975    ,  3.98041    ,  0.0207855  ,  8.28682e-32,  9.08147e-11])
55941   , -79089.4    , array([ 17.5975    ,  3.98041    ,  0.0207647  ,  8.29511e-32,  9.08147e-11])
55942   , -79089.4    , array([ 17.5975    ,  3.98041    ,  0.0207647  ,  8.28682e-32,  9.09056e-11])
55943   , -79089.4    , array([ 17.5972    ,  3.97999    ,  0.0207647  ,  8.28682e-32,  9.08265e-11])
55944   , -79089.4    , array([ 17.5972    ,  3.97999    ,  0.0207647  ,  8.28682e-32,  9.08265e-11])
55945   , -79089.4    , array([ 17.6148    ,  3.97999    ,  0.0207647  ,  8.28682e-32,  9.08265e-11])
55946   , -79089.4    , array([ 17.5972    ,  3.98397    ,  0.0207647  ,  8.28682e-32,  9.08265e-11])
55947   , -79089.4    , array([ 17.5972    ,  3.97999    ,  0.0207855  ,  8.28682e-32,  9.08265e-11])
55948   , -79089.4    , array([ 17.5972    ,  3.97999    ,  0.0207647  ,  8.29511e-32,  9.08265e-11])
55949   , -79089.4    , array([ 17.5972    ,  3.97999    ,  0.0207647  ,  8.28682e-32,  9.09174e-11])
55950   , -79089.4    , array([ 17.596     ,  3.97828    ,  0.0207647  ,  8.28682e-32,  9.08739e-11])
55951   , -79089.4    , array([ 17.596     ,  3.97828    ,  0.0207647  ,  8.28682e-32,  9.08739e-11])
55952   , -79089.4    , array([ 17.6136    ,  3.97828    ,  0.0207647  ,  8.28682e-32,  9.08739e-11])
55953   , -79089.4    , array([ 17.596     ,  3.98226    ,  0.0207647  ,  8.28682e-32,  9.08739e-11])
55954   , -79089.4    , array([ 17.596     ,  3.97828    ,  0.0207854  ,  8.28682e-32,  9.08739e-11])
55955   , -79089.4    , array([ 17.596     ,  3.97828    ,  0.0207647  ,  8.29511e-32,  9.08739e-11])
55956   , -79089.4    , array([ 17.596     ,  3.97828    ,  0.0207647  ,  8.28682e-32,  9.09648e-11])
55957   , -79089.4    , array([ 17.5913    ,  3.97146    ,  0.0207645  ,  8.28682e-32,  9.10635e-11])
55958   , -79089.4    , array([ 17.5913    ,  3.97146    ,  0.0207645  ,  8.28682e-32,  9.10635e-11])
55959   , -79089.4    , array([ 17.6089    ,  3.97146    ,  0.0207645  ,  8.28682e-32,  9.10635e-11])
55960   , -79089.4    , array([ 17.5913    ,  3.97543    ,  0.0207645  ,  8.28682e-32,  9.10635e-11])
55961   , -79089.4    , array([ 17.5913    ,  3.97146    ,  0.0207853  ,  8.28682e-32,  9.10635e-11])
55962   , -79089.4    , array([ 17.5913    ,  3.97146    ,  0.0207645  ,  8.29511e-32,  9.10635e-11])
55963   , -79089.4    , array([ 17.5913    ,  3.97146    ,  0.0207645  ,  8.28682e-32,  9.11546e-11])
55964   , -79089.4    , array([ 17.5724    ,  3.9443     ,  0.0207638  ,  8.28682e-32,  9.18259e-11])
55965   , -79089.4    , array([ 17.5724    ,  3.9443     ,  0.0207638  ,  8.28682e-32,  9.18259e-11])
55966   , -79089.4    , array([ 17.59      ,  3.9443     ,  0.0207638  ,  8.28682e-32,  9.18259e-11])
55967   , -79089.4    , array([ 17.5724    ,  3.94825    ,  0.0207638  ,  8.28682e-32,  9.18259e-11])
55968   , -79089.4    , array([ 17.5724    ,  3.9443     ,  0.0207846  ,  8.28682e-32,  9.18259e-11])
55969   , -79089.4    , array([ 17.5724    ,  3.9443     ,  0.0207638  ,  8.29511e-32,  9.18259e-11])
55970   , -79089.4    , array([ 17.5724    ,  3.9443     ,  0.0207638  ,  8.28682e-32,  9.19177e-11])
55971   , -79089.4    , array([ 17.4972    ,  3.83751    ,  0.020761   ,  8.28682e-32,  9.49398e-11])
55972   , -79089.4    , array([ 17.4972    ,  3.83751    ,  0.020761   ,  8.28682e-32,  9.49398e-11])
55973   , -79089.4    , array([ 17.5147    ,  3.83751    ,  0.020761   ,  8.28682e-32,  9.49398e-11])
55974   , -79089.4    , array([ 17.4972    ,  3.84135    ,  0.020761   ,  8.28682e-32,  9.49398e-11])
55975   , -79089.4    , array([ 17.4972    ,  3.83751    ,  0.0207818  ,  8.28682e-32,  9.49398e-11])
55976   , -79089.4    , array([ 17.4972    ,  3.83751    ,  0.020761   ,  8.29511e-32,  9.49398e-11])
55977   , -79089.4    , array([ 17.4972    ,  3.83751    ,  0.020761   ,  8.28682e-32,  9.50348e-11])
55978   , -79089.4    , array([ 17.1994    ,  3.43849    ,  0.0207499  ,  8.28682e-32,  1.08488e-10])
55979   , -79089.4    , array([ 17.1994    ,  3.43849    ,  0.0207499  ,  8.28682e-32,  1.08488e-10])
55980   , -79089.4    , array([ 17.2166    ,  3.43849    ,  0.0207499  ,  8.28682e-32,  1.08488e-10])
55981   , -79089.4    , array([ 17.1994    ,  3.44193    ,  0.0207499  ,  8.28682e-32,  1.08488e-10])
55982   , -79089.4    , array([ 17.1994    ,  3.43849    ,  0.0207706  ,  8.28682e-32,  1.08488e-10])
55983   , -79089.4    , array([ 17.1994    ,  3.43849    ,  0.0207499  ,  8.29511e-32,  1.08488e-10])
55984   , -79089.4    , array([ 17.1994    ,  3.43849    ,  0.0207499  ,  8.28682e-32,  1.08596e-10])
55985   , -79089.4    , array([ 16.058     ,  2.21636    ,  0.0207054  ,  8.28682e-32,  1.84975e-10])
55986   , -79089.4    , array([ 16.058     ,  2.21636    ,  0.0207054  ,  8.28682e-32,  1.84975e-10])
55987   , -79089.4    , array([ 16.0741    ,  2.21636    ,  0.0207054  ,  8.28682e-32,  1.84975e-10])
55988   , -79089.4    , array([ 16.058     ,  2.21858    ,  0.0207054  ,  8.28682e-32,  1.84975e-10])
55989   , -79089.4    , array([ 16.058     ,  2.21636    ,  0.0207261  ,  8.28682e-32,  1.84975e-10])
55990   , -79089.4    , array([ 16.058     ,  2.21636    ,  0.0207054  ,  8.29511e-32,  1.84975e-10])
55991   , -79089.4    , array([ 16.058     ,  2.21636    ,  0.0207054  ,  8.28682e-32,  1.8516e-10 ])
55992   , -79089.4    , array([ 12.2014    ,  0.382586   ,  0.0205284  ,  8.28682e-32,  1.56328e-09])
55993   , -79089.4    , array([ 12.2014    ,  0.382586   ,  0.0205284  ,  8.28682e-32,  1.56328e-09])
55994   , -79089.4    , array([ 12.2136    ,  0.382586   ,  0.0205284  ,  8.28682e-32,  1.56328e-09])
55995   , -79089.4    , array([ 12.2014    ,  0.382968   ,  0.0205284  ,  8.28682e-32,  1.56328e-09])
55996   , -79089.4    , array([ 12.2014    ,  0.382586   ,  0.020549   ,  8.28682e-32,  1.56328e-09])
55997   , -79089.4    , array([ 12.2014    ,  0.382586   ,  0.0205284  ,  8.29511e-32,  1.56328e-09])
55998   , -79089.4    , array([ 12.2014    ,  0.382586   ,  0.0205284  ,  8.28682e-32,  1.56484e-09])
56006   , -79089.4    , array([ 12.2014    ,  0.382586   ,  0.0205284  ,  8.28682e-32,  1.56328e-09])
56007   , -79089.4    , array([ 12.2014    ,  0.382586   ,  0.0205284  ,  8.28682e-32,  1.56328e-09])
56008   , -79089.4    , array([ 12.2136    ,  0.382586   ,  0.0205284  ,  8.28682e-32,  1.56328e-09])
56009   , -79089.4    , array([ 12.2014    ,  0.382968   ,  0.0205284  ,  8.28682e-32,  1.56328e-09])
56010   , -79089.4    , array([ 12.2014    ,  0.382586   ,  0.020549   ,  8.28682e-32,  1.56328e-09])
56011   , -79089.4    , array([ 12.2014    ,  0.382586   ,  0.0205284  ,  8.29511e-32,  1.56328e-09])
56012   , -79089.4    , array([ 12.2014    ,  0.382586   ,  0.0205284  ,  8.28682e-32,  1.56484e-09])
56013   , -79089.4    , array([ 12.2014    ,  0.382586   ,  0.0205284  ,  8.28682e-32,  1.56328e-09])
56014   , -79089.4    , array([ 12.2014    ,  0.382586   ,  0.0205284  ,  8.28682e-32,  1.56328e-09])
56015   , -79089.4    , array([ 12.2136    ,  0.382586   ,  0.0205284  ,  8.28682e-32,  1.56328e-09])
