62377   , -79089.4    , array([ 11.5533    ,  1.03881    ,  2.78208e-48,  2.23345e-33,  9.35561e-09])
62378   , -79089.4    , array([ 11.5648    ,  1.03881    ,  2.78208e-48,  2.23345e-33,  9.35561e-09])
62379   , -79089.4    , array([ 11.5533    ,  1.03985    ,  2.78208e-48,  2.23345e-33,  9.35561e-09])
62380   , -79089.4    , array([ 11.5533    ,  1.03881    ,  2.78487e-48,  2.23345e-33,  9.35561e-09])
62381   , -79089.4    , array([ 11.5533    ,  1.03881    ,  2.78208e-48,  2.23569e-33,  9.35561e-09])
62382   , -79089.4    , array([ 11.5533    ,  1.03881    ,  2.78208e-48,  2.23345e-33,  9.36497e-09])
62383   , -79089.4    , array([ 11.5533    ,  1.03881    ,  2.78208e-48,  2.23345e-33,  9.35561e-09])
62384   , -79089.4    , array([ 11.5458    ,  1.02788    ,  2.78208e-48,  2.23345e-33,  9.46277e-09])
62385   , -79089.4    , array([ 11.5458    ,  1.02788    ,  2.78208e-48,  2.23345e-33,  9.46277e-09])
62386   , -79089.4    , array([ 11.5574    ,  1.02788    ,  2.78208e-48,  2.23345e-33,  9.46277e-09])
62387   , -79089.4    , array([ 11.5458    ,  1.02891    ,  2.78208e-48,  2.23345e-33,  9.46277e-09])
62388   , -79089.4    , array([ 11.5458    ,  1.02788    ,  2.78487e-48,  2.23345e-33,  9.46277e-09])
62389   , -79089.4    , array([ 11.5458    ,  1.02788    ,  2.78208e-48,  2.23569e-33,  9.46277e-09])
62390   , -79089.4    , array([ 11.5458    ,  1.02788    ,  2.78208e-48,  2.23345e-33,  9.47224e-09])
62391   , -79089.4    , array([ 11.516     ,  0.985304   ,  2.78208e-48,  2.23345e-33,  9.90385e-09])
62392   , -79089.4    , array([ 11.516     ,  0.985304   ,  2.78208e-48,  2.23345e-33,  9.90385e-09])
62393   , -79089.4    , array([ 11.5275    ,  0.985304   ,  2.78208e-48,  2.23345e-33,  9.90385e-09])
62394   , -79089.4    , array([ 11.516     ,  0.98629    ,  2.78208e-48,  2.23345e-33,  9.90385e-09])
62395   , -79089.4    , array([ 11.516     ,  0.985304   ,  2.78487e-48,  2.23345e-33,  9.90385e-09])
62396   , -79089.4    , array([ 11.516     ,  0.985304   ,  2.78208e-48,  2.23569e-33,  9.90385e-09])
62397   , -79089.4    , array([ 11.516     ,  0.985304   ,  2.78208e-48,  2.23345e-33,  9.91375e-09])
62398   , -79089.4    , array([ 11.3975    ,  0.831911   ,  2.78208e-48,  2.23345e-33,  1.18835e-08])
62399   , -79089.4    , array([ 11.3975    ,  0.831911   ,  2.78208e-48,  2.23345e-33,  1.18835e-08])
62400   , -79089.4    , array([ 11.409     ,  0.831911   ,  2.78208e-48,  2.23345e-33,  1.18835e-08])
62401   , -79089.4    , array([ 11.3975    ,  0.832744   ,  2.78208e-48,  2.23345e-33,  1.18835e-08])
62402   , -79089.4    , array([ 11.3975    ,  0.831911   ,  2.78487e-48,  2.23345e-33,  1.18835e-08])
62403   , -79089.4    , array([ 11.3975    ,  0.831911   ,  2.78208e-48,  2.23569e-33,  1.18835e-08])
62404   , -79089.4    , array([ 11.3975    ,  0.831911   ,  2.78208e-48,  2.23345e-33,  1.18954e-08])
62405   , -79089.4    , array([ 10.9357    ,  0.42277    ,  2.78208e-48,  2.23345e-33,  2.46329e-08])
62406   , -79089.4    , array([ 10.9357    ,  0.42277    ,  2.78208e-48,  2.23345e-33,  2.46329e-08])
62407   , -79089.4    , array([ 10.9467    ,  0.42277    ,  2.78208e-48,  2.23345e-33,  2.46329e-08])
62408   , -79089.4    , array([ 10.9357    ,  0.423193   ,  2.78208e-48,  2.23345e-33,  2.46329e-08])
62409   , -79089.4    , array([ 10.9357    ,  0.42277    ,  2.78487e-48,  2.23345e-33,  2.46329e-08])
62410   , -79089.4    , array([ 10.9357    ,  0.42277    ,  2.78208e-48,  2.23569e-33,  2.46329e-08])
62411   , -79089.4    , array([ 10.9357    ,  0.42277    ,  2.78208e-48,  2.23345e-33,  2.46575e-08])
62412   , -79070.5    , array([ 9.26824    ,  0.0281977  ,  2.78208e-48,  2.23345e-33,  4.5477e-07 ])
62413   , -79070.5    , array([ 9.26824    ,  0.0281977  ,  2.78208e-48,  2.23345e-33,  4.5477e-07 ])
62414   , -79070.5    , array([ 9.27751    ,  0.0281977  ,  2.78208e-48,  2.23345e-33,  4.5477e-07 ])
62415   , -79070.5    , array([ 9.26824    ,  0.0282259  ,  2.78208e-48,  2.23345e-33,  4.5477e-07 ])
62416   , -79070.5    , array([ 9.26824    ,  0.0281977  ,  2.78487e-48,  2.23345e-33,  4.5477e-07 ])
62417   , -79070.5    , array([ 9.26824    ,  0.0281977  ,  2.78208e-48,  2.23569e-33,  4.5477e-07 ])
62418   , -79070.4    , array([ 9.26824    ,  0.0281977  ,  2.78208e-48,  2.23345e-33,  4.55225e-07])
62426   , -79070.5    , array([ 9.26823    ,  0.0281974  ,  2.78208e-48,  2.23345e-33,  4.54774e-07])
62427   , -79070.5    , array([ 9.26823    ,  0.0281974  ,  2.78208e-48,  2.23345e-33,  4.54774e-07])
62428   , -79070.5    , array([ 9.27751    ,  0.0281974  ,  2.78208e-48,  2.23345e-33,  4.54774e-07])
