69596   , -61439      , array([ 5.66076    ,  1.40449    ,  5.32588e-64,  2.74781e-13,  0.0221168  ])
69597   , -61441.3    , array([ 5.66642    ,  1.40449    ,  5.32588e-64,  2.74781e-13,  0.0221168  ])
69598   , -61452      , array([ 5.66076    ,  1.40589    ,  5.32588e-64,  2.74781e-13,  0.0221168  ])
69599   , -61439      , array([ 5.66076    ,  1.40449    ,  5.33121e-64,  2.74781e-13,  0.0221168  ])
69600   , -61439      , array([ 5.66076    ,  1.40449    ,  5.32588e-64,  2.75056e-13,  0.0221168  ])
69601   , -61424.8    , array([ 5.66076    ,  1.40449    ,  5.32588e-64,  2.74781e-13,  0.0221389  ])
69602   , -61439      , array([ 5.66076    ,  1.40449    ,  5.32588e-64,  2.74781e-13,  0.0221168  ])
69603   , -33040.1    , array([ 5.02696    ,  0.711976   ,  5.32588e-64,  2.74781e-13,  0.0462564  ])
69604   , -33040.1    , array([ 5.02696    ,  0.711976   ,  5.32588e-64,  2.74781e-13,  0.0462564  ])
69605   , -33042.6    , array([ 5.03199    ,  0.711976   ,  5.32588e-64,  2.74781e-13,  0.0462564  ])
69606   , -33064.9    , array([ 5.02696    ,  0.712689   ,  5.32588e-64,  2.74781e-13,  0.0462564  ])
69607   , -33040.1    , array([ 5.02696    ,  0.711976   ,  5.33121e-64,  2.74781e-13,  0.0462564  ])
69608   , -33040.1    , array([ 5.02696    ,  0.711976   ,  5.32588e-64,  2.75056e-13,  0.0462564  ])
69609   , -33016.1    , array([ 5.02696    ,  0.711976   ,  5.32588e-64,  2.74781e-13,  0.0463027  ])
69610   , -665339     , array([ 3.12628    ,  0.0470175  ,  5.32588e-64,  2.74781e-13,  0.885055   ])
69611   , -665339     , array([ 3.12628    ,  0.0470175  ,  5.32588e-64,  2.74781e-13,  0.885055   ])
69612   , -665337     , array([ 3.12941    ,  0.0470175  ,  5.32588e-64,  2.74781e-13,  0.885055   ])
69613   , -664686     , array([ 3.12628    ,  0.0470645  ,  5.32588e-64,  2.74781e-13,  0.885055   ])
69614   , -665339     , array([ 3.12628    ,  0.0470175  ,  5.33121e-64,  2.74781e-13,  0.885055   ])
69615   , -665339     , array([ 3.12628    ,  0.0470175  ,  5.32588e-64,  2.75056e-13,  0.885055   ])
69616   , -666013     , array([ 3.12628    ,  0.0470175  ,  5.32588e-64,  2.74781e-13,  0.88594    ])
69617   , -5343.23    , array([ 4.38091    ,  0.324087   ,  5.32588e-64,  2.74781e-13,  0.108742   ])
69618   , -5343.23    , array([ 4.38091    ,  0.324087   ,  5.32588e-64,  2.74781e-13,  0.108742   ])
69619   , -5344.32    , array([ 4.38529    ,  0.324087   ,  5.32588e-64,  2.74781e-13,  0.108742   ])
69620   , -5346.76    , array([ 4.38091    ,  0.324411   ,  5.32588e-64,  2.74781e-13,  0.108742   ])
69621   , -5343.23    , array([ 4.38091    ,  0.324087   ,  5.33121e-64,  2.74781e-13,  0.108742   ])
69622   , -5343.23    , array([ 4.38091    ,  0.324087   ,  5.32588e-64,  2.75056e-13,  0.108742   ])
69623   , -5345.67    , array([ 4.38091    ,  0.324087   ,  5.32588e-64,  2.74781e-13,  0.108851   ])
69631   , -5322       , array([ 4.3756     ,  0.322782   ,  5.32588e-64,  2.74781e-13,  0.108482   ])
69632   , -5322       , array([ 4.3756     ,  0.322782   ,  5.32588e-64,  2.74781e-13,  0.108482   ])
69633   , -5323.08    , array([ 4.37998    ,  0.322782   ,  5.32588e-64,  2.74781e-13,  0.108482   ])
69634   , -5325.48    , array([ 4.3756     ,  0.323105   ,  5.32588e-64,  2.74781e-13,  0.108482   ])
69635   , -5322       , array([ 4.3756     ,  0.322782   ,  5.33121e-64,  2.74781e-13,  0.108482   ])
69636   , -5322       , array([ 4.3756     ,  0.322782   ,  5.32588e-64,  2.75056e-13,  0.108482   ])
69637   , -5324.47    , array([ 4.3756     ,  0.322782   ,  5.32588e-64,  2.74781e-13,  0.10859    ])
69638   , -3586.68    , array([ 3.57861    ,  0.165274   ,  5.32588e-64,  2.74781e-13,  0.0728472  ])
69639   , -3586.68    , array([ 3.57861    ,  0.165274   ,  5.32588e-64,  2.74781e-13,  0.0728472  ])
69640   , -3587.19    , array([ 3.58219    ,  0.165274   ,  5.32588e-64,  2.74781e-13,  0.0728472  ])
69641   , -3581.6     , array([ 3.57861    ,  0.165439   ,  5.32588e-64,  2.74781e-13,  0.0728472  ])
69642   , -3586.68    , array([ 3.57861    ,  0.165274   ,  5.33121e-64,  2.74781e-13,  0.0728472  ])
69643   , -3586.68    , array([ 3.57861    ,  0.165274   ,  5.32588e-64,  2.75056e-13,  0.0728472  ])
69644   , -3594.88    , array([ 3.57861    ,  0.165274   ,  5.32588e-64,  2.74781e-13,  0.0729201  ])
69645   , -30565.7    , array([ 0.151299   ,  0.180943   ,  5.32588e-64,  2.74781e-13,  0.0609021  ])
69646   , -30565.7    , array([ 0.151299   ,  0.180943   ,  5.32588e-64,  2.74781e-13,  0.0609021  ])
69647   , -30530.4    , array([ 0.15145    ,  0.180943   ,  5.32588e-64,  2.74781e-13,  0.0609021  ])
69648   , -30572.2    , array([ 0.151299   ,  0.181124   ,  5.32588e-64,  2.74781e-13,  0.0609021  ])
69649   , -30565.7    , array([ 0.151299   ,  0.180943   ,  5.33121e-64,  2.74781e-13,  0.0609021  ])
69650   , -30565.7    , array([ 0.151299   ,  0.180943   ,  5.32588e-64,  2.75056e-13,  0.0609021  ])
69651   , -30590.4    , array([ 0.151299   ,  0.180943   ,  5.32588e-64,  2.74781e-13,  0.0609631  ])
69652   , -3091.27    , array([ 1.92521    ,  0.168234   ,  5.32588e-64,  2.74781e-13,  0.0703348  ])
69653   , -3091.27    , array([ 1.92521    ,  0.168234   ,  5.32588e-64,  2.74781e-13,  0.0703348  ])
69654   , -3091.11    , array([ 1.92713    ,  0.168234   ,  5.32588e-64,  2.74781e-13,  0.0703348  ])
69655   , -3087.6     , array([ 1.92521    ,  0.168402   ,  5.32588e-64,  2.74781e-13,  0.0703348  ])
69656   , -3091.27    , array([ 1.92521    ,  0.168234   ,  5.33121e-64,  2.74781e-13,  0.0703348  ])
69657   , -3091.27    , array([ 1.92521    ,  0.168234   ,  5.32588e-64,  2.75056e-13,  0.0703348  ])
69658   , -3097.91    , array([ 1.92521    ,  0.168234   ,  5.32588e-64,  2.74781e-13,  0.0704052  ])
69659   , -2330.3     , array([ 2.23831    ,  0.140554   ,  5.32588e-64,  2.74781e-13,  0.0549669  ])
69660   , -2330.3     , array([ 2.23831    ,  0.140554   ,  5.32588e-64,  2.74781e-13,  0.0549669  ])
69661   , -2330.47    , array([ 2.24055    ,  0.140554   ,  5.32588e-64,  2.74781e-13,  0.0549669  ])
69662   , -2328.45    , array([ 2.23831    ,  0.140695   ,  5.32588e-64,  2.74781e-13,  0.0549669  ])
69663   , -2330.3     , array([ 2.23831    ,  0.140554   ,  5.33121e-64,  2.74781e-13,  0.0549669  ])
69664   , -2330.3     , array([ 2.23831    ,  0.140554   ,  5.32588e-64,  2.75056e-13,  0.0549669  ])
69665   , -2334.02    , array([ 2.23831    ,  0.140554   ,  5.32588e-64,  2.74781e-13,  0.0550219  ])
69666   , -1731.14    , array([ 1.66838    ,  0.0993578  ,  5.32588e-64,  2.74781e-13,  0.0354071  ])
69667   , -1731.14    , array([ 1.66838    ,  0.0993578  ,  5.32588e-64,  2.74781e-13,  0.0354071  ])
69668   , -1731.15    , array([ 1.67005    ,  0.0993578  ,  5.32588e-64,  2.74781e-13,  0.0354071  ])
69669   , -1731.59    , array([ 1.66838    ,  0.0994572  ,  5.32588e-64,  2.74781e-13,  0.0354071  ])
69670   , -1731.14    , array([ 1.66838    ,  0.0993578  ,  5.33121e-64,  2.74781e-13,  0.0354071  ])
69671   , -1731.14    , array([ 1.66838    ,  0.0993578  ,  5.32588e-64,  2.75056e-13,  0.0354071  ])
69672   , -1731.33    , array([ 1.66838    ,  0.0993578  ,  5.32588e-64,  2.74781e-13,  0.0354425  ])
69673   , -1650.65    , array([ 1.57708    ,  0.0817137  ,  5.32588e-64,  2.74781e-13,  0.0291795  ])
69674   , -1650.65    , array([ 1.57708    ,  0.0817137  ,  5.32588e-64,  2.74781e-13,  0.0291795  ])
69675   , -1650.67    , array([ 1.57866    ,  0.0817137  ,  5.32588e-64,  2.74781e-13,  0.0291795  ])
69676   , -1650.89    , array([ 1.57708    ,  0.0817955  ,  5.32588e-64,  2.74781e-13,  0.0291795  ])
69677   , -1650.65    , array([ 1.57708    ,  0.0817137  ,  5.33121e-64,  2.74781e-13,  0.0291795  ])
69678   , -1650.65    , array([ 1.57708    ,  0.0817137  ,  5.32588e-64,  2.75056e-13,  0.0291795  ])
69679   , -1650.67    , array([ 1.57708    ,  0.0817137  ,  5.32588e-64,  2.74781e-13,  0.0292087  ])
69680   , -1632.69    , array([ 1.49733    ,  0.0711235  ,  5.32588e-64,  2.74781e-13,  0.0254953  ])
69681   , -1632.69    , array([ 1.49733    ,  0.0711235  ,  5.32588e-64,  2.74781e-13,  0.0254953  ])
69682   , -1632.7     , array([ 1.49883    ,  0.0711235  ,  5.32588e-64,  2.74781e-13,  0.0254953  ])
69683   , -1632.71    , array([ 1.49733    ,  0.0711947  ,  5.32588e-64,  2.74781e-13,  0.0254953  ])
69684   , -1632.69    , array([ 1.49733    ,  0.0711235  ,  5.33121e-64,  2.74781e-13,  0.0254953  ])
69685   , -1632.69    , array([ 1.49733    ,  0.0711235  ,  5.32588e-64,  2.75056e-13,  0.0254953  ])
69686   , -1632.73    , array([ 1.49733    ,  0.0711235  ,  5.32588e-64,  2.74781e-13,  0.0255208  ])
69687   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69688   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69689   , -1632.37    , array([ 1.46085    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69690   , -1632.36    , array([ 1.45939    ,  0.0682648  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69691   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.33121e-64,  2.74781e-13,  0.0244338  ])
69692   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.75056e-13,  0.0244338  ])
69693   , -1632.38    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244582  ])
69694   , -1632.54    , array([ 1.44486    ,  0.0676478  ,  5.32588e-64,  2.74781e-13,  0.0242267  ])
69695   , -1632.54    , array([ 1.44486    ,  0.0676478  ,  5.32588e-64,  2.74781e-13,  0.0242267  ])
69696   , -1632.55    , array([ 1.44631    ,  0.0676478  ,  5.32588e-64,  2.74781e-13,  0.0242267  ])
69697   , -1632.54    , array([ 1.44486    ,  0.0677155  ,  5.32588e-64,  2.74781e-13,  0.0242267  ])
69698   , -1632.54    , array([ 1.44486    ,  0.0676478  ,  5.33121e-64,  2.74781e-13,  0.0242267  ])
69699   , -1632.54    , array([ 1.44486    ,  0.0676478  ,  5.32588e-64,  2.75056e-13,  0.0242267  ])
69700   , -1632.54    , array([ 1.44486    ,  0.0676478  ,  5.32588e-64,  2.74781e-13,  0.0242509  ])
69701   , -1632.38    , array([ 1.45813    ,  0.068149   ,  5.32588e-64,  2.74781e-13,  0.0244158  ])
69702   , -1632.38    , array([ 1.45813    ,  0.068149   ,  5.32588e-64,  2.74781e-13,  0.0244158  ])
69703   , -1632.38    , array([ 1.45959    ,  0.068149   ,  5.32588e-64,  2.74781e-13,  0.0244158  ])
69704   , -1632.37    , array([ 1.45813    ,  0.0682172  ,  5.32588e-64,  2.74781e-13,  0.0244158  ])
69705   , -1632.38    , array([ 1.45813    ,  0.068149   ,  5.33121e-64,  2.74781e-13,  0.0244158  ])
69706   , -1632.38    , array([ 1.45813    ,  0.068149   ,  5.32588e-64,  2.75056e-13,  0.0244158  ])
69707   , -1632.39    , array([ 1.45813    ,  0.068149   ,  5.32588e-64,  2.74781e-13,  0.0244402  ])
69708   , -1632.37    , array([ 1.45927    ,  0.0681922  ,  5.32588e-64,  2.74781e-13,  0.0244321  ])
69709   , -1632.37    , array([ 1.45927    ,  0.0681922  ,  5.32588e-64,  2.74781e-13,  0.0244321  ])
69710   , -1632.37    , array([ 1.46073    ,  0.0681922  ,  5.32588e-64,  2.74781e-13,  0.0244321  ])
69711   , -1632.36    , array([ 1.45927    ,  0.0682604  ,  5.32588e-64,  2.74781e-13,  0.0244321  ])
69712   , -1632.37    , array([ 1.45927    ,  0.0681922  ,  5.33121e-64,  2.74781e-13,  0.0244321  ])
69713   , -1632.37    , array([ 1.45927    ,  0.0681922  ,  5.32588e-64,  2.75056e-13,  0.0244321  ])
69714   , -1632.38    , array([ 1.45927    ,  0.0681922  ,  5.32588e-64,  2.74781e-13,  0.0244566  ])
69715   , -1632.37    , array([ 1.45938    ,  0.0681962  ,  5.32588e-64,  2.74781e-13,  0.0244336  ])
69716   , -1632.37    , array([ 1.45938    ,  0.0681962  ,  5.32588e-64,  2.74781e-13,  0.0244336  ])
69717   , -1632.37    , array([ 1.46084    ,  0.0681962  ,  5.32588e-64,  2.74781e-13,  0.0244336  ])
69718   , -1632.36    , array([ 1.45938    ,  0.0682644  ,  5.32588e-64,  2.74781e-13,  0.0244336  ])
69719   , -1632.37    , array([ 1.45938    ,  0.0681962  ,  5.33121e-64,  2.74781e-13,  0.0244336  ])
69720   , -1632.37    , array([ 1.45938    ,  0.0681962  ,  5.32588e-64,  2.75056e-13,  0.0244336  ])
69721   , -1632.38    , array([ 1.45938    ,  0.0681962  ,  5.32588e-64,  2.74781e-13,  0.0244581  ])
69722   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69723   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69724   , -1632.37    , array([ 1.46085    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69725   , -1632.36    , array([ 1.45939    ,  0.0682648  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69726   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.33121e-64,  2.74781e-13,  0.0244338  ])
69727   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.75056e-13,  0.0244338  ])
69728   , -1632.38    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244582  ])
69729   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69730   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69731   , -1632.37    , array([ 1.46085    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69732   , -1632.36    , array([ 1.45939    ,  0.0682648  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69733   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.33121e-64,  2.74781e-13,  0.0244338  ])
69734   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.75056e-13,  0.0244338  ])
69735   , -1632.38    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244582  ])
69736   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69737   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69738   , -1632.37    , array([ 1.46085    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69739   , -1632.36    , array([ 1.45939    ,  0.0682648  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69740   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.33121e-64,  2.74781e-13,  0.0244338  ])
69741   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.75056e-13,  0.0244338  ])
69742   , -1632.38    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244582  ])
69743   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69744   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69745   , -1632.37    , array([ 1.46085    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69746   , -1632.36    , array([ 1.45939    ,  0.0682648  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69747   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.33121e-64,  2.74781e-13,  0.0244338  ])
69748   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.75056e-13,  0.0244338  ])
69749   , -1632.38    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244582  ])
69750   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69751   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69752   , -1632.37    , array([ 1.46085    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69753   , -1632.36    , array([ 1.45939    ,  0.0682648  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69754   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.33121e-64,  2.74781e-13,  0.0244338  ])
69755   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.75056e-13,  0.0244338  ])
69756   , -1632.38    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244582  ])
69757   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69758   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69759   , -1632.37    , array([ 1.46085    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69760   , -1632.36    , array([ 1.45939    ,  0.0682648  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69761   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.33121e-64,  2.74781e-13,  0.0244338  ])
69762   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.75056e-13,  0.0244338  ])
69763   , -1632.38    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244582  ])
69764   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69765   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69766   , -1632.37    , array([ 1.46085    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69767   , -1632.36    , array([ 1.45939    ,  0.0682648  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69768   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.33121e-64,  2.74781e-13,  0.0244338  ])
69769   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.75056e-13,  0.0244338  ])
69770   , -1632.38    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244582  ])
69771   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69772   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69773   , -1632.37    , array([ 1.46085    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69774   , -1632.36    , array([ 1.45939    ,  0.0682648  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69775   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.33121e-64,  2.74781e-13,  0.0244338  ])
69776   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.75056e-13,  0.0244338  ])
69777   , -1632.38    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244582  ])
69778   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69779   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69780   , -1632.37    , array([ 1.46085    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69781   , -1632.36    , array([ 1.45939    ,  0.0682648  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69782   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.33121e-64,  2.74781e-13,  0.0244338  ])
69783   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.75056e-13,  0.0244338  ])
69784   , -1632.38    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244582  ])
69785   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69786   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69787   , -1632.37    , array([ 1.46085    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69788   , -1632.36    , array([ 1.45939    ,  0.0682648  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
69789   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.33121e-64,  2.74781e-13,  0.0244338  ])
69790   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.75056e-13,  0.0244338  ])
69791   , -1632.38    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244582  ])
69792   , -1632.37    , array([ 1.45939    ,  0.0681966  ,  5.32588e-64,  2.74781e-13,  0.0244338  ])
