83597   , -79088.8    , array([ 0.387756   ,  0.0127922  ,  4.76973e-41,  0.0467009  ,  7.20278e-09])
83598   , -79088.8    , array([ 0.388144   ,  0.0127922  ,  4.76973e-41,  0.0467009  ,  7.20278e-09])
83599   , -79088.8    , array([ 0.387756   ,  0.012805   ,  4.76973e-41,  0.0467009  ,  7.20278e-09])
83600   , -79088.8    , array([ 0.387756   ,  0.0127922  ,  4.7745e-41 ,  0.0467009  ,  7.20278e-09])
83601   , -79088.8    , array([ 0.387756   ,  0.0127922  ,  4.76973e-41,  0.0467476  ,  7.20278e-09])
83602   , -79088.8    , array([ 0.387756   ,  0.0127922  ,  4.76973e-41,  0.0467009  ,  7.20998e-09])
83603   , -79088.8    , array([ 0.387756   ,  0.0127922  ,  4.76973e-41,  0.0467009  ,  7.20278e-09])
83604   , -79086.9    , array([ 0.382049   ,  0.00660347 ,  4.76973e-41,  0.0467008  ,  1.41729e-08])
83605   , -79086.9    , array([ 0.382049   ,  0.00660347 ,  4.76973e-41,  0.0467008  ,  1.41729e-08])
83606   , -79086.9    , array([ 0.382432   ,  0.00660347 ,  4.76973e-41,  0.0467008  ,  1.41729e-08])
83607   , -79086.9    , array([ 0.382049   ,  0.00661008 ,  4.76973e-41,  0.0467008  ,  1.41729e-08])
83608   , -79086.9    , array([ 0.382049   ,  0.00660347 ,  4.7745e-41 ,  0.0467008  ,  1.41729e-08])
83609   , -79086.9    , array([ 0.382049   ,  0.00660347 ,  4.76973e-41,  0.0467476  ,  1.41729e-08])
83610   , -79086.9    , array([ 0.382049   ,  0.00660347 ,  4.76973e-41,  0.0467008  ,  1.4187e-08 ])
83618   , -79086.9    , array([ 0.382049   ,  0.00660347 ,  4.76973e-41,  0.0467008  ,  1.41729e-08])
83619   , -79086.9    , array([ 0.382049   ,  0.00660347 ,  4.76973e-41,  0.0467008  ,  1.41729e-08])
83620   , -79086.9    , array([ 0.382432   ,  0.00660347 ,  4.76973e-41,  0.0467008  ,  1.41729e-08])
83621   , -79086.9    , array([ 0.382049   ,  0.00661008 ,  4.76973e-41,  0.0467008  ,  1.41729e-08])
83622   , -79086.9    , array([ 0.382049   ,  0.00660347 ,  4.7745e-41 ,  0.0467008  ,  1.41729e-08])
83623   , -79086.9    , array([ 0.382049   ,  0.00660347 ,  4.76973e-41,  0.0467476  ,  1.41729e-08])
83624   , -79086.9    , array([ 0.382049   ,  0.00660347 ,  4.76973e-41,  0.0467008  ,  1.4187e-08 ])
83625   , -79086.9    , array([ 0.382049   ,  0.00660347 ,  4.76973e-41,  0.0467008  ,  1.41729e-08])
83626   , -79086.9    , array([ 0.382049   ,  0.00660347 ,  4.76973e-41,  0.0467008  ,  1.41729e-08])
83627   , -79086.9    , array([ 0.382432   ,  0.00660347 ,  4.76973e-41,  0.0467008  ,  1.41729e-08])
83628   , -79086.9    , array([ 0.382049   ,  0.00661008 ,  4.76973e-41,  0.0467008  ,  1.41729e-08])
83629   , -79086.9    , array([ 0.382049   ,  0.00660347 ,  4.7745e-41 ,  0.0467008  ,  1.41729e-08])
83630   , -79086.9    , array([ 0.382049   ,  0.00660347 ,  4.76973e-41,  0.0467476  ,  1.41729e-08])
83631   , -79086.9    , array([ 0.382049   ,  0.00660347 ,  4.76973e-41,  0.0467008  ,  1.4187e-08 ])
83632   , -79052.7    , array([ 0.370886   ,  0.00175965 ,  4.76973e-41,  0.0467008  ,  5.48747e-08])
83633   , -79052.7    , array([ 0.370886   ,  0.00175965 ,  4.76973e-41,  0.0467008  ,  5.48747e-08])
83634   , -79052.7    , array([ 0.371257   ,  0.00175965 ,  4.76973e-41,  0.0467008  ,  5.48747e-08])
83635   , -79052.7    , array([ 0.370886   ,  0.00176141 ,  4.76973e-41,  0.0467008  ,  5.48747e-08])
83636   , -79052.7    , array([ 0.370886   ,  0.00175965 ,  4.7745e-41 ,  0.0467008  ,  5.48747e-08])
83637   , -79052.7    , array([ 0.370886   ,  0.00175965 ,  4.76973e-41,  0.0467475  ,  5.48747e-08])
83638   , -79052.7    , array([ 0.370886   ,  0.00175965 ,  4.76973e-41,  0.0467008  ,  5.49296e-08])
83639   , -79052.7    , array([ 0.370886   ,  0.00175965 ,  4.76973e-41,  0.0467008  ,  5.48747e-08])
83640   , -79052.7    , array([ 0.370886   ,  0.00175965 ,  4.76973e-41,  0.0467008  ,  5.48747e-08])
83641   , -79052.7    , array([ 0.371257   ,  0.00175965 ,  4.76973e-41,  0.0467008  ,  5.48747e-08])
83642   , -79052.7    , array([ 0.370886   ,  0.00176141 ,  4.76973e-41,  0.0467008  ,  5.48747e-08])
83643   , -79052.7    , array([ 0.370886   ,  0.00175965 ,  4.7745e-41 ,  0.0467008  ,  5.48747e-08])
83644   , -79052.7    , array([ 0.370886   ,  0.00175965 ,  4.76973e-41,  0.0467475  ,  5.48747e-08])
83645   , -79052.7    , array([ 0.370886   ,  0.00175965 ,  4.76973e-41,  0.0467008  ,  5.49296e-08])
83646   , -79052.7    , array([ 0.370886   ,  0.00175965 ,  4.76973e-41,  0.0467008  ,  5.48747e-08])
83647   , -79052.7    , array([ 0.370886   ,  0.00175965 ,  4.76973e-41,  0.0467008  ,  5.48747e-08])
83648   , -79052.7    , array([ 0.371257   ,  0.00175965 ,  4.76973e-41,  0.0467008  ,  5.48747e-08])
83649   , -79052.7    , array([ 0.370886   ,  0.00176141 ,  4.76973e-41,  0.0467008  ,  5.48747e-08])
83650   , -79052.7    , array([ 0.370886   ,  0.00175965 ,  4.7745e-41 ,  0.0467008  ,  5.48747e-08])
83651   , -79052.7    , array([ 0.370886   ,  0.00175965 ,  4.76973e-41,  0.0467475  ,  5.48747e-08])
83652   , -79052.7    , array([ 0.370886   ,  0.00175965 ,  4.76973e-41,  0.0467008  ,  5.49296e-08])
83660   , -79052.7    , array([ 0.370886   ,  0.00175965 ,  4.76973e-41,  0.0467008  ,  5.48747e-08])
83661   , -79052.7    , array([ 0.370886   ,  0.00175965 ,  4.76973e-41,  0.0467008  ,  5.48747e-08])
83662   , -79052.7    , array([ 0.371257   ,  0.00175965 ,  4.76973e-41,  0.0467008  ,  5.48747e-08])
83663   , -79052.7    , array([ 0.370886   ,  0.00176141 ,  4.76973e-41,  0.0467008  ,  5.48747e-08])
83664   , -79052.7    , array([ 0.370886   ,  0.00175965 ,  4.7745e-41 ,  0.0467008  ,  5.48747e-08])
83665   , -79052.7    , array([ 0.370886   ,  0.00175965 ,  4.76973e-41,  0.0467475  ,  5.48747e-08])
83666   , -79052.7    , array([ 0.370886   ,  0.00175965 ,  4.76973e-41,  0.0467008  ,  5.49296e-08])
83667   , -79052.7    , array([ 0.370886   ,  0.00175965 ,  4.76973e-41,  0.0467008  ,  5.48747e-08])
83668   , -79052.7    , array([ 0.370886   ,  0.00175965 ,  4.76973e-41,  0.0467008  ,  5.48747e-08])
83669   , -79052.7    , array([ 0.371257   ,  0.00175965 ,  4.76973e-41,  0.0467008  ,  5.48747e-08])
83670   , -79052.7    , array([ 0.370886   ,  0.00176141 ,  4.76973e-41,  0.0467008  ,  5.48747e-08])
83671   , -79052.7    , array([ 0.370886   ,  0.00175965 ,  4.7745e-41 ,  0.0467008  ,  5.48747e-08])
83672   , -79052.7    , array([ 0.370886   ,  0.00175965 ,  4.76973e-41,  0.0467475  ,  5.48747e-08])
83673   , -79052.7    , array([ 0.370886   ,  0.00175965 ,  4.76973e-41,  0.0467008  ,  5.49296e-08])
83674   , -79017.8    , array([ 0.368147   ,  0.00126427 ,  4.76973e-41,  0.0467008  ,  7.69753e-08])
