143798  , -79065.1    , array([ 7.40684    ,  0.679317   ,  0.000189877,  3.41511e-67,  1.31205e-05])
143799  , -79065.1    , array([ 7.41425    ,  0.679317   ,  0.000189877,  3.41511e-67,  1.31205e-05])
143800  , -79065.1    , array([ 7.40684    ,  0.679996   ,  0.000189877,  3.41511e-67,  1.31205e-05])
143801  , -79065.1    , array([ 7.40684    ,  0.679317   ,  0.000190067,  3.41511e-67,  1.31205e-05])
143802  , -79065.1    , array([ 7.40684    ,  0.679317   ,  0.000189877,  3.41853e-67,  1.31205e-05])
143803  , -79065.1    , array([ 7.40684    ,  0.679317   ,  0.000189877,  3.41511e-67,  1.31336e-05])
143804  , -79065.1    , array([ 7.40684    ,  0.679317   ,  0.000189877,  3.41511e-67,  1.31205e-05])
143805  , -78991.5    , array([ 7.09589    ,  0.341414   ,  0.000189877,  3.41511e-67,  2.745e-05  ])
143806  , -78991.5    , array([ 7.09589    ,  0.341414   ,  0.000189877,  3.41511e-67,  2.745e-05  ])
143807  , -78991.5    , array([ 7.10299    ,  0.341414   ,  0.000189877,  3.41511e-67,  2.745e-05  ])
143808  , -78991.6    , array([ 7.09589    ,  0.341755   ,  0.000189877,  3.41511e-67,  2.745e-05  ])
143809  , -78991.5    , array([ 7.09589    ,  0.341414   ,  0.000190067,  3.41511e-67,  2.745e-05  ])
143810  , -78991.5    , array([ 7.09589    ,  0.341414   ,  0.000189877,  3.41853e-67,  2.745e-05  ])
143811  , -78991.4    , array([ 7.09589    ,  0.341414   ,  0.000189877,  3.41511e-67,  2.74774e-05])
143812  , -56258.8    , array([ 5.97725    ,  0.0217829  ,  0.000189877,  3.41511e-67,  0.00052591 ])
143813  , -56258.8    , array([ 5.97725    ,  0.0217829  ,  0.000189877,  3.41511e-67,  0.00052591 ])
143814  , -56258.8    , array([ 5.98323    ,  0.0217829  ,  0.000189877,  3.41511e-67,  0.00052591 ])
143815  , -56277      , array([ 5.97725    ,  0.0218046  ,  0.000189877,  3.41511e-67,  0.00052591 ])
143816  , -56258.8    , array([ 5.97725    ,  0.0217829  ,  0.000190067,  3.41511e-67,  0.00052591 ])
143817  , -56258.8    , array([ 5.97725    ,  0.0217829  ,  0.000189877,  3.41853e-67,  0.00052591 ])
143818  , -56240.5    , array([ 5.97725    ,  0.0217829  ,  0.000189877,  3.41511e-67,  0.000526436])
143826  , -55968.5    , array([ 5.9744     ,  0.0216172  ,  0.000189877,  3.41511e-67,  0.000530235])
143827  , -55968.5    , array([ 5.9744     ,  0.0216172  ,  0.000189877,  3.41511e-67,  0.000530235])
143828  , -55968.5    , array([ 5.98038    ,  0.0216172  ,  0.000189877,  3.41511e-67,  0.000530235])
143829  , -55986.9    , array([ 5.9744     ,  0.0216388  ,  0.000189877,  3.41511e-67,  0.000530235])
143830  , -55968.5    , array([ 5.9744     ,  0.0216172  ,  0.000190067,  3.41511e-67,  0.000530235])
143831  , -55968.5    , array([ 5.9744     ,  0.0216172  ,  0.000189877,  3.41853e-67,  0.000530235])
143832  , -55950      , array([ 5.9744     ,  0.0216172  ,  0.000189877,  3.41511e-67,  0.000530766])
143833  , -55673.1    , array([ 5.97154    ,  0.0214515  ,  0.000189877,  3.41511e-67,  0.000534631])
143834  , -55673.1    , array([ 5.97154    ,  0.0214515  ,  0.000189877,  3.41511e-67,  0.000534631])
143835  , -55673.1    , array([ 5.97751    ,  0.0214515  ,  0.000189877,  3.41511e-67,  0.000534631])
143836  , -55691.6    , array([ 5.97154    ,  0.021473   ,  0.000189877,  3.41511e-67,  0.000534631])
143837  , -55673.1    , array([ 5.97154    ,  0.0214515  ,  0.000190067,  3.41511e-67,  0.000534631])
143838  , -55673.1    , array([ 5.97154    ,  0.0214515  ,  0.000189877,  3.41853e-67,  0.000534631])
143839  , -55654.4    , array([ 5.97154    ,  0.0214515  ,  0.000189877,  3.41511e-67,  0.000535166])
143847  , -55598.1    , array([ 5.97082    ,  0.0214099  ,  0.000189877,  3.41511e-67,  0.000535745])
143848  , -55598.1    , array([ 5.97082    ,  0.0214099  ,  0.000189877,  3.41511e-67,  0.000535745])
143849  , -55598.1    , array([ 5.97679    ,  0.0214099  ,  0.000189877,  3.41511e-67,  0.000535745])
143850  , -55616.7    , array([ 5.97082    ,  0.0214313  ,  0.000189877,  3.41511e-67,  0.000535745])
143851  , -55598.1    , array([ 5.97082    ,  0.0214099  ,  0.000190067,  3.41511e-67,  0.000535745])
143852  , -55598.1    , array([ 5.97082    ,  0.0214099  ,  0.000189877,  3.41853e-67,  0.000535745])
143853  , -55579.4    , array([ 5.97082    ,  0.0214099  ,  0.000189877,  3.41511e-67,  0.000536281])
143854  , -55522.8    , array([ 5.97009    ,  0.0213683  ,  0.000189877,  3.41511e-67,  0.000536864])
143855  , -55522.8    , array([ 5.97009    ,  0.0213683  ,  0.000189877,  3.41511e-67,  0.000536864])
143856  , -55522.9    , array([ 5.97607    ,  0.0213683  ,  0.000189877,  3.41511e-67,  0.000536864])
143857  , -55541.5    , array([ 5.97009    ,  0.0213897  ,  0.000189877,  3.41511e-67,  0.000536864])
143858  , -55522.8    , array([ 5.97009    ,  0.0213683  ,  0.000190067,  3.41511e-67,  0.000536864])
143859  , -55522.8    , array([ 5.97009    ,  0.0213683  ,  0.000189877,  3.41853e-67,  0.000536864])
143860  , -55504.1    , array([ 5.97009    ,  0.0213683  ,  0.000189877,  3.41511e-67,  0.000537401])
143861  , -257691     , array([ 5.03074    ,  0.00137124 ,  0.000189877,  3.41511e-67,  0.0102222  ])
143862  , -257691     , array([ 5.03074    ,  0.00137124 ,  0.000189877,  3.41511e-67,  0.0102222  ])
143863  , -257691     , array([ 5.03577    ,  0.00137124 ,  0.000189877,  3.41511e-67,  0.0102222  ])
143864  , -257426     , array([ 5.03074    ,  0.00137261 ,  0.000189877,  3.41511e-67,  0.0102222  ])
143865  , -257691     , array([ 5.03074    ,  0.00137124 ,  0.000190067,  3.41511e-67,  0.0102222  ])
143866  , -257691     , array([ 5.03074    ,  0.00137124 ,  0.000189877,  3.41853e-67,  0.0102222  ])
143867  , -257950     , array([ 5.03074    ,  0.00137124 ,  0.000189877,  3.41511e-67,  0.0102324  ])
143868  , -8422.08    , array([ 5.62378    ,  0.00819312 ,  0.000189877,  3.41511e-67,  0.00150163 ])
143869  , -8422.08    , array([ 5.62378    ,  0.00819312 ,  0.000189877,  3.41511e-67,  0.00150163 ])
143870  , -8422.1     , array([ 5.6294     ,  0.00819312 ,  0.000189877,  3.41511e-67,  0.00150163 ])
143871  , -8439.43    , array([ 5.62378    ,  0.00820132 ,  0.000189877,  3.41511e-67,  0.00150163 ])
143872  , -8422.08    , array([ 5.62378    ,  0.00819312 ,  0.000190067,  3.41511e-67,  0.00150163 ])
143873  , -8422.08    , array([ 5.62378    ,  0.00819312 ,  0.000189877,  3.41853e-67,  0.00150163 ])
143874  , -8404.69    , array([ 5.62378    ,  0.00819312 ,  0.000189877,  3.41511e-67,  0.00150313 ])
143875  , -2636.4     , array([ 5.50275    ,  0.00577947 ,  0.000189877,  3.41511e-67,  0.00218365 ])
143876  , -2636.4     , array([ 5.50275    ,  0.00577947 ,  0.000189877,  3.41511e-67,  0.00218365 ])
143877  , -2636.41    , array([ 5.50826    ,  0.00577947 ,  0.000189877,  3.41511e-67,  0.00218365 ])
143878  , -2633.52    , array([ 5.50275    ,  0.00578525 ,  0.000189877,  3.41511e-67,  0.00218365 ])
143879  , -2636.4     , array([ 5.50275    ,  0.00577947 ,  0.000190067,  3.41511e-67,  0.00218365 ])
143880  , -2636.4     , array([ 5.50275    ,  0.00577947 ,  0.000189877,  3.41853e-67,  0.00218365 ])
143881  , -2639.1     , array([ 5.50275    ,  0.00577947 ,  0.000189877,  3.41511e-67,  0.00218583 ])
143882  , -2520.95    , array([ 5.51931    ,  0.00606485 ,  0.000189877,  3.41511e-67,  0.00207359 ])
143883  , -2520.95    , array([ 5.51931    ,  0.00606485 ,  0.000189877,  3.41511e-67,  0.00207359 ])
143884  , -2520.96    , array([ 5.52483    ,  0.00606485 ,  0.000189877,  3.41511e-67,  0.00207359 ])
143885  , -2521.33    , array([ 5.51931    ,  0.00607092 ,  0.000189877,  3.41511e-67,  0.00207359 ])
143886  , -2520.95    , array([ 5.51931    ,  0.00606485 ,  0.000190067,  3.41511e-67,  0.00207359 ])
143887  , -2520.95    , array([ 5.51931    ,  0.00606485 ,  0.000189877,  3.41853e-67,  0.00207359 ])
143888  , -2520.42    , array([ 5.51931    ,  0.00606485 ,  0.000189877,  3.41511e-67,  0.00207566 ])
143889  , -2517.71    , array([ 5.51695    ,  0.00602338 ,  0.000189877,  3.41511e-67,  0.00208891 ])
143890  , -2517.71    , array([ 5.51695    ,  0.00602338 ,  0.000189877,  3.41511e-67,  0.00208891 ])
143891  , -2517.72    , array([ 5.52247    ,  0.00602338 ,  0.000189877,  3.41511e-67,  0.00208891 ])
143892  , -2517.63    , array([ 5.51695    ,  0.00602941 ,  0.000189877,  3.41511e-67,  0.00208891 ])
143893  , -2517.71    , array([ 5.51695    ,  0.00602338 ,  0.000190067,  3.41511e-67,  0.00208891 ])
143894  , -2517.71    , array([ 5.51695    ,  0.00602338 ,  0.000189877,  3.41853e-67,  0.00208891 ])
143895  , -2517.64    , array([ 5.51695    ,  0.00602338 ,  0.000189877,  3.41511e-67,  0.002091   ])
