169533  , -219359     , array([ 7.22394    ,  0.152385   ,  0.00855613 ,  0.000890737,  0.997568   ])
169534  , -219369     , array([ 7.23117    ,  0.152385   ,  0.00855613 ,  0.000890737,  0.997568   ])
169535  , -219193     , array([ 7.22394    ,  0.152538   ,  0.00855613 ,  0.000890737,  0.997568   ])
169536  , -219354     , array([ 7.22394    ,  0.152385   ,  0.00856469 ,  0.000890737,  0.997568   ])
169537  , -219352     , array([ 7.22394    ,  0.152385   ,  0.00855613 ,  0.000891628,  0.997568   ])
169538  , -219522     , array([ 7.22394    ,  0.152385   ,  0.00855613 ,  0.000890737,  0.998566   ])
169539  , -219359     , array([ 7.22394    ,  0.152385   ,  0.00855613 ,  0.000890737,  0.997568   ])
169540  , -55308.2    , array([ 6.94123    ,  0.313469   ,  0.00876286 ,  0.000918544,  0.493009   ])
169541  , -55308.2    , array([ 6.94123    ,  0.313469   ,  0.00876286 ,  0.000918544,  0.493009   ])
169542  , -55312.4    , array([ 6.94818    ,  0.313469   ,  0.00876286 ,  0.000918544,  0.493009   ])
169543  , -55256.6    , array([ 6.94123    ,  0.313783   ,  0.00876286 ,  0.000918544,  0.493009   ])
169544  , -55307.7    , array([ 6.94123    ,  0.313469   ,  0.00877163 ,  0.000918544,  0.493009   ])
169545  , -55308.1    , array([ 6.94123    ,  0.313469   ,  0.00876286 ,  0.000919463,  0.493009   ])
169546  , -55374.9    , array([ 6.94123    ,  0.313469   ,  0.00876286 ,  0.000918544,  0.493502   ])
169554  , -55125.9    , array([ 6.93612    ,  0.311604   ,  0.00875288 ,  0.000916757,  0.489415   ])
169555  , -55125.9    , array([ 6.93612    ,  0.311604   ,  0.00875288 ,  0.000916757,  0.489415   ])
169556  , -55130.1    , array([ 6.94306    ,  0.311604   ,  0.00875288 ,  0.000916757,  0.489415   ])
169557  , -55074.4    , array([ 6.93612    ,  0.311916   ,  0.00875288 ,  0.000916757,  0.489415   ])
169558  , -55125.4    , array([ 6.93612    ,  0.311604   ,  0.00876164 ,  0.000916757,  0.489415   ])
169559  , -55125.9    , array([ 6.93612    ,  0.311604   ,  0.00875288 ,  0.000917674,  0.489415   ])
169560  , -55192.6    , array([ 6.93612    ,  0.311604   ,  0.00875288 ,  0.000916757,  0.489905   ])
169561  , -13967.9    , array([ 4.8912     ,  0.018392   ,  0.00509871 ,  0.000364012,  0.0152333  ])
169562  , -13967.9    , array([ 4.8912     ,  0.018392   ,  0.00509871 ,  0.000364012,  0.0152333  ])
169563  , -13968      , array([ 4.89609    ,  0.018392   ,  0.00509871 ,  0.000364012,  0.0152333  ])
169564  , -13938.2    , array([ 4.8912     ,  0.0184104  ,  0.00509871 ,  0.000364012,  0.0152333  ])
169565  , -13967.9    , array([ 4.8912     ,  0.018392   ,  0.00510381 ,  0.000364012,  0.0152333  ])
169566  , -13967.9    , array([ 4.8912     ,  0.018392   ,  0.00509871 ,  0.000364376,  0.0152333  ])
169567  , -13996.4    , array([ 4.8912     ,  0.018392   ,  0.00509871 ,  0.000364012,  0.0152485  ])
169575  , -13956.3    , array([ 4.90532    ,  0.0183948  ,  0.00508882 ,  0.000363087,  0.0152294  ])
169576  , -13956.3    , array([ 4.90532    ,  0.0183948  ,  0.00508882 ,  0.000363087,  0.0152294  ])
169577  , -13956.4    , array([ 4.91022    ,  0.0183948  ,  0.00508882 ,  0.000363087,  0.0152294  ])
169578  , -13926.6    , array([ 4.90532    ,  0.0184132  ,  0.00508882 ,  0.000363087,  0.0152294  ])
169579  , -13956.3    , array([ 4.90532    ,  0.0183948  ,  0.00509391 ,  0.000363087,  0.0152294  ])
169580  , -13956.3    , array([ 4.90532    ,  0.0183948  ,  0.00508882 ,  0.00036345 ,  0.0152294  ])
169581  , -13984.7    , array([ 4.90532    ,  0.0183948  ,  0.00508882 ,  0.000363087,  0.0152446  ])
169589  , -13955.3    , array([ 4.90648    ,  0.0183951  ,  0.005088   ,  0.000363011,  0.015229   ])
