16344   , -79089.4    , array([ 0.180359   ,  10.242     ,  1.74631e-48,  2.59833e-51,  2.04102e-08])
16345   , -79089.4    , array([ 0.180539   ,  10.242     ,  1.74631e-48,  2.59833e-51,  2.04102e-08])
16346   , -79089.4    , array([ 0.180359   ,  10.2523    ,  1.74631e-48,  2.59833e-51,  2.04102e-08])
16347   , -79089.4    , array([ 0.180359   ,  10.242     ,  1.74806e-48,  2.59833e-51,  2.04102e-08])
16348   , -79089.4    , array([ 0.180359   ,  10.242     ,  1.74631e-48,  2.60093e-51,  2.04102e-08])
16349   , -79089.4    , array([ 0.180359   ,  10.242     ,  1.74631e-48,  2.59833e-51,  2.04306e-08])
16350   , -79089.4    , array([ 0.180359   ,  10.242     ,  1.74631e-48,  2.59833e-51,  2.04102e-08])
16351   , -79089.3    , array([ 0.164781   ,  10.2181    ,  1.74631e-48,  2.59833e-51,  2.24017e-08])
16352   , -79089.3    , array([ 0.164781   ,  10.2181    ,  1.74631e-48,  2.59833e-51,  2.24017e-08])
16353   , -79089.3    , array([ 0.164946   ,  10.2181    ,  1.74631e-48,  2.59833e-51,  2.24017e-08])
16354   , -79089.3    , array([ 0.164781   ,  10.2283    ,  1.74631e-48,  2.59833e-51,  2.24017e-08])
16355   , -79089.3    , array([ 0.164781   ,  10.2181    ,  1.74806e-48,  2.59833e-51,  2.24017e-08])
16356   , -79089.3    , array([ 0.164781   ,  10.2181    ,  1.74631e-48,  2.60093e-51,  2.24017e-08])
16357   , -79089.3    , array([ 0.164781   ,  10.2181    ,  1.74631e-48,  2.59833e-51,  2.24241e-08])
16358   , -79089.2    , array([ 0.114812   ,  10.1229    ,  1.74631e-48,  2.59833e-51,  3.25099e-08])
16359   , -79089.2    , array([ 0.114812   ,  10.1229    ,  1.74631e-48,  2.59833e-51,  3.25099e-08])
16360   , -79089.2    , array([ 0.114927   ,  10.1229    ,  1.74631e-48,  2.59833e-51,  3.25099e-08])
16361   , -79089.2    , array([ 0.114812   ,  10.133     ,  1.74631e-48,  2.59833e-51,  3.25099e-08])
16362   , -79089.2    , array([ 0.114812   ,  10.1229    ,  1.74806e-48,  2.59833e-51,  3.25099e-08])
16363   , -79089.2    , array([ 0.114812   ,  10.1229    ,  1.74631e-48,  2.60093e-51,  3.25099e-08])
16364   , -79089.2    , array([ 0.114812   ,  10.1229    ,  1.74631e-48,  2.59833e-51,  3.25424e-08])
16365   , -79085.2    , array([ 0.0270591  ,  9.75084    ,  1.74631e-48,  2.59833e-51,  1.44196e-07])
16366   , -79085.2    , array([ 0.0270591  ,  9.75084    ,  1.74631e-48,  2.59833e-51,  1.44196e-07])
16367   , -79085.2    , array([ 0.0270862  ,  9.75084    ,  1.74631e-48,  2.59833e-51,  1.44196e-07])
16368   , -79085.2    , array([ 0.0270591  ,  9.7606     ,  1.74631e-48,  2.59833e-51,  1.44196e-07])
16369   , -79085.2    , array([ 0.0270591  ,  9.75084    ,  1.74806e-48,  2.59833e-51,  1.44196e-07])
16370   , -79085.2    , array([ 0.0270591  ,  9.75084    ,  1.74631e-48,  2.60093e-51,  1.44196e-07])
16371   , -79085.2    , array([ 0.0270591  ,  9.75084    ,  1.74631e-48,  2.59833e-51,  1.4434e-07 ])
16379   , -79085.2    , array([ 0.0270591  ,  9.75084    ,  1.74631e-48,  2.59833e-51,  1.44196e-07])
16380   , -79085.2    , array([ 0.0270591  ,  9.75084    ,  1.74631e-48,  2.59833e-51,  1.44196e-07])
16381   , -79085.2    , array([ 0.0270862  ,  9.75084    ,  1.74631e-48,  2.59833e-51,  1.44196e-07])
16382   , -79085.2    , array([ 0.0270591  ,  9.7606     ,  1.74631e-48,  2.59833e-51,  1.44196e-07])
