175181  , -79089.4    , array([ 3.31896    ,  7.44855    ,  0.500721   ,  2.24059e-25,  4.52359e-11])
175182  , -79089.4    , array([ 3.32228    ,  7.44855    ,  0.500721   ,  2.24059e-25,  4.52359e-11])
175183  , -79089.4    , array([ 3.31896    ,  7.45601    ,  0.500721   ,  2.24059e-25,  4.52359e-11])
175184  , -79089.4    , array([ 3.31896    ,  7.44855    ,  0.501222   ,  2.24059e-25,  4.52359e-11])
175185  , -79089.4    , array([ 3.31896    ,  7.44855    ,  0.500721   ,  2.24283e-25,  4.52359e-11])
175186  , -79089.4    , array([ 3.31896    ,  7.44855    ,  0.500721   ,  2.24059e-25,  4.52812e-11])
175187  , -79089.4    , array([ 3.31896    ,  7.44855    ,  0.500721   ,  2.24059e-25,  4.52359e-11])
175188  , -79089.4    , array([ 3.31893    ,  7.4485     ,  0.500721   ,  2.24059e-25,  4.52368e-11])
175189  , -79089.4    , array([ 3.31893    ,  7.4485     ,  0.500721   ,  2.24059e-25,  4.52368e-11])
175190  , -79089.4    , array([ 3.32225    ,  7.4485     ,  0.500721   ,  2.24059e-25,  4.52368e-11])
175191  , -79089.4    , array([ 3.31893    ,  7.45595    ,  0.500721   ,  2.24059e-25,  4.52368e-11])
175192  , -79089.4    , array([ 3.31893    ,  7.4485     ,  0.501222   ,  2.24059e-25,  4.52368e-11])
175193  , -79089.4    , array([ 3.31893    ,  7.4485     ,  0.500721   ,  2.24283e-25,  4.52368e-11])
175194  , -79089.4    , array([ 3.31893    ,  7.4485     ,  0.500721   ,  2.24059e-25,  4.5282e-11 ])
175195  , -79089.4    , array([ 3.31878    ,  7.44828    ,  0.500721   ,  2.24059e-25,  4.52402e-11])
175196  , -79089.4    , array([ 3.31878    ,  7.44828    ,  0.500721   ,  2.24059e-25,  4.52402e-11])
175197  , -79089.4    , array([ 3.3221     ,  7.44828    ,  0.500721   ,  2.24059e-25,  4.52402e-11])
175198  , -79089.4    , array([ 3.31878    ,  7.45573    ,  0.500721   ,  2.24059e-25,  4.52402e-11])
175199  , -79089.4    , array([ 3.31878    ,  7.44828    ,  0.501222   ,  2.24059e-25,  4.52402e-11])
175200  , -79089.4    , array([ 3.31878    ,  7.44828    ,  0.500721   ,  2.24283e-25,  4.52402e-11])
175201  , -79089.4    , array([ 3.31878    ,  7.44828    ,  0.500721   ,  2.24059e-25,  4.52854e-11])
175202  , -79089.4    , array([ 3.31821    ,  7.44741    ,  0.500722   ,  2.24059e-25,  4.52537e-11])
175203  , -79089.4    , array([ 3.31821    ,  7.44741    ,  0.500722   ,  2.24059e-25,  4.52537e-11])
175204  , -79089.4    , array([ 3.32152    ,  7.44741    ,  0.500722   ,  2.24059e-25,  4.52537e-11])
175205  , -79089.4    , array([ 3.31821    ,  7.45486    ,  0.500722   ,  2.24059e-25,  4.52537e-11])
175206  , -79089.4    , array([ 3.31821    ,  7.44741    ,  0.501223   ,  2.24059e-25,  4.52537e-11])
175207  , -79089.4    , array([ 3.31821    ,  7.44741    ,  0.500722   ,  2.24283e-25,  4.52537e-11])
175208  , -79089.4    , array([ 3.31821    ,  7.44741    ,  0.500722   ,  2.24059e-25,  4.5299e-11 ])
175209  , -79089.4    , array([ 3.3159     ,  7.44391    ,  0.500725   ,  2.24059e-25,  4.53081e-11])
175210  , -79089.4    , array([ 3.3159     ,  7.44391    ,  0.500725   ,  2.24059e-25,  4.53081e-11])
175211  , -79089.4    , array([ 3.31922    ,  7.44391    ,  0.500725   ,  2.24059e-25,  4.53081e-11])
175212  , -79089.4    , array([ 3.3159     ,  7.45136    ,  0.500725   ,  2.24059e-25,  4.53081e-11])
175213  , -79089.4    , array([ 3.3159     ,  7.44391    ,  0.501226   ,  2.24059e-25,  4.53081e-11])
175214  , -79089.4    , array([ 3.3159     ,  7.44391    ,  0.500725   ,  2.24283e-25,  4.53081e-11])
175215  , -79089.4    , array([ 3.3159     ,  7.44391    ,  0.500725   ,  2.24059e-25,  4.53534e-11])
175216  , -79089.4    , array([ 3.3067     ,  7.42995    ,  0.500738   ,  2.24059e-25,  4.55262e-11])
175217  , -79089.4    , array([ 3.3067     ,  7.42995    ,  0.500738   ,  2.24059e-25,  4.55262e-11])
175218  , -79089.4    , array([ 3.31001    ,  7.42995    ,  0.500738   ,  2.24059e-25,  4.55262e-11])
175219  , -79089.4    , array([ 3.3067     ,  7.43738    ,  0.500738   ,  2.24059e-25,  4.55262e-11])
175220  , -79089.4    , array([ 3.3067     ,  7.42995    ,  0.501239   ,  2.24059e-25,  4.55262e-11])
175221  , -79089.4    , array([ 3.3067     ,  7.42995    ,  0.500738   ,  2.24283e-25,  4.55262e-11])
175222  , -79089.4    , array([ 3.3067     ,  7.42995    ,  0.500738   ,  2.24059e-25,  4.55717e-11])
175223  , -79089.4    , array([ 3.27014    ,  7.37436    ,  0.50079    ,  2.24059e-25,  4.64091e-11])
175224  , -79089.4    , array([ 3.27014    ,  7.37436    ,  0.50079    ,  2.24059e-25,  4.64091e-11])
175225  , -79089.4    , array([ 3.27342    ,  7.37436    ,  0.50079    ,  2.24059e-25,  4.64091e-11])
175226  , -79089.4    , array([ 3.27014    ,  7.38173    ,  0.50079    ,  2.24059e-25,  4.64091e-11])
175227  , -79089.4    , array([ 3.27014    ,  7.37436    ,  0.501291   ,  2.24059e-25,  4.64091e-11])
175228  , -79089.4    , array([ 3.27014    ,  7.37436    ,  0.50079    ,  2.24283e-25,  4.64091e-11])
175229  , -79089.4    , array([ 3.27014    ,  7.37436    ,  0.50079    ,  2.24059e-25,  4.64555e-11])
175230  , -79089.4    , array([ 3.12792    ,  7.15612    ,  0.500999   ,  2.24059e-25,  5.01153e-11])
175231  , -79089.4    , array([ 3.12792    ,  7.15612    ,  0.500999   ,  2.24059e-25,  5.01153e-11])
175232  , -79089.4    , array([ 3.13105    ,  7.15612    ,  0.500999   ,  2.24059e-25,  5.01153e-11])
175233  , -79089.4    , array([ 3.12792    ,  7.16328    ,  0.500999   ,  2.24059e-25,  5.01153e-11])
175234  , -79089.4    , array([ 3.12792    ,  7.15612    ,  0.501501   ,  2.24059e-25,  5.01153e-11])
175235  , -79089.4    , array([ 3.12792    ,  7.15612    ,  0.500999   ,  2.24283e-25,  5.01153e-11])
175236  , -79089.4    , array([ 3.12792    ,  7.15612    ,  0.500999   ,  2.24059e-25,  5.01654e-11])
175237  , -79089.4    , array([ 2.61826    ,  6.34587    ,  0.501836   ,  2.24059e-25,  6.81457e-11])
175238  , -79089.4    , array([ 2.61826    ,  6.34587    ,  0.501836   ,  2.24059e-25,  6.81457e-11])
175239  , -79089.4    , array([ 2.62088    ,  6.34587    ,  0.501836   ,  2.24059e-25,  6.81457e-11])
175240  , -79089.4    , array([ 2.61826    ,  6.35222    ,  0.501836   ,  2.24059e-25,  6.81457e-11])
175241  , -79089.4    , array([ 2.61826    ,  6.34587    ,  0.502338   ,  2.24059e-25,  6.81457e-11])
175242  , -79089.4    , array([ 2.61826    ,  6.34587    ,  0.501836   ,  2.24283e-25,  6.81457e-11])
175243  , -79089.4    , array([ 2.61826    ,  6.34587    ,  0.501836   ,  2.24059e-25,  6.82138e-11])
175244  , -79089.4    , array([ 1.2854     ,  3.92416    ,  0.505197   ,  2.24059e-25,  2.32976e-10])
175245  , -79089.4    , array([ 1.2854     ,  3.92416    ,  0.505197   ,  2.24059e-25,  2.32976e-10])
175246  , -79089.4    , array([ 1.28668    ,  3.92416    ,  0.505197   ,  2.24059e-25,  2.32976e-10])
175247  , -79089.4    , array([ 1.2854     ,  3.92809    ,  0.505197   ,  2.24059e-25,  2.32976e-10])
175248  , -79089.4    , array([ 1.2854     ,  3.92416    ,  0.505703   ,  2.24059e-25,  2.32976e-10])
175249  , -79089.4    , array([ 1.2854     ,  3.92416    ,  0.505197   ,  2.24283e-25,  2.32976e-10])
175250  , -79089.4    , array([ 1.2854     ,  3.92416    ,  0.505197   ,  2.24059e-25,  2.33209e-10])
175251  , -79089      , array([ 0.0746685  ,  0.573812   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175252  , -79089      , array([ 0.0746685  ,  0.573812   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175253  , -79089      , array([ 0.0747432  ,  0.573812   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175254  , -79089      , array([ 0.0746685  ,  0.574386   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175255  , -79089      , array([ 0.0746685  ,  0.573812   ,  0.519389   ,  2.24059e-25,  3.18273e-08])
175256  , -79089      , array([ 0.0746685  ,  0.573812   ,  0.518869   ,  2.24283e-25,  3.18273e-08])
175257  , -79089      , array([ 0.0746685  ,  0.573812   ,  0.518869   ,  2.24059e-25,  3.18591e-08])
175265  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175266  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175267  , -79089      , array([ 0.0747432  ,  0.573811   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175268  , -79089      , array([ 0.0746685  ,  0.574386   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175269  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.519389   ,  2.24059e-25,  3.18273e-08])
175270  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.518869   ,  2.24283e-25,  3.18273e-08])
175271  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.518869   ,  2.24059e-25,  3.18591e-08])
175272  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175273  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175274  , -79089      , array([ 0.0747432  ,  0.573811   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175275  , -79089      , array([ 0.0746685  ,  0.574385   ,  0.518869   ,  2.24059e-25,  3.18273e-08])
175276  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.519389   ,  2.24059e-25,  3.18273e-08])
175277  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.518869   ,  2.24283e-25,  3.18273e-08])
175278  , -79089      , array([ 0.0746685  ,  0.573811   ,  0.518869   ,  2.24059e-25,  3.18591e-08])
