199769  , -79089.4    , array([ 55.6654    ,  0.0318337  ,  1.49491e-13,  4.23796e-46,  4.25134e-11])
199770  , -79089.4    , array([ 55.7211    ,  0.0318337  ,  1.49491e-13,  4.23796e-46,  4.25134e-11])
199771  , -79089.4    , array([ 55.6654    ,  0.0318656  ,  1.49491e-13,  4.23796e-46,  4.25134e-11])
199772  , -79089.4    , array([ 55.6654    ,  0.0318337  ,  1.49641e-13,  4.23796e-46,  4.25134e-11])
199773  , -79089.4    , array([ 55.6654    ,  0.0318337  ,  1.49491e-13,  4.2422e-46 ,  4.25134e-11])
199774  , -79089.4    , array([ 55.6654    ,  0.0318337  ,  1.49491e-13,  4.23796e-46,  4.25559e-11])
199775  , -79089.4    , array([ 55.6654    ,  0.0318337  ,  1.49491e-13,  4.23796e-46,  4.25134e-11])
199776  , -79089.4    , array([ 55.6653    ,  0.0317838  ,  1.49491e-13,  4.23796e-46,  4.25802e-11])
199777  , -79089.4    , array([ 55.6653    ,  0.0317838  ,  1.49491e-13,  4.23796e-46,  4.25802e-11])
199778  , -79089.4    , array([ 55.721     ,  0.0317838  ,  1.49491e-13,  4.23796e-46,  4.25802e-11])
199779  , -79089.4    , array([ 55.6653    ,  0.0318156  ,  1.49491e-13,  4.23796e-46,  4.25802e-11])
199780  , -79089.4    , array([ 55.6653    ,  0.0317838  ,  1.49641e-13,  4.23796e-46,  4.25802e-11])
199781  , -79089.4    , array([ 55.6653    ,  0.0317838  ,  1.49491e-13,  4.2422e-46 ,  4.25802e-11])
199782  , -79089.4    , array([ 55.6653    ,  0.0317838  ,  1.49491e-13,  4.23796e-46,  4.26228e-11])
199783  , -79089.4    , array([ 55.6652    ,  0.0315851  ,  1.49491e-13,  4.23796e-46,  4.28487e-11])
199784  , -79089.4    , array([ 55.6652    ,  0.0315851  ,  1.49491e-13,  4.23796e-46,  4.28487e-11])
199785  , -79089.4    , array([ 55.7209    ,  0.0315851  ,  1.49491e-13,  4.23796e-46,  4.28487e-11])
199786  , -79089.4    , array([ 55.6652    ,  0.0316167  ,  1.49491e-13,  4.23796e-46,  4.28487e-11])
199787  , -79089.4    , array([ 55.6652    ,  0.0315851  ,  1.49641e-13,  4.23796e-46,  4.28487e-11])
199788  , -79089.4    , array([ 55.6652    ,  0.0315851  ,  1.49491e-13,  4.2422e-46 ,  4.28487e-11])
199789  , -79089.4    , array([ 55.6652    ,  0.0315851  ,  1.49491e-13,  4.23796e-46,  4.28916e-11])
199790  , -79089.4    , array([ 55.6647    ,  0.0308023  ,  1.49491e-13,  4.23796e-46,  4.39396e-11])
199791  , -79089.4    , array([ 55.6647    ,  0.0308023  ,  1.49491e-13,  4.23796e-46,  4.39396e-11])
199792  , -79089.4    , array([ 55.7204    ,  0.0308023  ,  1.49491e-13,  4.23796e-46,  4.39396e-11])
199793  , -79089.4    , array([ 55.6647    ,  0.0308331  ,  1.49491e-13,  4.23796e-46,  4.39396e-11])
199794  , -79089.4    , array([ 55.6647    ,  0.0308023  ,  1.49641e-13,  4.23796e-46,  4.39396e-11])
199795  , -79089.4    , array([ 55.6647    ,  0.0308023  ,  1.49491e-13,  4.2422e-46 ,  4.39396e-11])
199796  , -79089.4    , array([ 55.6647    ,  0.0308023  ,  1.49491e-13,  4.23796e-46,  4.39835e-11])
199797  , -79089.4    , array([ 55.6625    ,  0.0278605  ,  1.49491e-13,  4.23796e-46,  4.8588e-11 ])
199798  , -79089.4    , array([ 55.6625    ,  0.0278605  ,  1.49491e-13,  4.23796e-46,  4.8588e-11 ])
199799  , -79089.4    , array([ 55.7182    ,  0.0278605  ,  1.49491e-13,  4.23796e-46,  4.8588e-11 ])
199800  , -79089.4    , array([ 55.6625    ,  0.0278884  ,  1.49491e-13,  4.23796e-46,  4.8588e-11 ])
199801  , -79089.4    , array([ 55.6625    ,  0.0278605  ,  1.49641e-13,  4.23796e-46,  4.8588e-11 ])
199802  , -79089.4    , array([ 55.6625    ,  0.0278605  ,  1.49491e-13,  4.2422e-46 ,  4.8588e-11 ])
199803  , -79089.4    , array([ 55.6625    ,  0.0278605  ,  1.49491e-13,  4.23796e-46,  4.86366e-11])
199804  , -79089.4    , array([ 55.654     ,  0.0186472  ,  1.49491e-13,  4.23796e-46,  7.26477e-11])
199805  , -79089.4    , array([ 55.654     ,  0.0186472  ,  1.49491e-13,  4.23796e-46,  7.26477e-11])
199806  , -79089.4    , array([ 55.7097    ,  0.0186472  ,  1.49491e-13,  4.23796e-46,  7.26477e-11])
199807  , -79089.4    , array([ 55.654     ,  0.0186658  ,  1.49491e-13,  4.23796e-46,  7.26477e-11])
199808  , -79089.4    , array([ 55.654     ,  0.0186472  ,  1.49641e-13,  4.23796e-46,  7.26477e-11])
199809  , -79089.4    , array([ 55.654     ,  0.0186472  ,  1.49491e-13,  4.2422e-46 ,  7.26477e-11])
199810  , -79089.4    , array([ 55.654     ,  0.0186472  ,  1.49491e-13,  4.23796e-46,  7.27204e-11])
199811  , -79089.3    , array([ 55.62      ,  0.00374205 ,  1.49491e-13,  4.23796e-46,  3.63073e-10])
199812  , -79089.3    , array([ 55.62      ,  0.00374205 ,  1.49491e-13,  4.23796e-46,  3.63073e-10])
199813  , -79089.3    , array([ 55.6757    ,  0.00374205 ,  1.49491e-13,  4.23796e-46,  3.63073e-10])
199814  , -79089.3    , array([ 55.62      ,  0.00374579 ,  1.49491e-13,  4.23796e-46,  3.63073e-10])
199815  , -79089.3    , array([ 55.62      ,  0.00374205 ,  1.49641e-13,  4.23796e-46,  3.63073e-10])
199816  , -79089.3    , array([ 55.62      ,  0.00374205 ,  1.49491e-13,  4.2422e-46 ,  3.63073e-10])
199817  , -79089.3    , array([ 55.62      ,  0.00374205 ,  1.49491e-13,  4.23796e-46,  3.63437e-10])
199825  , -79089.3    , array([ 55.62      ,  0.00374205 ,  1.49491e-13,  4.23796e-46,  3.63073e-10])
199826  , -79089.3    , array([ 55.62      ,  0.00374205 ,  1.49491e-13,  4.23796e-46,  3.63073e-10])
199827  , -79089.3    , array([ 55.6757    ,  0.00374205 ,  1.49491e-13,  4.23796e-46,  3.63073e-10])
199828  , -79089.3    , array([ 55.62      ,  0.00374579 ,  1.49491e-13,  4.23796e-46,  3.63073e-10])
199829  , -79089.3    , array([ 55.62      ,  0.00374205 ,  1.49641e-13,  4.23796e-46,  3.63073e-10])
199830  , -79089.3    , array([ 55.62      ,  0.00374205 ,  1.49491e-13,  4.2422e-46 ,  3.63073e-10])
199831  , -79089.3    , array([ 55.62      ,  0.00374205 ,  1.49491e-13,  4.23796e-46,  3.63437e-10])
199832  , -79089.3    , array([ 55.6174    ,  0.00330856 ,  1.49491e-13,  4.23796e-46,  4.10736e-10])
199833  , -79089.3    , array([ 55.6174    ,  0.00330856 ,  1.49491e-13,  4.23796e-46,  4.10736e-10])
199834  , -79089.3    , array([ 55.6731    ,  0.00330856 ,  1.49491e-13,  4.23796e-46,  4.10736e-10])
199835  , -79089.3    , array([ 55.6174    ,  0.00331187 ,  1.49491e-13,  4.23796e-46,  4.10736e-10])
199836  , -79089.3    , array([ 55.6174    ,  0.00330856 ,  1.49641e-13,  4.23796e-46,  4.10736e-10])
199837  , -79089.3    , array([ 55.6174    ,  0.00330856 ,  1.49491e-13,  4.2422e-46 ,  4.10736e-10])
199838  , -79089.3    , array([ 55.6174    ,  0.00330856 ,  1.49491e-13,  4.23796e-46,  4.11147e-10])
199846  , -79089.3    , array([ 55.6174    ,  0.00330856 ,  1.49491e-13,  4.23796e-46,  4.10736e-10])
199847  , -79089.3    , array([ 55.6174    ,  0.00330856 ,  1.49491e-13,  4.23796e-46,  4.10736e-10])
199848  , -79089.3    , array([ 55.6731    ,  0.00330856 ,  1.49491e-13,  4.23796e-46,  4.10736e-10])
199849  , -79089.3    , array([ 55.6174    ,  0.00331187 ,  1.49491e-13,  4.23796e-46,  4.10736e-10])
199850  , -79089.3    , array([ 55.6174    ,  0.00330856 ,  1.49641e-13,  4.23796e-46,  4.10736e-10])
199851  , -79089.3    , array([ 55.6174    ,  0.00330856 ,  1.49491e-13,  4.2422e-46 ,  4.10736e-10])
