205507  , -78714.3    , array([ 0.53023    ,  0.891318   ,  7.96642e-08,  4.9908e-19 ,  0.000132591])
205508  , -78714.5    , array([ 0.53076    ,  0.891318   ,  7.96642e-08,  4.9908e-19 ,  0.000132591])
205509  , -78714.5    , array([ 0.53023    ,  0.89221    ,  7.96642e-08,  4.9908e-19 ,  0.000132591])
205510  , -78714.3    , array([ 0.53023    ,  0.891318   ,  7.97439e-08,  4.9908e-19 ,  0.000132591])
205511  , -78714.3    , array([ 0.53023    ,  0.891318   ,  7.96642e-08,  4.99579e-19,  0.000132591])
205512  , -78714      , array([ 0.53023    ,  0.891318   ,  7.96642e-08,  4.9908e-19 ,  0.000132724])
205513  , -78714.3    , array([ 0.53023    ,  0.891318   ,  7.96642e-08,  4.9908e-19 ,  0.000132591])
205514  , -77811.6    , array([ 0.342602   ,  0.607407   ,  7.96642e-08,  4.9908e-19 ,  0.000302861])
205515  , -77811.6    , array([ 0.342602   ,  0.607407   ,  7.96642e-08,  4.9908e-19 ,  0.000302861])
205516  , -77812.3    , array([ 0.342945   ,  0.607407   ,  7.96642e-08,  4.9908e-19 ,  0.000302861])
205517  , -77812.2    , array([ 0.342602   ,  0.608015   ,  7.96642e-08,  4.9908e-19 ,  0.000302861])
205518  , -77811.6    , array([ 0.342602   ,  0.607407   ,  7.97439e-08,  4.9908e-19 ,  0.000302861])
205519  , -77811.6    , array([ 0.342602   ,  0.607407   ,  7.96642e-08,  4.99579e-19,  0.000302861])
205520  , -77810.4    , array([ 0.342602   ,  0.607407   ,  7.96642e-08,  4.9908e-19 ,  0.000303164])
205521  , -32087.5    , array([ 0.0597166  ,  0.130999   ,  7.96642e-08,  4.9908e-19 ,  0.00824443 ])
205522  , -32087.5    , array([ 0.0597166  ,  0.130999   ,  7.96642e-08,  4.9908e-19 ,  0.00824443 ])
205523  , -32074.5    , array([ 0.0597764  ,  0.130999   ,  7.96642e-08,  4.9908e-19 ,  0.00824443 ])
205524  , -32102.5    , array([ 0.0597166  ,  0.13113    ,  7.96642e-08,  4.9908e-19 ,  0.00824443 ])
205525  , -32087.5    , array([ 0.0597166  ,  0.130999   ,  7.97439e-08,  4.9908e-19 ,  0.00824443 ])
205526  , -32087.5    , array([ 0.0597166  ,  0.130999   ,  7.96642e-08,  4.99579e-19,  0.00824443 ])
205527  , -32083.9    , array([ 0.0597166  ,  0.130999   ,  7.96642e-08,  4.9908e-19 ,  0.00825268 ])
205535  , -32083.5    , array([ 0.0596824  ,  0.130933   ,  7.96642e-08,  4.9908e-19 ,  0.00825337 ])
205536  , -32083.5    , array([ 0.0596824  ,  0.130933   ,  7.96642e-08,  4.9908e-19 ,  0.00825337 ])
205537  , -32070.5    , array([ 0.0597421  ,  0.130933   ,  7.96642e-08,  4.9908e-19 ,  0.00825337 ])
