280823  , -79089.4    , array([ 0.160491   ,  9.48317    ,  2.62226e-47,  1.35734e-28,  2.60781e-10])
280824  , -79089.4    , array([ 0.160651   ,  9.48317    ,  2.62226e-47,  1.35734e-28,  2.60781e-10])
280825  , -79089.4    , array([ 0.160491   ,  9.49266    ,  2.62226e-47,  1.35734e-28,  2.60781e-10])
280826  , -79089.4    , array([ 0.160491   ,  9.48317    ,  2.62488e-47,  1.35734e-28,  2.60781e-10])
280827  , -79089.4    , array([ 0.160491   ,  9.48317    ,  2.62226e-47,  1.3587e-28 ,  2.60781e-10])
280828  , -79089.4    , array([ 0.160491   ,  9.48317    ,  2.62226e-47,  1.35734e-28,  2.61042e-10])
280829  , -79089.4    , array([ 0.160491   ,  9.48317    ,  2.62226e-47,  1.35734e-28,  2.60781e-10])
280830  , -79089.4    , array([ 0.160283   ,  9.48286    ,  2.62226e-47,  1.35734e-28,  2.61129e-10])
280831  , -79089.4    , array([ 0.160283   ,  9.48286    ,  2.62226e-47,  1.35734e-28,  2.61129e-10])
280832  , -79089.4    , array([ 0.160443   ,  9.48286    ,  2.62226e-47,  1.35734e-28,  2.61129e-10])
280833  , -79089.4    , array([ 0.160283   ,  9.49235    ,  2.62226e-47,  1.35734e-28,  2.61129e-10])
280834  , -79089.4    , array([ 0.160283   ,  9.48286    ,  2.62488e-47,  1.35734e-28,  2.61129e-10])
280835  , -79089.4    , array([ 0.160283   ,  9.48286    ,  2.62226e-47,  1.3587e-28 ,  2.61129e-10])
280836  , -79089.4    , array([ 0.160283   ,  9.48286    ,  2.62226e-47,  1.35734e-28,  2.6139e-10 ])
280837  , -79089.4    , array([ 0.159453   ,  9.48162    ,  2.62226e-47,  1.35734e-28,  2.62527e-10])
280838  , -79089.4    , array([ 0.159453   ,  9.48162    ,  2.62226e-47,  1.35734e-28,  2.62527e-10])
280839  , -79089.4    , array([ 0.159613   ,  9.48162    ,  2.62226e-47,  1.35734e-28,  2.62527e-10])
280840  , -79089.4    , array([ 0.159453   ,  9.49111    ,  2.62226e-47,  1.35734e-28,  2.62527e-10])
280841  , -79089.4    , array([ 0.159453   ,  9.48162    ,  2.62488e-47,  1.35734e-28,  2.62527e-10])
280842  , -79089.4    , array([ 0.159453   ,  9.48162    ,  2.62226e-47,  1.3587e-28 ,  2.62527e-10])
280843  , -79089.4    , array([ 0.159453   ,  9.48162    ,  2.62226e-47,  1.35734e-28,  2.6279e-10 ])
280844  , -79089.4    , array([ 0.156178   ,  9.47668    ,  2.62226e-47,  1.35734e-28,  2.68195e-10])
280845  , -79089.4    , array([ 0.156178   ,  9.47668    ,  2.62226e-47,  1.35734e-28,  2.68195e-10])
280846  , -79089.4    , array([ 0.156335   ,  9.47668    ,  2.62226e-47,  1.35734e-28,  2.68195e-10])
280847  , -79089.4    , array([ 0.156178   ,  9.48616    ,  2.62226e-47,  1.35734e-28,  2.68195e-10])
280848  , -79089.4    , array([ 0.156178   ,  9.47668    ,  2.62488e-47,  1.35734e-28,  2.68195e-10])
280849  , -79089.4    , array([ 0.156178   ,  9.47668    ,  2.62226e-47,  1.3587e-28 ,  2.68195e-10])
280850  , -79089.4    , array([ 0.156178   ,  9.47668    ,  2.62226e-47,  1.35734e-28,  2.68463e-10])
280851  , -79089.4    , array([ 0.143737   ,  9.45691    ,  2.62226e-47,  1.35734e-28,  2.92115e-10])
280852  , -79089.4    , array([ 0.143737   ,  9.45691    ,  2.62226e-47,  1.35734e-28,  2.92115e-10])
280853  , -79089.4    , array([ 0.143881   ,  9.45691    ,  2.62226e-47,  1.35734e-28,  2.92115e-10])
280854  , -79089.4    , array([ 0.143737   ,  9.46637    ,  2.62226e-47,  1.35734e-28,  2.92115e-10])
280855  , -79089.4    , array([ 0.143737   ,  9.45691    ,  2.62488e-47,  1.35734e-28,  2.92115e-10])
280856  , -79089.4    , array([ 0.143737   ,  9.45691    ,  2.62226e-47,  1.3587e-28 ,  2.92115e-10])
280857  , -79089.4    , array([ 0.143737   ,  9.45691    ,  2.62226e-47,  1.35734e-28,  2.92407e-10])
280858  , -79089.4    , array([ 0.103125   ,  9.37825    ,  2.62226e-47,  1.35734e-28,  4.11117e-10])
280859  , -79089.4    , array([ 0.103125   ,  9.37825    ,  2.62226e-47,  1.35734e-28,  4.11117e-10])
280860  , -79089.4    , array([ 0.103228   ,  9.37825    ,  2.62226e-47,  1.35734e-28,  4.11117e-10])
280861  , -79089.4    , array([ 0.103125   ,  9.38764    ,  2.62226e-47,  1.35734e-28,  4.11117e-10])
280862  , -79089.4    , array([ 0.103125   ,  9.37825    ,  2.62488e-47,  1.35734e-28,  4.11117e-10])
280863  , -79089.4    , array([ 0.103125   ,  9.37825    ,  2.62226e-47,  1.3587e-28 ,  4.11117e-10])
280864  , -79089.4    , array([ 0.103125   ,  9.37825    ,  2.62226e-47,  1.35734e-28,  4.11529e-10])
280865  , -79089.4    , array([ 0.0273243  ,  9.07012    ,  2.62226e-47,  1.35734e-28,  1.61293e-09])
280866  , -79089.4    , array([ 0.0273243  ,  9.07012    ,  2.62226e-47,  1.35734e-28,  1.61293e-09])
280867  , -79089.4    , array([ 0.0273516  ,  9.07012    ,  2.62226e-47,  1.35734e-28,  1.61293e-09])
280868  , -79089.4    , array([ 0.0273243  ,  9.07919    ,  2.62226e-47,  1.35734e-28,  1.61293e-09])
280869  , -79089.4    , array([ 0.0273243  ,  9.07012    ,  2.62488e-47,  1.35734e-28,  1.61293e-09])
280870  , -79089.4    , array([ 0.0273243  ,  9.07012    ,  2.62226e-47,  1.3587e-28 ,  1.61293e-09])
280871  , -79089.4    , array([ 0.0273243  ,  9.07012    ,  2.62226e-47,  1.35734e-28,  1.61454e-09])
280879  , -79089.4    , array([ 0.0273243  ,  9.07012    ,  2.62226e-47,  1.35734e-28,  1.61293e-09])
280880  , -79089.4    , array([ 0.0273243  ,  9.07012    ,  2.62226e-47,  1.35734e-28,  1.61293e-09])
280881  , -79089.4    , array([ 0.0273516  ,  9.07012    ,  2.62226e-47,  1.35734e-28,  1.61293e-09])
280882  , -79089.4    , array([ 0.0273243  ,  9.07919    ,  2.62226e-47,  1.35734e-28,  1.61293e-09])
280883  , -79089.4    , array([ 0.0273243  ,  9.07012    ,  2.62488e-47,  1.35734e-28,  1.61293e-09])
280884  , -79089.4    , array([ 0.0273243  ,  9.07012    ,  2.62226e-47,  1.3587e-28 ,  1.61293e-09])
280885  , -79089.4    , array([ 0.0273243  ,  9.07012    ,  2.62226e-47,  1.35734e-28,  1.61454e-09])
280886  , -79089.4    , array([ 0.0273243  ,  9.07012    ,  2.62226e-47,  1.35734e-28,  1.61293e-09])
280887  , -79089.4    , array([ 0.0273243  ,  9.07012    ,  2.62226e-47,  1.35734e-28,  1.61293e-09])
280888  , -79089.4    , array([ 0.0273516  ,  9.07012    ,  2.62226e-47,  1.35734e-28,  1.61293e-09])
280889  , -79089.4    , array([ 0.0273243  ,  9.07919    ,  2.62226e-47,  1.35734e-28,  1.61293e-09])
280890  , -79089.4    , array([ 0.0273243  ,  9.07012    ,  2.62488e-47,  1.35734e-28,  1.61293e-09])
280891  , -79089.4    , array([ 0.0273243  ,  9.07012    ,  2.62226e-47,  1.3587e-28 ,  1.61293e-09])
280892  , -79089.4    , array([ 0.0273243  ,  9.07012    ,  2.62226e-47,  1.35734e-28,  1.61454e-09])
280893  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62226e-47,  1.35734e-28,  2.48264e-08])
280894  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62226e-47,  1.35734e-28,  2.48264e-08])
280895  , -79079.1    , array([ 0.00192021 ,  8.48388    ,  2.62226e-47,  1.35734e-28,  2.48264e-08])
280896  , -79079.1    , array([ 0.00191829 ,  8.49237    ,  2.62226e-47,  1.35734e-28,  2.48264e-08])
280897  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62488e-47,  1.35734e-28,  2.48264e-08])
280898  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62226e-47,  1.3587e-28 ,  2.48264e-08])
280899  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62226e-47,  1.35734e-28,  2.48512e-08])
280900  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62226e-47,  1.35734e-28,  2.48264e-08])
280901  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62226e-47,  1.35734e-28,  2.48264e-08])
280902  , -79079.1    , array([ 0.00192021 ,  8.48388    ,  2.62226e-47,  1.35734e-28,  2.48264e-08])
280903  , -79079.1    , array([ 0.00191829 ,  8.49237    ,  2.62226e-47,  1.35734e-28,  2.48264e-08])
280904  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62488e-47,  1.35734e-28,  2.48264e-08])
280905  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62226e-47,  1.3587e-28 ,  2.48264e-08])
280906  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62226e-47,  1.35734e-28,  2.48512e-08])
280907  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62226e-47,  1.35734e-28,  2.48264e-08])
280908  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62226e-47,  1.35734e-28,  2.48264e-08])
280909  , -79079.1    , array([ 0.00192021 ,  8.48388    ,  2.62226e-47,  1.35734e-28,  2.48264e-08])
280910  , -79079.1    , array([ 0.00191829 ,  8.49237    ,  2.62226e-47,  1.35734e-28,  2.48264e-08])
280911  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62488e-47,  1.35734e-28,  2.48264e-08])
280912  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62226e-47,  1.3587e-28 ,  2.48264e-08])
280913  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62226e-47,  1.35734e-28,  2.48513e-08])
280921  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62226e-47,  1.35734e-28,  2.48264e-08])
280922  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62226e-47,  1.35734e-28,  2.48264e-08])
280923  , -79079.1    , array([ 0.00192021 ,  8.48388    ,  2.62226e-47,  1.35734e-28,  2.48264e-08])
280924  , -79079.1    , array([ 0.00191829 ,  8.49237    ,  2.62226e-47,  1.35734e-28,  2.48264e-08])
280925  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62488e-47,  1.35734e-28,  2.48264e-08])
280926  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62226e-47,  1.3587e-28 ,  2.48264e-08])
280927  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62226e-47,  1.35734e-28,  2.48513e-08])
280928  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62226e-47,  1.35734e-28,  2.48264e-08])
280929  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62226e-47,  1.35734e-28,  2.48264e-08])
280930  , -79079.1    , array([ 0.00192021 ,  8.48388    ,  2.62226e-47,  1.35734e-28,  2.48264e-08])
280931  , -79079.1    , array([ 0.00191829 ,  8.49237    ,  2.62226e-47,  1.35734e-28,  2.48264e-08])
280932  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62488e-47,  1.35734e-28,  2.48264e-08])
280933  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62226e-47,  1.3587e-28 ,  2.48264e-08])
280934  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62226e-47,  1.35734e-28,  2.48513e-08])
280942  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62226e-47,  1.35734e-28,  2.48264e-08])
280943  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62226e-47,  1.35734e-28,  2.48264e-08])
280944  , -79079.1    , array([ 0.00192021 ,  8.48388    ,  2.62226e-47,  1.35734e-28,  2.48264e-08])
280945  , -79079.1    , array([ 0.00191829 ,  8.49237    ,  2.62226e-47,  1.35734e-28,  2.48264e-08])
280946  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62488e-47,  1.35734e-28,  2.48264e-08])
280947  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62226e-47,  1.3587e-28 ,  2.48264e-08])
280948  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62226e-47,  1.35734e-28,  2.48513e-08])
280949  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62226e-47,  1.35734e-28,  2.48264e-08])
280950  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62226e-47,  1.35734e-28,  2.48264e-08])
280951  , -79079.1    , array([ 0.00192021 ,  8.48388    ,  2.62226e-47,  1.35734e-28,  2.48264e-08])
280952  , -79079.1    , array([ 0.00191829 ,  8.49237    ,  2.62226e-47,  1.35734e-28,  2.48264e-08])
280953  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62488e-47,  1.35734e-28,  2.48264e-08])
280954  , -79079.1    , array([ 0.00191829 ,  8.48388    ,  2.62226e-47,  1.3587e-28 ,  2.48264e-08])
