298048  , -79089.4    , array([ 0.231932   ,  0.00889665 ,  1.3239e-52 ,  0.104901   ,  2.04759e-10])
298049  , -79089.4    , array([ 0.232164   ,  0.00889665 ,  1.3239e-52 ,  0.104901   ,  2.04759e-10])
298050  , -79089.4    , array([ 0.231932   ,  0.00890555 ,  1.3239e-52 ,  0.104901   ,  2.04759e-10])
298051  , -79089.4    , array([ 0.231932   ,  0.00889665 ,  1.32522e-52,  0.104901   ,  2.04759e-10])
298052  , -79089.4    , array([ 0.231932   ,  0.00889665 ,  1.3239e-52 ,  0.105006   ,  2.04759e-10])
298053  , -79089.4    , array([ 0.231932   ,  0.00889665 ,  1.3239e-52 ,  0.104901   ,  2.04964e-10])
298054  , -79089.4    , array([ 0.231932   ,  0.00889665 ,  1.3239e-52 ,  0.104901   ,  2.04759e-10])
298055  , -79089.4    , array([ 0.231768   ,  0.00865941 ,  1.3239e-52 ,  0.104901   ,  2.10524e-10])
298056  , -79089.4    , array([ 0.231768   ,  0.00865941 ,  1.3239e-52 ,  0.104901   ,  2.10524e-10])
298057  , -79089.4    , array([ 0.232      ,  0.00865941 ,  1.3239e-52 ,  0.104901   ,  2.10524e-10])
298058  , -79089.4    , array([ 0.231768   ,  0.00866807 ,  1.3239e-52 ,  0.104901   ,  2.10524e-10])
298059  , -79089.4    , array([ 0.231768   ,  0.00865941 ,  1.32522e-52,  0.104901   ,  2.10524e-10])
298060  , -79089.4    , array([ 0.231768   ,  0.00865941 ,  1.3239e-52 ,  0.105006   ,  2.10524e-10])
298061  , -79089.4    , array([ 0.231768   ,  0.00865941 ,  1.3239e-52 ,  0.104901   ,  2.10735e-10])
298062  , -79089.4    , array([ 0.231116   ,  0.00777203 ,  1.3239e-52 ,  0.104901   ,  2.35252e-10])
298063  , -79089.4    , array([ 0.231116   ,  0.00777203 ,  1.3239e-52 ,  0.104901   ,  2.35252e-10])
298064  , -79089.4    , array([ 0.231347   ,  0.00777203 ,  1.3239e-52 ,  0.104901   ,  2.35252e-10])
298065  , -79089.4    , array([ 0.231116   ,  0.00777981 ,  1.3239e-52 ,  0.104901   ,  2.35252e-10])
298066  , -79089.4    , array([ 0.231116   ,  0.00777203 ,  1.32522e-52,  0.104901   ,  2.35252e-10])
298067  , -79089.4    , array([ 0.231116   ,  0.00777203 ,  1.3239e-52 ,  0.105006   ,  2.35252e-10])
298068  , -79089.4    , array([ 0.231116   ,  0.00777203 ,  1.3239e-52 ,  0.104901   ,  2.35487e-10])
298069  , -79089.4    , array([ 0.228526   ,  0.00504336 ,  1.3239e-52 ,  0.104902   ,  3.66827e-10])
298070  , -79089.4    , array([ 0.228526   ,  0.00504336 ,  1.3239e-52 ,  0.104902   ,  3.66827e-10])
298071  , -79089.4    , array([ 0.228754   ,  0.00504336 ,  1.3239e-52 ,  0.104902   ,  3.66827e-10])
298072  , -79089.4    , array([ 0.228526   ,  0.00504841 ,  1.3239e-52 ,  0.104902   ,  3.66827e-10])
298073  , -79089.4    , array([ 0.228526   ,  0.00504336 ,  1.32522e-52,  0.104902   ,  3.66827e-10])
298074  , -79089.4    , array([ 0.228526   ,  0.00504336 ,  1.3239e-52 ,  0.105007   ,  3.66827e-10])
