299559  , -78254.9    , array([ 0.00293004 ,  0.959655   ,  4.43253e-34,  6.0412e-23 ,  3.09684e-06])
299560  , -78255.7    , array([ 0.00293297 ,  0.959655   ,  4.43253e-34,  6.0412e-23 ,  3.09684e-06])
299561  , -78254.9    , array([ 0.00293004 ,  0.960615   ,  4.43253e-34,  6.0412e-23 ,  3.09684e-06])
299562  , -78254.9    , array([ 0.00293004 ,  0.959655   ,  4.43697e-34,  6.0412e-23 ,  3.09684e-06])
299563  , -78254.9    , array([ 0.00293004 ,  0.959655   ,  4.43253e-34,  6.04724e-23,  3.09684e-06])
299564  , -78254.1    , array([ 0.00293004 ,  0.959655   ,  4.43253e-34,  6.0412e-23 ,  3.09994e-06])
299565  , -78254.9    , array([ 0.00293004 ,  0.959655   ,  4.43253e-34,  6.0412e-23 ,  3.09684e-06])
299566  , -75783.8    , array([ 0.00143741 ,  0.95654    ,  4.43253e-34,  6.0412e-23 ,  6.33795e-06])
299567  , -75783.8    , array([ 0.00143741 ,  0.95654    ,  4.43253e-34,  6.0412e-23 ,  6.33795e-06])
299568  , -75786.9    , array([ 0.00143885 ,  0.95654    ,  4.43253e-34,  6.0412e-23 ,  6.33795e-06])
299569  , -75783.8    , array([ 0.00143741 ,  0.957497   ,  4.43253e-34,  6.0412e-23 ,  6.33795e-06])
299570  , -75783.8    , array([ 0.00143741 ,  0.95654    ,  4.43697e-34,  6.0412e-23 ,  6.33795e-06])
299571  , -75783.8    , array([ 0.00143741 ,  0.95654    ,  4.43253e-34,  6.04724e-23,  6.33795e-06])
299572  , -75780.7    , array([ 0.00143741 ,  0.95654    ,  4.43253e-34,  6.0412e-23 ,  6.34429e-06])
299580  , -75783.3    , array([ 0.00143729 ,  0.95654    ,  4.43253e-34,  6.0412e-23 ,  6.33849e-06])
299581  , -75783.3    , array([ 0.00143729 ,  0.95654    ,  4.43253e-34,  6.0412e-23 ,  6.33849e-06])
299582  , -75786.4    , array([ 0.00143873 ,  0.95654    ,  4.43253e-34,  6.0412e-23 ,  6.33849e-06])
299583  , -75783.3    , array([ 0.00143729 ,  0.957497   ,  4.43253e-34,  6.0412e-23 ,  6.33849e-06])
299584  , -75783.3    , array([ 0.00143729 ,  0.95654    ,  4.43697e-34,  6.0412e-23 ,  6.33849e-06])
299585  , -75783.3    , array([ 0.00143729 ,  0.95654    ,  4.43253e-34,  6.04724e-23,  6.33849e-06])
299586  , -75780.2    , array([ 0.00143729 ,  0.95654    ,  4.43253e-34,  6.0412e-23 ,  6.34483e-06])
299587  , -75782.8    , array([ 0.00143717 ,  0.956539   ,  4.43253e-34,  6.0412e-23 ,  6.33902e-06])
299588  , -75782.8    , array([ 0.00143717 ,  0.956539   ,  4.43253e-34,  6.0412e-23 ,  6.33902e-06])
299589  , -75785.9    , array([ 0.00143861 ,  0.956539   ,  4.43253e-34,  6.0412e-23 ,  6.33902e-06])
299590  , -75782.8    , array([ 0.00143717 ,  0.957496   ,  4.43253e-34,  6.0412e-23 ,  6.33902e-06])
299591  , -75782.8    , array([ 0.00143717 ,  0.956539   ,  4.43697e-34,  6.0412e-23 ,  6.33902e-06])
299592  , -75782.8    , array([ 0.00143717 ,  0.956539   ,  4.43253e-34,  6.04724e-23,  6.33902e-06])
299593  , -75779.7    , array([ 0.00143717 ,  0.956539   ,  4.43253e-34,  6.0412e-23 ,  6.34536e-06])
299601  , -75782.6    , array([ 0.00143714 ,  0.956539   ,  4.43253e-34,  6.0412e-23 ,  6.33916e-06])
299602  , -75782.6    , array([ 0.00143714 ,  0.956539   ,  4.43253e-34,  6.0412e-23 ,  6.33916e-06])
299603  , -75785.7    , array([ 0.00143858 ,  0.956539   ,  4.43253e-34,  6.0412e-23 ,  6.33916e-06])
299604  , -75782.6    , array([ 0.00143714 ,  0.957496   ,  4.43253e-34,  6.0412e-23 ,  6.33916e-06])
299605  , -75782.6    , array([ 0.00143714 ,  0.956539   ,  4.43697e-34,  6.0412e-23 ,  6.33916e-06])
299606  , -75782.6    , array([ 0.00143714 ,  0.956539   ,  4.43253e-34,  6.04724e-23,  6.33916e-06])
299607  , -75779.5    , array([ 0.00143714 ,  0.956539   ,  4.43253e-34,  6.0412e-23 ,  6.3455e-06 ])
299608  , -75782.5    , array([ 0.00143711 ,  0.956539   ,  4.43253e-34,  6.0412e-23 ,  6.33929e-06])
299609  , -75782.5    , array([ 0.00143711 ,  0.956539   ,  4.43253e-34,  6.0412e-23 ,  6.33929e-06])
299610  , -75785.6    , array([ 0.00143855 ,  0.956539   ,  4.43253e-34,  6.0412e-23 ,  6.33929e-06])
299611  , -75782.5    , array([ 0.00143711 ,  0.957496   ,  4.43253e-34,  6.0412e-23 ,  6.33929e-06])
299612  , -75782.5    , array([ 0.00143711 ,  0.956539   ,  4.43697e-34,  6.0412e-23 ,  6.33929e-06])
299613  , -75782.5    , array([ 0.00143711 ,  0.956539   ,  4.43253e-34,  6.04724e-23,  6.33929e-06])
299614  , -75779.4    , array([ 0.00143711 ,  0.956539   ,  4.43253e-34,  6.0412e-23 ,  6.34563e-06])
299622  , -75782.5    , array([ 0.00143711 ,  0.956539   ,  4.43253e-34,  6.0412e-23 ,  6.33932e-06])
299623  , -75782.5    , array([ 0.00143711 ,  0.956539   ,  4.43253e-34,  6.0412e-23 ,  6.33932e-06])
299624  , -75785.6    , array([ 0.00143854 ,  0.956539   ,  4.43253e-34,  6.0412e-23 ,  6.33932e-06])
299625  , -75782.5    , array([ 0.00143711 ,  0.957496   ,  4.43253e-34,  6.0412e-23 ,  6.33932e-06])
299626  , -75782.5    , array([ 0.00143711 ,  0.956539   ,  4.43697e-34,  6.0412e-23 ,  6.33932e-06])
299627  , -75782.5    , array([ 0.00143711 ,  0.956539   ,  4.43253e-34,  6.04724e-23,  6.33932e-06])
299628  , -75779.4    , array([ 0.00143711 ,  0.956539   ,  4.43253e-34,  6.0412e-23 ,  6.34566e-06])
299629  , -75782.4    , array([ 0.0014371  ,  0.956539   ,  4.43253e-34,  6.0412e-23 ,  6.33936e-06])
