301194  , -79068      , array([ 1.07202    ,  0.102868   ,  0.000124154,  0.000706909,  1.75724e-06])
301195  , -79068      , array([ 1.07309    ,  0.102868   ,  0.000124154,  0.000706909,  1.75724e-06])
301196  , -79068.1    , array([ 1.07202    ,  0.102971   ,  0.000124154,  0.000706909,  1.75724e-06])
301197  , -79068      , array([ 1.07202    ,  0.102868   ,  0.000124278,  0.000706909,  1.75724e-06])
301198  , -79068      , array([ 1.07202    ,  0.102868   ,  0.000124154,  0.000707616,  1.75724e-06])
301199  , -79068      , array([ 1.07202    ,  0.102868   ,  0.000124154,  0.000706909,  1.759e-06  ])
301200  , -79068      , array([ 1.07202    ,  0.102868   ,  0.000124154,  0.000706909,  1.75724e-06])
301201  , -79003      , array([ 1.02487    ,  0.0516104  ,  0.000124154,  0.000706909,  3.67e-06   ])
301202  , -79003      , array([ 1.02487    ,  0.0516104  ,  0.000124154,  0.000706909,  3.67e-06   ])
301203  , -79003      , array([ 1.02589    ,  0.0516104  ,  0.000124154,  0.000706909,  3.67e-06   ])
301204  , -79003.1    , array([ 1.02487    ,  0.051662   ,  0.000124154,  0.000706909,  3.67e-06   ])
301205  , -79003      , array([ 1.02487    ,  0.0516104  ,  0.000124278,  0.000706909,  3.67e-06   ])
301206  , -79003      , array([ 1.02487    ,  0.0516104  ,  0.000124154,  0.000707616,  3.67e-06   ])
301207  , -79003      , array([ 1.02487    ,  0.0516104  ,  0.000124154,  0.000706909,  3.67367e-06])
301208  , -58424.2    , array([ 0.856099   ,  0.00327009 ,  0.000124154,  0.000706908,  6.98241e-05])
301209  , -58424.2    , array([ 0.856099   ,  0.00327009 ,  0.000124154,  0.000706908,  6.98241e-05])
301210  , -58424.2    , array([ 0.856955   ,  0.00327009 ,  0.000124154,  0.000706908,  6.98241e-05])
301211  , -58441.1    , array([ 0.856099   ,  0.00327336 ,  0.000124154,  0.000706908,  6.98241e-05])
301212  , -58424.2    , array([ 0.856099   ,  0.00327009 ,  0.000124278,  0.000706908,  6.98241e-05])
301213  , -58424.2    , array([ 0.856099   ,  0.00327009 ,  0.000124154,  0.000707616,  6.98241e-05])
301214  , -58407.2    , array([ 0.856099   ,  0.00327009 ,  0.000124154,  0.000706908,  6.98939e-05])
301222  , -58174.6    , array([ 0.855703   ,  0.00324697 ,  0.000124154,  0.000706908,  7.03551e-05])
301223  , -58174.6    , array([ 0.855703   ,  0.00324697 ,  0.000124154,  0.000706908,  7.03551e-05])
301224  , -58174.6    , array([ 0.856559   ,  0.00324697 ,  0.000124154,  0.000706908,  7.03551e-05])
301225  , -58191.7    , array([ 0.855703   ,  0.00325021 ,  0.000124154,  0.000706908,  7.03551e-05])
301226  , -58174.6    , array([ 0.855703   ,  0.00324697 ,  0.000124278,  0.000706908,  7.03551e-05])
301227  , -58174.6    , array([ 0.855703   ,  0.00324697 ,  0.000124154,  0.000707616,  7.03551e-05])
301228  , -58157.5    , array([ 0.855703   ,  0.00324697 ,  0.000124154,  0.000706908,  7.04255e-05])
301229  , -57920.7    , array([ 0.855304   ,  0.00322382 ,  0.000124154,  0.000706908,  7.08945e-05])
301230  , -57920.7    , array([ 0.855304   ,  0.00322382 ,  0.000124154,  0.000706908,  7.08945e-05])
301231  , -57920.7    , array([ 0.856159   ,  0.00322382 ,  0.000124154,  0.000706908,  7.08945e-05])
301232  , -57937.9    , array([ 0.855304   ,  0.00322705 ,  0.000124154,  0.000706908,  7.08945e-05])
301233  , -57920.7    , array([ 0.855304   ,  0.00322382 ,  0.000124278,  0.000706908,  7.08945e-05])
301234  , -57920.7    , array([ 0.855304   ,  0.00322382 ,  0.000124154,  0.000707616,  7.08945e-05])
301235  , -57903.4    , array([ 0.855304   ,  0.00322382 ,  0.000124154,  0.000706908,  7.09655e-05])
301243  , -57856.2    , array([ 0.855203   ,  0.00321801 ,  0.000124154,  0.000706908,  7.10312e-05])
301244  , -57856.2    , array([ 0.855203   ,  0.00321801 ,  0.000124154,  0.000706908,  7.10312e-05])
301245  , -57856.3    , array([ 0.856059   ,  0.00321801 ,  0.000124154,  0.000706908,  7.10312e-05])
301246  , -57873.5    , array([ 0.855203   ,  0.00322123 ,  0.000124154,  0.000706908,  7.10312e-05])
301247  , -57856.2    , array([ 0.855203   ,  0.00321801 ,  0.000124278,  0.000706908,  7.10312e-05])
301248  , -57856.2    , array([ 0.855203   ,  0.00321801 ,  0.000124154,  0.000707616,  7.10312e-05])
301249  , -57838.9    , array([ 0.855203   ,  0.00321801 ,  0.000124154,  0.000706908,  7.11023e-05])
301250  , -57791.6    , array([ 0.855102   ,  0.0032122  ,  0.000124154,  0.000706908,  7.11685e-05])
301251  , -57791.6    , array([ 0.855102   ,  0.0032122  ,  0.000124154,  0.000706908,  7.11685e-05])
301252  , -57791.6    , array([ 0.855958   ,  0.0032122  ,  0.000124154,  0.000706908,  7.11685e-05])
301253  , -57808.9    , array([ 0.855102   ,  0.00321541 ,  0.000124154,  0.000706908,  7.11685e-05])
301254  , -57791.6    , array([ 0.855102   ,  0.0032122  ,  0.000124278,  0.000706908,  7.11685e-05])
301255  , -57791.6    , array([ 0.855102   ,  0.0032122  ,  0.000124154,  0.000707616,  7.11685e-05])
301256  , -57774.2    , array([ 0.855102   ,  0.0032122  ,  0.000124154,  0.000706908,  7.12397e-05])
301264  , -57775.3    , array([ 0.855077   ,  0.00321075 ,  0.000124154,  0.000706908,  7.12029e-05])
301265  , -57775.3    , array([ 0.855077   ,  0.00321075 ,  0.000124154,  0.000706908,  7.12029e-05])
301266  , -57775.4    , array([ 0.855932   ,  0.00321075 ,  0.000124154,  0.000706908,  7.12029e-05])
301267  , -57792.6    , array([ 0.855077   ,  0.00321396 ,  0.000124154,  0.000706908,  7.12029e-05])
301268  , -57775.3    , array([ 0.855077   ,  0.00321075 ,  0.000124278,  0.000706908,  7.12029e-05])
301269  , -57775.3    , array([ 0.855077   ,  0.00321075 ,  0.000124154,  0.000707616,  7.12029e-05])
301270  , -57758      , array([ 0.855077   ,  0.00321075 ,  0.000124154,  0.000706908,  7.12741e-05])
301271  , -57759.1    , array([ 0.855052   ,  0.00320929 ,  0.000124154,  0.000706908,  7.12373e-05])
301272  , -57759.1    , array([ 0.855052   ,  0.00320929 ,  0.000124154,  0.000706908,  7.12373e-05])
301273  , -57759.1    , array([ 0.855907   ,  0.00320929 ,  0.000124154,  0.000706908,  7.12373e-05])
301274  , -57776.4    , array([ 0.855052   ,  0.0032125  ,  0.000124154,  0.000706908,  7.12373e-05])
301275  , -57759.1    , array([ 0.855052   ,  0.00320929 ,  0.000124278,  0.000706908,  7.12373e-05])
301276  , -57759.1    , array([ 0.855052   ,  0.00320929 ,  0.000124154,  0.000707616,  7.12373e-05])
301277  , -57741.7    , array([ 0.855052   ,  0.00320929 ,  0.000124154,  0.000706908,  7.13086e-05])
301285  , -57755      , array([ 0.855045   ,  0.00320893 ,  0.000124154,  0.000706908,  7.12459e-05])
301286  , -57755      , array([ 0.855045   ,  0.00320893 ,  0.000124154,  0.000706908,  7.12459e-05])
301287  , -57755.1    , array([ 0.855901   ,  0.00320893 ,  0.000124154,  0.000706908,  7.12459e-05])
301288  , -57772.3    , array([ 0.855045   ,  0.00321214 ,  0.000124154,  0.000706908,  7.12459e-05])
301289  , -57755      , array([ 0.855045   ,  0.00320893 ,  0.000124278,  0.000706908,  7.12459e-05])
301290  , -57755      , array([ 0.855045   ,  0.00320893 ,  0.000124154,  0.000707616,  7.12459e-05])
301291  , -57737.6    , array([ 0.855045   ,  0.00320893 ,  0.000124154,  0.000706908,  7.13172e-05])
301292  , -57751      , array([ 0.855039   ,  0.00320857 ,  0.000124154,  0.000706908,  7.12545e-05])
301293  , -57751      , array([ 0.855039   ,  0.00320857 ,  0.000124154,  0.000706908,  7.12545e-05])
301294  , -57751      , array([ 0.855894   ,  0.00320857 ,  0.000124154,  0.000706908,  7.12545e-05])
301295  , -57768.3    , array([ 0.855039   ,  0.00321178 ,  0.000124154,  0.000706908,  7.12545e-05])
301296  , -57751      , array([ 0.855039   ,  0.00320857 ,  0.000124278,  0.000706908,  7.12545e-05])
301297  , -57751      , array([ 0.855039   ,  0.00320857 ,  0.000124154,  0.000707616,  7.12545e-05])
301298  , -57733.6    , array([ 0.855039   ,  0.00320857 ,  0.000124154,  0.000706908,  7.13258e-05])
301299  , -24125.8    , array([ 0.817519   ,  0.00161249 ,  0.000124154,  0.000706908,  0.000148548])
301300  , -24125.8    , array([ 0.817519   ,  0.00161249 ,  0.000124154,  0.000706908,  0.000148548])
301301  , -24125.8    , array([ 0.818337   ,  0.00161249 ,  0.000124154,  0.000706908,  0.000148548])
301302  , -24152.1    , array([ 0.817519   ,  0.0016141  ,  0.000124154,  0.000706908,  0.000148548])
301303  , -24125.8    , array([ 0.817519   ,  0.00161249 ,  0.000124278,  0.000706908,  0.000148548])
301304  , -24125.8    , array([ 0.817519   ,  0.00161249 ,  0.000124154,  0.000707616,  0.000148548])
301305  , -24099.5    , array([ 0.817519   ,  0.00161249 ,  0.000124154,  0.000706908,  0.000148697])
301306  , -24123.5    , array([ 0.817516   ,  0.00161242 ,  0.000124154,  0.000706908,  0.000148555])
301307  , -24123.5    , array([ 0.817516   ,  0.00161242 ,  0.000124154,  0.000706908,  0.000148555])
301308  , -24123.5    , array([ 0.818334   ,  0.00161242 ,  0.000124154,  0.000706908,  0.000148555])
301309  , -24149.7    , array([ 0.817516   ,  0.00161403 ,  0.000124154,  0.000706908,  0.000148555])
301310  , -24123.5    , array([ 0.817516   ,  0.00161242 ,  0.000124278,  0.000706908,  0.000148555])
301311  , -24123.5    , array([ 0.817516   ,  0.00161242 ,  0.000124154,  0.000707616,  0.000148555])
301312  , -24097.2    , array([ 0.817516   ,  0.00161242 ,  0.000124154,  0.000706908,  0.000148704])
301313  , -23609.4    , array([ 0.817011   ,  0.00159722 ,  0.000124154,  0.000706908,  0.000150065])
