304229  , -79089.4    , array([ 0.00262559 ,  0.513855   ,  3.41613e-23,  1.31004e-07,  5.90542e-12])
304230  , -79089.4    , array([ 0.00262822 ,  0.513855   ,  3.41613e-23,  1.31004e-07,  5.90542e-12])
304231  , -79089.4    , array([ 0.00262559 ,  0.514369   ,  3.41613e-23,  1.31004e-07,  5.90542e-12])
304232  , -79089.4    , array([ 0.00262559 ,  0.513855   ,  3.41955e-23,  1.31004e-07,  5.90542e-12])
304233  , -79089.4    , array([ 0.00262559 ,  0.513855   ,  3.41613e-23,  1.31135e-07,  5.90542e-12])
304234  , -79089.4    , array([ 0.00262559 ,  0.513855   ,  3.41613e-23,  1.31004e-07,  5.91133e-12])
304235  , -79089.4    , array([ 0.00262559 ,  0.513855   ,  3.41613e-23,  1.31004e-07,  5.90542e-12])
304236  , -79089.4    , array([ 0.00262088 ,  0.513848   ,  3.41613e-23,  1.31004e-07,  5.91613e-12])
304237  , -79089.4    , array([ 0.00262088 ,  0.513848   ,  3.41613e-23,  1.31004e-07,  5.91613e-12])
304238  , -79089.4    , array([ 0.0026235  ,  0.513848   ,  3.41613e-23,  1.31004e-07,  5.91613e-12])
304239  , -79089.4    , array([ 0.00262088 ,  0.514362   ,  3.41613e-23,  1.31004e-07,  5.91613e-12])
304240  , -79089.4    , array([ 0.00262088 ,  0.513848   ,  3.41955e-23,  1.31004e-07,  5.91613e-12])
304241  , -79089.4    , array([ 0.00262088 ,  0.513848   ,  3.41613e-23,  1.31135e-07,  5.91613e-12])
304242  , -79089.4    , array([ 0.00262088 ,  0.513848   ,  3.41613e-23,  1.31004e-07,  5.92205e-12])
304243  , -79089.4    , array([ 0.00260213 ,  0.51382    ,  3.41613e-23,  1.31004e-07,  5.95913e-12])
304244  , -79089.4    , array([ 0.00260213 ,  0.51382    ,  3.41613e-23,  1.31004e-07,  5.95913e-12])
304245  , -79089.4    , array([ 0.00260473 ,  0.51382    ,  3.41613e-23,  1.31004e-07,  5.95913e-12])
304246  , -79089.4    , array([ 0.00260213 ,  0.514334   ,  3.41613e-23,  1.31004e-07,  5.95913e-12])
304247  , -79089.4    , array([ 0.00260213 ,  0.51382    ,  3.41955e-23,  1.31004e-07,  5.95913e-12])
304248  , -79089.4    , array([ 0.00260213 ,  0.51382    ,  3.41613e-23,  1.31135e-07,  5.95913e-12])
304249  , -79089.4    , array([ 0.00260213 ,  0.51382    ,  3.41613e-23,  1.31004e-07,  5.9651e-12 ])
304250  , -79089.4    , array([ 0.00252844 ,  0.513708   ,  3.41613e-23,  1.31004e-07,  6.13431e-12])
304251  , -79089.4    , array([ 0.00252844 ,  0.513708   ,  3.41613e-23,  1.31004e-07,  6.13431e-12])
304252  , -79089.4    , array([ 0.00253097 ,  0.513708   ,  3.41613e-23,  1.31004e-07,  6.13431e-12])
304253  , -79089.4    , array([ 0.00252844 ,  0.514222   ,  3.41613e-23,  1.31004e-07,  6.13431e-12])
304254  , -79089.4    , array([ 0.00252844 ,  0.513708   ,  3.41955e-23,  1.31004e-07,  6.13431e-12])
304255  , -79089.4    , array([ 0.00252844 ,  0.513708   ,  3.41613e-23,  1.31135e-07,  6.13431e-12])
304256  , -79089.4    , array([ 0.00252844 ,  0.513708   ,  3.41613e-23,  1.31004e-07,  6.14045e-12])
304257  , -79089.4    , array([ 0.00225397 ,  0.513261   ,  3.41613e-23,  1.31004e-07,  6.88804e-12])
304258  , -79089.4    , array([ 0.00225397 ,  0.513261   ,  3.41613e-23,  1.31004e-07,  6.88804e-12])
304259  , -79089.4    , array([ 0.00225623 ,  0.513261   ,  3.41613e-23,  1.31004e-07,  6.88804e-12])
304260  , -79089.4    , array([ 0.00225397 ,  0.513774   ,  3.41613e-23,  1.31004e-07,  6.88804e-12])
304261  , -79089.4    , array([ 0.00225397 ,  0.513261   ,  3.41955e-23,  1.31004e-07,  6.88804e-12])
304262  , -79089.4    , array([ 0.00225397 ,  0.513261   ,  3.41613e-23,  1.31135e-07,  6.88804e-12])
304263  , -79089.4    , array([ 0.00225397 ,  0.513261   ,  3.41613e-23,  1.31004e-07,  6.89493e-12])
304264  , -79089.4    , array([ 0.00142343 ,  0.511474   ,  3.41613e-23,  1.31004e-07,  1.095e-11  ])
304265  , -79089.4    , array([ 0.00142343 ,  0.511474   ,  3.41613e-23,  1.31004e-07,  1.095e-11  ])
304266  , -79089.4    , array([ 0.00142485 ,  0.511474   ,  3.41613e-23,  1.31004e-07,  1.095e-11  ])
304267  , -79089.4    , array([ 0.00142343 ,  0.511986   ,  3.41613e-23,  1.31004e-07,  1.095e-11  ])
304268  , -79089.4    , array([ 0.00142343 ,  0.511474   ,  3.41955e-23,  1.31004e-07,  1.095e-11  ])
304269  , -79089.4    , array([ 0.00142343 ,  0.511474   ,  3.41613e-23,  1.31135e-07,  1.095e-11  ])
304270  , -79089.4    , array([ 0.00142343 ,  0.511474   ,  3.41613e-23,  1.31004e-07,  1.0961e-11 ])
304278  , -79089.4    , array([ 0.00142343 ,  0.511474   ,  3.41613e-23,  1.31004e-07,  1.095e-11  ])
304279  , -79089.4    , array([ 0.00142343 ,  0.511474   ,  3.41613e-23,  1.31004e-07,  1.095e-11  ])
304280  , -79089.4    , array([ 0.00142485 ,  0.511474   ,  3.41613e-23,  1.31004e-07,  1.095e-11  ])
304281  , -79089.4    , array([ 0.00142343 ,  0.511986   ,  3.41613e-23,  1.31004e-07,  1.095e-11  ])
304282  , -79089.4    , array([ 0.00142343 ,  0.511474   ,  3.41955e-23,  1.31004e-07,  1.095e-11  ])
304283  , -79089.4    , array([ 0.00142343 ,  0.511474   ,  3.41613e-23,  1.31135e-07,  1.095e-11  ])
304284  , -79089.4    , array([ 0.00142343 ,  0.511474   ,  3.41613e-23,  1.31004e-07,  1.0961e-11 ])
304285  , -79089.4    , array([ 0.00142343 ,  0.511474   ,  3.41613e-23,  1.31004e-07,  1.095e-11  ])
304286  , -79089.4    , array([ 0.00142343 ,  0.511474   ,  3.41613e-23,  1.31004e-07,  1.095e-11  ])
304287  , -79089.4    , array([ 0.00142485 ,  0.511474   ,  3.41613e-23,  1.31004e-07,  1.095e-11  ])
304288  , -79089.4    , array([ 0.00142343 ,  0.511986   ,  3.41613e-23,  1.31004e-07,  1.095e-11  ])
304289  , -79089.4    , array([ 0.00142343 ,  0.511474   ,  3.41955e-23,  1.31004e-07,  1.095e-11  ])
304290  , -79089.4    , array([ 0.00142343 ,  0.511474   ,  3.41613e-23,  1.31135e-07,  1.095e-11  ])
304291  , -79089.4    , array([ 0.00142343 ,  0.511474   ,  3.41613e-23,  1.31004e-07,  1.0961e-11 ])
304299  , -79089.4    , array([ 0.00142343 ,  0.511474   ,  3.41613e-23,  1.31004e-07,  1.095e-11  ])
304300  , -79089.4    , array([ 0.00142343 ,  0.511474   ,  3.41613e-23,  1.31004e-07,  1.095e-11  ])
304301  , -79089.4    , array([ 0.00142485 ,  0.511474   ,  3.41613e-23,  1.31004e-07,  1.095e-11  ])
