304621  , -132329     , array([ 0.0628254  ,  0.268241   ,  9.4611e-33 ,  7.69546e-55,  0.134125   ])
304622  , -132217     , array([ 0.0628882  ,  0.268241   ,  9.4611e-33 ,  7.69546e-55,  0.134125   ])
304623  , -132338     , array([ 0.0628254  ,  0.268509   ,  9.4611e-33 ,  7.69546e-55,  0.134125   ])
304624  , -132329     , array([ 0.0628254  ,  0.268241   ,  9.47057e-33,  7.69546e-55,  0.134125   ])
304625  , -132329     , array([ 0.0628254  ,  0.268241   ,  9.4611e-33 ,  7.70316e-55,  0.134125   ])
304626  , -132423     , array([ 0.0628254  ,  0.268241   ,  9.4611e-33 ,  7.69546e-55,  0.134259   ])
304627  , -132329     , array([ 0.0628254  ,  0.268241   ,  9.4611e-33 ,  7.69546e-55,  0.134125   ])
304628  , -41301.7    , array([ 0.136365   ,  0.251995   ,  9.4611e-33 ,  7.69546e-55,  0.0703933  ])
304629  , -41301.7    , array([ 0.136365   ,  0.251995   ,  9.4611e-33 ,  7.69546e-55,  0.0703933  ])
304630  , -41257.8    , array([ 0.136502   ,  0.251995   ,  9.4611e-33 ,  7.69546e-55,  0.0703933  ])
304631  , -41312      , array([ 0.136365   ,  0.252248   ,  9.4611e-33 ,  7.69546e-55,  0.0703933  ])
304632  , -41301.7    , array([ 0.136365   ,  0.251995   ,  9.47057e-33,  7.69546e-55,  0.0703933  ])
304633  , -41301.7    , array([ 0.136365   ,  0.251995   ,  9.4611e-33 ,  7.70316e-55,  0.0703933  ])
304634  , -41329.9    , array([ 0.136365   ,  0.251995   ,  9.4611e-33 ,  7.69546e-55,  0.0704637  ])
304642  , -41245.5    , array([ 0.136609   ,  0.25128    ,  9.4611e-33 ,  7.69546e-55,  0.0705213  ])
304643  , -41245.5    , array([ 0.136609   ,  0.25128    ,  9.4611e-33 ,  7.69546e-55,  0.0705213  ])
304644  , -41201.6    , array([ 0.136745   ,  0.25128    ,  9.4611e-33 ,  7.69546e-55,  0.0705213  ])
304645  , -41255.7    , array([ 0.136609   ,  0.251531   ,  9.4611e-33 ,  7.69546e-55,  0.0705213  ])
304646  , -41245.5    , array([ 0.136609   ,  0.25128    ,  9.47057e-33,  7.69546e-55,  0.0705213  ])
304647  , -41245.5    , array([ 0.136609   ,  0.25128    ,  9.4611e-33 ,  7.70316e-55,  0.0705213  ])
304648  , -41273.7    , array([ 0.136609   ,  0.25128    ,  9.4611e-33 ,  7.69546e-55,  0.0705918  ])
304649  , -40503      , array([ 0.139996   ,  0.241653   ,  9.4611e-33 ,  7.69546e-55,  0.072303   ])
304650  , -40503      , array([ 0.139996   ,  0.241653   ,  9.4611e-33 ,  7.69546e-55,  0.072303   ])
304651  , -40459.6    , array([ 0.140136   ,  0.241653   ,  9.4611e-33 ,  7.69546e-55,  0.072303   ])
304652  , -40512.4    , array([ 0.139996   ,  0.241895   ,  9.4611e-33 ,  7.69546e-55,  0.072303   ])
304653  , -40503      , array([ 0.139996   ,  0.241653   ,  9.47057e-33,  7.69546e-55,  0.072303   ])
304654  , -40503      , array([ 0.139996   ,  0.241653   ,  9.4611e-33 ,  7.70316e-55,  0.072303   ])
