485     , -79089.2    , array([ 0.470819   ,  0.319013   ,  1.05491e-98,  3.58014e-20,  4.5532e-08 ])
486     , -79089.2    , array([ 0.47129    ,  0.319013   ,  1.05491e-98,  3.58014e-20,  4.5532e-08 ])
487     , -79089.2    , array([ 0.470819   ,  0.319332   ,  1.05491e-98,  3.58014e-20,  4.5532e-08 ])
488     , -79089.2    , array([ 0.470819   ,  0.319013   ,  1.05597e-98,  3.58014e-20,  4.5532e-08 ])
489     , -79089.2    , array([ 0.470819   ,  0.319013   ,  1.05491e-98,  3.58372e-20,  4.5532e-08 ])
490     , -79089.2    , array([ 0.470819   ,  0.319013   ,  1.05491e-98,  3.58014e-20,  4.55776e-08])
491     , -79089.2    , array([ 0.470819   ,  0.319013   ,  1.05491e-98,  3.58014e-20,  4.5532e-08 ])
492     , -79089.1    , array([ 0.435842   ,  0.269782   ,  1.05491e-98,  3.58014e-20,  5.82199e-08])
493     , -79089.1    , array([ 0.435842   ,  0.269782   ,  1.05491e-98,  3.58014e-20,  5.82199e-08])
494     , -79089.1    , array([ 0.436278   ,  0.269782   ,  1.05491e-98,  3.58014e-20,  5.82199e-08])
495     , -79089.1    , array([ 0.435842   ,  0.270052   ,  1.05491e-98,  3.58014e-20,  5.82199e-08])
496     , -79089.1    , array([ 0.435842   ,  0.269782   ,  1.05597e-98,  3.58014e-20,  5.82199e-08])
497     , -79089.1    , array([ 0.435842   ,  0.269782   ,  1.05491e-98,  3.58372e-20,  5.82199e-08])
498     , -79089.1    , array([ 0.435842   ,  0.269782   ,  1.05491e-98,  3.58014e-20,  5.82781e-08])
499     , -79087.7    , array([ 0.320058   ,  0.137986   ,  1.05491e-98,  3.58014e-20,  1.55628e-07])
500     , -79087.7    , array([ 0.320058   ,  0.137986   ,  1.05491e-98,  3.58014e-20,  1.55628e-07])
501     , -79087.7    , array([ 0.320378   ,  0.137986   ,  1.05491e-98,  3.58014e-20,  1.55628e-07])
502     , -79087.7    , array([ 0.320058   ,  0.138124   ,  1.05491e-98,  3.58014e-20,  1.55628e-07])
503     , -79087.7    , array([ 0.320058   ,  0.137986   ,  1.05597e-98,  3.58014e-20,  1.55628e-07])
504     , -79087.7    , array([ 0.320058   ,  0.137986   ,  1.05491e-98,  3.58372e-20,  1.55628e-07])
505     , -79087.7    , array([ 0.320058   ,  0.137986   ,  1.05491e-98,  3.58014e-20,  1.55784e-07])
506     , -78042.1    , array([ 0.0930742  ,  0.0094432  ,  1.05491e-98,  3.58014e-20,  7.94618e-06])
507     , -78042.1    , array([ 0.0930742  ,  0.0094432  ,  1.05491e-98,  3.58014e-20,  7.94618e-06])
508     , -78042.2    , array([ 0.0931673  ,  0.0094432  ,  1.05491e-98,  3.58014e-20,  7.94618e-06])
509     , -78043.1    , array([ 0.0930742  ,  0.00945265 ,  1.05491e-98,  3.58014e-20,  7.94618e-06])
510     , -78042.1    , array([ 0.0930742  ,  0.0094432  ,  1.05597e-98,  3.58014e-20,  7.94618e-06])
511     , -78042.1    , array([ 0.0930742  ,  0.0094432  ,  1.05491e-98,  3.58372e-20,  7.94618e-06])
512     , -78041.1    , array([ 0.0930742  ,  0.0094432  ,  1.05491e-98,  3.58014e-20,  7.95413e-06])
520     , -78040.9    , array([ 0.0930534  ,  0.00943863 ,  1.05491e-98,  3.58014e-20,  7.95182e-06])
521     , -78040.9    , array([ 0.0930534  ,  0.00943863 ,  1.05491e-98,  3.58014e-20,  7.95182e-06])
522     , -78040.9    , array([ 0.0931465  ,  0.00943863 ,  1.05491e-98,  3.58014e-20,  7.95182e-06])
523     , -78041.9    , array([ 0.0930534  ,  0.00944807 ,  1.05491e-98,  3.58014e-20,  7.95182e-06])
524     , -78040.9    , array([ 0.0930534  ,  0.00943863 ,  1.05597e-98,  3.58014e-20,  7.95182e-06])
525     , -78040.9    , array([ 0.0930534  ,  0.00943863 ,  1.05491e-98,  3.58372e-20,  7.95182e-06])
526     , -78039.8    , array([ 0.0930534  ,  0.00943863 ,  1.05491e-98,  3.58014e-20,  7.95978e-06])
527     , -78039.7    , array([ 0.0930326  ,  0.00943405 ,  1.05491e-98,  3.58014e-20,  7.95748e-06])
528     , -78039.7    , array([ 0.0930326  ,  0.00943405 ,  1.05491e-98,  3.58014e-20,  7.95748e-06])
529     , -78039.7    , array([ 0.0931257  ,  0.00943405 ,  1.05491e-98,  3.58014e-20,  7.95748e-06])
530     , -78040.6    , array([ 0.0930326  ,  0.00944349 ,  1.05491e-98,  3.58014e-20,  7.95748e-06])
531     , -78039.7    , array([ 0.0930326  ,  0.00943405 ,  1.05597e-98,  3.58014e-20,  7.95748e-06])
532     , -78039.7    , array([ 0.0930326  ,  0.00943405 ,  1.05491e-98,  3.58372e-20,  7.95748e-06])
533     , -78038.6    , array([ 0.0930326  ,  0.00943405 ,  1.05491e-98,  3.58014e-20,  7.96544e-06])
541     , -78039.3    , array([ 0.0930274  ,  0.00943291 ,  1.05491e-98,  3.58014e-20,  7.9589e-06 ])
542     , -78039.3    , array([ 0.0930274  ,  0.00943291 ,  1.05491e-98,  3.58014e-20,  7.9589e-06 ])
543     , -78039.4    , array([ 0.0931205  ,  0.00943291 ,  1.05491e-98,  3.58014e-20,  7.9589e-06 ])
544     , -78040.3    , array([ 0.0930274  ,  0.00944234 ,  1.05491e-98,  3.58014e-20,  7.9589e-06 ])
545     , -78039.3    , array([ 0.0930274  ,  0.00943291 ,  1.05597e-98,  3.58014e-20,  7.9589e-06 ])
546     , -78039.3    , array([ 0.0930274  ,  0.00943291 ,  1.05491e-98,  3.58372e-20,  7.9589e-06 ])
547     , -78038.3    , array([ 0.0930274  ,  0.00943291 ,  1.05491e-98,  3.58014e-20,  7.96686e-06])
548     , -78039      , array([ 0.0930222  ,  0.00943176 ,  1.05491e-98,  3.58014e-20,  7.96031e-06])
549     , -78039      , array([ 0.0930222  ,  0.00943176 ,  1.05491e-98,  3.58014e-20,  7.96031e-06])
550     , -78039.1    , array([ 0.0931153  ,  0.00943176 ,  1.05491e-98,  3.58014e-20,  7.96031e-06])
551     , -78040      , array([ 0.0930222  ,  0.0094412  ,  1.05491e-98,  3.58014e-20,  7.96031e-06])
552     , -78039      , array([ 0.0930222  ,  0.00943176 ,  1.05597e-98,  3.58014e-20,  7.96031e-06])
553     , -78039      , array([ 0.0930222  ,  0.00943176 ,  1.05491e-98,  3.58372e-20,  7.96031e-06])
554     , -78038      , array([ 0.0930222  ,  0.00943176 ,  1.05491e-98,  3.58014e-20,  7.96828e-06])
562     , -78039      , array([ 0.0930209  ,  0.00943147 ,  1.05491e-98,  3.58014e-20,  7.96067e-06])
563     , -78039      , array([ 0.0930209  ,  0.00943147 ,  1.05491e-98,  3.58014e-20,  7.96067e-06])
564     , -78039      , array([ 0.093114   ,  0.00943147 ,  1.05491e-98,  3.58014e-20,  7.96067e-06])
565     , -78039.9    , array([ 0.0930209  ,  0.00944091 ,  1.05491e-98,  3.58014e-20,  7.96067e-06])
566     , -78039      , array([ 0.0930209  ,  0.00943147 ,  1.05597e-98,  3.58014e-20,  7.96067e-06])
567     , -78039      , array([ 0.0930209  ,  0.00943147 ,  1.05491e-98,  3.58372e-20,  7.96067e-06])
568     , -78037.9    , array([ 0.0930209  ,  0.00943147 ,  1.05491e-98,  3.58014e-20,  7.96863e-06])
569     , -78038.9    , array([ 0.0930196  ,  0.00943119 ,  1.05491e-98,  3.58014e-20,  7.96102e-06])
570     , -78038.9    , array([ 0.0930196  ,  0.00943119 ,  1.05491e-98,  3.58014e-20,  7.96102e-06])
571     , -78039      , array([ 0.0931127  ,  0.00943119 ,  1.05491e-98,  3.58014e-20,  7.96102e-06])
572     , -78039.9    , array([ 0.0930196  ,  0.00944062 ,  1.05491e-98,  3.58014e-20,  7.96102e-06])
573     , -78038.9    , array([ 0.0930196  ,  0.00943119 ,  1.05597e-98,  3.58014e-20,  7.96102e-06])
574     , -78038.9    , array([ 0.0930196  ,  0.00943119 ,  1.05491e-98,  3.58372e-20,  7.96102e-06])
575     , -78037.8    , array([ 0.0930196  ,  0.00943119 ,  1.05491e-98,  3.58014e-20,  7.96899e-06])
576     , -56584.9    , array([ 0.0501669  ,  0.00246775 ,  1.05491e-98,  3.58014e-20,  5.68681e-05])
577     , -56584.9    , array([ 0.0501669  ,  0.00246775 ,  1.05491e-98,  3.58014e-20,  5.68681e-05])
578     , -56585.4    , array([ 0.0502171  ,  0.00246775 ,  1.05491e-98,  3.58014e-20,  5.68681e-05])
579     , -56602.4    , array([ 0.0501669  ,  0.00247022 ,  1.05491e-98,  3.58014e-20,  5.68681e-05])
580     , -56584.9    , array([ 0.0501669  ,  0.00246775 ,  1.05597e-98,  3.58014e-20,  5.68681e-05])
581     , -56584.9    , array([ 0.0501669  ,  0.00246775 ,  1.05491e-98,  3.58372e-20,  5.68681e-05])
582     , -56566.8    , array([ 0.0501669  ,  0.00246775 ,  1.05491e-98,  3.58014e-20,  5.6925e-05 ])
583     , -56579      , array([ 0.0501638  ,  0.00246742 ,  1.05491e-98,  3.58014e-20,  5.68791e-05])
584     , -56579      , array([ 0.0501638  ,  0.00246742 ,  1.05491e-98,  3.58014e-20,  5.68791e-05])
585     , -56579.5    , array([ 0.050214   ,  0.00246742 ,  1.05491e-98,  3.58014e-20,  5.68791e-05])
586     , -56596.5    , array([ 0.0501638  ,  0.00246989 ,  1.05491e-98,  3.58014e-20,  5.68791e-05])
587     , -56579      , array([ 0.0501638  ,  0.00246742 ,  1.05597e-98,  3.58014e-20,  5.68791e-05])
588     , -56579      , array([ 0.0501638  ,  0.00246742 ,  1.05491e-98,  3.58372e-20,  5.68791e-05])
589     , -56560.9    , array([ 0.0501638  ,  0.00246742 ,  1.05491e-98,  3.58014e-20,  5.6936e-05 ])
590     , -56573.1    , array([ 0.0501608  ,  0.00246709 ,  1.05491e-98,  3.58014e-20,  5.68902e-05])
591     , -56573.1    , array([ 0.0501608  ,  0.00246709 ,  1.05491e-98,  3.58014e-20,  5.68902e-05])
592     , -56573.7    , array([ 0.050211   ,  0.00246709 ,  1.05491e-98,  3.58014e-20,  5.68902e-05])
593     , -56590.6    , array([ 0.0501608  ,  0.00246956 ,  1.05491e-98,  3.58014e-20,  5.68902e-05])
594     , -56573.1    , array([ 0.0501608  ,  0.00246709 ,  1.05597e-98,  3.58014e-20,  5.68902e-05])
595     , -56573.1    , array([ 0.0501608  ,  0.00246709 ,  1.05491e-98,  3.58372e-20,  5.68902e-05])
596     , -56555      , array([ 0.0501608  ,  0.00246709 ,  1.05491e-98,  3.58014e-20,  5.69471e-05])
597     , -16892.2    , array([ 0.0368394  ,  0.00126215 ,  1.05491e-98,  3.58014e-20,  0.000152021])
598     , -16892.2    , array([ 0.0368394  ,  0.00126215 ,  1.05491e-98,  3.58014e-20,  0.000152021])
599     , -16892.6    , array([ 0.0368762  ,  0.00126215 ,  1.05491e-98,  3.58014e-20,  0.000152021])
600     , -16915.7    , array([ 0.0368394  ,  0.00126341 ,  1.05491e-98,  3.58014e-20,  0.000152021])
601     , -16892.2    , array([ 0.0368394  ,  0.00126215 ,  1.05597e-98,  3.58014e-20,  0.000152021])
602     , -16892.2    , array([ 0.0368394  ,  0.00126215 ,  1.05491e-98,  3.58372e-20,  0.000152021])
603     , -16868.2    , array([ 0.0368394  ,  0.00126215 ,  1.05491e-98,  3.58014e-20,  0.000152173])
604     , -16889.6    , array([ 0.0368386  ,  0.00126209 ,  1.05491e-98,  3.58014e-20,  0.000152031])
605     , -16889.6    , array([ 0.0368386  ,  0.00126209 ,  1.05491e-98,  3.58014e-20,  0.000152031])
606     , -16890      , array([ 0.0368755  ,  0.00126209 ,  1.05491e-98,  3.58014e-20,  0.000152031])
607     , -16913.1    , array([ 0.0368386  ,  0.00126336 ,  1.05491e-98,  3.58014e-20,  0.000152031])
608     , -16889.6    , array([ 0.0368386  ,  0.00126209 ,  1.05597e-98,  3.58014e-20,  0.000152031])
609     , -16889.6    , array([ 0.0368386  ,  0.00126209 ,  1.05491e-98,  3.58372e-20,  0.000152031])
610     , -16865.6    , array([ 0.0368386  ,  0.00126209 ,  1.05491e-98,  3.58014e-20,  0.000152183])
611     , -16749.7    , array([ 0.0367982  ,  0.00125909 ,  1.05491e-98,  3.58014e-20,  0.000152563])
612     , -16749.7    , array([ 0.0367982  ,  0.00125909 ,  1.05491e-98,  3.58014e-20,  0.000152563])
613     , -16750.1    , array([ 0.036835   ,  0.00125909 ,  1.05491e-98,  3.58014e-20,  0.000152563])
614     , -16773.1    , array([ 0.0367982  ,  0.00126035 ,  1.05491e-98,  3.58014e-20,  0.000152563])
615     , -16749.7    , array([ 0.0367982  ,  0.00125909 ,  1.05597e-98,  3.58014e-20,  0.000152563])
616     , -16749.7    , array([ 0.0367982  ,  0.00125909 ,  1.05491e-98,  3.58372e-20,  0.000152563])
617     , -16725.8    , array([ 0.0367982  ,  0.00125909 ,  1.05491e-98,  3.58014e-20,  0.000152715])
625     , -16749      , array([ 0.036798   ,  0.00125908 ,  1.05491e-98,  3.58014e-20,  0.000152565])
626     , -16749      , array([ 0.036798   ,  0.00125908 ,  1.05491e-98,  3.58014e-20,  0.000152565])
627     , -16749.4    , array([ 0.0368348  ,  0.00125908 ,  1.05491e-98,  3.58014e-20,  0.000152565])
628     , -16772.5    , array([ 0.036798   ,  0.00126034 ,  1.05491e-98,  3.58014e-20,  0.000152565])
629     , -16749      , array([ 0.036798   ,  0.00125908 ,  1.05597e-98,  3.58014e-20,  0.000152565])
630     , -16749      , array([ 0.036798   ,  0.00125908 ,  1.05491e-98,  3.58372e-20,  0.000152565])
631     , -16725.2    , array([ 0.036798   ,  0.00125908 ,  1.05491e-98,  3.58014e-20,  0.000152718])
632     , -16714.6    , array([ 0.0367881  ,  0.00125834 ,  1.05491e-98,  3.58014e-20,  0.000152696])
633     , -16714.6    , array([ 0.0367881  ,  0.00125834 ,  1.05491e-98,  3.58014e-20,  0.000152696])
634     , -16715.1    , array([ 0.0368249  ,  0.00125834 ,  1.05491e-98,  3.58014e-20,  0.000152696])
635     , -16738.1    , array([ 0.0367881  ,  0.0012596  ,  1.05491e-98,  3.58014e-20,  0.000152696])
636     , -16714.6    , array([ 0.0367881  ,  0.00125834 ,  1.05597e-98,  3.58014e-20,  0.000152696])
637     , -16714.6    , array([ 0.0367881  ,  0.00125834 ,  1.05491e-98,  3.58372e-20,  0.000152696])
638     , -16690.8    , array([ 0.0367881  ,  0.00125834 ,  1.05491e-98,  3.58014e-20,  0.000152849])
639     , -8216.01    , array([ 0.0340702  ,  0.00106518 ,  1.05491e-98,  3.58014e-20,  0.00019497 ])
640     , -8216.01    , array([ 0.0340702  ,  0.00106518 ,  1.05491e-98,  3.58014e-20,  0.00019497 ])
641     , -8216.25    , array([ 0.0341043  ,  0.00106518 ,  1.05491e-98,  3.58014e-20,  0.00019497 ])
642     , -8232.77    , array([ 0.0340702  ,  0.00106624 ,  1.05491e-98,  3.58014e-20,  0.00019497 ])
643     , -8216.01    , array([ 0.0340702  ,  0.00106518 ,  1.05597e-98,  3.58014e-20,  0.00019497 ])
644     , -8216.01    , array([ 0.0340702  ,  0.00106518 ,  1.05491e-98,  3.58372e-20,  0.00019497 ])
645     , -8199.04    , array([ 0.0340702  ,  0.00106518 ,  1.05491e-98,  3.58014e-20,  0.000195165])
653     , -8215.98    , array([ 0.0340702  ,  0.00106518 ,  1.05491e-98,  3.58014e-20,  0.000194971])
654     , -8215.98    , array([ 0.0340702  ,  0.00106518 ,  1.05491e-98,  3.58014e-20,  0.000194971])
655     , -8216.21    , array([ 0.0341043  ,  0.00106518 ,  1.05491e-98,  3.58014e-20,  0.000194971])
656     , -8232.73    , array([ 0.0340702  ,  0.00106624 ,  1.05491e-98,  3.58014e-20,  0.000194971])
657     , -8215.98    , array([ 0.0340702  ,  0.00106518 ,  1.05597e-98,  3.58014e-20,  0.000194971])
658     , -8215.98    , array([ 0.0340702  ,  0.00106518 ,  1.05491e-98,  3.58372e-20,  0.000194971])
659     , -8199       , array([ 0.0340702  ,  0.00106518 ,  1.05491e-98,  3.58014e-20,  0.000195166])
660     , -8214.75    , array([ 0.0340698  ,  0.00106514 ,  1.05491e-98,  3.58014e-20,  0.000194979])
661     , -8214.75    , array([ 0.0340698  ,  0.00106514 ,  1.05491e-98,  3.58014e-20,  0.000194979])
662     , -8214.98    , array([ 0.0341039  ,  0.00106514 ,  1.05491e-98,  3.58014e-20,  0.000194979])
663     , -8231.5     , array([ 0.0340698  ,  0.00106621 ,  1.05491e-98,  3.58014e-20,  0.000194979])
664     , -8214.75    , array([ 0.0340698  ,  0.00106514 ,  1.05597e-98,  3.58014e-20,  0.000194979])
665     , -8214.75    , array([ 0.0340698  ,  0.00106514 ,  1.05491e-98,  3.58372e-20,  0.000194979])
666     , -8197.77    , array([ 0.0340698  ,  0.00106514 ,  1.05491e-98,  3.58014e-20,  0.000195174])
667     , -6123.98    , array([ 0.0332179  ,  0.00100816 ,  1.05491e-98,  3.58014e-20,  0.000211351])
668     , -6123.98    , array([ 0.0332179  ,  0.00100816 ,  1.05491e-98,  3.58014e-20,  0.000211351])
669     , -6124.15    , array([ 0.0332512  ,  0.00100816 ,  1.05491e-98,  3.58014e-20,  0.000211351])
670     , -6137.69    , array([ 0.0332179  ,  0.00100917 ,  1.05491e-98,  3.58014e-20,  0.000211351])
671     , -6123.98    , array([ 0.0332179  ,  0.00100816 ,  1.05597e-98,  3.58014e-20,  0.000211351])
672     , -6123.98    , array([ 0.0332179  ,  0.00100816 ,  1.05491e-98,  3.58372e-20,  0.000211351])
673     , -6110.1     , array([ 0.0332179  ,  0.00100816 ,  1.05491e-98,  3.58014e-20,  0.000211563])
681     , -6123.97    , array([ 0.0332179  ,  0.00100816 ,  1.05491e-98,  3.58014e-20,  0.000211351])
682     , -6123.97    , array([ 0.0332179  ,  0.00100816 ,  1.05491e-98,  3.58014e-20,  0.000211351])
683     , -6124.15    , array([ 0.0332512  ,  0.00100816 ,  1.05491e-98,  3.58014e-20,  0.000211351])
684     , -6137.68    , array([ 0.0332179  ,  0.00100917 ,  1.05491e-98,  3.58014e-20,  0.000211351])
685     , -6123.97    , array([ 0.0332179  ,  0.00100816 ,  1.05597e-98,  3.58014e-20,  0.000211351])
686     , -6123.97    , array([ 0.0332179  ,  0.00100816 ,  1.05491e-98,  3.58372e-20,  0.000211351])
687     , -6110.1     , array([ 0.0332179  ,  0.00100816 ,  1.05491e-98,  3.58014e-20,  0.000211563])
688     , -6123.9     , array([ 0.0332179  ,  0.00100816 ,  1.05491e-98,  3.58014e-20,  0.000211352])
689     , -6123.9     , array([ 0.0332179  ,  0.00100816 ,  1.05491e-98,  3.58014e-20,  0.000211352])
690     , -6124.07    , array([ 0.0332511  ,  0.00100816 ,  1.05491e-98,  3.58014e-20,  0.000211352])
691     , -6137.61    , array([ 0.0332179  ,  0.00100917 ,  1.05491e-98,  3.58014e-20,  0.000211352])
692     , -6123.9     , array([ 0.0332179  ,  0.00100816 ,  1.05597e-98,  3.58014e-20,  0.000211352])
693     , -6123.9     , array([ 0.0332179  ,  0.00100816 ,  1.05491e-98,  3.58372e-20,  0.000211352])
694     , -6110.02    , array([ 0.0332179  ,  0.00100816 ,  1.05491e-98,  3.58014e-20,  0.000211563])
702     , -6123.9     , array([ 0.0332179  ,  0.00100816 ,  1.05491e-98,  3.58014e-20,  0.000211352])
703     , -6123.9     , array([ 0.0332179  ,  0.00100816 ,  1.05491e-98,  3.58014e-20,  0.000211352])
704     , -6124.07    , array([ 0.0332511  ,  0.00100816 ,  1.05491e-98,  3.58014e-20,  0.000211352])
705     , -6137.61    , array([ 0.0332179  ,  0.00100917 ,  1.05491e-98,  3.58014e-20,  0.000211352])
706     , -6123.9     , array([ 0.0332179  ,  0.00100816 ,  1.05597e-98,  3.58014e-20,  0.000211352])
707     , -6123.9     , array([ 0.0332179  ,  0.00100816 ,  1.05491e-98,  3.58372e-20,  0.000211352])
708     , -6110.02    , array([ 0.0332179  ,  0.00100816 ,  1.05491e-98,  3.58014e-20,  0.000211563])
709     , -6123.88    , array([ 0.0332179  ,  0.00100816 ,  1.05491e-98,  3.58014e-20,  0.000211352])
710     , -6123.88    , array([ 0.0332179  ,  0.00100816 ,  1.05491e-98,  3.58014e-20,  0.000211352])
711     , -6124.05    , array([ 0.0332511  ,  0.00100816 ,  1.05491e-98,  3.58014e-20,  0.000211352])
712     , -6137.59    , array([ 0.0332179  ,  0.00100917 ,  1.05491e-98,  3.58014e-20,  0.000211352])
713     , -6123.88    , array([ 0.0332179  ,  0.00100816 ,  1.05597e-98,  3.58014e-20,  0.000211352])
714     , -6123.88    , array([ 0.0332179  ,  0.00100816 ,  1.05491e-98,  3.58372e-20,  0.000211352])
715     , -6110       , array([ 0.0332179  ,  0.00100816 ,  1.05491e-98,  3.58014e-20,  0.000211563])
719     , -5833.44    , array([ 0.0330794  ,  0.00100006 ,  1.05491e-98,  3.58014e-20,  0.000214182])
723     , -6035.74    , array([ 0.0331782  ,  0.00100555 ,  1.05491e-98,  3.58014e-20,  0.000212158])
724     , -6035.74    , array([ 0.0331782  ,  0.00100555 ,  1.05491e-98,  3.58014e-20,  0.000212158])
725     , -6035.92    , array([ 0.0332114  ,  0.00100555 ,  1.05491e-98,  3.58014e-20,  0.000212158])
726     , -6049.3     , array([ 0.0331782  ,  0.00100655 ,  1.05491e-98,  3.58014e-20,  0.000212158])
727     , -6035.74    , array([ 0.0331782  ,  0.00100555 ,  1.05597e-98,  3.58014e-20,  0.000212158])
728     , -6035.74    , array([ 0.0331782  ,  0.00100555 ,  1.05491e-98,  3.58372e-20,  0.000212158])
729     , -6022.03    , array([ 0.0331782  ,  0.00100555 ,  1.05491e-98,  3.58014e-20,  0.00021237 ])
730     , -5892.83    , array([ 0.033113   ,  0.00100126 ,  1.05491e-98,  3.58014e-20,  0.000213492])
731     , -5892.83    , array([ 0.033113   ,  0.00100126 ,  1.05491e-98,  3.58014e-20,  0.000213492])
732     , -5893       , array([ 0.0331461  ,  0.00100126 ,  1.05491e-98,  3.58014e-20,  0.000213492])
733     , -5906.13    , array([ 0.033113   ,  0.00100226 ,  1.05491e-98,  3.58014e-20,  0.000213492])
734     , -5892.83    , array([ 0.033113   ,  0.00100126 ,  1.05597e-98,  3.58014e-20,  0.000213492])
735     , -5892.83    , array([ 0.033113   ,  0.00100126 ,  1.05491e-98,  3.58372e-20,  0.000213492])
736     , -5879.37    , array([ 0.033113   ,  0.00100126 ,  1.05491e-98,  3.58014e-20,  0.000213705])
740     , -5858.07    , array([ 0.0330908  ,  0.00100081 ,  1.05491e-98,  3.58014e-20,  0.000213947])
744     , -5892.83    , array([ 0.033113   ,  0.00100126 ,  1.05491e-98,  3.58014e-20,  0.000213492])
745     , -5892.83    , array([ 0.033113   ,  0.00100126 ,  1.05491e-98,  3.58014e-20,  0.000213492])
746     , -5893       , array([ 0.0331461  ,  0.00100126 ,  1.05491e-98,  3.58014e-20,  0.000213492])
747     , -5906.13    , array([ 0.033113   ,  0.00100226 ,  1.05491e-98,  3.58014e-20,  0.000213492])
748     , -5892.83    , array([ 0.033113   ,  0.00100126 ,  1.05597e-98,  3.58014e-20,  0.000213492])
749     , -5892.83    , array([ 0.033113   ,  0.00100126 ,  1.05491e-98,  3.58372e-20,  0.000213492])
750     , -5879.37    , array([ 0.033113   ,  0.00100126 ,  1.05491e-98,  3.58014e-20,  0.000213705])
751     , -5892.83    , array([ 0.033113   ,  0.00100126 ,  1.05491e-98,  3.58014e-20,  0.000213492])
752     , -5892.83    , array([ 0.033113   ,  0.00100126 ,  1.05491e-98,  3.58014e-20,  0.000213492])
753     , -5893       , array([ 0.0331461  ,  0.00100126 ,  1.05491e-98,  3.58014e-20,  0.000213492])
754     , -5906.13    , array([ 0.033113   ,  0.00100226 ,  1.05491e-98,  3.58014e-20,  0.000213492])
755     , -5892.83    , array([ 0.033113   ,  0.00100126 ,  1.05597e-98,  3.58014e-20,  0.000213492])
756     , -5892.83    , array([ 0.033113   ,  0.00100126 ,  1.05491e-98,  3.58372e-20,  0.000213492])
