3469    , -41122.7    , array([ 0.0441306  ,  0.00353127 ,  7.23017e-11,  2.39999e-09,  0.000162864])
3470    , -41123.8    , array([ 0.0441747  ,  0.00353127 ,  7.23017e-11,  2.39999e-09,  0.000162864])
3471    , -41146.5    , array([ 0.0441306  ,  0.0035348  ,  7.23017e-11,  2.39999e-09,  0.000162864])
3472    , -41122.7    , array([ 0.0441306  ,  0.00353127 ,  7.23741e-11,  2.39999e-09,  0.000162864])
3473    , -41122.7    , array([ 0.0441306  ,  0.00353127 ,  7.23017e-11,  2.4024e-09 ,  0.000162864])
3474    , -41097.7    , array([ 0.0441306  ,  0.00353127 ,  7.23017e-11,  2.39999e-09,  0.000163027])
3475    , -41122.7    , array([ 0.0441306  ,  0.00353127 ,  7.23017e-11,  2.39999e-09,  0.000162864])
3476    , -7344.32    , array([ 0.0427199  ,  0.00175846 ,  7.23017e-11,  2.39999e-09,  0.000337964])
3477    , -7344.32    , array([ 0.0427199  ,  0.00175846 ,  7.23017e-11,  2.39999e-09,  0.000337964])
3478    , -7344.56    , array([ 0.0427627  ,  0.00175846 ,  7.23017e-11,  2.39999e-09,  0.000337964])
3479    , -7359.87    , array([ 0.0427199  ,  0.00176022 ,  7.23017e-11,  2.39999e-09,  0.000337964])
3480    , -7344.32    , array([ 0.0427199  ,  0.00175846 ,  7.23741e-11,  2.39999e-09,  0.000337964])
3481    , -7344.32    , array([ 0.0427199  ,  0.00175846 ,  7.23017e-11,  2.4024e-09 ,  0.000337964])
3482    , -7328.55    , array([ 0.0427199  ,  0.00175846 ,  7.23017e-11,  2.39999e-09,  0.000338302])
3490    , -7336.61    , array([ 0.0428802  ,  0.00175459 ,  7.23017e-11,  2.39999e-09,  0.000337415])
3491    , -7336.61    , array([ 0.0428802  ,  0.00175459 ,  7.23017e-11,  2.39999e-09,  0.000337415])
3492    , -7336.84    , array([ 0.0429231  ,  0.00175459 ,  7.23017e-11,  2.39999e-09,  0.000337415])
3493    , -7352.15    , array([ 0.0428802  ,  0.00175634 ,  7.23017e-11,  2.39999e-09,  0.000337415])
3494    , -7336.61    , array([ 0.0428802  ,  0.00175459 ,  7.23741e-11,  2.39999e-09,  0.000337415])
