32690   , -77326.6    , array([ 0.00953151 ,  0.703161   ,  3.41735e-61,  2.78495e-27,  2.13251e-05])
32691   , -77328.2    , array([ 0.00954105 ,  0.703161   ,  3.41735e-61,  2.78495e-27,  2.13251e-05])
32692   , -77326.6    , array([ 0.00953151 ,  0.703864   ,  3.41735e-61,  2.78495e-27,  2.13251e-05])
32693   , -77326.6    , array([ 0.00953151 ,  0.703161   ,  3.42076e-61,  2.78495e-27,  2.13251e-05])
32694   , -77326.6    , array([ 0.00953151 ,  0.703161   ,  3.41735e-61,  2.78773e-27,  2.13251e-05])
32695   , -77324.9    , array([ 0.00953151 ,  0.703161   ,  3.41735e-61,  2.78495e-27,  2.13465e-05])
32696   , -77326.6    , array([ 0.00953151 ,  0.703161   ,  3.41735e-61,  2.78495e-27,  2.13251e-05])
32697   , -72516.3    , array([ 0.0047034  ,  0.692986   ,  3.41735e-61,  2.78495e-27,  4.38902e-05])
32698   , -72516.3    , array([ 0.0047034  ,  0.692986   ,  3.41735e-61,  2.78495e-27,  4.38902e-05])
32699   , -72522      , array([ 0.00470811 ,  0.692986   ,  3.41735e-61,  2.78495e-27,  4.38902e-05])
32700   , -72516.4    , array([ 0.0047034  ,  0.693679   ,  3.41735e-61,  2.78495e-27,  4.38902e-05])
32701   , -72516.3    , array([ 0.0047034  ,  0.692986   ,  3.42076e-61,  2.78495e-27,  4.38902e-05])
32702   , -72516.3    , array([ 0.0047034  ,  0.692986   ,  3.41735e-61,  2.78773e-27,  4.38902e-05])
32703   , -72510.6    , array([ 0.0047034  ,  0.692986   ,  3.41735e-61,  2.78495e-27,  4.39341e-05])
32711   , -72514.6    , array([ 0.00470268 ,  0.692984   ,  3.41735e-61,  2.78495e-27,  4.38971e-05])
32712   , -72514.6    , array([ 0.00470268 ,  0.692984   ,  3.41735e-61,  2.78495e-27,  4.38971e-05])
32713   , -72520.2    , array([ 0.00470739 ,  0.692984   ,  3.41735e-61,  2.78495e-27,  4.38971e-05])
32714   , -72514.7    , array([ 0.00470268 ,  0.693677   ,  3.41735e-61,  2.78495e-27,  4.38971e-05])
32715   , -72514.6    , array([ 0.00470268 ,  0.692984   ,  3.42076e-61,  2.78495e-27,  4.38971e-05])
32716   , -72514.6    , array([ 0.00470268 ,  0.692984   ,  3.41735e-61,  2.78773e-27,  4.38971e-05])
32717   , -72508.9    , array([ 0.00470268 ,  0.692984   ,  3.41735e-61,  2.78495e-27,  4.3941e-05 ])
32718   , -72512.8    , array([ 0.00470196 ,  0.692982   ,  3.41735e-61,  2.78495e-27,  4.39039e-05])
32719   , -72512.8    , array([ 0.00470196 ,  0.692982   ,  3.41735e-61,  2.78495e-27,  4.39039e-05])
32720   , -72518.5    , array([ 0.00470667 ,  0.692982   ,  3.41735e-61,  2.78495e-27,  4.39039e-05])
32721   , -72512.9    , array([ 0.00470196 ,  0.693675   ,  3.41735e-61,  2.78495e-27,  4.39039e-05])
32722   , -72512.8    , array([ 0.00470196 ,  0.692982   ,  3.42076e-61,  2.78495e-27,  4.39039e-05])
32723   , -72512.8    , array([ 0.00470196 ,  0.692982   ,  3.41735e-61,  2.78773e-27,  4.39039e-05])
32724   , -72507.1    , array([ 0.00470196 ,  0.692982   ,  3.41735e-61,  2.78495e-27,  4.39479e-05])
32725   , -58892.5    , array([ 0.00114511 ,  0.673074   ,  3.41735e-61,  2.78495e-27,  0.000185946])
32726   , -58892.5    , array([ 0.00114511 ,  0.673074   ,  3.41735e-61,  2.78495e-27,  0.000185946])
32727   , -58876.5    , array([ 0.00114625 ,  0.673074   ,  3.41735e-61,  2.78495e-27,  0.000185946])
