86656   , -219371     , array([ 0.116466   ,  0.490284   ,  3.29559e-19,  0.693277   ,  0.901478   ])
86657   , -219228     , array([ 0.116583   ,  0.490284   ,  3.29559e-19,  0.693277   ,  0.901478   ])
86658   , -219413     , array([ 0.116466   ,  0.490774   ,  3.29559e-19,  0.693277   ,  0.901478   ])
86659   , -219371     , array([ 0.116466   ,  0.490284   ,  3.29889e-19,  0.693277   ,  0.901478   ])
86660   , -219332     , array([ 0.116466   ,  0.490284   ,  3.29559e-19,  0.69397    ,  0.901478   ])
86661   , -219416     , array([ 0.116466   ,  0.490284   ,  3.29559e-19,  0.693277   ,  0.90238    ])
86662   , -219371     , array([ 0.116466   ,  0.490284   ,  3.29559e-19,  0.693277   ,  0.901478   ])
86663   , -87795.5    , array([ 0.286411   ,  0.37751    ,  3.29559e-19,  0.886376   ,  0.677342   ])
86664   , -87795.5    , array([ 0.286411   ,  0.37751    ,  3.29559e-19,  0.886376   ,  0.677342   ])
86665   , -87717.3    , array([ 0.286698   ,  0.37751    ,  3.29559e-19,  0.886376   ,  0.677342   ])
86666   , -87805.5    , array([ 0.286411   ,  0.377888   ,  3.29559e-19,  0.886376   ,  0.677342   ])
86667   , -87795.5    , array([ 0.286411   ,  0.37751    ,  3.29889e-19,  0.886376   ,  0.677342   ])
86668   , -87773.3    , array([ 0.286411   ,  0.37751    ,  3.29559e-19,  0.887263   ,  0.677342   ])
86669   , -87839      , array([ 0.286411   ,  0.37751    ,  3.29559e-19,  0.886376   ,  0.678019   ])
86670   , -71861.4    , array([ 0.802226   ,  5.31222    ,  3.29559e-19,  1.41599    ,  0.0065981  ])
86671   , -71861.4    , array([ 0.802226   ,  5.31222    ,  3.29559e-19,  1.41599    ,  0.0065981  ])
86672   , -71866.5    , array([ 0.803029   ,  5.31222    ,  3.29559e-19,  1.41599    ,  0.0065981  ])
86673   , -71862.6    , array([ 0.802226   ,  5.31754    ,  3.29559e-19,  1.41599    ,  0.0065981  ])
86674   , -71861.4    , array([ 0.802226   ,  5.31222    ,  3.29889e-19,  1.41599    ,  0.0065981  ])
86675   , -71861.5    , array([ 0.802226   ,  5.31222    ,  3.29559e-19,  1.41741    ,  0.0065981  ])
86676   , -71855      , array([ 0.802226   ,  5.31222    ,  3.29559e-19,  1.41599    ,  0.0066047  ])
86684   , -71859.7    , array([ 0.802112   ,  5.31397    ,  3.29559e-19,  1.41767    ,  0.00659966 ])
86685   , -71859.7    , array([ 0.802112   ,  5.31397    ,  3.29559e-19,  1.41767    ,  0.00659966 ])
86686   , -71864.8    , array([ 0.802915   ,  5.31397    ,  3.29559e-19,  1.41767    ,  0.00659966 ])
86687   , -71860.9    , array([ 0.802112   ,  5.31929    ,  3.29559e-19,  1.41767    ,  0.00659966 ])
86688   , -71859.7    , array([ 0.802112   ,  5.31397    ,  3.29889e-19,  1.41767    ,  0.00659966 ])
86689   , -71859.7    , array([ 0.802112   ,  5.31397    ,  3.29559e-19,  1.41909    ,  0.00659966 ])
86690   , -71853.2    , array([ 0.802112   ,  5.31397    ,  3.29559e-19,  1.41767    ,  0.00660626 ])
86691   , -71857.9    , array([ 0.801999   ,  5.31572    ,  3.29559e-19,  1.41935    ,  0.00660121 ])
86692   , -71857.9    , array([ 0.801999   ,  5.31572    ,  3.29559e-19,  1.41935    ,  0.00660121 ])
86693   , -71863.1    , array([ 0.802801   ,  5.31572    ,  3.29559e-19,  1.41935    ,  0.00660121 ])
86694   , -71859.2    , array([ 0.801999   ,  5.32104    ,  3.29559e-19,  1.41935    ,  0.00660121 ])
86695   , -71857.9    , array([ 0.801999   ,  5.31572    ,  3.29889e-19,  1.41935    ,  0.00660121 ])
86696   , -71858      , array([ 0.801999   ,  5.31572    ,  3.29559e-19,  1.42077    ,  0.00660121 ])
86697   , -71851.5    , array([ 0.801999   ,  5.31572    ,  3.29559e-19,  1.41935    ,  0.00660782 ])
86705   , -71857.5    , array([ 0.80197    ,  5.31616    ,  3.29559e-19,  1.41978    ,  0.0066016  ])
86706   , -71857.5    , array([ 0.80197    ,  5.31616    ,  3.29559e-19,  1.41978    ,  0.0066016  ])
86707   , -71862.7    , array([ 0.802773   ,  5.31616    ,  3.29559e-19,  1.41978    ,  0.0066016  ])
86708   , -71858.7    , array([ 0.80197    ,  5.32148    ,  3.29559e-19,  1.41978    ,  0.0066016  ])
86709   , -71857.5    , array([ 0.80197    ,  5.31616    ,  3.29889e-19,  1.41978    ,  0.0066016  ])
86710   , -71857.6    , array([ 0.80197    ,  5.31616    ,  3.29559e-19,  1.4212     ,  0.0066016  ])
86711   , -71851.1    , array([ 0.80197    ,  5.31616    ,  3.29559e-19,  1.41978    ,  0.0066082  ])
86712   , -71857.1    , array([ 0.801942   ,  5.31659    ,  3.29559e-19,  1.4202     ,  0.00660199 ])
86713   , -71857.1    , array([ 0.801942   ,  5.31659    ,  3.29559e-19,  1.4202     ,  0.00660199 ])
86714   , -71862.2    , array([ 0.802744   ,  5.31659    ,  3.29559e-19,  1.4202     ,  0.00660199 ])
86715   , -71858.3    , array([ 0.801942   ,  5.32191    ,  3.29559e-19,  1.4202     ,  0.00660199 ])
86716   , -71857.1    , array([ 0.801942   ,  5.31659    ,  3.29889e-19,  1.4202     ,  0.00660199 ])
86717   , -71857.1    , array([ 0.801942   ,  5.31659    ,  3.29559e-19,  1.42162    ,  0.00660199 ])
86718   , -71850.6    , array([ 0.801942   ,  5.31659    ,  3.29559e-19,  1.4202     ,  0.00660859 ])
86726   , -71857      , array([ 0.801935   ,  5.3167     ,  3.29559e-19,  1.4203     ,  0.00660209 ])
86727   , -71857      , array([ 0.801935   ,  5.3167     ,  3.29559e-19,  1.4203     ,  0.00660209 ])
86728   , -71862.1    , array([ 0.802737   ,  5.3167     ,  3.29559e-19,  1.4203     ,  0.00660209 ])
86729   , -71858.2    , array([ 0.801935   ,  5.32202    ,  3.29559e-19,  1.4203     ,  0.00660209 ])
86730   , -71857      , array([ 0.801935   ,  5.3167     ,  3.29889e-19,  1.4203     ,  0.00660209 ])
86731   , -71857      , array([ 0.801935   ,  5.3167     ,  3.29559e-19,  1.42172    ,  0.00660209 ])
