137096  , -79087.2    , array([ 3.09739    ,  0.0599535  ,  0.0352428  ,  0.161582   ,  1.12845e-07])
137097  , -79087.2    , array([ 3.10049    ,  0.0599535  ,  0.0352428  ,  0.161582   ,  1.12845e-07])
137098  , -79087.2    , array([ 3.09739    ,  0.0600135  ,  0.0352428  ,  0.161582   ,  1.12845e-07])
137099  , -79087.2    , array([ 3.09739    ,  0.0599535  ,  0.0352781  ,  0.161582   ,  1.12845e-07])
137100  , -79087.2    , array([ 3.09739    ,  0.0599535  ,  0.0352428  ,  0.161744   ,  1.12845e-07])
137101  , -79087.2    , array([ 3.09739    ,  0.0599535  ,  0.0352428  ,  0.161582   ,  1.12958e-07])
137102  , -79087.2    , array([ 3.09739    ,  0.0599535  ,  0.0352428  ,  0.161582   ,  1.12845e-07])
137103  , -79080.2    , array([ 3.06864    ,  0.0295109  ,  0.035243   ,  0.161581   ,  2.31704e-07])
137104  , -79080.2    , array([ 3.06864    ,  0.0295109  ,  0.035243   ,  0.161581   ,  2.31704e-07])
137105  , -79080.2    , array([ 3.07171    ,  0.0295109  ,  0.035243   ,  0.161581   ,  2.31704e-07])
137106  , -79080.2    , array([ 3.06864    ,  0.0295405  ,  0.035243   ,  0.161581   ,  2.31704e-07])
137107  , -79080.2    , array([ 3.06864    ,  0.0295109  ,  0.0352782  ,  0.161581   ,  2.31704e-07])
137108  , -79080.2    , array([ 3.06864    ,  0.0295109  ,  0.035243   ,  0.161742   ,  2.31704e-07])
137109  , -79080.1    , array([ 3.06864    ,  0.0295109  ,  0.035243   ,  0.161581   ,  2.31936e-07])
137110  , -76360.6    , array([ 2.95629    ,  0.00173244 ,  0.0352435  ,  0.161575   ,  4.11852e-06])
137111  , -76360.6    , array([ 2.95629    ,  0.00173244 ,  0.0352435  ,  0.161575   ,  4.11852e-06])
137112  , -76360.6    , array([ 2.95925    ,  0.00173244 ,  0.0352435  ,  0.161575   ,  4.11852e-06])
137113  , -76363.2    , array([ 2.95629    ,  0.00173417 ,  0.0352435  ,  0.161575   ,  4.11852e-06])
137114  , -76360.6    , array([ 2.95629    ,  0.00173244 ,  0.0352788  ,  0.161575   ,  4.11852e-06])
137115  , -76360.6    , array([ 2.95629    ,  0.00173244 ,  0.0352435  ,  0.161736   ,  4.11852e-06])
137116  , -76357.9    , array([ 2.95629    ,  0.00173244 ,  0.0352435  ,  0.161575   ,  4.12264e-06])
137124  , -76354.4    , array([ 2.95624    ,  0.00173044 ,  0.0352435  ,  0.161575   ,  4.12333e-06])
137125  , -76354.4    , array([ 2.95624    ,  0.00173044 ,  0.0352435  ,  0.161575   ,  4.12333e-06])
137126  , -76354.4    , array([ 2.9592     ,  0.00173044 ,  0.0352435  ,  0.161575   ,  4.12333e-06])
137127  , -76357      , array([ 2.95624    ,  0.00173217 ,  0.0352435  ,  0.161575   ,  4.12333e-06])
137128  , -76354.4    , array([ 2.95624    ,  0.00173044 ,  0.0352788  ,  0.161575   ,  4.12333e-06])
137129  , -76354.4    , array([ 2.95624    ,  0.00173044 ,  0.0352435  ,  0.161736   ,  4.12333e-06])
137130  , -76351.7    , array([ 2.95624    ,  0.00173044 ,  0.0352435  ,  0.161575   ,  4.12746e-06])
137131  , -76348.2    , array([ 2.9562     ,  0.00172845 ,  0.0352435  ,  0.161575   ,  4.12817e-06])
137132  , -76348.2    , array([ 2.9562     ,  0.00172845 ,  0.0352435  ,  0.161575   ,  4.12817e-06])
137133  , -76348.2    , array([ 2.95916    ,  0.00172845 ,  0.0352435  ,  0.161575   ,  4.12817e-06])
137134  , -76350.8    , array([ 2.9562     ,  0.00173018 ,  0.0352435  ,  0.161575   ,  4.12817e-06])
137135  , -76348.2    , array([ 2.9562     ,  0.00172845 ,  0.0352788  ,  0.161575   ,  4.12817e-06])
137136  , -76348.2    , array([ 2.9562     ,  0.00172845 ,  0.0352435  ,  0.161736   ,  4.12817e-06])
137137  , -76345.5    , array([ 2.9562     ,  0.00172845 ,  0.0352435  ,  0.161575   ,  4.1323e-06 ])
137145  , -76346.6    , array([ 2.95619    ,  0.00172795 ,  0.0352435  ,  0.161575   ,  4.12938e-06])
137146  , -76346.6    , array([ 2.95619    ,  0.00172795 ,  0.0352435  ,  0.161575   ,  4.12938e-06])
137147  , -76346.6    , array([ 2.95914    ,  0.00172795 ,  0.0352435  ,  0.161575   ,  4.12938e-06])
137148  , -76349.3    , array([ 2.95619    ,  0.00172968 ,  0.0352435  ,  0.161575   ,  4.12938e-06])
137149  , -76346.6    , array([ 2.95619    ,  0.00172795 ,  0.0352788  ,  0.161575   ,  4.12938e-06])
137150  , -76346.6    , array([ 2.95619    ,  0.00172795 ,  0.0352435  ,  0.161736   ,  4.12938e-06])
137151  , -76343.9    , array([ 2.95619    ,  0.00172795 ,  0.0352435  ,  0.161575   ,  4.13351e-06])
