154362  , -79081.4    , array([ 0.00318514 ,  3.81533    ,  6.77552e-53,  5.96356e-32,  3.20368e-08])
154363  , -79081.4    , array([ 0.00318833 ,  3.81533    ,  6.77552e-53,  5.96356e-32,  3.20368e-08])
154364  , -79081.4    , array([ 0.00318514 ,  3.81914    ,  6.77552e-53,  5.96356e-32,  3.20368e-08])
154365  , -79081.4    , array([ 0.00318514 ,  3.81533    ,  6.7823e-53 ,  5.96356e-32,  3.20368e-08])
154366  , -79081.4    , array([ 0.00318514 ,  3.81533    ,  6.77552e-53,  5.96953e-32,  3.20368e-08])
154367  , -79081.4    , array([ 0.00318514 ,  3.81533    ,  6.77552e-53,  5.96356e-32,  3.20688e-08])
154368  , -79081.4    , array([ 0.00318514 ,  3.81533    ,  6.77552e-53,  5.96356e-32,  3.20368e-08])
154369  , -79055.9    , array([ 0.00156071 ,  3.81198    ,  6.77552e-53,  5.96356e-32,  6.54889e-08])
154370  , -79055.9    , array([ 0.00156071 ,  3.81198    ,  6.77552e-53,  5.96356e-32,  6.54889e-08])
154371  , -79056      , array([ 0.00156227 ,  3.81198    ,  6.77552e-53,  5.96356e-32,  6.54889e-08])
154372  , -79055.9    , array([ 0.00156071 ,  3.8158     ,  6.77552e-53,  5.96356e-32,  6.54889e-08])
154373  , -79055.9    , array([ 0.00156071 ,  3.81198    ,  6.7823e-53 ,  5.96356e-32,  6.54889e-08])
154374  , -79055.9    , array([ 0.00156071 ,  3.81198    ,  6.77552e-53,  5.96953e-32,  6.54889e-08])
154375  , -79055.9    , array([ 0.00156071 ,  3.81198    ,  6.77552e-53,  5.96356e-32,  6.55544e-08])
154383  , -79055.9    , array([ 0.0015607  ,  3.81198    ,  6.77552e-53,  5.96356e-32,  6.5489e-08 ])
154384  , -79055.9    , array([ 0.0015607  ,  3.81198    ,  6.77552e-53,  5.96356e-32,  6.5489e-08 ])
154385  , -79056      , array([ 0.00156227 ,  3.81198    ,  6.77552e-53,  5.96356e-32,  6.5489e-08 ])
154386  , -79055.9    , array([ 0.0015607  ,  3.8158     ,  6.77552e-53,  5.96356e-32,  6.5489e-08 ])
154387  , -79055.9    , array([ 0.0015607  ,  3.81198    ,  6.7823e-53 ,  5.96356e-32,  6.5489e-08 ])
