163290  , -55095.2    , array([ 0.00608507 ,  0.091095   ,  6.11253e-36,  6.14424e-10,  0.000328849])
163291  , -55102.6    , array([ 0.00609116 ,  0.091095   ,  6.11253e-36,  6.14424e-10,  0.000328849])
163292  , -55097.5    , array([ 0.00608507 ,  0.0911861  ,  6.11253e-36,  6.14424e-10,  0.000328849])
163293  , -55095.2    , array([ 0.00608507 ,  0.091095   ,  6.11865e-36,  6.14424e-10,  0.000328849])
163294  , -55095.2    , array([ 0.00608507 ,  0.091095   ,  6.11253e-36,  6.15039e-10,  0.000328849])
163295  , -55085.3    , array([ 0.00608507 ,  0.091095   ,  6.11253e-36,  6.14424e-10,  0.000329178])
163296  , -55095.2    , array([ 0.00608507 ,  0.091095   ,  6.11253e-36,  6.14424e-10,  0.000328849])
163297  , -60453.6    , array([ 0.00335066 ,  0.0752629  ,  6.11253e-36,  6.14424e-10,  0.000726199])
163298  , -60453.6    , array([ 0.00335066 ,  0.0752629  ,  6.11253e-36,  6.14424e-10,  0.000726199])
163299  , -60426.4    , array([ 0.00335401 ,  0.0752629  ,  6.11253e-36,  6.14424e-10,  0.000726199])
163300  , -60457.7    , array([ 0.00335066 ,  0.0753382  ,  6.11253e-36,  6.14424e-10,  0.000726199])
163301  , -60453.6    , array([ 0.00335066 ,  0.0752629  ,  6.11865e-36,  6.14424e-10,  0.000726199])
163302  , -60453.6    , array([ 0.00335066 ,  0.0752629  ,  6.11253e-36,  6.15039e-10,  0.000726199])
163303  , -60476.2    , array([ 0.00335066 ,  0.0752629  ,  6.11253e-36,  6.14424e-10,  0.000726925])
163304  , -51911.8    , array([ 0.0048131  ,  0.0845102  ,  6.11253e-36,  6.14424e-10,  0.000448964])
163305  , -51911.8    , array([ 0.0048131  ,  0.0845102  ,  6.11253e-36,  6.14424e-10,  0.000448964])
163306  , -51911.1    , array([ 0.00481792 ,  0.0845102  ,  6.11253e-36,  6.14424e-10,  0.000448964])
163307  , -51914.7    , array([ 0.0048131  ,  0.0845948  ,  6.11253e-36,  6.14424e-10,  0.000448964])
163308  , -51911.8    , array([ 0.0048131  ,  0.0845102  ,  6.11865e-36,  6.14424e-10,  0.000448964])
163309  , -51911.8    , array([ 0.0048131  ,  0.0845102  ,  6.11253e-36,  6.15039e-10,  0.000448964])
163310  , -51909.6    , array([ 0.0048131  ,  0.0845102  ,  6.11253e-36,  6.14424e-10,  0.000449413])
163311  , -34404.2    , array([ 0.00942828 ,  0.020217   ,  6.11253e-36,  6.14424e-10,  0.00101536 ])
163312  , -34404.2    , array([ 0.00942828 ,  0.020217   ,  6.11253e-36,  6.14424e-10,  0.00101536 ])
163313  , -34396      , array([ 0.00943772 ,  0.020217   ,  6.11253e-36,  6.14424e-10,  0.00101536 ])
163314  , -34419      , array([ 0.00942828 ,  0.0202372  ,  6.11253e-36,  6.14424e-10,  0.00101536 ])
163315  , -34404.2    , array([ 0.00942828 ,  0.020217   ,  6.11865e-36,  6.14424e-10,  0.00101536 ])
163316  , -34404.2    , array([ 0.00942828 ,  0.020217   ,  6.11253e-36,  6.15039e-10,  0.00101536 ])
163317  , -34397.2    , array([ 0.00942828 ,  0.020217   ,  6.11253e-36,  6.14424e-10,  0.00101638 ])
163325  , -34376.1    , array([ 0.00943377 ,  0.020192   ,  6.11253e-36,  6.14424e-10,  0.00101608 ])
163326  , -34376.1    , array([ 0.00943377 ,  0.020192   ,  6.11253e-36,  6.14424e-10,  0.00101608 ])
163327  , -34368      , array([ 0.0094432  ,  0.020192   ,  6.11253e-36,  6.14424e-10,  0.00101608 ])
163328  , -34391      , array([ 0.00943377 ,  0.0202122  ,  6.11253e-36,  6.14424e-10,  0.00101608 ])
163329  , -34376.1    , array([ 0.00943377 ,  0.020192   ,  6.11865e-36,  6.14424e-10,  0.00101608 ])
