175531  , -62043.3    , array([ 0.0161855  ,  0.193436   ,  2.02371e-66,  3.24118e-12,  0.000446262])
175532  , -62052.6    , array([ 0.0162017  ,  0.193436   ,  2.02371e-66,  3.24118e-12,  0.000446262])
175533  , -62045.2    , array([ 0.0161855  ,  0.19363    ,  2.02371e-66,  3.24118e-12,  0.000446262])
175534  , -62043.3    , array([ 0.0161855  ,  0.193436   ,  2.02573e-66,  3.24118e-12,  0.000446262])
175535  , -62043.3    , array([ 0.0161855  ,  0.193436   ,  2.02371e-66,  3.24443e-12,  0.000446262])
175536  , -62032      , array([ 0.0161855  ,  0.193436   ,  2.02371e-66,  3.24118e-12,  0.000446709])
175537  , -62043.3    , array([ 0.0161855  ,  0.193436   ,  2.02371e-66,  3.24118e-12,  0.000446262])
175538  , -52113.7    , array([ 0.00853958 ,  0.170169   ,  2.02371e-66,  3.24118e-12,  0.000965037])
175539  , -52113.7    , array([ 0.00853958 ,  0.170169   ,  2.02371e-66,  3.24118e-12,  0.000965037])
175540  , -52108.5    , array([ 0.00854813 ,  0.170169   ,  2.02371e-66,  3.24118e-12,  0.000965037])
175541  , -52116.6    , array([ 0.00853958 ,  0.17034    ,  2.02371e-66,  3.24118e-12,  0.000965037])
175542  , -52113.7    , array([ 0.00853958 ,  0.170169   ,  2.02573e-66,  3.24118e-12,  0.000965037])
175543  , -52113.7    , array([ 0.00853958 ,  0.170169   ,  2.02371e-66,  3.24443e-12,  0.000965037])
175544  , -52115.7    , array([ 0.00853958 ,  0.170169   ,  2.02371e-66,  3.24118e-12,  0.000966002])
175545  , -441446     , array([ 0.0872365  ,  0.00140513 ,  2.02371e-66,  3.24118e-12,  0.0176256  ])
175546  , -441446     , array([ 0.0872365  ,  0.00140513 ,  2.02371e-66,  3.24118e-12,  0.0176256  ])
175547  , -441435     , array([ 0.0873238  ,  0.00140513 ,  2.02371e-66,  3.24118e-12,  0.0176256  ])
175548  , -441006     , array([ 0.0872365  ,  0.00140653 ,  2.02371e-66,  3.24118e-12,  0.0176256  ])
175549  , -441446     , array([ 0.0872365  ,  0.00140513 ,  2.02573e-66,  3.24118e-12,  0.0176256  ])
175550  , -441446     , array([ 0.0872365  ,  0.00140513 ,  2.02371e-66,  3.24443e-12,  0.0176256  ])
175551  , -441890     , array([ 0.0872365  ,  0.00140513 ,  2.02371e-66,  3.24118e-12,  0.0176432  ])
175552  , -35079.7    , array([ 0.0169469  ,  0.0413535  ,  2.02371e-66,  3.24118e-12,  0.00227309 ])
175553  , -35079.7    , array([ 0.0169469  ,  0.0413535  ,  2.02371e-66,  3.24118e-12,  0.00227309 ])
175554  , -35066.6    , array([ 0.0169638  ,  0.0413535  ,  2.02371e-66,  3.24118e-12,  0.00227309 ])
175555  , -35094.5    , array([ 0.0169469  ,  0.0413948  ,  2.02371e-66,  3.24118e-12,  0.00227309 ])
175556  , -35079.7    , array([ 0.0169469  ,  0.0413535  ,  2.02573e-66,  3.24118e-12,  0.00227309 ])
175557  , -35079.7    , array([ 0.0169469  ,  0.0413535  ,  2.02371e-66,  3.24443e-12,  0.00227309 ])
175558  , -35077.6    , array([ 0.0169469  ,  0.0413535  ,  2.02371e-66,  3.24118e-12,  0.00227536 ])
175559  , -20699.8    , array([ 0.0375785  ,  0.00799207 ,  2.02371e-66,  3.24118e-12,  0.00615088 ])
175560  , -20699.8    , array([ 0.0375785  ,  0.00799207 ,  2.02371e-66,  3.24118e-12,  0.00615088 ])
175561  , -20687.5    , array([ 0.0376161  ,  0.00799207 ,  2.02371e-66,  3.24118e-12,  0.00615088 ])
175562  , -20676.8    , array([ 0.0375785  ,  0.00800006 ,  2.02371e-66,  3.24118e-12,  0.00615088 ])
175563  , -20699.8    , array([ 0.0375785  ,  0.00799207 ,  2.02573e-66,  3.24118e-12,  0.00615088 ])
175564  , -20699.8    , array([ 0.0375785  ,  0.00799207 ,  2.02371e-66,  3.24443e-12,  0.00615088 ])
175565  , -20734.2    , array([ 0.0375785  ,  0.00799207 ,  2.02371e-66,  3.24118e-12,  0.00615703 ])
175566  , -20175.7    , array([ 0.0227876  ,  0.0224417  ,  2.02371e-66,  3.24118e-12,  0.0032914  ])
175567  , -20175.7    , array([ 0.0227876  ,  0.0224417  ,  2.02371e-66,  3.24118e-12,  0.0032914  ])
175568  , -20159.5    , array([ 0.0228104  ,  0.0224417  ,  2.02371e-66,  3.24118e-12,  0.0032914  ])
175569  , -20191.1    , array([ 0.0227876  ,  0.0224642  ,  2.02371e-66,  3.24118e-12,  0.0032914  ])
175570  , -20175.7    , array([ 0.0227876  ,  0.0224417  ,  2.02573e-66,  3.24118e-12,  0.0032914  ])
175571  , -20175.7    , array([ 0.0227876  ,  0.0224417  ,  2.02371e-66,  3.24443e-12,  0.0032914  ])
175572  , -20175.9    , array([ 0.0227876  ,  0.0224417  ,  2.02371e-66,  3.24118e-12,  0.00329469 ])
175573  , -12406      , array([ 0.0299526  ,  0.0127638  ,  2.02371e-66,  3.24118e-12,  0.00463238 ])
175574  , -12406      , array([ 0.0299526  ,  0.0127638  ,  2.02371e-66,  3.24118e-12,  0.00463238 ])
175575  , -12390.5    , array([ 0.0299826  ,  0.0127638  ,  2.02371e-66,  3.24118e-12,  0.00463238 ])
175576  , -12406.9    , array([ 0.0299526  ,  0.0127765  ,  2.02371e-66,  3.24118e-12,  0.00463238 ])
175577  , -12406      , array([ 0.0299526  ,  0.0127638  ,  2.02573e-66,  3.24118e-12,  0.00463238 ])
175578  , -12406      , array([ 0.0299526  ,  0.0127638  ,  2.02371e-66,  3.24443e-12,  0.00463238 ])
175579  , -12419.9    , array([ 0.0299526  ,  0.0127638  ,  2.02371e-66,  3.24118e-12,  0.00463701 ])
175587  , -12396      , array([ 0.0304677  ,  0.0129626  ,  2.02371e-66,  3.24118e-12,  0.00471321 ])
175588  , -12396      , array([ 0.0304677  ,  0.0129626  ,  2.02371e-66,  3.24118e-12,  0.00471321 ])
175589  , -12380.6    , array([ 0.0304982  ,  0.0129626  ,  2.02371e-66,  3.24118e-12,  0.00471321 ])
175590  , -12396.9    , array([ 0.0304677  ,  0.0129755  ,  2.02371e-66,  3.24118e-12,  0.00471321 ])
175591  , -12396      , array([ 0.0304677  ,  0.0129626  ,  2.02573e-66,  3.24118e-12,  0.00471321 ])
175592  , -12396      , array([ 0.0304677  ,  0.0129626  ,  2.02371e-66,  3.24443e-12,  0.00471321 ])
175593  , -12410      , array([ 0.0304677  ,  0.0129626  ,  2.02371e-66,  3.24118e-12,  0.00471793 ])
175594  , -12385.9    , array([ 0.030997   ,  0.0131665  ,  2.02371e-66,  3.24118e-12,  0.00479628 ])
175595  , -12385.9    , array([ 0.030997   ,  0.0131665  ,  2.02371e-66,  3.24118e-12,  0.00479628 ])
175596  , -12370.4    , array([ 0.031028   ,  0.0131665  ,  2.02371e-66,  3.24118e-12,  0.00479628 ])
175597  , -12386.7    , array([ 0.030997   ,  0.0131797  ,  2.02371e-66,  3.24118e-12,  0.00479628 ])
175598  , -12385.9    , array([ 0.030997   ,  0.0131665  ,  2.02573e-66,  3.24118e-12,  0.00479628 ])
175599  , -12385.9    , array([ 0.030997   ,  0.0131665  ,  2.02371e-66,  3.24443e-12,  0.00479628 ])
175600  , -12399.8    , array([ 0.030997   ,  0.0131665  ,  2.02371e-66,  3.24118e-12,  0.00480108 ])
175608  , -12383.3    , array([ 0.0311321  ,  0.0132185  ,  2.02371e-66,  3.24118e-12,  0.0048175  ])
175609  , -12383.3    , array([ 0.0311321  ,  0.0132185  ,  2.02371e-66,  3.24118e-12,  0.0048175  ])
175610  , -12367.8    , array([ 0.0311632  ,  0.0132185  ,  2.02371e-66,  3.24118e-12,  0.0048175  ])
175611  , -12384.1    , array([ 0.0311321  ,  0.0132317  ,  2.02371e-66,  3.24118e-12,  0.0048175  ])
175612  , -12383.3    , array([ 0.0311321  ,  0.0132185  ,  2.02573e-66,  3.24118e-12,  0.0048175  ])
