186315  , -71871.7    , array([ 0.0141374  ,  0.0855291  ,  1.60831e-66,  6.07892e-33,  0.000115956])
186316  , -71876.7    , array([ 0.0141515  ,  0.0855291  ,  1.60831e-66,  6.07892e-33,  0.000115956])
186317  , -71873.1    , array([ 0.0141374  ,  0.0856146  ,  1.60831e-66,  6.07892e-33,  0.000115956])
186318  , -71871.7    , array([ 0.0141374  ,  0.0855291  ,  1.60991e-66,  6.07892e-33,  0.000115956])
186319  , -71871.7    , array([ 0.0141374  ,  0.0855291  ,  1.60831e-66,  6.085e-33  ,  0.000115956])
186320  , -71865.3    , array([ 0.0141374  ,  0.0855291  ,  1.60831e-66,  6.07892e-33,  0.000116072])
186321  , -71871.7    , array([ 0.0141374  ,  0.0855291  ,  1.60831e-66,  6.07892e-33,  0.000115956])
186322  , -59384.3    , array([ 0.00765805 ,  0.0721544  ,  1.60831e-66,  6.07892e-33,  0.000254078])
186323  , -59384.3    , array([ 0.00765805 ,  0.0721544  ,  1.60831e-66,  6.07892e-33,  0.000254078])
186324  , -59393.6    , array([ 0.00766571 ,  0.0721544  ,  1.60831e-66,  6.07892e-33,  0.000254078])
186325  , -59387      , array([ 0.00765805 ,  0.0722265  ,  1.60831e-66,  6.07892e-33,  0.000254078])
186326  , -59384.3    , array([ 0.00765805 ,  0.0721544  ,  1.60991e-66,  6.07892e-33,  0.000254078])
186327  , -59384.3    , array([ 0.00765805 ,  0.0721544  ,  1.60831e-66,  6.085e-33  ,  0.000254078])
186328  , -59372.4    , array([ 0.00765805 ,  0.0721544  ,  1.60831e-66,  6.07892e-33,  0.000254332])
186336  , -59377.9    , array([ 0.00765611 ,  0.0721493  ,  1.60831e-66,  6.07892e-33,  0.000254161])
186337  , -59377.9    , array([ 0.00765611 ,  0.0721493  ,  1.60831e-66,  6.07892e-33,  0.000254161])
186338  , -59387.1    , array([ 0.00766376 ,  0.0721493  ,  1.60831e-66,  6.07892e-33,  0.000254161])
186339  , -59380.6    , array([ 0.00765611 ,  0.0722215  ,  1.60831e-66,  6.07892e-33,  0.000254161])
186340  , -59377.9    , array([ 0.00765611 ,  0.0721493  ,  1.60991e-66,  6.07892e-33,  0.000254161])
186341  , -59377.9    , array([ 0.00765611 ,  0.0721493  ,  1.60831e-66,  6.085e-33  ,  0.000254161])
186342  , -59366      , array([ 0.00765611 ,  0.0721493  ,  1.60831e-66,  6.07892e-33,  0.000254415])
186343  , -59371.5    , array([ 0.00765417 ,  0.0721442  ,  1.60831e-66,  6.07892e-33,  0.000254243])
186344  , -59371.5    , array([ 0.00765417 ,  0.0721442  ,  1.60831e-66,  6.07892e-33,  0.000254243])
186345  , -59380.7    , array([ 0.00766182 ,  0.0721442  ,  1.60831e-66,  6.07892e-33,  0.000254243])
186346  , -59374.2    , array([ 0.00765417 ,  0.0722164  ,  1.60831e-66,  6.07892e-33,  0.000254243])
186347  , -59371.5    , array([ 0.00765417 ,  0.0721442  ,  1.60991e-66,  6.07892e-33,  0.000254243])
186348  , -59371.5    , array([ 0.00765417 ,  0.0721442  ,  1.60831e-66,  6.085e-33  ,  0.000254243])
186349  , -59359.6    , array([ 0.00765417 ,  0.0721442  ,  1.60831e-66,  6.07892e-33,  0.000254497])
186350  , -97025.7    , array([ 0.0022465  ,  0.0513487  ,  1.60831e-66,  6.07892e-33,  0.00122028 ])
