202828  , -5323.22    , array([ 9.17427    ,  0.133219   ,  4.37276e-29,  4.456e-67  ,  0.0300568  ])
202829  , -5323.44    , array([ 9.18345    ,  0.133219   ,  4.37276e-29,  4.456e-67  ,  0.0300568  ])
202830  , -5336.71    , array([ 9.17427    ,  0.133353   ,  4.37276e-29,  4.456e-67  ,  0.0300568  ])
202831  , -5323.22    , array([ 9.17427    ,  0.133219   ,  4.37714e-29,  4.456e-67  ,  0.0300568  ])
202832  , -5323.22    , array([ 9.17427    ,  0.133219   ,  4.37276e-29,  4.46046e-67,  0.0300568  ])
202833  , -5310.73    , array([ 9.17427    ,  0.133219   ,  4.37276e-29,  4.456e-67  ,  0.0300869  ])
202834  , -5323.22    , array([ 9.17427    ,  0.133219   ,  4.37276e-29,  4.456e-67  ,  0.0300568  ])
202835  , -17385      , array([ 9.0622     ,  0.0634704  ,  4.37276e-29,  4.456e-67  ,  0.0596702  ])
202836  , -17385      , array([ 9.0622     ,  0.0634704  ,  4.37276e-29,  4.456e-67  ,  0.0596702  ])
202837  , -17385.3    , array([ 9.07127    ,  0.0634704  ,  4.37276e-29,  4.456e-67  ,  0.0596702  ])
202838  , -17352.4    , array([ 9.0622     ,  0.0635339  ,  4.37276e-29,  4.456e-67  ,  0.0596702  ])
202839  , -17385      , array([ 9.0622     ,  0.0634704  ,  4.37714e-29,  4.456e-67  ,  0.0596702  ])
202840  , -17385      , array([ 9.0622     ,  0.0634704  ,  4.37276e-29,  4.46046e-67,  0.0596702  ])
202841  , -17419      , array([ 9.0622     ,  0.0634704  ,  4.37276e-29,  4.456e-67  ,  0.0597299  ])
202842  , -2138.9     , array([ 9.13869    ,  0.105384   ,  4.37276e-29,  4.456e-67  ,  0.0373328  ])
202843  , -2138.9     , array([ 9.13869    ,  0.105384   ,  4.37276e-29,  4.456e-67  ,  0.0373328  ])
202844  , -2139.08    , array([ 9.14783    ,  0.105384   ,  4.37276e-29,  4.456e-67  ,  0.0373328  ])
202845  , -2140.09    , array([ 9.13869    ,  0.10549    ,  4.37276e-29,  4.456e-67  ,  0.0373328  ])
202846  , -2138.9     , array([ 9.13869    ,  0.105384   ,  4.37714e-29,  4.456e-67  ,  0.0373328  ])
202847  , -2138.9     , array([ 9.13869    ,  0.105384   ,  4.37276e-29,  4.46046e-67,  0.0373328  ])
202848  , -2138.89    , array([ 9.13869    ,  0.105384   ,  4.37276e-29,  4.456e-67  ,  0.0373701  ])
202856  , -2138.83    , array([ 9.13854    ,  0.105378   ,  4.37276e-29,  4.456e-67  ,  0.0373307  ])
202857  , -2138.83    , array([ 9.13854    ,  0.105378   ,  4.37276e-29,  4.456e-67  ,  0.0373307  ])
202858  , -2139.02    , array([ 9.14768    ,  0.105378   ,  4.37276e-29,  4.456e-67  ,  0.0373307  ])
