204394  , -78159.6    , array([ 0.709755   ,  2.29784    ,  1.52649e-49,  7.86084e-44,  0.00056902 ])
204395  , -78160.3    , array([ 0.710465   ,  2.29784    ,  1.52649e-49,  7.86084e-44,  0.00056902 ])
204396  , -78159.9    , array([ 0.709755   ,  2.30014    ,  1.52649e-49,  7.86084e-44,  0.00056902 ])
204397  , -78159.6    , array([ 0.709755   ,  2.29784    ,  1.52802e-49,  7.86084e-44,  0.00056902 ])
204398  , -78159.6    , array([ 0.709755   ,  2.29784    ,  1.52649e-49,  7.8687e-44 ,  0.00056902 ])
204399  , -78158.7    , array([ 0.709755   ,  2.29784    ,  1.52649e-49,  7.86084e-44,  0.000569589])
204400  , -78159.6    , array([ 0.709755   ,  2.29784    ,  1.52649e-49,  7.86084e-44,  0.00056902 ])
204401  , -75880.9    , array([ 0.409986   ,  1.78652    ,  1.52649e-49,  7.86084e-44,  0.00127868 ])
204402  , -75880.9    , array([ 0.409986   ,  1.78652    ,  1.52649e-49,  7.86084e-44,  0.00127868 ])
204403  , -75883.1    , array([ 0.410396   ,  1.78652    ,  1.52649e-49,  7.86084e-44,  0.00127868 ])
204404  , -75881.7    , array([ 0.409986   ,  1.78831    ,  1.52649e-49,  7.86084e-44,  0.00127868 ])
204405  , -75880.9    , array([ 0.409986   ,  1.78652    ,  1.52802e-49,  7.86084e-44,  0.00127868 ])
204406  , -75880.9    , array([ 0.409986   ,  1.78652    ,  1.52649e-49,  7.8687e-44 ,  0.00127868 ])
204407  , -75877.8    , array([ 0.409986   ,  1.78652    ,  1.52649e-49,  7.86084e-44,  0.00127996 ])
204408  , -88397.3    , array([ 0.0456469  ,  0.652762   ,  1.52649e-49,  7.86084e-44,  0.0326067  ])
204409  , -88397.3    , array([ 0.0456469  ,  0.652762   ,  1.52649e-49,  7.86084e-44,  0.0326067  ])
204410  , -88333.5    , array([ 0.0456926  ,  0.652762   ,  1.52649e-49,  7.86084e-44,  0.0326067  ])
204411  , -88408.1    , array([ 0.0456469  ,  0.653415   ,  1.52649e-49,  7.86084e-44,  0.0326067  ])
204412  , -88397.3    , array([ 0.0456469  ,  0.652762   ,  1.52802e-49,  7.86084e-44,  0.0326067  ])
204413  , -88397.3    , array([ 0.0456469  ,  0.652762   ,  1.52649e-49,  7.8687e-44 ,  0.0326067  ])
204414  , -88439      , array([ 0.0456469  ,  0.652762   ,  1.52649e-49,  7.86084e-44,  0.0326393  ])
204415  , -57106.9    , array([ 0.152953   ,  1.13661    ,  1.52649e-49,  7.86084e-44,  0.00547679 ])
204416  , -57106.9    , array([ 0.152953   ,  1.13661    ,  1.52649e-49,  7.86084e-44,  0.00547679 ])
204417  , -57116.4    , array([ 0.153106   ,  1.13661    ,  1.52649e-49,  7.86084e-44,  0.00547679 ])
204418  , -57110.4    , array([ 0.152953   ,  1.13775    ,  1.52649e-49,  7.86084e-44,  0.00547679 ])
204419  , -57106.9    , array([ 0.152953   ,  1.13661    ,  1.52802e-49,  7.86084e-44,  0.00547679 ])
204420  , -57106.9    , array([ 0.152953   ,  1.13661    ,  1.52649e-49,  7.8687e-44 ,  0.00547679 ])
204421  , -57093.4    , array([ 0.152953   ,  1.13661    ,  1.52649e-49,  7.86084e-44,  0.00548227 ])
204422  , -46563.2    , array([ 0.0965385  ,  0.920338   ,  1.52649e-49,  7.86084e-44,  0.0107991  ])
204423  , -46563.2    , array([ 0.0965385  ,  0.920338   ,  1.52649e-49,  7.86084e-44,  0.0107991  ])
204424  , -46559.7    , array([ 0.0966351  ,  0.920338   ,  1.52649e-49,  7.86084e-44,  0.0107991  ])
204425  , -46568.4    , array([ 0.0965385  ,  0.921258   ,  1.52649e-49,  7.86084e-44,  0.0107991  ])
204426  , -46563.2    , array([ 0.0965385  ,  0.920338   ,  1.52802e-49,  7.86084e-44,  0.0107991  ])
204427  , -46563.2    , array([ 0.0965385  ,  0.920338   ,  1.52649e-49,  7.8687e-44 ,  0.0107991  ])
204428  , -46559.2    , array([ 0.0965385  ,  0.920338   ,  1.52649e-49,  7.86084e-44,  0.0108099  ])
204429  , -46473.7    , array([ 0.0929923  ,  0.904675   ,  1.52649e-49,  7.86084e-44,  0.0114122  ])
204430  , -46473.7    , array([ 0.0929923  ,  0.904675   ,  1.52649e-49,  7.86084e-44,  0.0114122  ])
204431  , -46467.9    , array([ 0.0930853  ,  0.904675   ,  1.52649e-49,  7.86084e-44,  0.0114122  ])
204432  , -46479.1    , array([ 0.0929923  ,  0.90558    ,  1.52649e-49,  7.86084e-44,  0.0114122  ])
204433  , -46473.7    , array([ 0.0929923  ,  0.904675   ,  1.52802e-49,  7.86084e-44,  0.0114122  ])
204434  , -46473.7    , array([ 0.0929923  ,  0.904675   ,  1.52649e-49,  7.8687e-44 ,  0.0114122  ])
204435  , -46471.5    , array([ 0.0929923  ,  0.904675   ,  1.52649e-49,  7.86084e-44,  0.0114236  ])
204443  , -46467.4    , array([ 0.0927478  ,  0.902817   ,  1.52649e-49,  7.86084e-44,  0.0114694  ])
204444  , -46467.4    , array([ 0.0927478  ,  0.902817   ,  1.52649e-49,  7.86084e-44,  0.0114694  ])
204445  , -46461.5    , array([ 0.0928406  ,  0.902817   ,  1.52649e-49,  7.86084e-44,  0.0114694  ])
204446  , -46472.9    , array([ 0.0927478  ,  0.90372    ,  1.52649e-49,  7.86084e-44,  0.0114694  ])
204447  , -46467.4    , array([ 0.0927478  ,  0.902817   ,  1.52802e-49,  7.86084e-44,  0.0114694  ])
204448  , -46467.4    , array([ 0.0927478  ,  0.902817   ,  1.52649e-49,  7.8687e-44 ,  0.0114694  ])
204449  , -46465.4    , array([ 0.0927478  ,  0.902817   ,  1.52649e-49,  7.86084e-44,  0.0114809  ])
204450  , -46454.1    , array([ 0.09022    ,  0.864525   ,  1.52649e-49,  7.86084e-44,  0.0111356  ])
204451  , -46454.1    , array([ 0.09022    ,  0.864525   ,  1.52649e-49,  7.86084e-44,  0.0111356  ])
204452  , -46448.1    , array([ 0.0903103  ,  0.864525   ,  1.52649e-49,  7.86084e-44,  0.0111356  ])
204453  , -46459.6    , array([ 0.09022    ,  0.865389   ,  1.52649e-49,  7.86084e-44,  0.0111356  ])
204454  , -46454.1    , array([ 0.09022    ,  0.864525   ,  1.52802e-49,  7.86084e-44,  0.0111356  ])
204455  , -46454.1    , array([ 0.09022    ,  0.864525   ,  1.52649e-49,  7.8687e-44 ,  0.0111356  ])
204456  , -46452.1    , array([ 0.09022    ,  0.864525   ,  1.52649e-49,  7.86084e-44,  0.0111467  ])
204457  , -46375.6    , array([ 0.0807791  ,  0.726922   ,  1.52649e-49,  7.86084e-44,  0.00989447 ])
204458  , -46375.6    , array([ 0.0807791  ,  0.726922   ,  1.52649e-49,  7.86084e-44,  0.00989447 ])
204459  , -46369.5    , array([ 0.0808599  ,  0.726922   ,  1.52649e-49,  7.86084e-44,  0.00989447 ])
204460  , -46381.4    , array([ 0.0807791  ,  0.727649   ,  1.52649e-49,  7.86084e-44,  0.00989447 ])
204461  , -46375.6    , array([ 0.0807791  ,  0.726922   ,  1.52802e-49,  7.86084e-44,  0.00989447 ])
204462  , -46375.6    , array([ 0.0807791  ,  0.726922   ,  1.52649e-49,  7.8687e-44 ,  0.00989447 ])
204463  , -46373.6    , array([ 0.0807791  ,  0.726922   ,  1.52649e-49,  7.86084e-44,  0.00990437 ])
204464  , -45658.9    , array([ 0.0519138  ,  0.363354   ,  1.52649e-49,  7.86084e-44,  0.00616759 ])
204465  , -45658.9    , array([ 0.0519138  ,  0.363354   ,  1.52649e-49,  7.86084e-44,  0.00616759 ])
204466  , -45652.4    , array([ 0.0519658  ,  0.363354   ,  1.52649e-49,  7.86084e-44,  0.00616759 ])
204467  , -45666.1    , array([ 0.0519138  ,  0.363717   ,  1.52649e-49,  7.86084e-44,  0.00616759 ])
204468  , -45658.9    , array([ 0.0519138  ,  0.363354   ,  1.52802e-49,  7.86084e-44,  0.00616759 ])
204469  , -45658.9    , array([ 0.0519138  ,  0.363354   ,  1.52649e-49,  7.8687e-44 ,  0.00616759 ])
204470  , -45656.8    , array([ 0.0519138  ,  0.363354   ,  1.52649e-49,  7.86084e-44,  0.00617376 ])
204471  , -37117.4    , array([ 0.00885564 ,  0.0226829  ,  1.52649e-49,  7.86084e-44,  0.000931126])
204472  , -37117.4    , array([ 0.00885564 ,  0.0226829  ,  1.52649e-49,  7.86084e-44,  0.000931126])
204473  , -37110.4    , array([ 0.0088645  ,  0.0226829  ,  1.52649e-49,  7.86084e-44,  0.000931126])
204474  , -37131      , array([ 0.00885564 ,  0.0227055  ,  1.52649e-49,  7.86084e-44,  0.000931126])
204475  , -37117.4    , array([ 0.00885564 ,  0.0226829  ,  1.52802e-49,  7.86084e-44,  0.000931126])
204476  , -37117.4    , array([ 0.00885564 ,  0.0226829  ,  1.52649e-49,  7.8687e-44 ,  0.000931126])
204477  , -37110.6    , array([ 0.00885564 ,  0.0226829  ,  1.52649e-49,  7.86084e-44,  0.000932058])
204485  , -37113.2    , array([ 0.00885043 ,  0.0226619  ,  1.52649e-49,  7.86084e-44,  0.000930541])
204486  , -37113.2    , array([ 0.00885043 ,  0.0226619  ,  1.52649e-49,  7.86084e-44,  0.000930541])
204487  , -37106.2    , array([ 0.00885929 ,  0.0226619  ,  1.52649e-49,  7.86084e-44,  0.000930541])
204488  , -37126.8    , array([ 0.00885043 ,  0.0226846  ,  1.52649e-49,  7.86084e-44,  0.000930541])
204489  , -37113.2    , array([ 0.00885043 ,  0.0226619  ,  1.52802e-49,  7.86084e-44,  0.000930541])
204490  , -37113.2    , array([ 0.00885043 ,  0.0226619  ,  1.52649e-49,  7.8687e-44 ,  0.000930541])
204491  , -37106.4    , array([ 0.00885043 ,  0.0226619  ,  1.52649e-49,  7.86084e-44,  0.000931472])
204492  , -37109.1    , array([ 0.00884523 ,  0.022641   ,  1.52649e-49,  7.86084e-44,  0.000929955])
204493  , -37109.1    , array([ 0.00884523 ,  0.022641   ,  1.52649e-49,  7.86084e-44,  0.000929955])
204494  , -37102.1    , array([ 0.00885408 ,  0.022641   ,  1.52649e-49,  7.86084e-44,  0.000929955])
204495  , -37122.7    , array([ 0.00884523 ,  0.0226637  ,  1.52649e-49,  7.86084e-44,  0.000929955])
204496  , -37109.1    , array([ 0.00884523 ,  0.022641   ,  1.52802e-49,  7.86084e-44,  0.000929955])
204497  , -37109.1    , array([ 0.00884523 ,  0.022641   ,  1.52649e-49,  7.8687e-44 ,  0.000929955])
204498  , -37102.3    , array([ 0.00884523 ,  0.022641   ,  1.52649e-49,  7.86084e-44,  0.000930886])
204506  , -37108.1    , array([ 0.00884393 ,  0.0226358  ,  1.52649e-49,  7.86084e-44,  0.000929809])
204507  , -37108.1    , array([ 0.00884393 ,  0.0226358  ,  1.52649e-49,  7.86084e-44,  0.000929809])
204508  , -37101      , array([ 0.00885277 ,  0.0226358  ,  1.52649e-49,  7.86084e-44,  0.000929809])
204509  , -37121.7    , array([ 0.00884393 ,  0.0226584  ,  1.52649e-49,  7.86084e-44,  0.000929809])
204510  , -37108.1    , array([ 0.00884393 ,  0.0226358  ,  1.52802e-49,  7.86084e-44,  0.000929809])
204511  , -37108.1    , array([ 0.00884393 ,  0.0226358  ,  1.52649e-49,  7.8687e-44 ,  0.000929809])
204512  , -37101.3    , array([ 0.00884393 ,  0.0226358  ,  1.52649e-49,  7.86084e-44,  0.000930739])
204513  , -37107      , array([ 0.00884262 ,  0.0226306  ,  1.52649e-49,  7.86084e-44,  0.000929663])
204514  , -37107      , array([ 0.00884262 ,  0.0226306  ,  1.52649e-49,  7.86084e-44,  0.000929663])
204515  , -37100      , array([ 0.00885147 ,  0.0226306  ,  1.52649e-49,  7.86084e-44,  0.000929663])
204516  , -37120.6    , array([ 0.00884262 ,  0.0226532  ,  1.52649e-49,  7.86084e-44,  0.000929663])
204517  , -37107      , array([ 0.00884262 ,  0.0226306  ,  1.52802e-49,  7.86084e-44,  0.000929663])
204518  , -37107      , array([ 0.00884262 ,  0.0226306  ,  1.52649e-49,  7.8687e-44 ,  0.000929663])
204519  , -37100.2    , array([ 0.00884262 ,  0.0226306  ,  1.52649e-49,  7.86084e-44,  0.000930593])
204520  , -22037.2    , array([ 0.00150907 ,  0.00141372 ,  1.52649e-49,  7.86084e-44,  0.000140418])
204521  , -22037.2    , array([ 0.00150907 ,  0.00141372 ,  1.52649e-49,  7.86084e-44,  0.000140418])
204522  , -22029.5    , array([ 0.00151058 ,  0.00141372 ,  1.52649e-49,  7.86084e-44,  0.000140418])
204523  , -22054.9    , array([ 0.00150907 ,  0.00141514 ,  1.52649e-49,  7.86084e-44,  0.000140418])
204524  , -22037.2    , array([ 0.00150907 ,  0.00141372 ,  1.52802e-49,  7.86084e-44,  0.000140418])
204525  , -22037.2    , array([ 0.00150907 ,  0.00141372 ,  1.52649e-49,  7.8687e-44 ,  0.000140418])
204526  , -22027.1    , array([ 0.00150907 ,  0.00141372 ,  1.52649e-49,  7.86084e-44,  0.000140559])
204527  , -22036.7    , array([ 0.001509   ,  0.00141361 ,  1.52649e-49,  7.86084e-44,  0.000140411])
