238390  , -79012.9    , array([ 6.80479    ,  3.64754    ,  7.2067e-15 ,  1.85787e-15,  0.000168055])
238391  , -79012.9    , array([ 6.81159    ,  3.64754    ,  7.2067e-15 ,  1.85787e-15,  0.000168055])
238392  , -79013      , array([ 6.80479    ,  3.65119    ,  7.2067e-15 ,  1.85787e-15,  0.000168055])
238393  , -79012.9    , array([ 6.80479    ,  3.64754    ,  7.21391e-15,  1.85787e-15,  0.000168055])
238394  , -79012.9    , array([ 6.80479    ,  3.64754    ,  7.2067e-15 ,  1.85973e-15,  0.000168055])
238395  , -79012.8    , array([ 6.80479    ,  3.64754    ,  7.2067e-15 ,  1.85787e-15,  0.000168223])
238396  , -79012.9    , array([ 6.80479    ,  3.64754    ,  7.2067e-15 ,  1.85787e-15,  0.000168055])
238397  , -78815.1    , array([ 5.52708    ,  2.06176    ,  7.2067e-15 ,  1.85787e-15,  0.000376673])
238398  , -78815.1    , array([ 5.52708    ,  2.06176    ,  7.2067e-15 ,  1.85787e-15,  0.000376673])
238399  , -78815.2    , array([ 5.53261    ,  2.06176    ,  7.2067e-15 ,  1.85787e-15,  0.000376673])
238400  , -78815.3    , array([ 5.52708    ,  2.06383    ,  7.2067e-15 ,  1.85787e-15,  0.000376673])
238401  , -78815.1    , array([ 5.52708    ,  2.06176    ,  7.21391e-15,  1.85787e-15,  0.000376673])
238402  , -78815.1    , array([ 5.52708    ,  2.06176    ,  7.2067e-15 ,  1.85973e-15,  0.000376673])
238403  , -78814.8    , array([ 5.52708    ,  2.06176    ,  7.2067e-15 ,  1.85787e-15,  0.00037705 ])
238404  , -41549.7    , array([ 2.4056     ,  0.210471   ,  7.2067e-15 ,  1.85787e-15,  0.00950645 ])
238405  , -41549.7    , array([ 2.4056     ,  0.210471   ,  7.2067e-15 ,  1.85787e-15,  0.00950645 ])
238406  , -41551      , array([ 2.408      ,  0.210471   ,  7.2067e-15 ,  1.85787e-15,  0.00950645 ])
238407  , -41573.3    , array([ 2.4056     ,  0.210682   ,  7.2067e-15 ,  1.85787e-15,  0.00950645 ])
238408  , -41549.7    , array([ 2.4056     ,  0.210471   ,  7.21391e-15,  1.85787e-15,  0.00950645 ])
238409  , -41549.7    , array([ 2.4056     ,  0.210471   ,  7.2067e-15 ,  1.85973e-15,  0.00950645 ])
238410  , -41525      , array([ 2.4056     ,  0.210471   ,  7.2067e-15 ,  1.85787e-15,  0.00951596 ])
238418  , -41066.2    , array([ 2.39844    ,  0.208758   ,  7.2067e-15 ,  1.85787e-15,  0.009617   ])
238419  , -41066.2    , array([ 2.39844    ,  0.208758   ,  7.2067e-15 ,  1.85787e-15,  0.009617   ])
238420  , -41067.5    , array([ 2.40084    ,  0.208758   ,  7.2067e-15 ,  1.85787e-15,  0.009617   ])
238421  , -41090      , array([ 2.39844    ,  0.208967   ,  7.2067e-15 ,  1.85787e-15,  0.009617   ])
238422  , -41066.2    , array([ 2.39844    ,  0.208758   ,  7.21391e-15,  1.85787e-15,  0.009617   ])
238423  , -41066.2    , array([ 2.39844    ,  0.208758   ,  7.2067e-15 ,  1.85973e-15,  0.009617   ])
238424  , -41041.4    , array([ 2.39844    ,  0.208758   ,  7.2067e-15 ,  1.85787e-15,  0.00962662 ])
238425  , -40578.1    , array([ 2.39128    ,  0.207052   ,  7.2067e-15 ,  1.85787e-15,  0.00972929 ])
238426  , -40578.1    , array([ 2.39128    ,  0.207052   ,  7.2067e-15 ,  1.85787e-15,  0.00972929 ])
238427  , -40579.4    , array([ 2.39367    ,  0.207052   ,  7.2067e-15 ,  1.85787e-15,  0.00972929 ])
238428  , -40601.9    , array([ 2.39128    ,  0.207259   ,  7.2067e-15 ,  1.85787e-15,  0.00972929 ])
238429  , -40578.1    , array([ 2.39128    ,  0.207052   ,  7.21391e-15,  1.85787e-15,  0.00972929 ])
238430  , -40578.1    , array([ 2.39128    ,  0.207052   ,  7.2067e-15 ,  1.85973e-15,  0.00972929 ])
238431  , -40553.1    , array([ 2.39128    ,  0.207052   ,  7.2067e-15 ,  1.85787e-15,  0.00973902 ])
238439  , -40455      , array([ 2.38948    ,  0.206626   ,  7.2067e-15 ,  1.85787e-15,  0.00975771 ])
238440  , -40455      , array([ 2.38948    ,  0.206626   ,  7.2067e-15 ,  1.85787e-15,  0.00975771 ])
238441  , -40456.3    , array([ 2.39187    ,  0.206626   ,  7.2067e-15 ,  1.85787e-15,  0.00975771 ])
238442  , -40478.9    , array([ 2.38948    ,  0.206833   ,  7.2067e-15 ,  1.85787e-15,  0.00975771 ])
238443  , -40455      , array([ 2.38948    ,  0.206626   ,  7.21391e-15,  1.85787e-15,  0.00975771 ])
