251567  , -15487      , array([ 1.80603    ,  0.0014878  ,  2.57041e-71,  1.53236e-46,  0.000193709])
251568  , -15487      , array([ 1.80784    ,  0.0014878  ,  2.57041e-71,  1.53236e-46,  0.000193709])
251569  , -15510.2    , array([ 1.80603    ,  0.00148929 ,  2.57041e-71,  1.53236e-46,  0.000193709])
251570  , -15487      , array([ 1.80603    ,  0.0014878  ,  2.57299e-71,  1.53236e-46,  0.000193709])
251571  , -15487      , array([ 1.80603    ,  0.0014878  ,  2.57041e-71,  1.53389e-46,  0.000193709])
251572  , -15463.8    , array([ 1.80603    ,  0.0014878  ,  2.57041e-71,  1.53236e-46,  0.000193903])
251573  , -15487      , array([ 1.80603    ,  0.0014878  ,  2.57041e-71,  1.53236e-46,  0.000193709])
251581  , -15485.2    , array([ 1.80603    ,  0.00148774 ,  2.57041e-71,  1.53236e-46,  0.000193717])
251582  , -15485.2    , array([ 1.80603    ,  0.00148774 ,  2.57041e-71,  1.53236e-46,  0.000193717])
251583  , -15485.2    , array([ 1.80784    ,  0.00148774 ,  2.57041e-71,  1.53236e-46,  0.000193717])
251584  , -15508.4    , array([ 1.80603    ,  0.00148923 ,  2.57041e-71,  1.53236e-46,  0.000193717])
251585  , -15485.2    , array([ 1.80603    ,  0.00148774 ,  2.57299e-71,  1.53236e-46,  0.000193717])
251586  , -15485.2    , array([ 1.80603    ,  0.00148774 ,  2.57041e-71,  1.53389e-46,  0.000193717])
251587  , -15461.9    , array([ 1.80603    ,  0.00148774 ,  2.57041e-71,  1.53236e-46,  0.000193911])
251588  , -14009.5    , array([ 1.806      ,  0.00144035 ,  2.57041e-71,  1.53236e-46,  0.000200091])
251589  , -14009.5    , array([ 1.806      ,  0.00144035 ,  2.57041e-71,  1.53236e-46,  0.000200091])
251590  , -14009.5    , array([ 1.80781    ,  0.00144035 ,  2.57041e-71,  1.53236e-46,  0.000200091])
251591  , -14031.8    , array([ 1.806      ,  0.00144179 ,  2.57041e-71,  1.53236e-46,  0.000200091])
251592  , -14009.5    , array([ 1.806      ,  0.00144035 ,  2.57299e-71,  1.53236e-46,  0.000200091])
251593  , -14009.5    , array([ 1.806      ,  0.00144035 ,  2.57041e-71,  1.53389e-46,  0.000200091])
251594  , -13987.1    , array([ 1.806      ,  0.00144035 ,  2.57041e-71,  1.53236e-46,  0.000200291])
251595  , -3473.59    , array([ 1.8057     ,  0.00102432 ,  2.57041e-71,  1.53236e-46,  0.000281372])
251596  , -3473.59    , array([ 1.8057     ,  0.00102432 ,  2.57041e-71,  1.53236e-46,  0.000281372])
251597  , -3473.6     , array([ 1.8075     ,  0.00102432 ,  2.57041e-71,  1.53236e-46,  0.000281372])
251598  , -3480.52    , array([ 1.8057     ,  0.00102534 ,  2.57041e-71,  1.53236e-46,  0.000281372])
251599  , -3473.59    , array([ 1.8057     ,  0.00102432 ,  2.57299e-71,  1.53236e-46,  0.000281372])
251600  , -3473.59    , array([ 1.8057     ,  0.00102432 ,  2.57041e-71,  1.53389e-46,  0.000281372])
251601  , -3466.67    , array([ 1.8057     ,  0.00102432 ,  2.57041e-71,  1.53236e-46,  0.000281653])
251609  , -3473.59    , array([ 1.80568    ,  0.00102431 ,  2.57041e-71,  1.53236e-46,  0.000281369])
251610  , -3473.59    , array([ 1.80568    ,  0.00102431 ,  2.57041e-71,  1.53236e-46,  0.000281369])
251611  , -3473.59    , array([ 1.80749    ,  0.00102431 ,  2.57041e-71,  1.53236e-46,  0.000281369])
251612  , -3480.51    , array([ 1.80568    ,  0.00102533 ,  2.57041e-71,  1.53236e-46,  0.000281369])
251613  , -3473.59    , array([ 1.80568    ,  0.00102431 ,  2.57299e-71,  1.53236e-46,  0.000281369])
251614  , -3473.59    , array([ 1.80568    ,  0.00102431 ,  2.57041e-71,  1.53389e-46,  0.000281369])
251615  , -3466.66    , array([ 1.80568    ,  0.00102431 ,  2.57041e-71,  1.53236e-46,  0.00028165 ])
251623  , -3473.58    , array([ 1.80568    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281367])
251624  , -3473.58    , array([ 1.80568    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281367])
251625  , -3473.59    , array([ 1.80748    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281367])
251626  , -3480.51    , array([ 1.80568    ,  0.00102532 ,  2.57041e-71,  1.53236e-46,  0.000281367])
251627  , -3473.58    , array([ 1.80568    ,  0.0010243  ,  2.57299e-71,  1.53236e-46,  0.000281367])
251628  , -3473.58    , array([ 1.80568    ,  0.0010243  ,  2.57041e-71,  1.53389e-46,  0.000281367])
251629  , -3466.66    , array([ 1.80568    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281649])
251637  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281367])
251638  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281367])
251639  , -3473.59    , array([ 1.80748    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281367])
251640  , -3480.51    , array([ 1.80567    ,  0.00102532 ,  2.57041e-71,  1.53236e-46,  0.000281367])
251641  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57299e-71,  1.53236e-46,  0.000281367])
251642  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53389e-46,  0.000281367])
251643  , -3466.66    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281648])
251651  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281366])
251652  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281366])
251653  , -3473.59    , array([ 1.80748    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281366])
251654  , -3480.51    , array([ 1.80567    ,  0.00102532 ,  2.57041e-71,  1.53236e-46,  0.000281366])
251655  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57299e-71,  1.53236e-46,  0.000281366])
251656  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53389e-46,  0.000281366])
251657  , -3466.66    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281648])
251665  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281366])
251666  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281366])
251667  , -3473.59    , array([ 1.80748    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281366])
251668  , -3480.51    , array([ 1.80567    ,  0.00102532 ,  2.57041e-71,  1.53236e-46,  0.000281366])
251669  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57299e-71,  1.53236e-46,  0.000281366])
251670  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53389e-46,  0.000281366])
251671  , -3466.66    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281648])
251679  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281366])
251680  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281366])
251681  , -3473.59    , array([ 1.80748    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281366])
251682  , -3480.51    , array([ 1.80567    ,  0.00102532 ,  2.57041e-71,  1.53236e-46,  0.000281366])
251683  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57299e-71,  1.53236e-46,  0.000281366])
251684  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53389e-46,  0.000281366])
251685  , -3466.66    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281648])
251693  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281366])
251694  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281366])
251695  , -3473.59    , array([ 1.80748    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281366])
251696  , -3480.51    , array([ 1.80567    ,  0.00102532 ,  2.57041e-71,  1.53236e-46,  0.000281366])
251697  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57299e-71,  1.53236e-46,  0.000281366])
251698  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53389e-46,  0.000281366])
251699  , -3466.66    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281648])
251707  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281366])
251708  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281366])
251709  , -3473.59    , array([ 1.80748    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281366])
251710  , -3480.51    , array([ 1.80567    ,  0.00102532 ,  2.57041e-71,  1.53236e-46,  0.000281366])
251711  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57299e-71,  1.53236e-46,  0.000281366])
251712  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53389e-46,  0.000281366])
251713  , -3466.66    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281648])
251721  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281366])
251722  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281366])
251723  , -3473.59    , array([ 1.80748    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281366])
251724  , -3480.51    , array([ 1.80567    ,  0.00102532 ,  2.57041e-71,  1.53236e-46,  0.000281366])
251725  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57299e-71,  1.53236e-46,  0.000281366])
251726  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53389e-46,  0.000281366])
251727  , -3466.66    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281648])
251735  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281366])
251736  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281366])
251737  , -3473.59    , array([ 1.80748    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281366])
251738  , -3480.51    , array([ 1.80567    ,  0.00102532 ,  2.57041e-71,  1.53236e-46,  0.000281366])
251739  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57299e-71,  1.53236e-46,  0.000281366])
251740  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53389e-46,  0.000281366])
251741  , -3466.66    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281648])
251749  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281366])
251750  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281366])
251751  , -3473.59    , array([ 1.80748    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281366])
251752  , -3480.51    , array([ 1.80567    ,  0.00102532 ,  2.57041e-71,  1.53236e-46,  0.000281366])
251753  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57299e-71,  1.53236e-46,  0.000281366])
251754  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53389e-46,  0.000281366])
251755  , -3466.66    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281648])
251763  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281366])
251764  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281366])
251765  , -3473.59    , array([ 1.80748    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281366])
251766  , -3480.51    , array([ 1.80567    ,  0.00102532 ,  2.57041e-71,  1.53236e-46,  0.000281366])
251767  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57299e-71,  1.53236e-46,  0.000281366])
251768  , -3473.58    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53389e-46,  0.000281366])
251769  , -3466.66    , array([ 1.80567    ,  0.0010243  ,  2.57041e-71,  1.53236e-46,  0.000281648])
251770  , -3459.13    , array([ 1.78093    ,  0.00100053 ,  2.57041e-71,  1.53236e-46,  0.000275436])
251771  , -3459.13    , array([ 1.78093    ,  0.00100053 ,  2.57041e-71,  1.53236e-46,  0.000275436])
251772  , -3459.13    , array([ 1.78271    ,  0.00100053 ,  2.57041e-71,  1.53236e-46,  0.000275436])
251773  , -3465.99    , array([ 1.78093    ,  0.00100154 ,  2.57041e-71,  1.53236e-46,  0.000275436])
251774  , -3459.13    , array([ 1.78093    ,  0.00100053 ,  2.57299e-71,  1.53236e-46,  0.000275436])
251775  , -3459.13    , array([ 1.78093    ,  0.00100053 ,  2.57041e-71,  1.53389e-46,  0.000275436])
251776  , -3452.27    , array([ 1.78093    ,  0.00100053 ,  2.57041e-71,  1.53236e-46,  0.000275712])
251784  , -3459.13    , array([ 1.78093    ,  0.00100053 ,  2.57041e-71,  1.53236e-46,  0.000275436])
251785  , -3459.13    , array([ 1.78093    ,  0.00100053 ,  2.57041e-71,  1.53236e-46,  0.000275436])
251786  , -3459.13    , array([ 1.78271    ,  0.00100053 ,  2.57041e-71,  1.53236e-46,  0.000275436])
251787  , -3465.99    , array([ 1.78093    ,  0.00100154 ,  2.57041e-71,  1.53236e-46,  0.000275436])
251788  , -3459.13    , array([ 1.78093    ,  0.00100053 ,  2.57299e-71,  1.53236e-46,  0.000275436])
