2600    , -79089.4    , array([ 0.2171     ,  0.421622   ,  1.76904e-91,  4.95495e-34,  4.42534e-12])
2601    , -79089.4    , array([ 0.217317   ,  0.421622   ,  1.76904e-91,  4.95495e-34,  4.42534e-12])
2602    , -79089.4    , array([ 0.2171     ,  0.422044   ,  1.76904e-91,  4.95495e-34,  4.42534e-12])
2603    , -79089.4    , array([ 0.2171     ,  0.421622   ,  1.77081e-91,  4.95495e-34,  4.42534e-12])
2604    , -79089.4    , array([ 0.2171     ,  0.421622   ,  1.76904e-91,  4.95991e-34,  4.42534e-12])
2605    , -79089.4    , array([ 0.2171     ,  0.421622   ,  1.76904e-91,  4.95495e-34,  4.42977e-12])
2606    , -79089.4    , array([ 0.2171     ,  0.421622   ,  1.76904e-91,  4.95495e-34,  4.42534e-12])
2607    , -79089.4    , array([ 0.217097   ,  0.421616   ,  1.76904e-91,  4.95495e-34,  4.42546e-12])
2608    , -79089.4    , array([ 0.217097   ,  0.421616   ,  1.76904e-91,  4.95495e-34,  4.42546e-12])
2609    , -79089.4    , array([ 0.217314   ,  0.421616   ,  1.76904e-91,  4.95495e-34,  4.42546e-12])
2610    , -79089.4    , array([ 0.217097   ,  0.422038   ,  1.76904e-91,  4.95495e-34,  4.42546e-12])
2611    , -79089.4    , array([ 0.217097   ,  0.421616   ,  1.77081e-91,  4.95495e-34,  4.42546e-12])
2612    , -79089.4    , array([ 0.217097   ,  0.421616   ,  1.76904e-91,  4.95991e-34,  4.42546e-12])
2613    , -79089.4    , array([ 0.217097   ,  0.421616   ,  1.76904e-91,  4.95495e-34,  4.42989e-12])
2614    , -79089.4    , array([ 0.217082   ,  0.421596   ,  1.76904e-91,  4.95495e-34,  4.42597e-12])
2615    , -79089.4    , array([ 0.217082   ,  0.421596   ,  1.76904e-91,  4.95495e-34,  4.42597e-12])
2616    , -79089.4    , array([ 0.2173     ,  0.421596   ,  1.76904e-91,  4.95495e-34,  4.42597e-12])
2617    , -79089.4    , array([ 0.217082   ,  0.422017   ,  1.76904e-91,  4.95495e-34,  4.42597e-12])
2618    , -79089.4    , array([ 0.217082   ,  0.421596   ,  1.77081e-91,  4.95495e-34,  4.42597e-12])
2619    , -79089.4    , array([ 0.217082   ,  0.421596   ,  1.76904e-91,  4.95991e-34,  4.42597e-12])
2620    , -79089.4    , array([ 0.217082   ,  0.421596   ,  1.76904e-91,  4.95495e-34,  4.43039e-12])
2621    , -79089.4    , array([ 0.217025   ,  0.421512   ,  1.76904e-91,  4.95495e-34,  4.42797e-12])
2622    , -79089.4    , array([ 0.217025   ,  0.421512   ,  1.76904e-91,  4.95495e-34,  4.42797e-12])
2623    , -79089.4    , array([ 0.217242   ,  0.421512   ,  1.76904e-91,  4.95495e-34,  4.42797e-12])
2624    , -79089.4    , array([ 0.217025   ,  0.421934   ,  1.76904e-91,  4.95495e-34,  4.42797e-12])
2625    , -79089.4    , array([ 0.217025   ,  0.421512   ,  1.77081e-91,  4.95495e-34,  4.42797e-12])
2626    , -79089.4    , array([ 0.217025   ,  0.421512   ,  1.76904e-91,  4.95991e-34,  4.42797e-12])
2627    , -79089.4    , array([ 0.217025   ,  0.421512   ,  1.76904e-91,  4.95495e-34,  4.4324e-12 ])
2628    , -79089.4    , array([ 0.216796   ,  0.421178   ,  1.76904e-91,  4.95495e-34,  4.43602e-12])
2629    , -79089.4    , array([ 0.216796   ,  0.421178   ,  1.76904e-91,  4.95495e-34,  4.43602e-12])
2630    , -79089.4    , array([ 0.217013   ,  0.421178   ,  1.76904e-91,  4.95495e-34,  4.43602e-12])
2631    , -79089.4    , array([ 0.216796   ,  0.421599   ,  1.76904e-91,  4.95495e-34,  4.43602e-12])
2632    , -79089.4    , array([ 0.216796   ,  0.421178   ,  1.77081e-91,  4.95495e-34,  4.43602e-12])
2633    , -79089.4    , array([ 0.216796   ,  0.421178   ,  1.76904e-91,  4.95991e-34,  4.43602e-12])
2634    , -79089.4    , array([ 0.216796   ,  0.421178   ,  1.76904e-91,  4.95495e-34,  4.44046e-12])
2635    , -79089.4    , array([ 0.215884   ,  0.419843   ,  1.76904e-91,  4.95495e-34,  4.46834e-12])
