5389    , -79089.4    , array([ 2.04382    ,  0.00866834 ,  2.05987e-72,  7.15073e-17,  2.16338e-12])
5390    , -79089.4    , array([ 2.04587    ,  0.00866834 ,  2.05987e-72,  7.15073e-17,  2.16338e-12])
5391    , -79089.4    , array([ 2.04382    ,  0.00867702 ,  2.05987e-72,  7.15073e-17,  2.16338e-12])
5392    , -79089.4    , array([ 2.04382    ,  0.00866834 ,  2.06193e-72,  7.15073e-17,  2.16338e-12])
5393    , -79089.4    , array([ 2.04382    ,  0.00866834 ,  2.05987e-72,  7.15788e-17,  2.16338e-12])
5394    , -79089.4    , array([ 2.04382    ,  0.00866834 ,  2.05987e-72,  7.15073e-17,  2.16555e-12])
5395    , -79089.4    , array([ 2.04382    ,  0.00866834 ,  2.05987e-72,  7.15073e-17,  2.16338e-12])
5396    , -79089.4    , array([ 2.04382    ,  0.0086658  ,  2.05987e-72,  7.15073e-17,  2.16402e-12])
5397    , -79089.4    , array([ 2.04382    ,  0.0086658  ,  2.05987e-72,  7.15073e-17,  2.16402e-12])
5398    , -79089.4    , array([ 2.04587    ,  0.0086658  ,  2.05987e-72,  7.15073e-17,  2.16402e-12])
5399    , -79089.4    , array([ 2.04382    ,  0.00867447 ,  2.05987e-72,  7.15073e-17,  2.16402e-12])
5400    , -79089.4    , array([ 2.04382    ,  0.0086658  ,  2.06193e-72,  7.15073e-17,  2.16402e-12])
5401    , -79089.4    , array([ 2.04382    ,  0.0086658  ,  2.05987e-72,  7.15788e-17,  2.16402e-12])
5402    , -79089.4    , array([ 2.04382    ,  0.0086658  ,  2.05987e-72,  7.15073e-17,  2.16619e-12])
5403    , -79089.4    , array([ 2.04381    ,  0.00865565 ,  2.05987e-72,  7.15073e-17,  2.16657e-12])
5404    , -79089.4    , array([ 2.04381    ,  0.00865565 ,  2.05987e-72,  7.15073e-17,  2.16657e-12])
5405    , -79089.4    , array([ 2.04586    ,  0.00865565 ,  2.05987e-72,  7.15073e-17,  2.16657e-12])
5406    , -79089.4    , array([ 2.04381    ,  0.00866431 ,  2.05987e-72,  7.15073e-17,  2.16657e-12])
5407    , -79089.4    , array([ 2.04381    ,  0.00865565 ,  2.06193e-72,  7.15073e-17,  2.16657e-12])
5408    , -79089.4    , array([ 2.04381    ,  0.00865565 ,  2.05987e-72,  7.15788e-17,  2.16657e-12])
5409    , -79089.4    , array([ 2.04381    ,  0.00865565 ,  2.05987e-72,  7.15073e-17,  2.16874e-12])
5410    , -79089.4    , array([ 2.04378    ,  0.00861514 ,  2.05987e-72,  7.15073e-17,  2.17679e-12])
5411    , -79089.4    , array([ 2.04378    ,  0.00861514 ,  2.05987e-72,  7.15073e-17,  2.17679e-12])
5412    , -79089.4    , array([ 2.04583    ,  0.00861514 ,  2.05987e-72,  7.15073e-17,  2.17679e-12])
5413    , -79089.4    , array([ 2.04378    ,  0.00862376 ,  2.05987e-72,  7.15073e-17,  2.17679e-12])
5414    , -79089.4    , array([ 2.04378    ,  0.00861514 ,  2.06193e-72,  7.15073e-17,  2.17679e-12])
5415    , -79089.4    , array([ 2.04378    ,  0.00861514 ,  2.05987e-72,  7.15788e-17,  2.17679e-12])
5416    , -79089.4    , array([ 2.04378    ,  0.00861514 ,  2.05987e-72,  7.15073e-17,  2.17897e-12])
5417    , -79089.4    , array([ 2.04366    ,  0.008455   ,  2.05987e-72,  7.15073e-17,  2.21816e-12])
5418    , -79089.4    , array([ 2.04366    ,  0.008455   ,  2.05987e-72,  7.15073e-17,  2.21816e-12])
5419    , -79089.4    , array([ 2.0457     ,  0.008455   ,  2.05987e-72,  7.15073e-17,  2.21816e-12])
5420    , -79089.4    , array([ 2.04366    ,  0.00846346 ,  2.05987e-72,  7.15073e-17,  2.21816e-12])
