56831   , -51446.3    , array([ 0.303714   ,  0.127739   ,  4.24756e-47,  0.00380438 ,  0.00315201 ])
56832   , -51450.2    , array([ 0.304018   ,  0.127739   ,  4.24756e-47,  0.00380438 ,  0.00315201 ])
56833   , -51462.8    , array([ 0.303714   ,  0.127866   ,  4.24756e-47,  0.00380438 ,  0.00315201 ])
56834   , -51446.3    , array([ 0.303714   ,  0.127739   ,  4.25181e-47,  0.00380438 ,  0.00315201 ])
56835   , -51446.3    , array([ 0.303714   ,  0.127739   ,  4.24756e-47,  0.00380819 ,  0.00315201 ])
56836   , -51426      , array([ 0.303714   ,  0.127739   ,  4.24756e-47,  0.00380438 ,  0.00315516 ])
56837   , -51446.3    , array([ 0.303714   ,  0.127739   ,  4.24756e-47,  0.00380438 ,  0.00315201 ])
56838   , -19175.5    , array([ 0.262625   ,  0.0681489  ,  4.24756e-47,  0.00380434 ,  0.0068576  ])
56839   , -19175.5    , array([ 0.262625   ,  0.0681489  ,  4.24756e-47,  0.00380434 ,  0.0068576  ])
56840   , -19176.8    , array([ 0.262888   ,  0.0681489  ,  4.24756e-47,  0.00380434 ,  0.0068576  ])
56841   , -19197.3    , array([ 0.262625   ,  0.0682171  ,  4.24756e-47,  0.00380434 ,  0.0068576  ])
56842   , -19175.5    , array([ 0.262625   ,  0.0681489  ,  4.25181e-47,  0.00380434 ,  0.0068576  ])
56843   , -19175.5    , array([ 0.262625   ,  0.0681489  ,  4.24756e-47,  0.00380815 ,  0.0068576  ])
56844   , -19152.2    , array([ 0.262625   ,  0.0681489  ,  4.24756e-47,  0.00380434 ,  0.00686446 ])
56845   , -363344     , array([ 0.146832   ,  0.00552087 ,  4.24756e-47,  0.00380418 ,  0.153642   ])
56846   , -363344     , array([ 0.146832   ,  0.00552087 ,  4.24756e-47,  0.00380418 ,  0.153642   ])
56847   , -363305     , array([ 0.146979   ,  0.00552087 ,  4.24756e-47,  0.00380418 ,  0.153642   ])
56848   , -363304     , array([ 0.146832   ,  0.00552639 ,  4.24756e-47,  0.00380418 ,  0.153642   ])
56849   , -363344     , array([ 0.146832   ,  0.00552087 ,  4.25181e-47,  0.00380418 ,  0.153642   ])
56850   , -363309     , array([ 0.146832   ,  0.00552087 ,  4.24756e-47,  0.00380799 ,  0.153642   ])
56851   , -363374     , array([ 0.146832   ,  0.00552087 ,  4.24756e-47,  0.00380418 ,  0.153796   ])
56852   , -11761.3    , array([ 0.25317    ,  0.0581604  ,  4.24756e-47,  0.00380433 ,  0.00834316 ])
56853   , -11761.3    , array([ 0.25317    ,  0.0581604  ,  4.24756e-47,  0.00380433 ,  0.00834316 ])
56854   , -11761.2    , array([ 0.253423   ,  0.0581604  ,  4.24756e-47,  0.00380433 ,  0.00834316 ])
56855   , -11779.7    , array([ 0.25317    ,  0.0582185  ,  4.24756e-47,  0.00380433 ,  0.00834316 ])
56856   , -11761.3    , array([ 0.25317    ,  0.0581604  ,  4.25181e-47,  0.00380433 ,  0.00834316 ])
56857   , -11761.3    , array([ 0.25317    ,  0.0581604  ,  4.24756e-47,  0.00380814 ,  0.00834316 ])
56858   , -11742.6    , array([ 0.25317    ,  0.0581604  ,  4.24756e-47,  0.00380433 ,  0.00835151 ])
56859   , -3354.65    , array([ 0.233356   ,  0.0408933  ,  4.24756e-47,  0.00380431 ,  0.0129     ])
56860   , -3354.65    , array([ 0.233356   ,  0.0408933  ,  4.24756e-47,  0.00380431 ,  0.0129     ])
56861   , -3351.48    , array([ 0.23359    ,  0.0408933  ,  4.24756e-47,  0.00380431 ,  0.0129     ])
56862   , -3357.46    , array([ 0.233356   ,  0.0409342  ,  4.24756e-47,  0.00380431 ,  0.0129     ])
56863   , -3354.65    , array([ 0.233356   ,  0.0408933  ,  4.25181e-47,  0.00380431 ,  0.0129     ])
56864   , -3354.65    , array([ 0.233356   ,  0.0408933  ,  4.24756e-47,  0.00380812 ,  0.0129     ])
56865   , -3354.31    , array([ 0.233356   ,  0.0408933  ,  4.24756e-47,  0.00380431 ,  0.0129129  ])
56873   , -3339.03    , array([ 0.234087   ,  0.0408069  ,  4.24756e-47,  0.00380431 ,  0.0128955  ])
56874   , -3339.03    , array([ 0.234087   ,  0.0408069  ,  4.24756e-47,  0.00380431 ,  0.0128955  ])
56875   , -3335.88    , array([ 0.234321   ,  0.0408069  ,  4.24756e-47,  0.00380431 ,  0.0128955  ])
56876   , -3341.79    , array([ 0.234087   ,  0.0408478  ,  4.24756e-47,  0.00380431 ,  0.0128955  ])
56877   , -3339.03    , array([ 0.234087   ,  0.0408069  ,  4.25181e-47,  0.00380431 ,  0.0128955  ])
56878   , -3339.03    , array([ 0.234087   ,  0.0408069  ,  4.24756e-47,  0.00380812 ,  0.0128955  ])
56879   , -3338.71    , array([ 0.234087   ,  0.0408069  ,  4.24756e-47,  0.00380431 ,  0.0129084  ])
56880   , -2500.38    , array([ 0.323267   ,  0.0327995  ,  4.24756e-47,  0.00380427 ,  0.0124336  ])
56881   , -2500.38    , array([ 0.323267   ,  0.0327995  ,  4.24756e-47,  0.00380427 ,  0.0124336  ])
56882   , -2498.82    , array([ 0.323591   ,  0.0327995  ,  4.24756e-47,  0.00380427 ,  0.0124336  ])
56883   , -2498       , array([ 0.323267   ,  0.0328324  ,  4.24756e-47,  0.00380427 ,  0.0124336  ])
56884   , -2500.38    , array([ 0.323267   ,  0.0327995  ,  4.25181e-47,  0.00380427 ,  0.0124336  ])
56885   , -2500.38    , array([ 0.323267   ,  0.0327995  ,  4.24756e-47,  0.00380808 ,  0.0124336  ])
56886   , -2503.68    , array([ 0.323267   ,  0.0327995  ,  4.24756e-47,  0.00380427 ,  0.012446   ])
56887   , -16951.2    , array([ 6.76985    ,  0.809324   ,  4.24756e-47,  0.00382278 ,  0.316664   ])
56888   , -16951.2    , array([ 6.76985    ,  0.809324   ,  4.24756e-47,  0.00382278 ,  0.316664   ])
56889   , -16954.1    , array([ 6.77663    ,  0.809324   ,  4.24756e-47,  0.00382278 ,  0.316664   ])
