77984   , -79089.4    , array([ 2.58584    ,  0.0371842  ,  7.02612e-06,  5.65536e-26,  2.36054e-09])
77985   , -79089.4    , array([ 2.58843    ,  0.0371842  ,  7.02612e-06,  5.65536e-26,  2.36054e-09])
77986   , -79089.4    , array([ 2.58584    ,  0.0372214  ,  7.02612e-06,  5.65536e-26,  2.36054e-09])
77987   , -79089.4    , array([ 2.58584    ,  0.0371842  ,  7.03314e-06,  5.65536e-26,  2.36054e-09])
77988   , -79089.4    , array([ 2.58584    ,  0.0371842  ,  7.02612e-06,  5.66102e-26,  2.36054e-09])
77989   , -79089.4    , array([ 2.58584    ,  0.0371842  ,  7.02612e-06,  5.65536e-26,  2.3629e-09 ])
77990   , -79089.4    , array([ 2.58584    ,  0.0371842  ,  7.02612e-06,  5.65536e-26,  2.36054e-09])
77991   , -79089.4    , array([ 2.58396    ,  0.0345128  ,  7.02612e-06,  5.65536e-26,  2.5454e-09 ])
77992   , -79089.4    , array([ 2.58396    ,  0.0345128  ,  7.02612e-06,  5.65536e-26,  2.5454e-09 ])
77993   , -79089.4    , array([ 2.58654    ,  0.0345128  ,  7.02612e-06,  5.65536e-26,  2.5454e-09 ])
77994   , -79089.4    , array([ 2.58396    ,  0.0345474  ,  7.02612e-06,  5.65536e-26,  2.5454e-09 ])
77995   , -79089.4    , array([ 2.58396    ,  0.0345128  ,  7.03314e-06,  5.65536e-26,  2.5454e-09 ])
77996   , -79089.4    , array([ 2.58396    ,  0.0345128  ,  7.02612e-06,  5.66102e-26,  2.5454e-09 ])
77997   , -79089.4    , array([ 2.58396    ,  0.0345128  ,  7.02612e-06,  5.65536e-26,  2.54794e-09])
77998   , -79089.3    , array([ 2.57643    ,  0.0256136  ,  7.02612e-06,  5.65536e-26,  3.44137e-09])
77999   , -79089.3    , array([ 2.57643    ,  0.0256136  ,  7.02612e-06,  5.65536e-26,  3.44137e-09])
