89589   , -4442.62    , array([ 0.149592   ,  0.0319222  ,  2.72866e-32,  1.14883e-47,  0.0107639  ])
89590   , -4437.54    , array([ 0.149741   ,  0.0319222  ,  2.72866e-32,  1.14883e-47,  0.0107639  ])
89591   , -4443.72    , array([ 0.149592   ,  0.0319541  ,  2.72866e-32,  1.14883e-47,  0.0107639  ])
89592   , -4442.62    , array([ 0.149592   ,  0.0319222  ,  2.73139e-32,  1.14883e-47,  0.0107639  ])
89593   , -4442.62    , array([ 0.149592   ,  0.0319222  ,  2.72866e-32,  1.14997e-47,  0.0107639  ])
89594   , -4445.81    , array([ 0.149592   ,  0.0319222  ,  2.72866e-32,  1.14883e-47,  0.0107746  ])
89595   , -4442.62    , array([ 0.149592   ,  0.0319222  ,  2.72866e-32,  1.14883e-47,  0.0107639  ])
89596   , -4154.15    , array([ 0.346982   ,  0.0266068  ,  2.72866e-32,  1.14883e-47,  0.00634682 ])
89597   , -4154.15    , array([ 0.346982   ,  0.0266068  ,  2.72866e-32,  1.14883e-47,  0.00634682 ])
89598   , -4154.06    , array([ 0.347329   ,  0.0266068  ,  2.72866e-32,  1.14883e-47,  0.00634682 ])
89599   , -4164.42    , array([ 0.346982   ,  0.0266334  ,  2.72866e-32,  1.14883e-47,  0.00634682 ])
89600   , -4154.15    , array([ 0.346982   ,  0.0266068  ,  2.73139e-32,  1.14883e-47,  0.00634682 ])
89601   , -4154.15    , array([ 0.346982   ,  0.0266068  ,  2.72866e-32,  1.14997e-47,  0.00634682 ])
89602   , -4143.72    , array([ 0.346982   ,  0.0266068  ,  2.72866e-32,  1.14883e-47,  0.00635317 ])
89603   , -3610.57    , array([ 0.380944   ,  0.0248849  ,  2.72866e-32,  1.14883e-47,  0.00627826 ])
89604   , -3610.57    , array([ 0.380944   ,  0.0248849  ,  2.72866e-32,  1.14883e-47,  0.00627826 ])
89605   , -3610.51    , array([ 0.381325   ,  0.0248849  ,  2.72866e-32,  1.14883e-47,  0.00627826 ])
89606   , -3619.53    , array([ 0.380944   ,  0.0249098  ,  2.72866e-32,  1.14883e-47,  0.00627826 ])
89607   , -3610.57    , array([ 0.380944   ,  0.0248849  ,  2.73139e-32,  1.14883e-47,  0.00627826 ])
89608   , -3610.57    , array([ 0.380944   ,  0.0248849  ,  2.72866e-32,  1.14997e-47,  0.00627826 ])
89609   , -3601.41    , array([ 0.380944   ,  0.0248849  ,  2.72866e-32,  1.14883e-47,  0.00628454 ])
89610   , -11365.8    , array([ 7.45445    ,  0.637263   ,  2.72866e-32,  1.14883e-47,  0.165877   ])
89611   , -11365.8    , array([ 7.45445    ,  0.637263   ,  2.72866e-32,  1.14883e-47,  0.165877   ])
89612   , -11368      , array([ 7.46191    ,  0.637263   ,  2.72866e-32,  1.14883e-47,  0.165877   ])
89613   , -11376.6    , array([ 7.45445    ,  0.637901   ,  2.72866e-32,  1.14883e-47,  0.165877   ])
89614   , -11365.8    , array([ 7.45445    ,  0.637263   ,  2.73139e-32,  1.14883e-47,  0.165877   ])
89615   , -11365.8    , array([ 7.45445    ,  0.637263   ,  2.72866e-32,  1.14997e-47,  0.165877   ])
89616   , -11365.1    , array([ 7.45445    ,  0.637263   ,  2.72866e-32,  1.14883e-47,  0.166043   ])
89617   , -3306.17    , array([ 0.804677   ,  0.0562435  ,  2.72866e-32,  1.14883e-47,  0.0143017  ])
89618   , -3306.17    , array([ 0.804677   ,  0.0562435  ,  2.72866e-32,  1.14883e-47,  0.0143017  ])
89619   , -3306.18    , array([ 0.805482   ,  0.0562435  ,  2.72866e-32,  1.14883e-47,  0.0143017  ])
89620   , -3315.23    , array([ 0.804677   ,  0.0562998  ,  2.72866e-32,  1.14883e-47,  0.0143017  ])
89621   , -3306.17    , array([ 0.804677   ,  0.0562435  ,  2.73139e-32,  1.14883e-47,  0.0143017  ])
89622   , -3306.17    , array([ 0.804677   ,  0.0562435  ,  2.72866e-32,  1.14997e-47,  0.0143017  ])
89623   , -3296.9     , array([ 0.804677   ,  0.0562435  ,  2.72866e-32,  1.14883e-47,  0.014316   ])
89624   , -2833.64    , array([ 1.4817     ,  0.0978007  ,  2.72866e-32,  1.14883e-47,  0.0262607  ])
89625   , -2833.64    , array([ 1.4817     ,  0.0978007  ,  2.72866e-32,  1.14883e-47,  0.0262607  ])
89626   , -2833.8     , array([ 1.48318    ,  0.0978007  ,  2.72866e-32,  1.14883e-47,  0.0262607  ])
89627   , -2841.72    , array([ 1.4817     ,  0.0978985  ,  2.72866e-32,  1.14883e-47,  0.0262607  ])
89628   , -2833.64    , array([ 1.4817     ,  0.0978007  ,  2.73139e-32,  1.14883e-47,  0.0262607  ])
89629   , -2833.64    , array([ 1.4817     ,  0.0978007  ,  2.72866e-32,  1.14997e-47,  0.0262607  ])
89630   , -2825.74    , array([ 1.4817     ,  0.0978007  ,  2.72866e-32,  1.14883e-47,  0.026287   ])
89631   , -2083.77    , array([ 1.47011    ,  0.0710252  ,  2.72866e-32,  1.14883e-47,  0.0213516  ])
89632   , -2083.77    , array([ 1.47011    ,  0.0710252  ,  2.72866e-32,  1.14883e-47,  0.0213516  ])
89633   , -2083.88    , array([ 1.47158    ,  0.0710252  ,  2.72866e-32,  1.14883e-47,  0.0213516  ])
89634   , -2088.8     , array([ 1.47011    ,  0.0710962  ,  2.72866e-32,  1.14883e-47,  0.0213516  ])
89635   , -2083.77    , array([ 1.47011    ,  0.0710252  ,  2.73139e-32,  1.14883e-47,  0.0213516  ])
89636   , -2083.77    , array([ 1.47011    ,  0.0710252  ,  2.72866e-32,  1.14997e-47,  0.0213516  ])
89637   , -2078.68    , array([ 1.47011    ,  0.0710252  ,  2.72866e-32,  1.14883e-47,  0.021373   ])
89638   , -1674.66    , array([ 2.18984    ,  0.0683566  ,  2.72866e-32,  1.14883e-47,  0.0251755  ])
89639   , -1674.66    , array([ 2.18984    ,  0.0683566  ,  2.72866e-32,  1.14883e-47,  0.0251755  ])
89640   , -1674.8     , array([ 2.19203    ,  0.0683566  ,  2.72866e-32,  1.14883e-47,  0.0251755  ])
89641   , -1673.96    , array([ 2.18984    ,  0.068425   ,  2.72866e-32,  1.14883e-47,  0.0251755  ])
89642   , -1674.66    , array([ 2.18984    ,  0.0683566  ,  2.73139e-32,  1.14883e-47,  0.0251755  ])
89643   , -1674.66    , array([ 2.18984    ,  0.0683566  ,  2.72866e-32,  1.14997e-47,  0.0251755  ])
89644   , -1675.37    , array([ 2.18984    ,  0.0683566  ,  2.72866e-32,  1.14883e-47,  0.0252007  ])
89645   , -1654.52    , array([ 1.82387    ,  0.0625417  ,  2.72866e-32,  1.14883e-47,  0.0223101  ])
89646   , -1654.52    , array([ 1.82387    ,  0.0625417  ,  2.72866e-32,  1.14883e-47,  0.0223101  ])
89647   , -1654.62    , array([ 1.8257     ,  0.0625417  ,  2.72866e-32,  1.14883e-47,  0.0223101  ])
89648   , -1654.65    , array([ 1.82387    ,  0.0626043  ,  2.72866e-32,  1.14883e-47,  0.0223101  ])
89649   , -1654.52    , array([ 1.82387    ,  0.0625417  ,  2.73139e-32,  1.14883e-47,  0.0223101  ])
89650   , -1654.52    , array([ 1.82387    ,  0.0625417  ,  2.72866e-32,  1.14997e-47,  0.0223101  ])
89651   , -1654.26    , array([ 1.82387    ,  0.0625417  ,  2.72866e-32,  1.14883e-47,  0.0223324  ])
89652   , -1649.06    , array([ 1.77737    ,  0.0643477  ,  2.72866e-32,  1.14883e-47,  0.0228907  ])
89653   , -1649.06    , array([ 1.77737    ,  0.0643477  ,  2.72866e-32,  1.14883e-47,  0.0228907  ])
