93053   , -79089.4    , array([ 0.0694481  ,  5.43484    ,  1.71888e-66,  0.00140581 ,  4.61707e-11])
93054   , -79089.4    , array([ 0.0695176  ,  5.43484    ,  1.71888e-66,  0.00140581 ,  4.61707e-11])
93055   , -79089.4    , array([ 0.0694481  ,  5.44028    ,  1.71888e-66,  0.00140581 ,  4.61707e-11])
93056   , -79089.4    , array([ 0.0694481  ,  5.43484    ,  1.7206e-66 ,  0.00140581 ,  4.61707e-11])
93057   , -79089.4    , array([ 0.0694481  ,  5.43484    ,  1.71888e-66,  0.00140722 ,  4.61707e-11])
93058   , -79089.4    , array([ 0.0694481  ,  5.43484    ,  1.71888e-66,  0.00140581 ,  4.62169e-11])
93059   , -79089.4    , array([ 0.0694481  ,  5.43484    ,  1.71888e-66,  0.00140581 ,  4.61707e-11])
93060   , -79089.4    , array([ 0.0694112  ,  5.43479    ,  1.71888e-66,  0.00140581 ,  4.61958e-11])
93061   , -79089.4    , array([ 0.0694112  ,  5.43479    ,  1.71888e-66,  0.00140581 ,  4.61958e-11])
93062   , -79089.4    , array([ 0.0694807  ,  5.43479    ,  1.71888e-66,  0.00140581 ,  4.61958e-11])
93063   , -79089.4    , array([ 0.0694112  ,  5.44022    ,  1.71888e-66,  0.00140581 ,  4.61958e-11])
93064   , -79089.4    , array([ 0.0694112  ,  5.43479    ,  1.7206e-66 ,  0.00140581 ,  4.61958e-11])
93065   , -79089.4    , array([ 0.0694112  ,  5.43479    ,  1.71888e-66,  0.00140722 ,  4.61958e-11])
93066   , -79089.4    , array([ 0.0694112  ,  5.43479    ,  1.71888e-66,  0.00140581 ,  4.6242e-11 ])
93067   , -79089.4    , array([ 0.069264   ,  5.43457    ,  1.71888e-66,  0.00140581 ,  4.6296e-11 ])
93068   , -79089.4    , array([ 0.069264   ,  5.43457    ,  1.71888e-66,  0.00140581 ,  4.6296e-11 ])
93069   , -79089.4    , array([ 0.0693333  ,  5.43457    ,  1.71888e-66,  0.00140581 ,  4.6296e-11 ])
93070   , -79089.4    , array([ 0.069264   ,  5.44001    ,  1.71888e-66,  0.00140581 ,  4.6296e-11 ])
93071   , -79089.4    , array([ 0.069264   ,  5.43457    ,  1.7206e-66 ,  0.00140581 ,  4.6296e-11 ])
93072   , -79089.4    , array([ 0.069264   ,  5.43457    ,  1.71888e-66,  0.00140722 ,  4.6296e-11 ])
93073   , -79089.4    , array([ 0.069264   ,  5.43457    ,  1.71888e-66,  0.00140581 ,  4.63423e-11])
93074   , -79089.4    , array([ 0.0686784  ,  5.43372    ,  1.71888e-66,  0.00140581 ,  4.66992e-11])
93075   , -79089.4    , array([ 0.0686784  ,  5.43372    ,  1.71888e-66,  0.00140581 ,  4.66992e-11])
93076   , -79089.4    , array([ 0.0687471  ,  5.43372    ,  1.71888e-66,  0.00140581 ,  4.66992e-11])
93077   , -79089.4    , array([ 0.0686784  ,  5.43916    ,  1.71888e-66,  0.00140581 ,  4.66992e-11])
93078   , -79089.4    , array([ 0.0686784  ,  5.43372    ,  1.7206e-66 ,  0.00140581 ,  4.66992e-11])
93079   , -79089.4    , array([ 0.0686784  ,  5.43372    ,  1.71888e-66,  0.00140722 ,  4.66992e-11])
93080   , -79089.4    , array([ 0.0686784  ,  5.43372    ,  1.71888e-66,  0.00140581 ,  4.6746e-11 ])
93081   , -79089.4    , array([ 0.066385   ,  5.43031    ,  1.71888e-66,  0.00140581 ,  4.83476e-11])
93082   , -79089.4    , array([ 0.066385   ,  5.43031    ,  1.71888e-66,  0.00140581 ,  4.83476e-11])
93083   , -79089.4    , array([ 0.0664514  ,  5.43031    ,  1.71888e-66,  0.00140581 ,  4.83476e-11])
93084   , -79089.4    , array([ 0.066385   ,  5.43574    ,  1.71888e-66,  0.00140581 ,  4.83476e-11])
93085   , -79089.4    , array([ 0.066385   ,  5.43031    ,  1.7206e-66 ,  0.00140581 ,  4.83476e-11])
93086   , -79089.4    , array([ 0.066385   ,  5.43031    ,  1.71888e-66,  0.00140722 ,  4.83476e-11])
93087   , -79089.4    , array([ 0.066385   ,  5.43031    ,  1.71888e-66,  0.00140581 ,  4.83959e-11])
93088   , -79089.4    , array([ 0.0579519  ,  5.41669    ,  1.71888e-66,  0.00140581 ,  5.55436e-11])
93089   , -79089.4    , array([ 0.0579519  ,  5.41669    ,  1.71888e-66,  0.00140581 ,  5.55436e-11])
93090   , -79089.4    , array([ 0.0580098  ,  5.41669    ,  1.71888e-66,  0.00140581 ,  5.55436e-11])
93091   , -79089.4    , array([ 0.0579519  ,  5.42211    ,  1.71888e-66,  0.00140581 ,  5.55436e-11])
93092   , -79089.4    , array([ 0.0579519  ,  5.41669    ,  1.7206e-66 ,  0.00140581 ,  5.55436e-11])
93093   , -79089.4    , array([ 0.0579519  ,  5.41669    ,  1.71888e-66,  0.00140721 ,  5.55436e-11])
93094   , -79089.4    , array([ 0.0579519  ,  5.41669    ,  1.71888e-66,  0.00140581 ,  5.55992e-11])
93095   , -79089.4    , array([ 0.0336557  ,  5.36256    ,  1.71888e-66,  0.00140578 ,  9.67545e-11])
93096   , -79089.4    , array([ 0.0336557  ,  5.36256    ,  1.71888e-66,  0.00140578 ,  9.67545e-11])
