105575  , -79089      , array([ 0.653166   ,  0.00162536 ,  5.39056e-27,  6.96448e-14,  6.35372e-10])
105576  , -79089      , array([ 0.65382    ,  0.00162536 ,  5.39056e-27,  6.96448e-14,  6.35372e-10])
105577  , -79089      , array([ 0.653166   ,  0.00162699 ,  5.39056e-27,  6.96448e-14,  6.35372e-10])
105578  , -79089      , array([ 0.653166   ,  0.00162536 ,  5.39595e-27,  6.96448e-14,  6.35372e-10])
105579  , -79089      , array([ 0.653166   ,  0.00162536 ,  5.39056e-27,  6.97144e-14,  6.35372e-10])
105580  , -79089      , array([ 0.653166   ,  0.00162536 ,  5.39056e-27,  6.96448e-14,  6.36007e-10])
105581  , -79089      , array([ 0.653166   ,  0.00162536 ,  5.39056e-27,  6.96448e-14,  6.35372e-10])
105582  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105583  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105584  , -79088.3    , array([ 0.653312   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105585  , -79088.3    , array([ 0.652659   ,  0.00102805 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105586  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39595e-27,  6.96448e-14,  1.0068e-09 ])
105587  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.97144e-14,  1.0068e-09 ])
105588  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.00781e-09])
105596  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105597  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105598  , -79088.3    , array([ 0.653312   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105599  , -79088.3    , array([ 0.652659   ,  0.00102805 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105600  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39595e-27,  6.96448e-14,  1.0068e-09 ])
105601  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.97144e-14,  1.0068e-09 ])
105602  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.00781e-09])
105603  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105604  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105605  , -79088.3    , array([ 0.653312   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105606  , -79088.3    , array([ 0.652659   ,  0.00102805 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105607  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39595e-27,  6.96448e-14,  1.0068e-09 ])
105608  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.97144e-14,  1.0068e-09 ])
105609  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.00781e-09])
105617  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105618  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105619  , -79088.3    , array([ 0.653312   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105620  , -79088.3    , array([ 0.652659   ,  0.00102805 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105621  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39595e-27,  6.96448e-14,  1.0068e-09 ])
105622  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.97144e-14,  1.0068e-09 ])
105623  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.00781e-09])
105624  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105625  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105626  , -79088.3    , array([ 0.653312   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105627  , -79088.3    , array([ 0.652659   ,  0.00102805 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105628  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39595e-27,  6.96448e-14,  1.0068e-09 ])
105629  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.97144e-14,  1.0068e-09 ])
105630  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.00781e-09])
105638  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105639  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105640  , -79088.3    , array([ 0.653312   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105641  , -79088.3    , array([ 0.652659   ,  0.00102805 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105642  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39595e-27,  6.96448e-14,  1.0068e-09 ])
105643  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.97144e-14,  1.0068e-09 ])
105644  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.00781e-09])
105645  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105646  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105647  , -79088.3    , array([ 0.653312   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105648  , -79088.3    , array([ 0.652659   ,  0.00102805 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105649  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39595e-27,  6.96448e-14,  1.0068e-09 ])
105650  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.97144e-14,  1.0068e-09 ])
105651  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.00781e-09])
105659  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105660  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105661  , -79088.3    , array([ 0.653312   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105662  , -79088.3    , array([ 0.652659   ,  0.00102805 ,  5.39056e-27,  6.96448e-14,  1.0068e-09 ])
105663  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39595e-27,  6.96448e-14,  1.0068e-09 ])
105664  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.97144e-14,  1.0068e-09 ])
105665  , -79088.3    , array([ 0.652659   ,  0.00102702 ,  5.39056e-27,  6.96448e-14,  1.00781e-09])
105666  , -79088.3    , array([ 0.652652   ,  0.00102042 ,  5.39056e-27,  6.96448e-14,  1.01332e-09])
105667  , -79088.3    , array([ 0.652652   ,  0.00102042 ,  5.39056e-27,  6.96448e-14,  1.01332e-09])
105668  , -79088.3    , array([ 0.653305   ,  0.00102042 ,  5.39056e-27,  6.96448e-14,  1.01332e-09])
105669  , -79088.3    , array([ 0.652652   ,  0.00102145 ,  5.39056e-27,  6.96448e-14,  1.01332e-09])
105670  , -79088.3    , array([ 0.652652   ,  0.00102042 ,  5.39595e-27,  6.96448e-14,  1.01332e-09])
105671  , -79088.3    , array([ 0.652652   ,  0.00102042 ,  5.39056e-27,  6.97144e-14,  1.01332e-09])
105672  , -79088.3    , array([ 0.652652   ,  0.00102042 ,  5.39056e-27,  6.96448e-14,  1.01433e-09])
105680  , -79088.3    , array([ 0.652652   ,  0.00102042 ,  5.39056e-27,  6.96448e-14,  1.01332e-09])
105681  , -79088.3    , array([ 0.652652   ,  0.00102042 ,  5.39056e-27,  6.96448e-14,  1.01332e-09])
105682  , -79088.3    , array([ 0.653305   ,  0.00102042 ,  5.39056e-27,  6.96448e-14,  1.01332e-09])
105683  , -79088.3    , array([ 0.652652   ,  0.00102145 ,  5.39056e-27,  6.96448e-14,  1.01332e-09])
105684  , -79088.3    , array([ 0.652652   ,  0.00102042 ,  5.39595e-27,  6.96448e-14,  1.01332e-09])
105685  , -79088.3    , array([ 0.652652   ,  0.00102042 ,  5.39056e-27,  6.97144e-14,  1.01332e-09])
