112417  , -9726.44    , array([ 6.4609     ,  0.319012   ,  6.70604e-06,  0.00142942 ,  0.16204    ])
112418  , -9727.96    , array([ 6.46737    ,  0.319012   ,  6.70604e-06,  0.00142942 ,  0.16204    ])
112419  , -9718.16    , array([ 6.4609     ,  0.319331   ,  6.70604e-06,  0.00142942 ,  0.16204    ])
112420  , -9726.44    , array([ 6.4609     ,  0.319012   ,  6.71275e-06,  0.00142942 ,  0.16204    ])
112421  , -9726.43    , array([ 6.4609     ,  0.319012   ,  6.70604e-06,  0.00143085 ,  0.16204    ])
112422  , -9743.77    , array([ 6.4609     ,  0.319012   ,  6.70604e-06,  0.00142942 ,  0.162202   ])
112423  , -9726.44    , array([ 6.4609     ,  0.319012   ,  6.70604e-06,  0.00142942 ,  0.16204    ])
112424  , -16613.1    , array([ 5.96643    ,  0.492347   ,  6.70605e-06,  0.0014298  ,  0.0653203  ])
112425  , -16613.1    , array([ 5.96643    ,  0.492347   ,  6.70605e-06,  0.0014298  ,  0.0653203  ])
112426  , -16614.7    , array([ 5.9724     ,  0.492347   ,  6.70605e-06,  0.0014298  ,  0.0653203  ])
112427  , -16635.6    , array([ 5.96643    ,  0.49284    ,  6.70605e-06,  0.0014298  ,  0.0653203  ])
112428  , -16613.1    , array([ 5.96643    ,  0.492347   ,  6.71276e-06,  0.0014298  ,  0.0653203  ])
112429  , -16613.1    , array([ 5.96643    ,  0.492347   ,  6.70605e-06,  0.00143123 ,  0.0653203  ])
112430  , -16593.9    , array([ 5.96643    ,  0.492347   ,  6.70605e-06,  0.0014298  ,  0.0653856  ])
112431  , -6540.76    , array([ 6.29311    ,  0.368207   ,  6.70605e-06,  0.00142955 ,  0.12001    ])
112432  , -6540.76    , array([ 6.29311    ,  0.368207   ,  6.70605e-06,  0.00142955 ,  0.12001    ])
112433  , -6542.05    , array([ 6.29941    ,  0.368207   ,  6.70605e-06,  0.00142955 ,  0.12001    ])
112434  , -6545.49    , array([ 6.29311    ,  0.368575   ,  6.70605e-06,  0.00142955 ,  0.12001    ])
112435  , -6540.76    , array([ 6.29311    ,  0.368207   ,  6.71276e-06,  0.00142955 ,  0.12001    ])
112436  , -6540.76    , array([ 6.29311    ,  0.368207   ,  6.70605e-06,  0.00143098 ,  0.12001    ])
112437  , -6543.21    , array([ 6.29311    ,  0.368207   ,  6.70605e-06,  0.00142955 ,  0.120131   ])
112438  , -2577.7     , array([ 4.68314    ,  0.15215    ,  6.70606e-06,  0.00142949 ,  0.0557058  ])
112439  , -2577.7     , array([ 4.68314    ,  0.15215    ,  6.70606e-06,  0.00142949 ,  0.0557058  ])
112440  , -2578.15    , array([ 4.68783    ,  0.15215    ,  6.70606e-06,  0.00142949 ,  0.0557058  ])
112441  , -2578.16    , array([ 4.68314    ,  0.152302   ,  6.70606e-06,  0.00142949 ,  0.0557058  ])
112442  , -2577.7     , array([ 4.68314    ,  0.15215    ,  6.71277e-06,  0.00142949 ,  0.0557058  ])
112443  , -2577.7     , array([ 4.68314    ,  0.15215    ,  6.70606e-06,  0.00143092 ,  0.0557058  ])
112444  , -2579.51    , array([ 4.68314    ,  0.15215    ,  6.70606e-06,  0.00142949 ,  0.0557615  ])
112452  , -2577.67    , array([ 4.68106    ,  0.152162   ,  6.70606e-06,  0.00142949 ,  0.0557098  ])
112453  , -2577.67    , array([ 4.68106    ,  0.152162   ,  6.70606e-06,  0.00142949 ,  0.0557098  ])
112454  , -2578.11    , array([ 4.68574    ,  0.152162   ,  6.70606e-06,  0.00142949 ,  0.0557098  ])
112455  , -2578.13    , array([ 4.68106    ,  0.152314   ,  6.70606e-06,  0.00142949 ,  0.0557098  ])
112456  , -2577.67    , array([ 4.68106    ,  0.152162   ,  6.71277e-06,  0.00142949 ,  0.0557098  ])
112457  , -2577.67    , array([ 4.68106    ,  0.152162   ,  6.70606e-06,  0.00143092 ,  0.0557098  ])
112458  , -2579.48    , array([ 4.68106    ,  0.152162   ,  6.70606e-06,  0.00142949 ,  0.0557655  ])
112459  , -2577.63    , array([ 4.67897    ,  0.152173   ,  6.70606e-06,  0.00142949 ,  0.0557137  ])
112460  , -2577.63    , array([ 4.67897    ,  0.152173   ,  6.70606e-06,  0.00142949 ,  0.0557137  ])
112461  , -2578.07    , array([ 4.68365    ,  0.152173   ,  6.70606e-06,  0.00142949 ,  0.0557137  ])
112462  , -2578.09    , array([ 4.67897    ,  0.152325   ,  6.70606e-06,  0.00142949 ,  0.0557137  ])
112463  , -2577.63    , array([ 4.67897    ,  0.152173   ,  6.71277e-06,  0.00142949 ,  0.0557137  ])
112464  , -2577.63    , array([ 4.67897    ,  0.152173   ,  6.70606e-06,  0.00143092 ,  0.0557137  ])
112465  , -2579.44    , array([ 4.67897    ,  0.152173   ,  6.70606e-06,  0.00142949 ,  0.0557695  ])
