119580  , -79088.1    , array([ 0.184946   ,  0.0351171  ,  4.03025e-86,  6.95884e-24,  3.45797e-08])
119581  , -79088.1    , array([ 0.185131   ,  0.0351171  ,  4.03025e-86,  6.95884e-24,  3.45797e-08])
119582  , -79088.1    , array([ 0.184946   ,  0.0351522  ,  4.03025e-86,  6.95884e-24,  3.45797e-08])
119583  , -79088.1    , array([ 0.184946   ,  0.0351171  ,  4.03428e-86,  6.95884e-24,  3.45797e-08])
119584  , -79088.1    , array([ 0.184946   ,  0.0351171  ,  4.03025e-86,  6.9658e-24 ,  3.45797e-08])
119585  , -79088.1    , array([ 0.184946   ,  0.0351171  ,  4.03025e-86,  6.95884e-24,  3.46143e-08])
119586  , -79088.1    , array([ 0.184946   ,  0.0351171  ,  4.03025e-86,  6.95884e-24,  3.45797e-08])
119587  , -79084.3    , array([ 0.169698   ,  0.0180294  ,  4.03025e-86,  6.95884e-24,  7.34846e-08])
119588  , -79084.3    , array([ 0.169698   ,  0.0180294  ,  4.03025e-86,  6.95884e-24,  7.34846e-08])
119589  , -79084.3    , array([ 0.169868   ,  0.0180294  ,  4.03025e-86,  6.95884e-24,  7.34846e-08])
119590  , -79084.3    , array([ 0.169698   ,  0.0180474  ,  4.03025e-86,  6.95884e-24,  7.34846e-08])
119591  , -79084.3    , array([ 0.169698   ,  0.0180294  ,  4.03428e-86,  6.95884e-24,  7.34846e-08])
119592  , -79084.3    , array([ 0.169698   ,  0.0180294  ,  4.03025e-86,  6.9658e-24 ,  7.34846e-08])
119593  , -79084.3    , array([ 0.169698   ,  0.0180294  ,  4.03025e-86,  6.95884e-24,  7.35581e-08])
119594  , -77690.8    , array([ 0.120284   ,  0.00125266 ,  4.03025e-86,  6.95884e-24,  1.49864e-06])
119595  , -77690.8    , array([ 0.120284   ,  0.00125266 ,  4.03025e-86,  6.95884e-24,  1.49864e-06])
119596  , -77690.8    , array([ 0.120404   ,  0.00125266 ,  4.03025e-86,  6.95884e-24,  1.49864e-06])
119597  , -77692.2    , array([ 0.120284   ,  0.00125391 ,  4.03025e-86,  6.95884e-24,  1.49864e-06])
119598  , -77690.8    , array([ 0.120284   ,  0.00125266 ,  4.03428e-86,  6.95884e-24,  1.49864e-06])
119599  , -77690.8    , array([ 0.120284   ,  0.00125266 ,  4.03025e-86,  6.9658e-24 ,  1.49864e-06])
119600  , -77689.4    , array([ 0.120284   ,  0.00125266 ,  4.03025e-86,  6.95884e-24,  1.50014e-06])
119608  , -77689.2    , array([ 0.120275   ,  0.00125196 ,  4.03025e-86,  6.95884e-24,  1.49959e-06])
