125306  , -13638      , array([ 0.341942   ,  0.190489   ,  4.64928e-44,  3.72334e-57,  0.0252726  ])
125307  , -13634.6    , array([ 0.342284   ,  0.190489   ,  4.64928e-44,  3.72334e-57,  0.0252726  ])
125308  , -13654.7    , array([ 0.341942   ,  0.190679   ,  4.64928e-44,  3.72334e-57,  0.0252726  ])
125309  , -13638      , array([ 0.341942   ,  0.190489   ,  4.65393e-44,  3.72334e-57,  0.0252726  ])
125310  , -13638      , array([ 0.341942   ,  0.190489   ,  4.64928e-44,  3.72707e-57,  0.0252726  ])
125311  , -13623.9    , array([ 0.341942   ,  0.190489   ,  4.64928e-44,  3.72334e-57,  0.0252979  ])
125312  , -13638      , array([ 0.341942   ,  0.190489   ,  4.64928e-44,  3.72334e-57,  0.0252726  ])
125313  , -8482.37    , array([ 0.398925   ,  0.0888685  ,  4.64928e-44,  3.72334e-57,  0.0481323  ])
125314  , -8482.37    , array([ 0.398925   ,  0.0888685  ,  4.64928e-44,  3.72334e-57,  0.0481323  ])
125315  , -8474.44    , array([ 0.399325   ,  0.0888685  ,  4.64928e-44,  3.72334e-57,  0.0481323  ])
125316  , -8471.44    , array([ 0.398925   ,  0.0889575  ,  4.64928e-44,  3.72334e-57,  0.0481323  ])
125317  , -8482.37    , array([ 0.398925   ,  0.0888685  ,  4.65393e-44,  3.72334e-57,  0.0481323  ])
125318  , -8482.37    , array([ 0.398925   ,  0.0888685  ,  4.64928e-44,  3.72707e-57,  0.0481323  ])
125319  , -8500.29    , array([ 0.398925   ,  0.0888685  ,  4.64928e-44,  3.72334e-57,  0.0481805  ])
125320  , -9524.78    , array([ 1.52215    ,  0.0435995  ,  4.64928e-44,  3.72334e-57,  0.0315336  ])
125321  , -9524.78    , array([ 1.52215    ,  0.0435995  ,  4.64928e-44,  3.72334e-57,  0.0315336  ])
125322  , -9524.75    , array([ 1.52367    ,  0.0435995  ,  4.64928e-44,  3.72334e-57,  0.0315336  ])
125323  , -9501.45    , array([ 1.52215    ,  0.0436431  ,  4.64928e-44,  3.72334e-57,  0.0315336  ])
125324  , -9524.78    , array([ 1.52215    ,  0.0435995  ,  4.65393e-44,  3.72334e-57,  0.0315336  ])
125325  , -9524.78    , array([ 1.52215    ,  0.0435995  ,  4.64928e-44,  3.72707e-57,  0.0315336  ])
125326  , -9547.64    , array([ 1.52215    ,  0.0435995  ,  4.64928e-44,  3.72334e-57,  0.0315651  ])
125327  , -6836.75    , array([ 0.658611   ,  0.0680705  ,  4.64928e-44,  3.72334e-57,  0.0410841  ])
125328  , -6836.75    , array([ 0.658611   ,  0.0680705  ,  4.64928e-44,  3.72334e-57,  0.0410841  ])
125329  , -6834.19    , array([ 0.65927    ,  0.0680705  ,  4.64928e-44,  3.72334e-57,  0.0410841  ])
125330  , -6820.88    , array([ 0.658611   ,  0.0681386  ,  4.64928e-44,  3.72334e-57,  0.0410841  ])
125331  , -6836.75    , array([ 0.658611   ,  0.0680705  ,  4.65393e-44,  3.72334e-57,  0.0410841  ])
125332  , -6836.75    , array([ 0.658611   ,  0.0680705  ,  4.64928e-44,  3.72707e-57,  0.0410841  ])
125333  , -6854.71    , array([ 0.658611   ,  0.0680705  ,  4.64928e-44,  3.72334e-57,  0.0411252  ])
125341  , -6836.73    , array([ 0.658635   ,  0.0680732  ,  4.64928e-44,  3.72334e-57,  0.0410856  ])
125342  , -6836.73    , array([ 0.658635   ,  0.0680732  ,  4.64928e-44,  3.72334e-57,  0.0410856  ])
125343  , -6834.17    , array([ 0.659294   ,  0.0680732  ,  4.64928e-44,  3.72334e-57,  0.0410856  ])
125344  , -6820.86    , array([ 0.658635   ,  0.0681413  ,  4.64928e-44,  3.72334e-57,  0.0410856  ])
125345  , -6836.73    , array([ 0.658635   ,  0.0680732  ,  4.65393e-44,  3.72334e-57,  0.0410856  ])
125346  , -6836.73    , array([ 0.658635   ,  0.0680732  ,  4.64928e-44,  3.72707e-57,  0.0410856  ])
125347  , -6854.69    , array([ 0.658635   ,  0.0680732  ,  4.64928e-44,  3.72334e-57,  0.0411267  ])
125348  , -6836.71    , array([ 0.65866    ,  0.068076   ,  4.64928e-44,  3.72334e-57,  0.0410873  ])
125349  , -6836.71    , array([ 0.65866    ,  0.068076   ,  4.64928e-44,  3.72334e-57,  0.0410873  ])
125350  , -6834.15    , array([ 0.659319   ,  0.068076   ,  4.64928e-44,  3.72334e-57,  0.0410873  ])
125351  , -6820.84    , array([ 0.65866    ,  0.0681441  ,  4.64928e-44,  3.72334e-57,  0.0410873  ])
125352  , -6836.71    , array([ 0.65866    ,  0.068076   ,  4.65393e-44,  3.72334e-57,  0.0410873  ])
125353  , -6836.71    , array([ 0.65866    ,  0.068076   ,  4.64928e-44,  3.72707e-57,  0.0410873  ])
125354  , -6854.67    , array([ 0.65866    ,  0.068076   ,  4.64928e-44,  3.72334e-57,  0.0411284  ])
125355  , -52879.7    , array([ 16.3517    ,  2.30901    ,  4.64928e-44,  3.72334e-57,  1.32898    ])
125356  , -52879.7    , array([ 16.3517    ,  2.30901    ,  4.64928e-44,  3.72334e-57,  1.32898    ])
125357  , -52886      , array([ 16.368     ,  2.30901    ,  4.64928e-44,  3.72334e-57,  1.32898    ])
125358  , -52870.3    , array([ 16.3517    ,  2.31132    ,  4.64928e-44,  3.72334e-57,  1.32898    ])
125359  , -52879.7    , array([ 16.3517    ,  2.30901    ,  4.65393e-44,  3.72334e-57,  1.32898    ])
125360  , -52879.7    , array([ 16.3517    ,  2.30901    ,  4.64928e-44,  3.72707e-57,  1.32898    ])
125361  , -52914.8    , array([ 16.3517    ,  2.30901    ,  4.64928e-44,  3.72334e-57,  1.33031    ])
125362  , -6805       , array([ 0.704869   ,  0.0733336  ,  4.64928e-44,  3.72334e-57,  0.0442162  ])
125363  , -6805       , array([ 0.704869   ,  0.0733336  ,  4.64928e-44,  3.72334e-57,  0.0442162  ])
125364  , -6802.5     , array([ 0.705575   ,  0.0733336  ,  4.64928e-44,  3.72334e-57,  0.0442162  ])
125365  , -6789.26    , array([ 0.704869   ,  0.0734069  ,  4.64928e-44,  3.72334e-57,  0.0442162  ])
125366  , -6805       , array([ 0.704869   ,  0.0733336  ,  4.65393e-44,  3.72334e-57,  0.0442162  ])
125367  , -6805       , array([ 0.704869   ,  0.0733336  ,  4.64928e-44,  3.72707e-57,  0.0442162  ])
125368  , -6822.96    , array([ 0.704869   ,  0.0733336  ,  4.64928e-44,  3.72334e-57,  0.0442604  ])
125369  , -6741.13    , array([ 0.705072   ,  0.0733613  ,  4.64928e-44,  3.72334e-57,  0.0440749  ])
125370  , -6741.13    , array([ 0.705072   ,  0.0733613  ,  4.64928e-44,  3.72334e-57,  0.0440749  ])
125371  , -6738.64    , array([ 0.705778   ,  0.0733613  ,  4.64928e-44,  3.72334e-57,  0.0440749  ])
125372  , -6725.51    , array([ 0.705072   ,  0.0734347  ,  4.64928e-44,  3.72334e-57,  0.0440749  ])
125373  , -6741.13    , array([ 0.705072   ,  0.0733613  ,  4.65393e-44,  3.72334e-57,  0.0440749  ])
125374  , -6741.13    , array([ 0.705072   ,  0.0733613  ,  4.64928e-44,  3.72707e-57,  0.0440749  ])
125375  , -6758.97    , array([ 0.705072   ,  0.0733613  ,  4.64928e-44,  3.72334e-57,  0.044119   ])
125376  , -6490.07    , array([ 0.705885   ,  0.0734723  ,  4.64928e-44,  3.72334e-57,  0.0435144  ])
125377  , -6490.07    , array([ 0.705885   ,  0.0734723  ,  4.64928e-44,  3.72334e-57,  0.0435144  ])
125378  , -6487.62    , array([ 0.706591   ,  0.0734723  ,  4.64928e-44,  3.72334e-57,  0.0435144  ])
125379  , -6474.9     , array([ 0.705885   ,  0.0735458  ,  4.64928e-44,  3.72334e-57,  0.0435144  ])
125380  , -6490.07    , array([ 0.705885   ,  0.0734723  ,  4.65393e-44,  3.72334e-57,  0.0435144  ])
125381  , -6490.07    , array([ 0.705885   ,  0.0734723  ,  4.64928e-44,  3.72707e-57,  0.0435144  ])
125382  , -6507.42    , array([ 0.705885   ,  0.0734723  ,  4.64928e-44,  3.72334e-57,  0.043558   ])
125383  , -5555.78    , array([ 0.709146   ,  0.073918   ,  4.64928e-44,  3.72334e-57,  0.0413428  ])
125384  , -5555.78    , array([ 0.709146   ,  0.073918   ,  4.64928e-44,  3.72334e-57,  0.0413428  ])
125385  , -5553.49    , array([ 0.709855   ,  0.073918   ,  4.64928e-44,  3.72334e-57,  0.0413428  ])
125386  , -5542.41    , array([ 0.709146   ,  0.0739919  ,  4.64928e-44,  3.72334e-57,  0.0413428  ])
125387  , -5555.78    , array([ 0.709146   ,  0.073918   ,  4.65393e-44,  3.72334e-57,  0.0413428  ])
125388  , -5555.78    , array([ 0.709146   ,  0.073918   ,  4.64928e-44,  3.72707e-57,  0.0413428  ])
125389  , -5571.17    , array([ 0.709146   ,  0.073918   ,  4.64928e-44,  3.72334e-57,  0.0413841  ])
125390  , -3470.38    , array([ 0.763051   ,  0.0761215  ,  4.64928e-44,  3.72334e-57,  0.0363936  ])
125391  , -3470.38    , array([ 0.763051   ,  0.0761215  ,  4.64928e-44,  3.72334e-57,  0.0363936  ])
125392  , -3468.7     , array([ 0.763814   ,  0.0761215  ,  4.64928e-44,  3.72334e-57,  0.0363936  ])
125393  , -3461.8     , array([ 0.763051   ,  0.0761976  ,  4.64928e-44,  3.72334e-57,  0.0363936  ])
125394  , -3470.38    , array([ 0.763051   ,  0.0761215  ,  4.65393e-44,  3.72334e-57,  0.0363936  ])
125395  , -3470.38    , array([ 0.763051   ,  0.0761215  ,  4.64928e-44,  3.72707e-57,  0.0363936  ])
125396  , -3480.43    , array([ 0.763051   ,  0.0761215  ,  4.64928e-44,  3.72334e-57,  0.0364301  ])
125397  , -1769.93    , array([ 0.917173   ,  0.078241   ,  4.64928e-44,  3.72334e-57,  0.0279379  ])
125398  , -1769.93    , array([ 0.917173   ,  0.078241   ,  4.64928e-44,  3.72334e-57,  0.0279379  ])
125399  , -1769.32    , array([ 0.91809    ,  0.078241   ,  4.64928e-44,  3.72334e-57,  0.0279379  ])
125400  , -1769.94    , array([ 0.917173   ,  0.0783192  ,  4.64928e-44,  3.72334e-57,  0.0279379  ])
125401  , -1769.93    , array([ 0.917173   ,  0.078241   ,  4.65393e-44,  3.72334e-57,  0.0279379  ])
125402  , -1769.93    , array([ 0.917173   ,  0.078241   ,  4.64928e-44,  3.72707e-57,  0.0279379  ])
125403  , -1770.49    , array([ 0.917173   ,  0.078241   ,  4.64928e-44,  3.72334e-57,  0.0279658  ])
125404  , -1719.02    , array([ 0.984619   ,  0.0764568  ,  4.64928e-44,  3.72334e-57,  0.0268353  ])
125405  , -1719.02    , array([ 0.984619   ,  0.0764568  ,  4.64928e-44,  3.72334e-57,  0.0268353  ])
125406  , -1718.58    , array([ 0.985604   ,  0.0764568  ,  4.64928e-44,  3.72334e-57,  0.0268353  ])
125407  , -1719.53    , array([ 0.984619   ,  0.0765333  ,  4.64928e-44,  3.72334e-57,  0.0268353  ])
125408  , -1719.02    , array([ 0.984619   ,  0.0764568  ,  4.65393e-44,  3.72334e-57,  0.0268353  ])
125409  , -1719.02    , array([ 0.984619   ,  0.0764568  ,  4.64928e-44,  3.72707e-57,  0.0268353  ])
125410  , -1718.91    , array([ 0.984619   ,  0.0764568  ,  4.64928e-44,  3.72334e-57,  0.0268622  ])
125411  , -1659.64    , array([ 1.14492    ,  0.0721157  ,  4.64928e-44,  3.72334e-57,  0.0252665  ])
125412  , -1659.64    , array([ 1.14492    ,  0.0721157  ,  4.64928e-44,  3.72334e-57,  0.0252665  ])
125413  , -1659.45    , array([ 1.14607    ,  0.0721157  ,  4.64928e-44,  3.72334e-57,  0.0252665  ])
