251421  , -79089.4    , array([ 78.6437    ,  0.286142   ,  9.10367e-21,  8.69509e-08,  1.35059e-11])
251422  , -79089.4    , array([ 78.7224    ,  0.286142   ,  9.10367e-21,  8.69509e-08,  1.35059e-11])
251423  , -79089.4    , array([ 78.6437    ,  0.286428   ,  9.10367e-21,  8.69509e-08,  1.35059e-11])
251424  , -79089.4    , array([ 78.6437    ,  0.286142   ,  9.11278e-21,  8.69509e-08,  1.35059e-11])
251425  , -79089.4    , array([ 78.6437    ,  0.286142   ,  9.10367e-21,  8.70379e-08,  1.35059e-11])
251426  , -79089.4    , array([ 78.6437    ,  0.286142   ,  9.10367e-21,  8.69509e-08,  1.35194e-11])
251427  , -79089.4    , array([ 78.6437    ,  0.286142   ,  9.10367e-21,  8.69509e-08,  1.35059e-11])
251428  , -79089.4    , array([ 78.6437    ,  0.286126   ,  9.10367e-21,  8.69509e-08,  1.35066e-11])
251429  , -79089.4    , array([ 78.6437    ,  0.286126   ,  9.10367e-21,  8.69509e-08,  1.35066e-11])
251430  , -79089.4    , array([ 78.7224    ,  0.286126   ,  9.10367e-21,  8.69509e-08,  1.35066e-11])
251431  , -79089.4    , array([ 78.6437    ,  0.286412   ,  9.10367e-21,  8.69509e-08,  1.35066e-11])
251432  , -79089.4    , array([ 78.6437    ,  0.286126   ,  9.11278e-21,  8.69509e-08,  1.35066e-11])
251433  , -79089.4    , array([ 78.6437    ,  0.286126   ,  9.10367e-21,  8.70379e-08,  1.35066e-11])
251434  , -79089.4    , array([ 78.6437    ,  0.286126   ,  9.10367e-21,  8.69509e-08,  1.35201e-11])
251435  , -79089.4    , array([ 78.6436    ,  0.286063   ,  9.10367e-21,  8.69509e-08,  1.35097e-11])
251436  , -79089.4    , array([ 78.6436    ,  0.286063   ,  9.10367e-21,  8.69509e-08,  1.35097e-11])
251437  , -79089.4    , array([ 78.7223    ,  0.286063   ,  9.10367e-21,  8.69509e-08,  1.35097e-11])
251438  , -79089.4    , array([ 78.6436    ,  0.286349   ,  9.10367e-21,  8.69509e-08,  1.35097e-11])
251439  , -79089.4    , array([ 78.6436    ,  0.286063   ,  9.11278e-21,  8.69509e-08,  1.35097e-11])
251440  , -79089.4    , array([ 78.6436    ,  0.286063   ,  9.10367e-21,  8.70379e-08,  1.35097e-11])
251441  , -79089.4    , array([ 78.6436    ,  0.286063   ,  9.10367e-21,  8.69509e-08,  1.35232e-11])
251442  , -79089.4    , array([ 78.6434    ,  0.28581    ,  9.10367e-21,  8.69509e-08,  1.35217e-11])
251443  , -79089.4    , array([ 78.6434    ,  0.28581    ,  9.10367e-21,  8.69509e-08,  1.35217e-11])
251444  , -79089.4    , array([ 78.722     ,  0.28581    ,  9.10367e-21,  8.69509e-08,  1.35217e-11])
251445  , -79089.4    , array([ 78.6434    ,  0.286096   ,  9.10367e-21,  8.69509e-08,  1.35217e-11])
251446  , -79089.4    , array([ 78.6434    ,  0.28581    ,  9.11278e-21,  8.69509e-08,  1.35217e-11])
251447  , -79089.4    , array([ 78.6434    ,  0.28581    ,  9.10367e-21,  8.70379e-08,  1.35217e-11])
251448  , -79089.4    , array([ 78.6434    ,  0.28581    ,  9.10367e-21,  8.69509e-08,  1.35353e-11])
251449  , -79089.4    , array([ 78.6423    ,  0.284801   ,  9.10367e-21,  8.69509e-08,  1.35702e-11])
251450  , -79089.4    , array([ 78.6423    ,  0.284801   ,  9.10367e-21,  8.69509e-08,  1.35702e-11])
251451  , -79089.4    , array([ 78.721     ,  0.284801   ,  9.10367e-21,  8.69509e-08,  1.35702e-11])
251452  , -79089.4    , array([ 78.6423    ,  0.285086   ,  9.10367e-21,  8.69509e-08,  1.35702e-11])
251453  , -79089.4    , array([ 78.6423    ,  0.284801   ,  9.11278e-21,  8.69509e-08,  1.35702e-11])
251454  , -79089.4    , array([ 78.6423    ,  0.284801   ,  9.10367e-21,  8.70379e-08,  1.35702e-11])
251455  , -79089.4    , array([ 78.6423    ,  0.284801   ,  9.10367e-21,  8.69509e-08,  1.35837e-11])
251456  , -79089.4    , array([ 78.6382    ,  0.280801   ,  9.10367e-21,  8.69509e-08,  1.37656e-11])
251457  , -79089.4    , array([ 78.6382    ,  0.280801   ,  9.10367e-21,  8.69509e-08,  1.37656e-11])
251458  , -79089.4    , array([ 78.7169    ,  0.280801   ,  9.10367e-21,  8.69509e-08,  1.37656e-11])
251459  , -79089.4    , array([ 78.6382    ,  0.281082   ,  9.10367e-21,  8.69509e-08,  1.37656e-11])
251460  , -79089.4    , array([ 78.6382    ,  0.280801   ,  9.11278e-21,  8.69509e-08,  1.37656e-11])
251461  , -79089.4    , array([ 78.6382    ,  0.280801   ,  9.10367e-21,  8.70379e-08,  1.37656e-11])
251462  , -79089.4    , array([ 78.6382    ,  0.280801   ,  9.10367e-21,  8.69509e-08,  1.37794e-11])
251463  , -79089.4    , array([ 78.6218    ,  0.265354   ,  9.10367e-21,  8.69509e-08,  1.45761e-11])
251464  , -79089.4    , array([ 78.6218    ,  0.265354   ,  9.10367e-21,  8.69509e-08,  1.45761e-11])
251465  , -79089.4    , array([ 78.7005    ,  0.265354   ,  9.10367e-21,  8.69509e-08,  1.45761e-11])
251466  , -79089.4    , array([ 78.6218    ,  0.26562    ,  9.10367e-21,  8.69509e-08,  1.45761e-11])
251467  , -79089.4    , array([ 78.6218    ,  0.265354   ,  9.11278e-21,  8.69509e-08,  1.45761e-11])
251468  , -79089.4    , array([ 78.6218    ,  0.265354   ,  9.10367e-21,  8.70379e-08,  1.45761e-11])
251469  , -79089.4    , array([ 78.6218    ,  0.265354   ,  9.10367e-21,  8.69509e-08,  1.45906e-11])
251470  , -79089.4    , array([ 78.5563    ,  0.211611   ,  9.10367e-21,  8.69509e-08,  1.83238e-11])
251471  , -79089.4    , array([ 78.5563    ,  0.211611   ,  9.10367e-21,  8.69509e-08,  1.83238e-11])
251472  , -79089.4    , array([ 78.6348    ,  0.211611   ,  9.10367e-21,  8.69509e-08,  1.83238e-11])
