167128  , -29794.1    , array([ 1.10745    ,  1.74459    ,  0.128054   ,  4.76531e-39,  0.348033   ])
167129  , -29774.9    , array([ 1.10856    ,  1.74459    ,  0.128054   ,  4.76531e-39,  0.348033   ])
167130  , -29806.1    , array([ 1.10745    ,  1.74633    ,  0.128054   ,  4.76531e-39,  0.348033   ])
167131  , -29792.4    , array([ 1.10745    ,  1.74459    ,  0.128182   ,  4.76531e-39,  0.348033   ])
167132  , -29794.1    , array([ 1.10745    ,  1.74459    ,  0.128054   ,  4.77008e-39,  0.348033   ])
167133  , -29811.3    , array([ 1.10745    ,  1.74459    ,  0.128054   ,  4.76531e-39,  0.348382   ])
167134  , -29794.1    , array([ 1.10745    ,  1.74459    ,  0.128054   ,  4.76531e-39,  0.348033   ])
167135  , -16133.3    , array([ 2.18923    ,  1.14081    ,  0.135954   ,  4.76531e-39,  0.189174   ])
167136  , -16133.3    , array([ 2.18923    ,  1.14081    ,  0.135954   ,  4.76531e-39,  0.189174   ])
167137  , -16133.8    , array([ 2.19142    ,  1.14081    ,  0.135954   ,  4.76531e-39,  0.189174   ])
167138  , -16148.2    , array([ 2.18923    ,  1.14195    ,  0.135954   ,  4.76531e-39,  0.189174   ])
167139  , -16133.2    , array([ 2.18923    ,  1.14081    ,  0.13609    ,  4.76531e-39,  0.189174   ])
167140  , -16133.3    , array([ 2.18923    ,  1.14081    ,  0.135954   ,  4.77008e-39,  0.189174   ])
167141  , -16128.1    , array([ 2.18923    ,  1.14081    ,  0.135954   ,  4.76531e-39,  0.189363   ])
167142  , -28167.4    , array([ 3.29454    ,  0.184667   ,  0.142332   ,  4.76531e-39,  0.213978   ])
167143  , -28167.4    , array([ 3.29454    ,  0.184667   ,  0.142332   ,  4.76531e-39,  0.213978   ])
167144  , -28168.9    , array([ 3.29784    ,  0.184667   ,  0.142332   ,  4.76531e-39,  0.213978   ])
167145  , -28130.3    , array([ 3.29454    ,  0.184852   ,  0.142332   ,  4.76531e-39,  0.213978   ])
167146  , -28165.9    , array([ 3.29454    ,  0.184667   ,  0.142474   ,  4.76531e-39,  0.213978   ])
167147  , -28167.4    , array([ 3.29454    ,  0.184667   ,  0.142332   ,  4.77008e-39,  0.213978   ])
167148  , -28210.9    , array([ 3.29454    ,  0.184667   ,  0.142332   ,  4.76531e-39,  0.214192   ])
167149  , -9183.86    , array([ 2.56769    ,  0.560634   ,  0.138407   ,  4.76531e-39,  0.198489   ])
167150  , -9183.86    , array([ 2.56769    ,  0.560634   ,  0.138407   ,  4.76531e-39,  0.198489   ])
167151  , -9183.65    , array([ 2.57026    ,  0.560634   ,  0.138407   ,  4.76531e-39,  0.198489   ])
167152  , -9186.51    , array([ 2.56769    ,  0.561195   ,  0.138407   ,  4.76531e-39,  0.198489   ])
167153  , -9183.38    , array([ 2.56769    ,  0.560634   ,  0.138546   ,  4.76531e-39,  0.198489   ])
167154  , -9183.86    , array([ 2.56769    ,  0.560634   ,  0.138407   ,  4.77008e-39,  0.198489   ])
167155  , -9191.36    , array([ 2.56769    ,  0.560634   ,  0.138407   ,  4.76531e-39,  0.198688   ])
167156  , -3536.38    , array([ 0.629263   ,  0.139998   ,  0.149071   ,  4.76531e-39,  0.0481892  ])
167157  , -3536.38    , array([ 0.629263   ,  0.139998   ,  0.149071   ,  4.76531e-39,  0.0481892  ])
167158  , -3532.37    , array([ 0.629893   ,  0.139998   ,  0.149071   ,  4.76531e-39,  0.0481892  ])
167159  , -3537.77    , array([ 0.629263   ,  0.140138   ,  0.149071   ,  4.76531e-39,  0.0481892  ])
167160  , -3536.29    , array([ 0.629263   ,  0.139998   ,  0.14922    ,  4.76531e-39,  0.0481892  ])
167161  , -3536.38    , array([ 0.629263   ,  0.139998   ,  0.149071   ,  4.77008e-39,  0.0481892  ])
167162  , -3539.08    , array([ 0.629263   ,  0.139998   ,  0.149071   ,  4.76531e-39,  0.0482374  ])
167163  , -35402.4    , array([ 0.911419   ,  0.0116206  ,  2.59234e-26,  4.76531e-39,  0.000696127])
167164  , -35402.4    , array([ 0.911419   ,  0.0116206  ,  2.59234e-26,  4.76531e-39,  0.000696127])
167165  , -35402.6    , array([ 0.912331   ,  0.0116206  ,  2.59234e-26,  4.76531e-39,  0.000696127])
167166  , -35428.5    , array([ 0.911419   ,  0.0116322  ,  2.59234e-26,  4.76531e-39,  0.000696127])
167167  , -35402.4    , array([ 0.911419   ,  0.0116206  ,  2.59494e-26,  4.76531e-39,  0.000696127])
167168  , -35402.4    , array([ 0.911419   ,  0.0116206  ,  2.59234e-26,  4.77008e-39,  0.000696127])
167169  , -35376.1    , array([ 0.911419   ,  0.0116206  ,  2.59234e-26,  4.76531e-39,  0.000696824])
167170  , -2879.45    , array([ 0.649061   ,  0.113694   ,  0.0012677  ,  4.76531e-39,  0.0338119  ])
167171  , -2879.45    , array([ 0.649061   ,  0.113694   ,  0.0012677  ,  4.76531e-39,  0.0338119  ])
167172  , -2877.34    , array([ 0.64971    ,  0.113694   ,  0.0012677  ,  4.76531e-39,  0.0338119  ])
167173  , -2884.23    , array([ 0.649061   ,  0.113808   ,  0.0012677  ,  4.76531e-39,  0.0338119  ])
167174  , -2879.45    , array([ 0.649061   ,  0.113694   ,  0.00126897 ,  4.76531e-39,  0.0338119  ])
167175  , -2879.45    , array([ 0.649061   ,  0.113694   ,  0.0012677  ,  4.77008e-39,  0.0338119  ])
167176  , -2876.75    , array([ 0.649061   ,  0.113694   ,  0.0012677  ,  4.76531e-39,  0.0338457  ])
167177  , -1969.3     , array([ 0.74161    ,  0.0800822  ,  6.28965e-05,  4.76531e-39,  0.0268041  ])
167178  , -1969.3     , array([ 0.74161    ,  0.0800822  ,  6.28965e-05,  4.76531e-39,  0.0268041  ])
167179  , -1968.29    , array([ 0.742352   ,  0.0800822  ,  6.28965e-05,  4.76531e-39,  0.0268041  ])
167180  , -1971.04    , array([ 0.74161    ,  0.0801623  ,  6.28965e-05,  4.76531e-39,  0.0268041  ])
167181  , -1969.3     , array([ 0.74161    ,  0.0800822  ,  6.29595e-05,  4.76531e-39,  0.0268041  ])
167182  , -1969.3     , array([ 0.74161    ,  0.0800822  ,  6.28965e-05,  4.77008e-39,  0.0268041  ])
167183  , -1968.41    , array([ 0.74161    ,  0.0800822  ,  6.28965e-05,  4.76531e-39,  0.026831   ])
167184  , -1744.23    , array([ 0.846516   ,  0.0644872  ,  5.74632e-06,  4.76531e-39,  0.023143   ])
167185  , -1744.23    , array([ 0.846516   ,  0.0644872  ,  5.74632e-06,  4.76531e-39,  0.023143   ])
167186  , -1743.71    , array([ 0.847363   ,  0.0644872  ,  5.74632e-06,  4.76531e-39,  0.023143   ])
167187  , -1743.96    , array([ 0.846516   ,  0.0645517  ,  5.74632e-06,  4.76531e-39,  0.023143   ])
167188  , -1744.23    , array([ 0.846516   ,  0.0644872  ,  5.75207e-06,  4.76531e-39,  0.023143   ])
167189  , -1744.23    , array([ 0.846516   ,  0.0644872  ,  5.74632e-06,  4.77008e-39,  0.023143   ])
167190  , -1744.77    , array([ 0.846516   ,  0.0644872  ,  5.74632e-06,  4.76531e-39,  0.0231662  ])
167191  , -1692.54    , array([ 0.934788   ,  0.0590071  ,  7.31014e-07,  4.76531e-39,  0.0210418  ])
167192  , -1692.54    , array([ 0.934788   ,  0.0590071  ,  7.31014e-07,  4.76531e-39,  0.0210418  ])
167193  , -1692.26    , array([ 0.935723   ,  0.0590071  ,  7.31014e-07,  4.76531e-39,  0.0210418  ])
167194  , -1692.44    , array([ 0.934788   ,  0.0590661  ,  7.31014e-07,  4.76531e-39,  0.0210418  ])
167195  , -1692.54    , array([ 0.934788   ,  0.0590071  ,  7.31746e-07,  4.76531e-39,  0.0210418  ])
167196  , -1692.54    , array([ 0.934788   ,  0.0590071  ,  7.31014e-07,  4.77008e-39,  0.0210418  ])
167197  , -1692.68    , array([ 0.934788   ,  0.0590071  ,  7.31014e-07,  4.76531e-39,  0.0210629  ])
167198  , -1667.51    , array([ 1.05458    ,  0.0578206  ,  1.94071e-07,  4.76531e-39,  0.0206704  ])
167199  , -1667.51    , array([ 1.05458    ,  0.0578206  ,  1.94071e-07,  4.76531e-39,  0.0206704  ])
167200  , -1667.35    , array([ 1.05564    ,  0.0578206  ,  1.94071e-07,  4.76531e-39,  0.0206704  ])
