242566  , -60165.8    , array([ 1.41075    ,  3.36504    ,  0.00996769 ,  7.22511e-26,  0.0267098  ])
242567  , -60174.5    , array([ 1.41216    ,  3.36504    ,  0.00996769 ,  7.22511e-26,  0.0267098  ])
242568  , -60172.1    , array([ 1.41075    ,  3.36841    ,  0.00996769 ,  7.22511e-26,  0.0267098  ])
242569  , -60165.8    , array([ 1.41075    ,  3.36504    ,  0.00997766 ,  7.22511e-26,  0.0267098  ])
242570  , -60165.8    , array([ 1.41075    ,  3.36504    ,  0.00996769 ,  7.23233e-26,  0.0267098  ])
242571  , -60151.6    , array([ 1.41075    ,  3.36504    ,  0.00996769 ,  7.22511e-26,  0.0267365  ])
242572  , -60165.8    , array([ 1.41075    ,  3.36504    ,  0.00996769 ,  7.22511e-26,  0.0267098  ])
242573  , -38948.6    , array([ 0.863791   ,  2.35801    ,  0.00996585 ,  7.22511e-26,  0.0599262  ])
242574  , -38948.6    , array([ 0.863791   ,  2.35801    ,  0.00996585 ,  7.22511e-26,  0.0599262  ])
242575  , -38955.4    , array([ 0.864656   ,  2.35801    ,  0.00996585 ,  7.22511e-26,  0.0599262  ])
242576  , -38959.1    , array([ 0.863791   ,  2.36037    ,  0.00996585 ,  7.22511e-26,  0.0599262  ])
242577  , -38948.6    , array([ 0.863791   ,  2.35801    ,  0.00997582 ,  7.22511e-26,  0.0599262  ])
242578  , -38948.6    , array([ 0.863791   ,  2.35801    ,  0.00996585 ,  7.23233e-26,  0.0599262  ])
242579  , -38932.3    , array([ 0.863791   ,  2.35801    ,  0.00996585 ,  7.22511e-26,  0.0599862  ])
242580  , -290251     , array([ 0.121406   ,  0.568553   ,  0.00995851 ,  7.22511e-26,  1.51845    ])
242581  , -290251     , array([ 0.121406   ,  0.568553   ,  0.00995851 ,  7.22511e-26,  1.51845    ])
242582  , -290191     , array([ 0.121528   ,  0.568553   ,  0.00995851 ,  7.22511e-26,  1.51845    ])
242583  , -290234     , array([ 0.121406   ,  0.569122   ,  0.00995851 ,  7.22511e-26,  1.51845    ])
242584  , -290213     , array([ 0.121406   ,  0.568553   ,  0.00996847 ,  7.22511e-26,  1.51845    ])
242585  , -290251     , array([ 0.121406   ,  0.568553   ,  0.00995851 ,  7.23233e-26,  1.51845    ])
242586  , -290280     , array([ 0.121406   ,  0.568553   ,  0.00995851 ,  7.22511e-26,  1.51997    ])
242587  , -34452.9    , array([ 0.764439   ,  2.15812    ,  0.0099654  ,  7.22511e-26,  0.0732881  ])
242588  , -34452.9    , array([ 0.764439   ,  2.15812    ,  0.0099654  ,  7.22511e-26,  0.0732881  ])
242589  , -34455.4    , array([ 0.765204   ,  2.15812    ,  0.0099654  ,  7.22511e-26,  0.0732881  ])
242590  , -34464      , array([ 0.764439   ,  2.16028    ,  0.0099654  ,  7.22511e-26,  0.0732881  ])
242591  , -34452.9    , array([ 0.764439   ,  2.15812    ,  0.00997537 ,  7.22511e-26,  0.0732881  ])
242592  , -34452.9    , array([ 0.764439   ,  2.15812    ,  0.0099654  ,  7.23233e-26,  0.0732881  ])
242593  , -34440.2    , array([ 0.764439   ,  2.15812    ,  0.0099654  ,  7.22511e-26,  0.0733614  ])
242594  , -156930     , array([ 0.34702    ,  0.369091   ,  0.00995648 ,  7.22511e-26,  0.795613   ])
242595  , -156930     , array([ 0.34702    ,  0.369091   ,  0.00995648 ,  7.22511e-26,  0.795613   ])
242596  , -156842     , array([ 0.347367   ,  0.369091   ,  0.00995648 ,  7.22511e-26,  0.795613   ])
242597  , -156879     , array([ 0.34702    ,  0.36946    ,  0.00995648 ,  7.22511e-26,  0.795613   ])
242598  , -156923     , array([ 0.34702    ,  0.369091   ,  0.00996644 ,  7.22511e-26,  0.795613   ])
242599  , -156930     , array([ 0.34702    ,  0.369091   ,  0.00995648 ,  7.23233e-26,  0.795613   ])
242600  , -157071     , array([ 0.34702    ,  0.369091   ,  0.00995648 ,  7.22511e-26,  0.796409   ])
242601  , -26993      , array([ 0.630276   ,  1.40174    ,  0.00996322 ,  7.22511e-26,  0.131253   ])
242602  , -26993      , array([ 0.630276   ,  1.40174    ,  0.00996322 ,  7.22511e-26,  0.131253   ])
242603  , -26978.6    , array([ 0.630906   ,  1.40174    ,  0.00996322 ,  7.22511e-26,  0.131253   ])
242604  , -27006.1    , array([ 0.630276   ,  1.40314    ,  0.00996322 ,  7.22511e-26,  0.131253   ])
242605  , -26992.9    , array([ 0.630276   ,  1.40174    ,  0.00997318 ,  7.22511e-26,  0.131253   ])
242606  , -26993      , array([ 0.630276   ,  1.40174    ,  0.00996322 ,  7.23233e-26,  0.131253   ])
