273844  , -561809     , array([ 0.00458058 ,  13.5035    ,  0.000137062,  6.78002e-19,  0.0478746  ])
273845  , -561397     , array([ 0.00458517 ,  13.5035    ,  0.000137062,  6.78002e-19,  0.0478746  ])
273846  , -561810     , array([ 0.00458058 ,  13.517     ,  0.000137062,  6.78002e-19,  0.0478746  ])
273847  , -561806     , array([ 0.00458058 ,  13.5035    ,  0.000137199,  6.78002e-19,  0.0478746  ])
273848  , -561809     , array([ 0.00458058 ,  13.5035    ,  0.000137062,  6.78681e-19,  0.0478746  ])
273849  , -562193     , array([ 0.00458058 ,  13.5035    ,  0.000137062,  6.78002e-19,  0.0479225  ])
273850  , -561809     , array([ 0.00458058 ,  13.5035    ,  0.000137062,  6.78002e-19,  0.0478746  ])
273851  , -224864     , array([ 0.00958358 ,  13.4818    ,  0.0001376  ,  6.78002e-19,  0.0240301  ])
273852  , -224864     , array([ 0.00958358 ,  13.4818    ,  0.0001376  ,  6.78002e-19,  0.0240301  ])
273853  , -224727     , array([ 0.00959317 ,  13.4818    ,  0.0001376  ,  6.78002e-19,  0.0240301  ])
273854  , -224865     , array([ 0.00958358 ,  13.4953    ,  0.0001376  ,  6.78002e-19,  0.0240301  ])
273855  , -224864     , array([ 0.00958358 ,  13.4818    ,  0.000137738,  6.78002e-19,  0.0240301  ])
273856  , -224864     , array([ 0.00958358 ,  13.4818    ,  0.0001376  ,  6.78681e-19,  0.0240301  ])
273857  , -224979     , array([ 0.00958358 ,  13.4818    ,  0.0001376  ,  6.78002e-19,  0.0240541  ])
273865  , -224089     , array([ 0.00995574 ,  13.4626    ,  0.000137064,  6.78002e-19,  0.0249802  ])
273866  , -224089     , array([ 0.00995574 ,  13.4626    ,  0.000137064,  6.78002e-19,  0.0249802  ])
273867  , -223952     , array([ 0.00996571 ,  13.4626    ,  0.000137064,  6.78002e-19,  0.0249802  ])
273868  , -224090     , array([ 0.00995574 ,  13.4761    ,  0.000137064,  6.78002e-19,  0.0249802  ])
273869  , -224089     , array([ 0.00995574 ,  13.4626    ,  0.000137202,  6.78002e-19,  0.0249802  ])
273870  , -224089     , array([ 0.00995574 ,  13.4626    ,  0.000137064,  6.78681e-19,  0.0249802  ])
273871  , -224204     , array([ 0.00995574 ,  13.4626    ,  0.000137064,  6.78002e-19,  0.0250051  ])
273872  , -223314     , array([ 0.0103419  ,  13.4435    ,  0.000136532,  6.78002e-19,  0.0259667  ])
273873  , -223314     , array([ 0.0103419  ,  13.4435    ,  0.000136532,  6.78002e-19,  0.0259667  ])
273874  , -223178     , array([ 0.0103523  ,  13.4435    ,  0.000136532,  6.78002e-19,  0.0259667  ])
273875  , -223315     , array([ 0.0103419  ,  13.4569    ,  0.000136532,  6.78002e-19,  0.0259667  ])
273876  , -223314     , array([ 0.0103419  ,  13.4435    ,  0.000136668,  6.78002e-19,  0.0259667  ])
273877  , -223314     , array([ 0.0103419  ,  13.4435    ,  0.000136532,  6.78681e-19,  0.0259667  ])
273878  , -223429     , array([ 0.0103419  ,  13.4435    ,  0.000136532,  6.78002e-19,  0.0259926  ])
273886  , -223121     , array([ 0.0104408  ,  13.4387    ,  0.000136399,  6.78002e-19,  0.0262193  ])
273887  , -223121     , array([ 0.0104408  ,  13.4387    ,  0.000136399,  6.78002e-19,  0.0262193  ])
273888  , -222984     , array([ 0.0104512  ,  13.4387    ,  0.000136399,  6.78002e-19,  0.0262193  ])
273889  , -223121     , array([ 0.0104408  ,  13.4522    ,  0.000136399,  6.78002e-19,  0.0262193  ])
273890  , -223121     , array([ 0.0104408  ,  13.4387    ,  0.000136535,  6.78002e-19,  0.0262193  ])
273891  , -223121     , array([ 0.0104408  ,  13.4387    ,  0.000136399,  6.78681e-19,  0.0262193  ])
273892  , -223235     , array([ 0.0104408  ,  13.4387    ,  0.000136399,  6.78002e-19,  0.0262456  ])
273893  , -222927     , array([ 0.0105405  ,  13.4339    ,  0.000136266,  6.78002e-19,  0.0264742  ])
273894  , -222927     , array([ 0.0105405  ,  13.4339    ,  0.000136266,  6.78002e-19,  0.0264742  ])
273895  , -222790     , array([ 0.0105511  ,  13.4339    ,  0.000136266,  6.78002e-19,  0.0264742  ])
273896  , -222927     , array([ 0.0105405  ,  13.4474    ,  0.000136266,  6.78002e-19,  0.0264742  ])
273897  , -222927     , array([ 0.0105405  ,  13.4339    ,  0.000136403,  6.78002e-19,  0.0264742  ])
273898  , -222927     , array([ 0.0105405  ,  13.4339    ,  0.000136266,  6.78681e-19,  0.0264742  ])
273899  , -223041     , array([ 0.0105405  ,  13.4339    ,  0.000136266,  6.78002e-19,  0.0265007  ])
273907  , -222878     , array([ 0.0105656  ,  13.4327    ,  0.000136233,  6.78002e-19,  0.0265383  ])
273908  , -222878     , array([ 0.0105656  ,  13.4327    ,  0.000136233,  6.78002e-19,  0.0265383  ])
273909  , -222742     , array([ 0.0105762  ,  13.4327    ,  0.000136233,  6.78002e-19,  0.0265383  ])
273910  , -222879     , array([ 0.0105656  ,  13.4462    ,  0.000136233,  6.78002e-19,  0.0265383  ])
273911  , -222878     , array([ 0.0105656  ,  13.4327    ,  0.000136369,  6.78002e-19,  0.0265383  ])
273912  , -222878     , array([ 0.0105656  ,  13.4327    ,  0.000136233,  6.78681e-19,  0.0265383  ])
273913  , -222993     , array([ 0.0105656  ,  13.4327    ,  0.000136233,  6.78002e-19,  0.0265649  ])
273914  , -222830     , array([ 0.0105907  ,  13.4316    ,  0.0001362  ,  6.78002e-19,  0.0266025  ])
273915  , -222830     , array([ 0.0105907  ,  13.4316    ,  0.0001362  ,  6.78002e-19,  0.0266025  ])
273916  , -222694     , array([ 0.0106013  ,  13.4316    ,  0.0001362  ,  6.78002e-19,  0.0266025  ])
273917  , -222831     , array([ 0.0105907  ,  13.445     ,  0.0001362  ,  6.78002e-19,  0.0266025  ])
273918  , -222830     , array([ 0.0105907  ,  13.4316    ,  0.000136336,  6.78002e-19,  0.0266025  ])
273919  , -222830     , array([ 0.0105907  ,  13.4316    ,  0.0001362  ,  6.78681e-19,  0.0266025  ])
273920  , -222944     , array([ 0.0105907  ,  13.4316    ,  0.0001362  ,  6.78002e-19,  0.0266291  ])
273921  , -199885     , array([ 0.696668   ,  11.4873    ,  8.87422e-05,  6.78002e-19,  1.88503    ])
273922  , -199885     , array([ 0.696668   ,  11.4873    ,  8.87422e-05,  6.78002e-19,  1.88503    ])
273923  , -199758     , array([ 0.697365   ,  11.4873    ,  8.87422e-05,  6.78002e-19,  1.88503    ])
273924  , -199904     , array([ 0.696668   ,  11.4988    ,  8.87422e-05,  6.78002e-19,  1.88503    ])
273925  , -199885     , array([ 0.696668   ,  11.4873    ,  8.8831e-05 ,  6.78002e-19,  1.88503    ])
273926  , -199885     , array([ 0.696668   ,  11.4873    ,  8.87422e-05,  6.78681e-19,  1.88503    ])
273927  , -200020     , array([ 0.696668   ,  11.4873    ,  8.87422e-05,  6.78002e-19,  1.88692    ])
273935  , -199881     , array([ 0.696809   ,  11.4835    ,  8.87382e-05,  6.78002e-19,  1.88542    ])
273936  , -199881     , array([ 0.696809   ,  11.4835    ,  8.87382e-05,  6.78002e-19,  1.88542    ])
273937  , -199753     , array([ 0.697507   ,  11.4835    ,  8.87382e-05,  6.78002e-19,  1.88542    ])
273938  , -199900     , array([ 0.696809   ,  11.495     ,  8.87382e-05,  6.78002e-19,  1.88542    ])
273939  , -199881     , array([ 0.696809   ,  11.4835    ,  8.8827e-05 ,  6.78002e-19,  1.88542    ])
273940  , -199881     , array([ 0.696809   ,  11.4835    ,  8.87382e-05,  6.78681e-19,  1.88542    ])
273941  , -200016     , array([ 0.696809   ,  11.4835    ,  8.87382e-05,  6.78002e-19,  1.88731    ])
273942  , -199876     , array([ 0.696951   ,  11.4796    ,  8.87342e-05,  6.78002e-19,  1.88581    ])
273943  , -199876     , array([ 0.696951   ,  11.4796    ,  8.87342e-05,  6.78002e-19,  1.88581    ])
273944  , -199749     , array([ 0.697648   ,  11.4796    ,  8.87342e-05,  6.78002e-19,  1.88581    ])
273945  , -199896     , array([ 0.696951   ,  11.4911    ,  8.87342e-05,  6.78002e-19,  1.88581    ])
273946  , -199876     , array([ 0.696951   ,  11.4796    ,  8.8823e-05 ,  6.78002e-19,  1.88581    ])
273947  , -199876     , array([ 0.696951   ,  11.4796    ,  8.87342e-05,  6.78681e-19,  1.88581    ])
273948  , -200012     , array([ 0.696951   ,  11.4796    ,  8.87342e-05,  6.78002e-19,  1.8877     ])
273956  , -199875     , array([ 0.696986   ,  11.4787    ,  8.87332e-05,  6.78002e-19,  1.88591    ])
273957  , -199875     , array([ 0.696986   ,  11.4787    ,  8.87332e-05,  6.78002e-19,  1.88591    ])
273958  , -199748     , array([ 0.697683   ,  11.4787    ,  8.87332e-05,  6.78002e-19,  1.88591    ])
273959  , -199895     , array([ 0.696986   ,  11.4902    ,  8.87332e-05,  6.78002e-19,  1.88591    ])
273960  , -199875     , array([ 0.696986   ,  11.4787    ,  8.8822e-05 ,  6.78002e-19,  1.88591    ])
273961  , -199875     , array([ 0.696986   ,  11.4787    ,  8.87332e-05,  6.78681e-19,  1.88591    ])
273962  , -200011     , array([ 0.696986   ,  11.4787    ,  8.87332e-05,  6.78002e-19,  1.88779    ])
273963  , -199874     , array([ 0.697021   ,  11.4777    ,  8.87322e-05,  6.78002e-19,  1.886      ])
273964  , -199874     , array([ 0.697021   ,  11.4777    ,  8.87322e-05,  6.78002e-19,  1.886      ])
273965  , -199747     , array([ 0.697719   ,  11.4777    ,  8.87322e-05,  6.78002e-19,  1.886      ])
273966  , -199893     , array([ 0.697021   ,  11.4892    ,  8.87322e-05,  6.78002e-19,  1.886      ])
273967  , -199874     , array([ 0.697021   ,  11.4777    ,  8.8821e-05 ,  6.78002e-19,  1.886      ])
273968  , -199874     , array([ 0.697021   ,  11.4777    ,  8.87322e-05,  6.78681e-19,  1.886      ])
273969  , -200010     , array([ 0.697021   ,  11.4777    ,  8.87322e-05,  6.78002e-19,  1.88789    ])
273970  , -196402     , array([ 1.27121    ,  4.24348    ,  7.76936e-05,  6.78002e-19,  3.47886    ])
273971  , -196402     , array([ 1.27121    ,  4.24348    ,  7.76936e-05,  6.78002e-19,  3.47886    ])
273972  , -196282     , array([ 1.27248    ,  4.24348    ,  7.76936e-05,  6.78002e-19,  3.47886    ])
273973  , -196402     , array([ 1.27121    ,  4.24773    ,  7.76936e-05,  6.78002e-19,  3.47886    ])
273974  , -196402     , array([ 1.27121    ,  4.24348    ,  7.77713e-05,  6.78002e-19,  3.47886    ])
273975  , -196402     , array([ 1.27121    ,  4.24348    ,  7.76936e-05,  6.78681e-19,  3.47886    ])
273976  , -196553     , array([ 1.27121    ,  4.24348    ,  7.76936e-05,  6.78002e-19,  3.48234    ])
273977  , -195234     , array([ 0.878084   ,  7.83046    ,  8.43158e-05,  6.78002e-19,  2.3863     ])
273978  , -195234     , array([ 0.878084   ,  7.83046    ,  8.43158e-05,  6.78002e-19,  2.3863     ])
273979  , -195108     , array([ 0.878963   ,  7.83046    ,  8.43158e-05,  6.78002e-19,  2.3863     ])
273980  , -195252     , array([ 0.878084   ,  7.8383     ,  8.43158e-05,  6.78002e-19,  2.3863     ])
273981  , -195234     , array([ 0.878084   ,  7.83046    ,  8.44001e-05,  6.78002e-19,  2.3863     ])
273982  , -195234     , array([ 0.878084   ,  7.83046    ,  8.43158e-05,  6.78681e-19,  2.3863     ])
273983  , -195370     , array([ 0.878084   ,  7.83046    ,  8.43158e-05,  6.78002e-19,  2.38869    ])
273984  , -184191     , array([ 0.639165   ,  11.5356    ,  7.06084e-10,  6.78002e-19,  1.53785    ])
273985  , -184191     , array([ 0.639165   ,  11.5356    ,  7.06084e-10,  6.78002e-19,  1.53785    ])
273986  , -184075     , array([ 0.639805   ,  11.5356    ,  7.06084e-10,  6.78002e-19,  1.53785    ])
273987  , -184209     , array([ 0.639165   ,  11.5471    ,  7.06084e-10,  6.78002e-19,  1.53785    ])
273988  , -184191     , array([ 0.639165   ,  11.5356    ,  7.0679e-10 ,  6.78002e-19,  1.53785    ])
273989  , -184191     , array([ 0.639165   ,  11.5356    ,  7.06084e-10,  6.78681e-19,  1.53785    ])
273990  , -184315     , array([ 0.639165   ,  11.5356    ,  7.06084e-10,  6.78002e-19,  1.53939    ])
273991  , -135057     , array([ 0.179441   ,  54.3315    ,  3.47253e-30,  6.78002e-19,  0.265257   ])
273992  , -135057     , array([ 0.179441   ,  54.3315    ,  3.47253e-30,  6.78002e-19,  0.265257   ])
273993  , -134971     , array([ 0.17962    ,  54.3315    ,  3.47253e-30,  6.78002e-19,  0.265257   ])
273994  , -135058     , array([ 0.179441   ,  54.3858    ,  3.47253e-30,  6.78002e-19,  0.265257   ])
273995  , -135057     , array([ 0.179441   ,  54.3315    ,  3.476e-30  ,  6.78002e-19,  0.265257   ])
273996  , -135057     , array([ 0.179441   ,  54.3315    ,  3.47253e-30,  6.78681e-19,  0.265257   ])
273997  , -135143     , array([ 0.179441   ,  54.3315    ,  3.47253e-30,  6.78002e-19,  0.265522   ])
274005  , -135011     , array([ 0.179188   ,  54.4249    ,  3.29704e-30,  6.78002e-19,  0.264741   ])
274006  , -135011     , array([ 0.179188   ,  54.4249    ,  3.29704e-30,  6.78002e-19,  0.264741   ])
274007  , -134925     , array([ 0.179367   ,  54.4249    ,  3.29704e-30,  6.78002e-19,  0.264741   ])
274008  , -135012     , array([ 0.179188   ,  54.4794    ,  3.29704e-30,  6.78002e-19,  0.264741   ])
274009  , -135011     , array([ 0.179188   ,  54.4249    ,  3.30034e-30,  6.78002e-19,  0.264741   ])
274010  , -135011     , array([ 0.179188   ,  54.4249    ,  3.29704e-30,  6.78681e-19,  0.264741   ])
274011  , -135097     , array([ 0.179188   ,  54.4249    ,  3.29704e-30,  6.78002e-19,  0.265005   ])
274019  , -135008     , array([ 0.179174   ,  54.4301    ,  3.28754e-30,  6.78002e-19,  0.264712   ])
274020  , -135008     , array([ 0.179174   ,  54.4301    ,  3.28754e-30,  6.78002e-19,  0.264712   ])
274021  , -134923     , array([ 0.179353   ,  54.4301    ,  3.28754e-30,  6.78002e-19,  0.264712   ])
274022  , -135010     , array([ 0.179174   ,  54.4846    ,  3.28754e-30,  6.78002e-19,  0.264712   ])
274023  , -135008     , array([ 0.179174   ,  54.4301    ,  3.29082e-30,  6.78002e-19,  0.264712   ])
274024  , -135008     , array([ 0.179174   ,  54.4301    ,  3.28754e-30,  6.78681e-19,  0.264712   ])
274025  , -135095     , array([ 0.179174   ,  54.4301    ,  3.28754e-30,  6.78002e-19,  0.264977   ])
274033  , -135007     , array([ 0.179168   ,  54.4324    ,  3.2834e-30 ,  6.78002e-19,  0.264699   ])
274034  , -135007     , array([ 0.179168   ,  54.4324    ,  3.2834e-30 ,  6.78002e-19,  0.264699   ])
274035  , -134921     , array([ 0.179347   ,  54.4324    ,  3.2834e-30 ,  6.78002e-19,  0.264699   ])
274036  , -135008     , array([ 0.179168   ,  54.4869    ,  3.2834e-30 ,  6.78002e-19,  0.264699   ])
274037  , -135007     , array([ 0.179168   ,  54.4324    ,  3.28669e-30,  6.78002e-19,  0.264699   ])
274038  , -135007     , array([ 0.179168   ,  54.4324    ,  3.2834e-30 ,  6.78681e-19,  0.264699   ])
274039  , -135094     , array([ 0.179168   ,  54.4324    ,  3.2834e-30 ,  6.78002e-19,  0.264964   ])
274047  , -135006     , array([ 0.179165   ,  54.4334    ,  3.28161e-30,  6.78002e-19,  0.264694   ])
274048  , -135006     , array([ 0.179165   ,  54.4334    ,  3.28161e-30,  6.78002e-19,  0.264694   ])
274049  , -134921     , array([ 0.179344   ,  54.4334    ,  3.28161e-30,  6.78002e-19,  0.264694   ])
274050  , -135008     , array([ 0.179165   ,  54.4879    ,  3.28161e-30,  6.78002e-19,  0.264694   ])
274051  , -135006     , array([ 0.179165   ,  54.4334    ,  3.28489e-30,  6.78002e-19,  0.264694   ])
274052  , -135006     , array([ 0.179165   ,  54.4334    ,  3.28161e-30,  6.78681e-19,  0.264694   ])
274053  , -135093     , array([ 0.179165   ,  54.4334    ,  3.28161e-30,  6.78002e-19,  0.264959   ])
274054  , -125438     , array([ 0.12692    ,  82.8924    ,  1.0107e-35 ,  6.78002e-19,  0.164288   ])
274055  , -125438     , array([ 0.12692    ,  82.8924    ,  1.0107e-35 ,  6.78002e-19,  0.164288   ])
274056  , -125358     , array([ 0.127047   ,  82.8924    ,  1.0107e-35 ,  6.78002e-19,  0.164288   ])
274057  , -125439     , array([ 0.12692    ,  82.9753    ,  1.0107e-35 ,  6.78002e-19,  0.164288   ])
274058  , -125438     , array([ 0.12692    ,  82.8924    ,  1.01171e-35,  6.78002e-19,  0.164288   ])
274059  , -125438     , array([ 0.12692    ,  82.8924    ,  1.0107e-35 ,  6.78681e-19,  0.164288   ])
274060  , -125513     , array([ 0.12692    ,  82.8924    ,  1.0107e-35 ,  6.78002e-19,  0.164452   ])
274068  , -125405     , array([ 0.12673    ,  83.0806    ,  9.54448e-36,  6.78002e-19,  0.163951   ])
274069  , -125405     , array([ 0.12673    ,  83.0806    ,  9.54448e-36,  6.78002e-19,  0.163951   ])
274070  , -125325     , array([ 0.126857   ,  83.0806    ,  9.54448e-36,  6.78002e-19,  0.163951   ])
274071  , -125406     , array([ 0.12673    ,  83.1637    ,  9.54448e-36,  6.78002e-19,  0.163951   ])
274072  , -125405     , array([ 0.12673    ,  83.0806    ,  9.55403e-36,  6.78002e-19,  0.163951   ])
274073  , -125405     , array([ 0.12673    ,  83.0806    ,  9.54448e-36,  6.78681e-19,  0.163951   ])
274074  , -125480     , array([ 0.12673    ,  83.0806    ,  9.54448e-36,  6.78002e-19,  0.164115   ])
274082  , -125405     , array([ 0.126727   ,  83.084     ,  9.53468e-36,  6.78002e-19,  0.163945   ])
274083  , -125405     , array([ 0.126727   ,  83.084     ,  9.53468e-36,  6.78002e-19,  0.163945   ])
274084  , -125325     , array([ 0.126854   ,  83.084     ,  9.53468e-36,  6.78002e-19,  0.163945   ])
274085  , -125405     , array([ 0.126727   ,  83.1671    ,  9.53468e-36,  6.78002e-19,  0.163945   ])
274086  , -125405     , array([ 0.126727   ,  83.084     ,  9.54422e-36,  6.78002e-19,  0.163945   ])
274087  , -125405     , array([ 0.126727   ,  83.084     ,  9.53468e-36,  6.78681e-19,  0.163945   ])
274088  , -125480     , array([ 0.126727   ,  83.084     ,  9.53468e-36,  6.78002e-19,  0.164109   ])
274096  , -125405     , array([ 0.126726   ,  83.0854    ,  9.53041e-36,  6.78002e-19,  0.163942   ])
274097  , -125405     , array([ 0.126726   ,  83.0854    ,  9.53041e-36,  6.78002e-19,  0.163942   ])
274098  , -125324     , array([ 0.126852   ,  83.0854    ,  9.53041e-36,  6.78002e-19,  0.163942   ])
274099  , -125405     , array([ 0.126726   ,  83.1686    ,  9.53041e-36,  6.78002e-19,  0.163942   ])
274100  , -125405     , array([ 0.126726   ,  83.0854    ,  9.53994e-36,  6.78002e-19,  0.163942   ])
274101  , -125405     , array([ 0.126726   ,  83.0854    ,  9.53041e-36,  6.78681e-19,  0.163942   ])
274102  , -125480     , array([ 0.126726   ,  83.0854    ,  9.53041e-36,  6.78002e-19,  0.164106   ])
274110  , -125404     , array([ 0.126725   ,  83.0861    ,  9.52855e-36,  6.78002e-19,  0.163941   ])
274111  , -125404     , array([ 0.126725   ,  83.0861    ,  9.52855e-36,  6.78002e-19,  0.163941   ])
274112  , -125324     , array([ 0.126852   ,  83.0861    ,  9.52855e-36,  6.78002e-19,  0.163941   ])
274113  , -125405     , array([ 0.126725   ,  83.1692    ,  9.52855e-36,  6.78002e-19,  0.163941   ])
274114  , -125404     , array([ 0.126725   ,  83.0861    ,  9.53809e-36,  6.78002e-19,  0.163941   ])
274115  , -125404     , array([ 0.126725   ,  83.0861    ,  9.52855e-36,  6.78681e-19,  0.163941   ])
274116  , -125479     , array([ 0.126725   ,  83.0861    ,  9.52855e-36,  6.78002e-19,  0.164105   ])
274124  , -125404     , array([ 0.126725   ,  83.0864    ,  9.52774e-36,  6.78002e-19,  0.16394    ])
274125  , -125404     , array([ 0.126725   ,  83.0864    ,  9.52774e-36,  6.78002e-19,  0.16394    ])
274126  , -125324     , array([ 0.126851   ,  83.0864    ,  9.52774e-36,  6.78002e-19,  0.16394    ])
274127  , -125405     , array([ 0.126725   ,  83.1695    ,  9.52774e-36,  6.78002e-19,  0.16394    ])
274128  , -125404     , array([ 0.126725   ,  83.0864    ,  9.53728e-36,  6.78002e-19,  0.16394    ])
274129  , -125404     , array([ 0.126725   ,  83.0864    ,  9.52774e-36,  6.78681e-19,  0.16394    ])
274130  , -125479     , array([ 0.126725   ,  83.0864    ,  9.52774e-36,  6.78002e-19,  0.164104   ])
274138  , -125404     , array([ 0.126725   ,  83.0865    ,  9.52739e-36,  6.78002e-19,  0.16394    ])
274139  , -125404     , array([ 0.126725   ,  83.0865    ,  9.52739e-36,  6.78002e-19,  0.16394    ])
274140  , -125324     , array([ 0.126851   ,  83.0865    ,  9.52739e-36,  6.78002e-19,  0.16394    ])
274141  , -125405     , array([ 0.126725   ,  83.1696    ,  9.52739e-36,  6.78002e-19,  0.16394    ])
274142  , -125404     , array([ 0.126725   ,  83.0865    ,  9.53692e-36,  6.78002e-19,  0.16394    ])
274143  , -125404     , array([ 0.126725   ,  83.0865    ,  9.52739e-36,  6.78681e-19,  0.16394    ])
274144  , -125479     , array([ 0.126725   ,  83.0865    ,  9.52739e-36,  6.78002e-19,  0.164104   ])
274145  , -123195     , array([ 0.113912   ,  97.6861    ,  1.59832e-37,  6.78002e-19,  0.141579   ])
274146  , -123195     , array([ 0.113912   ,  97.6861    ,  1.59832e-37,  6.78002e-19,  0.141579   ])
274147  , -123117     , array([ 0.114026   ,  97.6861    ,  1.59832e-37,  6.78002e-19,  0.141579   ])
274148  , -123196     , array([ 0.113912   ,  97.7839    ,  1.59832e-37,  6.78002e-19,  0.141579   ])
274149  , -123195     , array([ 0.113912   ,  97.6861    ,  1.59992e-37,  6.78002e-19,  0.141579   ])
274150  , -123195     , array([ 0.113912   ,  97.6861    ,  1.59832e-37,  6.78681e-19,  0.141579   ])
274151  , -123267     , array([ 0.113912   ,  97.6861    ,  1.59832e-37,  6.78002e-19,  0.141721   ])
274159  , -123195     , array([ 0.113912   ,  97.6862    ,  1.59827e-37,  6.78002e-19,  0.141579   ])
274160  , -123195     , array([ 0.113912   ,  97.6862    ,  1.59827e-37,  6.78002e-19,  0.141579   ])
274161  , -123117     , array([ 0.114026   ,  97.6862    ,  1.59827e-37,  6.78002e-19,  0.141579   ])
274162  , -123196     , array([ 0.113912   ,  97.7839    ,  1.59827e-37,  6.78002e-19,  0.141579   ])
274163  , -123195     , array([ 0.113912   ,  97.6862    ,  1.59987e-37,  6.78002e-19,  0.141579   ])
274164  , -123195     , array([ 0.113912   ,  97.6862    ,  1.59827e-37,  6.78681e-19,  0.141579   ])
274165  , -123267     , array([ 0.113912   ,  97.6862    ,  1.59827e-37,  6.78002e-19,  0.141721   ])
274173  , -123195     , array([ 0.113912   ,  97.6863    ,  1.59825e-37,  6.78002e-19,  0.141579   ])
274174  , -123195     , array([ 0.113912   ,  97.6863    ,  1.59825e-37,  6.78002e-19,  0.141579   ])
274175  , -123117     , array([ 0.114026   ,  97.6863    ,  1.59825e-37,  6.78002e-19,  0.141579   ])
274176  , -123196     , array([ 0.113912   ,  97.784     ,  1.59825e-37,  6.78002e-19,  0.141579   ])
274177  , -123195     , array([ 0.113912   ,  97.6863    ,  1.59985e-37,  6.78002e-19,  0.141579   ])
274178  , -123195     , array([ 0.113912   ,  97.6863    ,  1.59825e-37,  6.78681e-19,  0.141579   ])
274179  , -123267     , array([ 0.113912   ,  97.6863    ,  1.59825e-37,  6.78002e-19,  0.141721   ])
274187  , -123195     , array([ 0.113912   ,  97.6863    ,  1.59824e-37,  6.78002e-19,  0.141579   ])
274188  , -123195     , array([ 0.113912   ,  97.6863    ,  1.59824e-37,  6.78002e-19,  0.141579   ])
274189  , -123117     , array([ 0.114026   ,  97.6863    ,  1.59824e-37,  6.78002e-19,  0.141579   ])
274190  , -123196     , array([ 0.113912   ,  97.784     ,  1.59824e-37,  6.78002e-19,  0.141579   ])
274191  , -123195     , array([ 0.113912   ,  97.6863    ,  1.59984e-37,  6.78002e-19,  0.141579   ])
274192  , -123195     , array([ 0.113912   ,  97.6863    ,  1.59824e-37,  6.78681e-19,  0.141579   ])
274193  , -123267     , array([ 0.113912   ,  97.6863    ,  1.59824e-37,  6.78002e-19,  0.141721   ])
274201  , -123195     , array([ 0.113912   ,  97.6863    ,  1.59824e-37,  6.78002e-19,  0.141579   ])
274202  , -123195     , array([ 0.113912   ,  97.6863    ,  1.59824e-37,  6.78002e-19,  0.141579   ])
274203  , -123117     , array([ 0.114026   ,  97.6863    ,  1.59824e-37,  6.78002e-19,  0.141579   ])
274204  , -123196     , array([ 0.113912   ,  97.784     ,  1.59824e-37,  6.78002e-19,  0.141579   ])
274205  , -123195     , array([ 0.113912   ,  97.6863    ,  1.59984e-37,  6.78002e-19,  0.141579   ])
274206  , -123195     , array([ 0.113912   ,  97.6863    ,  1.59824e-37,  6.78681e-19,  0.141579   ])
274207  , -123267     , array([ 0.113912   ,  97.6863    ,  1.59824e-37,  6.78002e-19,  0.141721   ])
274215  , -123195     , array([ 0.113912   ,  97.6863    ,  1.59823e-37,  6.78002e-19,  0.141579   ])
274216  , -123195     , array([ 0.113912   ,  97.6863    ,  1.59823e-37,  6.78002e-19,  0.141579   ])
274217  , -123117     , array([ 0.114026   ,  97.6863    ,  1.59823e-37,  6.78002e-19,  0.141579   ])
274218  , -123196     , array([ 0.113912   ,  97.784     ,  1.59823e-37,  6.78002e-19,  0.141579   ])
274219  , -123195     , array([ 0.113912   ,  97.6863    ,  1.59983e-37,  6.78002e-19,  0.141579   ])
274220  , -123195     , array([ 0.113912   ,  97.6863    ,  1.59823e-37,  6.78681e-19,  0.141579   ])
274221  , -123267     , array([ 0.113912   ,  97.6863    ,  1.59823e-37,  6.78002e-19,  0.141721   ])
274222  , -122629     , array([ 0.114161   ,  99.261     ,  9.82612e-38,  6.78002e-19,  0.140787   ])
274223  , -122629     , array([ 0.114161   ,  99.261     ,  9.82612e-38,  6.78002e-19,  0.140787   ])
274224  , -122551     , array([ 0.114275   ,  99.261     ,  9.82612e-38,  6.78002e-19,  0.140787   ])
274225  , -122630     , array([ 0.114161   ,  99.3604    ,  9.82612e-38,  6.78002e-19,  0.140787   ])
274226  , -122629     , array([ 0.114161   ,  99.261     ,  9.83595e-38,  6.78002e-19,  0.140787   ])
274227  , -122629     , array([ 0.114161   ,  99.261     ,  9.82612e-38,  6.78681e-19,  0.140787   ])
274228  , -122701     , array([ 0.114161   ,  99.261     ,  9.82612e-38,  6.78002e-19,  0.140928   ])
274229  , -122437     , array([ 0.114246   ,  99.8022    ,  8.32825e-38,  6.78002e-19,  0.140519   ])
274230  , -122437     , array([ 0.114246   ,  99.8022    ,  8.32825e-38,  6.78002e-19,  0.140519   ])
274231  , -122359     , array([ 0.11436    ,  99.8022    ,  8.32825e-38,  6.78002e-19,  0.140519   ])
274232  , -122438     , array([ 0.114246   ,  99.9021    ,  8.32825e-38,  6.78002e-19,  0.140519   ])
274233  , -122437     , array([ 0.114246   ,  99.8022    ,  8.33659e-38,  6.78002e-19,  0.140519   ])
274234  , -122437     , array([ 0.114246   ,  99.8022    ,  8.32825e-38,  6.78681e-19,  0.140519   ])
274235  , -122509     , array([ 0.114246   ,  99.8022    ,  8.32825e-38,  6.78002e-19,  0.14066    ])
274236  , -122372     , array([ 0.114275   ,  99.9869    ,  7.87286e-38,  6.78002e-19,  0.140428   ])
