274872  , -78896.3    , array([ 0.439015   ,  0.321331   ,  3.40654e-87,  0.00356649 ,  3.52311e-05])
274873  , -78896.4    , array([ 0.439455   ,  0.321331   ,  3.40654e-87,  0.00356649 ,  3.52311e-05])
274874  , -78896.4    , array([ 0.439015   ,  0.321653   ,  3.40654e-87,  0.00356649 ,  3.52311e-05])
274875  , -78896.3    , array([ 0.439015   ,  0.321331   ,  3.40995e-87,  0.00356649 ,  3.52311e-05])
274876  , -78896.3    , array([ 0.439015   ,  0.321331   ,  3.40654e-87,  0.00357006 ,  3.52311e-05])
274877  , -78896.1    , array([ 0.439015   ,  0.321331   ,  3.40654e-87,  0.00356649 ,  3.52664e-05])
274878  , -78896.3    , array([ 0.439015   ,  0.321331   ,  3.40654e-87,  0.00356649 ,  3.52311e-05])
274879  , -78407.1    , array([ 0.335796   ,  0.187364   ,  3.40654e-87,  0.00356649 ,  7.92543e-05])
274880  , -78407.1    , array([ 0.335796   ,  0.187364   ,  3.40654e-87,  0.00356649 ,  7.92543e-05])
274881  , -78407.3    , array([ 0.336132   ,  0.187364   ,  3.40654e-87,  0.00356649 ,  7.92543e-05])
274882  , -78407.6    , array([ 0.335796   ,  0.187551   ,  3.40654e-87,  0.00356649 ,  7.92543e-05])
274883  , -78407.1    , array([ 0.335796   ,  0.187364   ,  3.40995e-87,  0.00356649 ,  7.92543e-05])
274884  , -78407.1    , array([ 0.335796   ,  0.187364   ,  3.40654e-87,  0.00357005 ,  7.92543e-05])
274885  , -78406.4    , array([ 0.335796   ,  0.187364   ,  3.40654e-87,  0.00356649 ,  7.93336e-05])
274886  , -21503.1    , array([ 0.114937   ,  0.0216578  ,  3.40654e-87,  0.00356647 ,  0.00202958 ])
274887  , -21503.1    , array([ 0.114937   ,  0.0216578  ,  3.40654e-87,  0.00356647 ,  0.00202958 ])
274888  , -21504.6    , array([ 0.115052   ,  0.0216578  ,  3.40654e-87,  0.00356647 ,  0.00202958 ])
274889  , -21526.3    , array([ 0.114937   ,  0.0216795  ,  3.40654e-87,  0.00356647 ,  0.00202958 ])
274890  , -21503.1    , array([ 0.114937   ,  0.0216578  ,  3.40995e-87,  0.00356647 ,  0.00202958 ])
274891  , -21503.1    , array([ 0.114937   ,  0.0216578  ,  3.40654e-87,  0.00357004 ,  0.00202958 ])
274892  , -21478.4    , array([ 0.114937   ,  0.0216578  ,  3.40654e-87,  0.00356647 ,  0.00203161 ])
274900  , -21042.9    , array([ 0.114506   ,  0.0214947  ,  3.40654e-87,  0.00356647 ,  0.00205277 ])
274901  , -21042.9    , array([ 0.114506   ,  0.0214947  ,  3.40654e-87,  0.00356647 ,  0.00205277 ])
274902  , -21044.3    , array([ 0.11462    ,  0.0214947  ,  3.40654e-87,  0.00356647 ,  0.00205277 ])
274903  , -21066      , array([ 0.114506   ,  0.0215162  ,  3.40654e-87,  0.00356647 ,  0.00205277 ])
274904  , -21042.9    , array([ 0.114506   ,  0.0214947  ,  3.40995e-87,  0.00356647 ,  0.00205277 ])
274905  , -21042.9    , array([ 0.114506   ,  0.0214947  ,  3.40654e-87,  0.00357004 ,  0.00205277 ])
274906  , -21018.4    , array([ 0.114506   ,  0.0214947  ,  3.40654e-87,  0.00356647 ,  0.00205482 ])
274907  , -7473.65    , array([ 0.100087   ,  0.0163946  ,  3.40654e-87,  0.00356647 ,  0.00308415 ])
274908  , -7473.65    , array([ 0.100087   ,  0.0163946  ,  3.40654e-87,  0.00356647 ,  0.00308415 ])
274909  , -7472.98    , array([ 0.100187   ,  0.0163946  ,  3.40654e-87,  0.00356647 ,  0.00308415 ])
