290045  , -79089.4    , array([ 0.0989717  ,  0.20883    ,  1.15194e-85,  1.9983e-10 ,  6.17535e-11])
290046  , -79089.4    , array([ 0.0990707  ,  0.20883    ,  1.15194e-85,  1.9983e-10 ,  6.17535e-11])
290047  , -79089.4    , array([ 0.0989717  ,  0.209039   ,  1.15194e-85,  1.9983e-10 ,  6.17535e-11])
290048  , -79089.4    , array([ 0.0989717  ,  0.20883    ,  1.15309e-85,  1.9983e-10 ,  6.17535e-11])
290049  , -79089.4    , array([ 0.0989717  ,  0.20883    ,  1.15194e-85,  2.0003e-10 ,  6.17535e-11])
290050  , -79089.4    , array([ 0.0989717  ,  0.20883    ,  1.15194e-85,  1.9983e-10 ,  6.18153e-11])
290051  , -79089.4    , array([ 0.0989717  ,  0.20883    ,  1.15194e-85,  1.9983e-10 ,  6.17535e-11])
290052  , -79089.4    , array([ 0.0989224  ,  0.208758   ,  1.15194e-85,  1.9983e-10 ,  6.18058e-11])
290053  , -79089.4    , array([ 0.0989224  ,  0.208758   ,  1.15194e-85,  1.9983e-10 ,  6.18058e-11])
290054  , -79089.4    , array([ 0.0990214  ,  0.208758   ,  1.15194e-85,  1.9983e-10 ,  6.18058e-11])
290055  , -79089.4    , array([ 0.0989224  ,  0.208967   ,  1.15194e-85,  1.9983e-10 ,  6.18058e-11])
290056  , -79089.4    , array([ 0.0989224  ,  0.208758   ,  1.15309e-85,  1.9983e-10 ,  6.18058e-11])
290057  , -79089.4    , array([ 0.0989224  ,  0.208758   ,  1.15194e-85,  2.0003e-10 ,  6.18058e-11])
290058  , -79089.4    , array([ 0.0989224  ,  0.208758   ,  1.15194e-85,  1.9983e-10 ,  6.18677e-11])
290059  , -79089.4    , array([ 0.0987256  ,  0.208468   ,  1.15194e-85,  1.9983e-10 ,  6.20157e-11])
290060  , -79089.4    , array([ 0.0987256  ,  0.208468   ,  1.15194e-85,  1.9983e-10 ,  6.20157e-11])
290061  , -79089.4    , array([ 0.0988244  ,  0.208468   ,  1.15194e-85,  1.9983e-10 ,  6.20157e-11])
290062  , -79089.4    , array([ 0.0987256  ,  0.208676   ,  1.15194e-85,  1.9983e-10 ,  6.20157e-11])
290063  , -79089.4    , array([ 0.0987256  ,  0.208468   ,  1.15309e-85,  1.9983e-10 ,  6.20157e-11])
290064  , -79089.4    , array([ 0.0987256  ,  0.208468   ,  1.15194e-85,  2.0003e-10 ,  6.20157e-11])
290065  , -79089.4    , array([ 0.0987256  ,  0.208468   ,  1.15194e-85,  1.9983e-10 ,  6.20777e-11])
290066  , -79089.4    , array([ 0.0979421  ,  0.207313   ,  1.15194e-85,  1.9983e-10 ,  6.28621e-11])
290067  , -79089.4    , array([ 0.0979421  ,  0.207313   ,  1.15194e-85,  1.9983e-10 ,  6.28621e-11])
290068  , -79089.4    , array([ 0.0980401  ,  0.207313   ,  1.15194e-85,  1.9983e-10 ,  6.28621e-11])
290069  , -79089.4    , array([ 0.0979421  ,  0.20752    ,  1.15194e-85,  1.9983e-10 ,  6.28621e-11])
290070  , -79089.4    , array([ 0.0979421  ,  0.207313   ,  1.15309e-85,  1.9983e-10 ,  6.28621e-11])
290071  , -79089.4    , array([ 0.0979421  ,  0.207313   ,  1.15194e-85,  2.0003e-10 ,  6.28621e-11])
290072  , -79089.4    , array([ 0.0979421  ,  0.207313   ,  1.15194e-85,  1.9983e-10 ,  6.2925e-11 ])
290073  , -79089.4    , array([ 0.0948699  ,  0.202756   ,  1.15194e-85,  1.9983e-10 ,  6.63648e-11])
290074  , -79089.4    , array([ 0.0948699  ,  0.202756   ,  1.15194e-85,  1.9983e-10 ,  6.63648e-11])
290075  , -79089.4    , array([ 0.0949649  ,  0.202756   ,  1.15194e-85,  1.9983e-10 ,  6.63648e-11])
290076  , -79089.4    , array([ 0.0948699  ,  0.202959   ,  1.15194e-85,  1.9983e-10 ,  6.63648e-11])
290077  , -79089.4    , array([ 0.0948699  ,  0.202756   ,  1.15309e-85,  1.9983e-10 ,  6.63648e-11])
290078  , -79089.4    , array([ 0.0948699  ,  0.202756   ,  1.15194e-85,  2.0003e-10 ,  6.63648e-11])
290079  , -79089.4    , array([ 0.0948699  ,  0.202756   ,  1.15194e-85,  1.9983e-10 ,  6.64312e-11])
290080  , -79089.4    , array([ 0.0835151  ,  0.185508   ,  1.15194e-85,  1.9983e-10 ,  8.24395e-11])
290081  , -79089.4    , array([ 0.0835151  ,  0.185508   ,  1.15194e-85,  1.9983e-10 ,  8.24395e-11])
290082  , -79089.4    , array([ 0.0835987  ,  0.185508   ,  1.15194e-85,  1.9983e-10 ,  8.24395e-11])
290083  , -79089.4    , array([ 0.0835151  ,  0.185694   ,  1.15194e-85,  1.9983e-10 ,  8.24395e-11])
290084  , -79089.4    , array([ 0.0835151  ,  0.185508   ,  1.15309e-85,  1.9983e-10 ,  8.24395e-11])
290085  , -79089.4    , array([ 0.0835151  ,  0.185508   ,  1.15194e-85,  2.0003e-10 ,  8.24395e-11])
290086  , -79089.4    , array([ 0.0835151  ,  0.185508   ,  1.15194e-85,  1.9983e-10 ,  8.2522e-11 ])
290087  , -79089.4    , array([ 0.0501546  ,  0.129993   ,  1.15194e-85,  1.9983e-10 ,  1.96302e-10])
290088  , -79089.4    , array([ 0.0501546  ,  0.129993   ,  1.15194e-85,  1.9983e-10 ,  1.96302e-10])
290089  , -79089.4    , array([ 0.0502048  ,  0.129993   ,  1.15194e-85,  1.9983e-10 ,  1.96302e-10])
290090  , -79089.4    , array([ 0.0501546  ,  0.130123   ,  1.15194e-85,  1.9983e-10 ,  1.96302e-10])
290091  , -79089.4    , array([ 0.0501546  ,  0.129993   ,  1.15309e-85,  1.9983e-10 ,  1.96302e-10])
290092  , -79089.4    , array([ 0.0501546  ,  0.129993   ,  1.15194e-85,  2.0003e-10 ,  1.96302e-10])
290093  , -79089.4    , array([ 0.0501546  ,  0.129993   ,  1.15194e-85,  1.9983e-10 ,  1.96499e-10])
290094  , -79088.4    , array([ 0.00652368 ,  0.0313438  ,  1.15194e-85,  1.9983e-10 ,  6.31079e-09])
290095  , -79088.4    , array([ 0.00652368 ,  0.0313438  ,  1.15194e-85,  1.9983e-10 ,  6.31079e-09])
290096  , -79088.4    , array([ 0.00653021 ,  0.0313438  ,  1.15194e-85,  1.9983e-10 ,  6.31079e-09])
290097  , -79088.4    , array([ 0.00652368 ,  0.0313752  ,  1.15194e-85,  1.9983e-10 ,  6.31079e-09])
290098  , -79088.4    , array([ 0.00652368 ,  0.0313438  ,  1.15309e-85,  1.9983e-10 ,  6.31079e-09])
290099  , -79088.4    , array([ 0.00652368 ,  0.0313438  ,  1.15194e-85,  2.0003e-10 ,  6.31079e-09])
290100  , -79088.4    , array([ 0.00652368 ,  0.0313438  ,  1.15194e-85,  1.9983e-10 ,  6.31711e-09])
290108  , -79088.4    , array([ 0.00652368 ,  0.0313438  ,  1.15194e-85,  1.9983e-10 ,  6.31079e-09])
